Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Potential	Temperature	Equilibruim
2.14414786626	12.4225398101	8.344177827	4.00322577033	-1.51726111948	-0.847609927342	0.64266822679	3.16199146881	66314.2818838	20000.0	False	
1.04753024922	7.19207389547	-4.60913869879	5.47222781178	-2.21365065001	-0.586879590786	0.637591166237	1.57348117855	44879.0894404	20000.0	True	
2.6316994447	9.37270814557	13.5143160449	3.23767188828	-1.65783480456	-1.06940722929	1.75800464901	3.89454179708	61408.9447229	19000.0	True	
1.92542768804	8.55290732958	7.15702951504	6.6021149849	-2.25629744596	-0.0210646326444	-0.524764498777	-0.188034805448	30779.3150659	18050.0	True	
0.0479350586027	1.95264070493	-5.8434425892	4.64386022919	-1.21723805186	-1.14774098954	0.366322064608	3.08820021725	32780.5860548	17147.5	True	
0.119208156169	3.09463159188	5.20938571374	5.74368824885	-2.19492805054	0.10852274628	2.20817693166	-0.725952278975	39081.2286049	16290.125	True	
2.33442411561	10.9556455542	5.80912517929	5.71762915414	-1.82048746264	-0.746914123998	0.482191828324	1.3778291017	43994.9880177	15475.61875	True	
0.33962293359	-5.82233402915	9.21102325001	3.47565175886	-2.84072944937	2.40963646319	1.71887123237	3.47973271139	35418.9241104	14701.8378125	True	
1.02468321119	-5.22147047369	10.1079878022	5.01456739212	-2.74958610056	-0.697453545561	2.25120732088	3.598417555	42642.3366227	13966.7459219	True	
1.87110256883	7.94338786018	-7.62791900027	5.958998849	-2.31942463137	-1.07697936003	0.863913620477	3.67506013865	40021.2063697	13268.4086258	False	
1.04156724255	9.679486035	6.576578786	5.84906916044	-2.78873640377	-0.041494355388	-0.388818427397	2.06620919795	45945.2361446	13268.4086258	True	
1.02594285774	0.973995378163	2.23752768881	4.6836554337	-2.12134434582	-0.426583540281	0.136497447508	-0.0551211897464	24190.9826848	12604.9881945	True	
0.376713566073	-3.13174512484	13.4269981462	4.95105027559	-2.51827127823	-0.784952161725	2.47638447223	0.448344563361	14398.8618583	11974.7387848	True	
0.57728521125	-3.97513072177	11.5704655081	3.84484456132	-2.37420560962	-0.995846128127	1.84384979582	0.293511783998	20431.8189944	11376.0018455	True	
1.56182054187	9.88101646346	1.33997527978	5.78650273518	-2.51649440795	-0.996473970521	1.35850693201	-0.409731919219	45551.8028016	10807.2017533	True	
0.193051722263	4.28547811363	2.38071845443	6.03343990046	-2.26596927284	-0.92805957794	-0.883057073086	3.31877360712	41872.2938811	10266.8416656	True	
0.0114123618338	-0.56563342046	5.31872301895	5.59862372926	-2.37844302733	-0.279471248211	0.103473309688	1.19021296074	23304.0984586	9753.49958231	True	
1.96669790049	14.5307607236	8.99387090137	4.89629825593	-2.67616652663	-0.53944043546	-0.916212063903	3.4297954355	34944.963282	9265.8246032	True	
0.158418674097	3.06767109893	-3.85165236625	5.4426084186	-2.03447350253	-0.43650485967	-0.351230766739	3.52720733971	18014.7926632	8802.53337304	False	
1.42978092357	3.01318753308	-4.72107620131	5.40177548491	-1.92490202785	-0.592758806693	-0.724287874964	3.05435198186	27039.5406644	8802.53337304	True	
0.049347323117	-3.26066829306	5.17171672169	5.601131719	-1.08552867157	-0.792411268685	1.71392315911	3.25973644906	18137.0004046	8362.40670438	True	
0.333521638166	0.408012263879	8.66171245296	5.23881242444	-2.06192177555	-1.17203780192	1.0385394133	3.29480223224	32928.4511544	7944.28636916	False	
0.341280370753	0.456719888287	10.9833199591	6.26933499278	-2.45000045472	-0.636765635128	0.752023065483	-0.125717096137	5589.44569887	7944.28636916	True	
0.389905356636	1.68119884013	6.77029259648	6.18492810937	-2.61820313533	2.50316784944	-0.326513584019	-0.504927126746	24838.3086525	7547.07205071	True	
0.256356896039	-4.68570540629	10.4218189646	3.92916605611	-1.32163740958	1.33113183839	1.08005364118	3.67260876771	25613.6087289	7169.71844817	False	
0.578210803282	3.32721511328	-5.50447967696	5.66820899906	-1.75232390032	-0.672381555236	2.43336145878	3.25683844297	32115.264482	7169.71844817	True	
0.0960513425141	0.615669025744	2.43399908711	5.48903965348	-2.0131084002	-1.11457009412	2.6689720089	0.435326365261	28329.5461256	6811.23252576	False	
1.05905632096	1.07911516857	12.5879677058	5.2424958671	-2.39717768964	-0.759146316342	0.816656361385	3.07658279547	10345.2138243	6811.23252576	True	
0.47177344787	1.34807302252	3.18505890125	4.37359834135	-2.66593874985	-0.861717839167	0.737164052952	-0.0133570920595	21734.7026674	6470.67089947	True	
0.753424779283	1.51010284337	5.31475201676	6.1102973443	-2.26018865702	1.0896429125	-0.815862776964	1.0544768833	25167.3998239	6147.1373545	True	
2.16936192412	3.18775121294	6.05345211158	5.35261633792	-2.26717302286	-0.41600196937	-0.644282352512	-0.602110466194	20150.7609496	5839.78048678	True	
0.706015297523	-0.130915874066	12.4723330405	4.83661098433	-2.12436943272	-0.60706794718	-0.0492900442341	2.83537078756	9394.07156768	5547.79146244	True	
0.0368920973752	-7.00466712062	9.89712040743	4.12860537365	-2.33164978378	2.02051094106	2.31500193963	3.18202827625	21829.567227	5270.40188931	True	
0.126638885339	-4.08768584426	10.1275836362	4.70004624117	-2.53936161796	-0.776833490153	2.43047971132	2.29156135548	13519.3992124	5006.88179485	True	
0.166354508668	1.03706257811	6.50585566285	6.44548298246	-2.5059985714	-0.621260249579	1.59717573017	2.6852773596	16639.2649935	4756.53770511	False	
0.16965428609	2.02163157783	6.32154244485	6.1785900531	-2.81492812749	-0.854665742625	0.392644015187	2.42660998401	14051.3036689	4756.53770511	True	
0.282618441431	5.03177053356	5.32892563857	6.00057650467	-2.61767416231	-0.930357813081	1.11076139665	2.23798263604	19660.0868218	4518.71081985	True	
0.338604671912	0.717080896181	0.192448588331	5.02732601066	-2.20961537391	-0.755030296986	0.680086774153	3.33218128624	11209.6696768	4292.77527886	True	
0.488890620172	0.538347137254	7.53054732626	5.30982790478	-1.61575652255	-0.959377145408	0.344667075593	1.67847139143	17834.1677075	4078.13651492	False	
0.92828043748	1.89521975296	13.1940674795	6.19904318435	-2.77509861326	-0.0433799579802	0.174755091748	-0.596466967478	13504.0669779	4078.13651492	True	
0.641281966235	-4.47468102607	13.1836298399	6.01806058244	-2.25430025158	-0.867342295347	2.94591599746	3.26443936952	13343.9967251	3874.22968917	True	
1.62125608739	1.36038098564	5.945713044	4.69374968158	-2.11412751789	-0.539190816878	-0.692312116302	1.22025446187	18576.9997889	3680.51820471	True	
1.50346751472	3.4065991506	6.74169625647	4.90780752799	-2.38290283125	-0.577874958803	-0.22503978474	3.77401142496	13657.7188949	3496.49229448	True	
1.31553428798	3.5976294246	7.52914981478	5.0511832214	-2.56269686779	-0.651951403927	-0.105398322825	-0.301935961585	11480.7769512	3321.66767975	True	
1.45349057824	0.69232955313	11.0803063175	5.10789545683	-2.4569901607	-0.857348733774	-0.0190793939148	1.95677482055	8307.4825016	3155.58429576	True	
0.485490950572	-1.147765422	5.67899042601	5.91183952747	-2.22206364631	-0.866273848281	0.795717988959	0.70943809989	25972.0454891	2997.80508098	True	
0.683147796771	1.6540735319	11.1569601623	6.02684851304	-2.35966038521	-0.492229699727	0.465946949165	-0.707360319001	6562.15149692	2847.91482693	True	
1.16390134752	1.50356783639	5.62136704228	6.15874848607	-1.12462309858	-0.660741058138	1.64722589611	-0.12973727142	21708.2382545	2705.51908558	True	
0.270098589211	0.709285688137	-4.27393905036	5.399764001	-1.24073350425	-0.900806510402	1.58621339236	3.34269323759	16504.4036352	2570.2431313	False	
0.23415272892	2.56222438864	7.99646063966	5.52312024426	-2.33446006887	-0.81592382725	0.367960177787	1.62318122976	10890.6621533	2570.2431313	False	
0.568574750612	2.03836670533	12.677477049	6.24276712174	-2.36969939731	-0.626266380466	0.718660513443	-0.589078251315	8934.62826203	2570.2431313	False	
1.40841019546	2.32192069626	14.2183693137	5.42715384154	-2.66857087787	-0.61502137097	-0.0182456078256	1.48521172975	9496.11372026	2570.2431313	True	
1.01076721442	2.7039864136	9.08306523396	6.11292282137	-2.30007258416	-0.676103177362	0.610460431944	0.70298371382	11140.7205968	2441.73097474	True	
0.518098677694	3.37289397957	8.84746232509	5.46639798126	-2.33190046859	-0.711012328678	-0.0851598102149	0.79027151611	12056.5558419	2319.644426	True	
1.02151520994	0.31261239482	13.7683136339	5.55895802	-2.53950550618	-0.761484643407	0.42371102994	0.585608010261	4898.61124673	2203.6622047	True	
1.43242241294	1.81408554789	10.8191374841	5.86351134724	-2.65903018461	-0.743294931212	0.727682720851	0.692983883756	8890.9959376	2093.47909447	True	
1.08079560016	1.61736265812	13.1986526079	5.03860028584	-2.5973449429	-0.81543711272	0.41197817527	1.73416249625	8336.89733402	1988.80513974	True	
1.21302310296	3.18330594296	6.76893724174	5.66220265875	-2.25704685652	-0.923421084372	0.647306794291	1.32152261994	14045.6687632	1889.36488275	True	
