Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Parameter 39	Parameter 40	Parameter 41	Parameter 42	Parameter 43	Parameter 44	Potential	Equilibruim
0.857360434206	-7.89913776435	-1.87456259439	5.12610478881	-0.745982692992	2.65591222645	4.86826078717	-4.02905494138	-8.03357314949	5.02930895947	-3.43513218696	-8.55154280566	-9.4566412881	-2.28066530701	4.81933223658	4.32394776935	9.26329945425	-4.61511102461	5.12031146446	-0.684440718004	-7.36103843171	4.39641951578	6.65710412137	4.62064983993	7.30991340154	2.75044385124	3.28650522408	9.88576029661	2.79353813148	4.75830997946	7.19336806656	8.84269134175	4.60525212052	2.91662989685	0.585364737421	7.97661109399	3.30996142641	1.65500269418	0.471929863998	3.44336670919	4.70428979246	3.32170144071	8.19952757285	98.4219307323	577079.122903	False	
1.68325482922	-1.793883192	-3.61691226821	3.58255706291	2.49948370399	-4.47144169039	1.47628686729	-5.71882954661	0.313807718868	-2.66263151013	-7.09224022877	-5.41908587252	1.18667957385	-6.96230003264	5.2665321269	2.91306294718	9.1340491868	-9.19634294038	-6.03731273308	2.77705830609	-8.59340825671	1.34287958208	9.69711722285	1.08393124466	9.54237685539	1.44865014682	3.32397583282	8.43264370337	0.501375272416	2.13423084674	4.78324063387	4.49870645703	7.06050598787	3.69270276857	4.52287951192	8.25408631036	9.42171492841	9.79739609794	0.416231189762	6.72900129125	9.03595258281	1.15611340503	4.19725992749	101.514980637	666854.972476	False	
1.30628265733	-9.51932551565	-1.12506183151	2.60897494757	-7.11220175497	-0.950352685289	-3.06137239295	1.07421718986	-1.28872621207	4.92869712388	-1.17448155292	-6.14185154264	7.37037912959	-9.06936119397	7.30236170846	5.00418100275	-7.52264404657	6.27960229834	-2.68435273905	-3.8161010408	3.91381362364	1.10462512044	9.10963865552	2.83186355655	8.69759492846	2.42883360043	3.47541084634	3.85418164118	8.25320127064	7.31516938258	8.19564166864	3.18968624524	7.55868208785	9.31703130093	3.35979518034	3.57062159573	3.25333708189	5.54815685106	1.91602370422	0.854182980547	2.43722819754	3.80906898676	2.89660852542	98.5571435687	969182.137125	False	
4.7545021231	-3.47474973189	2.65608990518	-3.43805868037	-0.531999691347	-3.63477487097	5.63649399197	8.27384049281	-5.61925030426	-4.84683104592	-0.275415498475	-1.52818863586	3.98790730754	-8.22955843407	-0.621953564838	1.66701644644	7.89236835643	-8.02300122089	-1.95837867225	-7.88714702862	-9.10324598111	0.714878022	2.453760955	3.22466333893	2.92027446005	6.51013620563	2.76016472042	8.45851719487	0.550959788648	8.0248170408	6.50448922932	4.91944735913	3.4575398242	8.77963991049	1.63397269521	4.79843083247	8.44854259188	9.86145488869	2.99136166715	2.48749771463	0.258239994149	3.38716008404	0.528568416995	97.9608678913	957665.14467	True	
2.65217883985	-1.12092455663	2.55164808306	-3.18314625499	-7.24923586799	-2.2013748368	4.29746646578	2.71844464498	1.09233910007	-4.46773777914	2.94647958869	6.23349449514	0.0481354177955	8.87374058583	0.87531903977	2.33847583824	-4.01398162038	7.18382695269	-5.17185850132	2.37654777362	9.97319508405	2.94125327984	4.52845428738	8.8149760189	1.00963308748	3.92395487225	4.06235415776	0.077392711081	2.68798770755	3.77385169706	9.76142646272	5.43715965207	0.172792883097	5.98784729985	4.41090531684	4.51627147077	7.1272732052	6.92410917662	6.56333567883	6.12432477785	2.41362718131	2.79500394394	10.4116116113	101.535693573	781561.74386	True	
3.34907990977	-1.6166917197	1.91693245834	0.669017142597	-3.41974594033	-2.98614624191	-4.27319161958	4.87259201359	6.09512461086	8.14947308922	7.27313331091	-3.74489806281	1.81313420388	6.93466714798	-2.62673544582	5.43133661928	-6.11599478717	4.07254714733	5.24091449158	9.41422664014	9.61215732556	2.63008368138	4.0286276741	0.740899910789	1.77587849679	2.98778355191	2.15996246016	1.96113816287	7.02259370071	2.74749960251	3.61484576344	7.4597936485	8.86542737311	6.46581373556	5.19452403804	8.29477240732	2.11981737607	2.95284793734	9.14000885931	3.01420268827	3.80672934102	3.42910087489	7.82517239074	120.761155103	858688.065572	True	
2.03283779528	0.41710129125	-0.487176875939	0.68381740342	-6.76299024116	-7.39521201149	8.81435335124	5.60500920892	-3.59131461626	-2.84828703577	0.712286611619	-1.31070656594	-0.88730313546	3.94637376266	6.56186426264	-1.1573149758	-3.82299050745	3.90028618857	2.87530311831	7.25083783909	-0.329539499113	5.69770966611	4.92529535047	7.45452503579	2.73720568447	5.3975967055	1.63053010322	4.97347614891	6.43575409253	1.54558098261	5.80141822107	0.88648717043	8.06773785249	6.91164635003	9.1152897754	0.97169225098	2.24441452339	7.77320548292	9.99193432781	9.93107911161	5.68894589466	5.26652206413	8.12473639471	129.614328833	754502.792479	True	
7.45631188923	2.47247889138	-7.11171697642	1.18000049783	-5.42129651266	-7.76608478053	-1.21935402816	5.31778807966	-7.31243290879	-0.502488491036	9.6145992921	7.21124282137	9.90185306083	1.33855297876	1.4795001173	9.85245957793	-8.86736104683	-0.482595461483	-2.12461449966	-3.86929823668	2.83079235526	3.13545670205	4.75533398432	7.52012007312	0.183543497598	4.31094802655	6.78167366428	7.41055400377	6.08436528106	5.17421675471	4.89152366985	6.6005863153	7.85870732454	9.20965294569	4.0790965549	4.6791869703	1.31411700371	5.17109929245	5.28845735836	4.09321359625	6.40810984197	4.59312090018	6.60820407947	137.82133442	883501.391809	True	
0.719386940171	-1.3225197119	-5.697646518	-0.188194726195	2.52068829053	-6.21317129401	1.17949904938	8.32426747556	-7.16725773021	-1.56640503258	3.04761633792	0.982524189616	-6.81441141293	2.94367668473	0.539681585117	6.63130492478	-2.84706773552	5.5587033259	-9.54376269132	-2.18090006834	-3.29605876257	9.68247561254	7.84626787241	9.19906175302	6.23185299658	2.52669997627	5.72615193808	5.90570999165	1.93909128181	7.29693509855	7.5567798348	9.14711758233	4.14037662697	3.36612254857	3.08576812641	8.9495494968	9.95677152884	6.23414188752	0.040698521739	5.66231470789	1.20384193423	1.08452339993	9.17378557233	125.279579789	549918.976064	False	
1.2638512246	0.353951468717	-6.93206848703	-2.21300413769	4.80163185133	-6.12355625119	7.48373807892	3.58091159268	-6.23077573755	-8.73161159483	0.103430336204	-0.692743997434	-1.26387707837	-1.65113608202	-1.30970326709	-6.74641859153	-3.48070533099	6.20321681847	-9.3053270637	-0.909901829891	-1.77044026631	8.87544783394	3.85129545969	6.89126265199	4.55431195444	4.35342091903	4.65259061824	2.45436956434	2.04891671834	1.14491996862	9.02505713288	3.08643089851	1.64293646903	8.08645546438	7.91565781482	6.88720107082	3.99410900674	2.14788410963	7.12182864017	7.63233773092	3.32306246883	1.20260922164	9.55123611019	112.714844186	524090.039772	False	
