Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Parameter 39	Parameter 40	Parameter 41	Parameter 42	Parameter 43	Parameter 44	Parameter 45	Parameter 46	Parameter 47	Parameter 48	Parameter 49	Parameter 50	Parameter 51	Parameter 52	Parameter 53	Parameter 54	Parameter 55	Parameter 56	Parameter 57	Parameter 58	Parameter 59	Parameter 60	Parameter 61	Parameter 62	Potential	Equilibruim
12.0644316509	-1.27057431608	-3.71086221663	-1.23515138331	17.5645074874	19.1966096082	9.99730527399	1.97371050822	16.1207826425	-9.89927952502	17.7160288686	3.99638012372	-8.83078018181	13.0077935726	-14.901742032	-3.91188747317	3.96424804515	-12.8258460611	-11.1218817408	5.0286886095	-13.6327877583	17.8018094224	10.029839263	4.02758801607	16.0279112864	5.89763158559	4.21086186408	11.2848857264	17.3460276068	13.5006899966	8.46903394406	15.8605287037	11.6078753069	12.8470737276	15.7598439883	17.1882569477	6.60513357351	10.1626649171	14.7268660416	17.6633875627	1.74841844014	-5.0198234917	-4.51260049533	5.48575476262	2.88154413286	-3.02975255527	-5.89316047418	-0.161772298125	-3.49939540756	-0.753508608486	-5.70163875864	-2.05462539071	1.74868892333	3.02186147953	-2.97315243166	-1.33758929233	-4.95740542328	6.44476524884	-6.68976075725	-4.03438636444	-5.08059038861	-5.3409366385	998334.270024	False	
1.1253653699	-0.881286588378	-2.78075191428	0.302288262646	0.36042079331	10.6294025766	17.8619847433	12.6557990499	-1.7293114562	-17.0696623177	8.09331235525	16.6401431612	-16.7130481584	16.2801880655	-10.8862808298	4.22726549324	0.0696824424381	-10.2969612422	-0.0557974733275	-4.12992848055	3.96295980299	4.01263830168	10.1886414827	7.21427688126	12.0093509409	11.410286626	9.52653792835	11.7743933385	18.9126496851	8.45728268131	13.0310651497	13.4112499388	6.61273802573	12.1983681889	19.0778912904	6.76080923263	14.608368755	11.0200612785	19.2472377197	7.5766576614	7.7583113516	5.84902558863	6.07051106921	-4.4885602737	-1.5402048052	-6.47266160966	4.19040574999	4.57366417973	6.6331380675	-1.61686338581	-1.72710865657	2.42891864603	-1.91147369148	-2.85960257359	-1.53653746703	-5.84412904474	3.3150904916	-6.15281291641	-1.1920271765	-5.03833017694	3.35406423893	4.92382631397	819902.303724	True	
6.47756354278	10.6805613806	3.82596451484	-16.718191166	-7.93187969244	13.9327853379	-0.497734729162	1.99448516053	-0.165856522066	-6.93392942481	6.32324112382	14.9602682598	-6.1009010879	14.9435867732	-13.8088752969	1.84120147635	-3.61474667058	-16.2016488392	3.27003480088	-6.04092810194	9.78178616394	18.227559627	7.52620547157	5.50301787252	14.6433392733	11.3322464329	7.4716782395	13.8495126574	9.11466758444	8.32860042811	7.4859157134	19.8307192482	3.98247339755	1.07622286324	4.78538691369	13.8831008645	9.18333946487	7.19513344907	3.13927974974	11.8422558942	2.16687802444	-3.22380559997	4.43729901374	-6.02472661855	-0.0245163697999	-6.42316509899	-3.47990699835	1.7202784625	1.17988532675	5.11560949547	-1.78378913061	2.58907711175	0.567765776826	-3.69998543	4.59976226633	-3.56183405835	2.51792874846	-1.17691577856	-3.45146511216	5.05038993617	-1.26536544562	5.17809818157	804309.690211	True	
9.10236826612	15.1917263522	12.7498137739	-4.13780160312	-5.00461316245	11.2205376977	-1.55818994623	-8.95773636955	4.95595255182	9.55692258907	11.4800222937	16.2545065081	-10.5810067936	18.6191082322	-14.967063608	-8.36667938065	-1.79377536598	-17.3736437418	-6.29446657001	-9.65109798123	16.511841751	3.49683304018	0.336938595103	1.32828276527	12.9542302183	18.3491756849	17.1901123983	15.2366735507	9.57564675217	15.0512774802	18.8495223281	18.5481965725	1.59303501519	8.46530770064	8.11392820186	16.9181031891	1.95198669102	10.1994039106	2.93623519452	3.38261829994	7.16798697112	-3.35506253812	3.81623970068	-2.88173177794	-4.87205212158	-5.20021400418	1.47404663449	-5.79967162491	-0.337515462664	5.60010774132	-5.61101282255	4.94656677963	3.63280865814	-5.9944071919	6.20723986132	-1.56401664793	6.74405257852	-6.19837638013	-4.83278827836	-3.45148721463	5.7806145723	-2.00691904073	742732.324633	False	
2.54704015463	13.620651058	6.37166146451	-7.71432652141	-8.38901771157	11.2697743525	6.11242537348	-2.63882304785	-5.90997896033	-1.1427873605	5.98193207264	14.7401513066	3.57048862314	16.2613000697	-17.0326802061	-14.1749290717	-0.19456468343	-16.3340618439	-14.5167403761	-6.51509970863	8.18270975934	4.12033963252	5.71410341304	11.5414594513	7.37386994367	6.0765788579	16.0877199175	7.75993925862	5.00073436814	11.5968364479	17.2094685378	4.54958831033	5.09365937143	9.01266988243	6.43481694481	16.2672159176	9.93674501435	16.3564119262	16.4233727727	10.1774061779	15.9727710842	-3.42258162499	4.74422789848	1.01041849989	-2.63097773803	4.23344561623	2.53611748086	5.2713210028	-1.48347082556	-2.15201215149	-3.0859871824	6.86660754032	-5.27952496906	0.665529626756	2.95632605798	-6.79469487997	5.64373255274	-1.08716464937	-4.01532291868	-5.86772986669	3.15526358823	4.35636945954	691113.847362	False	
2.77000497263	8.5777211439	1.87858709506	-2.4561497682	-6.17005482741	16.1469340034	4.69207280151	-7.24633385217	-14.8701037837	-4.64693883489	8.73045667722	13.0139118373	3.27756783156	19.2739573428	-17.8621998555	-14.6691615438	-2.58259514543	-10.3034110623	-11.9932718839	-6.16904937537	2.17566910519	5.0369405272	1.02992388925	8.24042864664	9.68999476625	3.58493583258	13.9280112321	14.9925903528	8.932213535	9.69783962823	11.2405688603	10.7628955464	2.33095277967	12.616527942	10.9827681851	14.0319619127	9.54679679197	0.315400356738	9.45744489872	4.73417819526	11.8637254972	-1.83726503884	-2.99806584962	5.92623406441	-3.96966831447	5.16501541304	-3.81523427494	4.32114387421	0.384005147788	-1.98737779741	-3.11569220906	6.48435448722	-5.19789232383	0.153630979421	6.14092295478	-4.27276355169	3.65265161193	-5.91310725875	-2.01960021087	-2.28776992455	5.80690500795	-5.96479406864	891234.629695	False	
7.72736766088	12.10493254	-10.0715157243	-11.2379626527	-5.20170713862	7.39749335385	2.3446713156	-0.912840581329	-7.23877967527	0.405748270826	7.07426162014	13.3390707597	9.17434340282	19.6873582681	-8.44921243446	-19.3263036932	-11.8412325702	-0.429476456574	-15.3511218839	5.97514351879	-3.7292849187	3.79015691282	10.0375203435	5.34154054961	18.8992182073	3.0113150918	17.7212943995	5.44559242565	9.87448415359	1.2448919144	6.70187541544	6.12968118383	6.07120000627	16.1563523897	3.09495652813	17.7602323941	14.5763502522	4.51137810627	13.3560095546	13.074362054	6.83365545191	5.37442345692	-6.15218845686	-3.82037038821	5.34076725602	3.11343648168	-5.37907345701	-6.90245665551	-5.44489946205	-0.4488541677	-5.22371562549	0.794859511295	-0.743988503113	2.80349907957	-0.595155190647	-5.7238002182	0.092416709309	-3.05483982062	-1.93337301116	-4.71538810476	1.24365744276	5.47567194139	937400.611959	False	
4.11484725244	7.8015375711	-15.6208572088	-13.5563150231	-5.17063921114	7.91154198679	5.77256908612	6.26984215673	-16.4630476545	1.38081040473	8.09238281686	18.5598754638	15.0304304195	18.2451814343	-9.13468305813	-16.9203989142	-19.4042886696	-7.28446694911	-15.353972157	5.31609033739	0.336037634612	4.78996139406	3.34409576341	8.60767339327	14.8305820825	4.80003952129	18.3088512147	0.0256251995579	18.5106684715	13.852458481	12.9108528078	6.81318689069	5.98921802841	18.370723001	8.00078167055	16.180844885	8.16761597961	1.35053492903	7.59375177557	13.6808104779	7.37220096925	-4.95908387128	3.87943349015	-2.37825002685	2.58792468126	-1.17680120836	-0.553691982217	-1.45061068705	-5.67073773995	-5.82542824105	0.312264337829	-1.49099063271	4.741092685	-2.25382701371	-1.48161520061	-4.35466683757	6.76250100229	-3.52963838635	-4.72166141657	1.48475341389	-1.04293126672	5.63644607852	710399.978502	False	
5.7508573555	8.36369970266	-14.7576178087	-13.8194539075	-3.51904881624	7.72225554391	7.39549998939	10.2674759874	-17.2499092821	-2.11911111133	7.09836390418	18.366341396	17.4281529073	16.5661656674	-9.1889914152	-17.1069513944	-18.2778569012	-3.96095295473	-11.9496561493	2.71178459818	3.42304658225	6.5323195316	2.03350854405	12.7545678204	15.8496712856	2.49227290329	19.5557036542	1.45154223815	17.3289348842	14.3506967792	15.3873202832	8.34139296139	6.13881742018	17.1179582093	6.14912400326	16.7009676579	5.59613912271	1.96280658644	5.32890191845	11.3150351947	7.69791154708	-5.20394616582	4.47618370355	-0.643971752769	2.21021938044	4.21170596384	0.564696327604	-4.0038999501	-3.47068878226	-2.34942087944	4.50168919163	-2.18319535094	4.37228109452	-3.907372181	0.55339517876	-5.90315219574	6.95477047147	-0.914602281216	-5.60412580363	1.76406403513	-2.95288715045	4.27988498399	338791.958538	False	
5.7508573555	8.36369970266	-14.7576178087	-13.8194539075	-3.51904881624	7.72225554391	7.39549998939	10.2674759874	-17.2499092821	-2.11911111133	7.09836390418	18.366341396	17.4281529073	16.5661656674	-9.1889914152	-17.1069513944	-18.2778569012	-3.96095295473	-11.9496561493	2.71178459818	3.42304658225	6.5323195316	2.03350854405	12.7545678204	15.8496712856	2.49227290329	19.5557036542	1.45154223815	17.3289348842	14.3506967792	15.3873202832	8.34139296139	6.13881742018	17.1179582093	6.14912400326	16.7009676579	5.59613912271	1.96280658644	5.32890191845	11.3150351947	7.69791154708	-5.20394616582	4.47618370355	-0.643971752769	2.21021938044	4.21170596384	0.564696327604	-4.0038999501	-3.47068878226	-2.34942087944	4.50168919163	-2.18319535094	4.37228109452	-3.907372181	0.55339517876	-5.90315219574	6.95477047147	-0.914602281216	-5.60412580363	1.76406403513	-2.95288715045	4.27988498399	338791.958538	False	
