Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Parameter 39	Parameter 40	Parameter 41	Parameter 42	Parameter 43	Parameter 44	Parameter 45	Parameter 46	Parameter 47	Parameter 48	Parameter 49	Parameter 50	Parameter 51	Parameter 52	Parameter 53	Parameter 54	Parameter 55	Parameter 56	Parameter 57	Parameter 58	Parameter 59	Parameter 60	Parameter 61	Parameter 62	Potential	Equilibruim
14.9941230978	-8.51756125542	-0.813254112303	-18.05559234	17.9270817066	2.4467505766	14.7190430728	2.57292762497	11.2546854742	1.01081672612	-12.0250453886	-5.82635515365	-8.04829741357	1.91562573108	-2.6857595396	0.337241957658	-8.46626514925	8.40542835434	3.60158692867	3.80901082175	-3.53926260321	6.06544756335	13.6228167296	2.48368359143	14.4230656937	3.90768505186	9.82059316904	4.6657129226	16.2530722557	7.75022196159	4.70495033106	15.0683457044	2.40998478456	8.74603141055	2.703569855	10.0321881215	19.0745555907	17.3291288782	8.41504161673	14.1534274231	5.07737805298	4.3941766633	-0.269974704032	5.03070155413	2.217274631	4.43217196738	3.17358333994	0.335266996772	-5.96577109159	-5.97014631123	3.52888408412	-5.8461936151	1.47406060513	-5.95950505783	-4.62961585223	1.23823956859	4.5515108467	-5.91932835198	-0.65042055116	-4.86077896076	-1.90999238085	-1.12537415227	1218415.58555	False	
18.1892003177	-6.52304184492	8.593881289	-10.9706981862	10.4958904833	10.8403243226	3.84112882685	15.8296986014	0.337193953876	-2.13156343745	-5.331473891	11.7738007622	8.24346759319	14.1068812915	-6.6099018733	-6.84290641129	-3.46444776254	-2.14571656602	6.7800821058	13.3318896278	7.98661278493	9.51395396792	17.1617662601	2.02717235156	18.2353715615	3.33532345986	19.1263444487	1.90954229753	6.21731933404	1.86409085228	16.6236078534	7.71002402344	4.22119743662	18.0449862417	2.52656989899	17.2538585857	2.48749054665	19.9164746149	13.6425971343	9.08798298671	14.5178650575	0.426459146779	0.29986480166	1.48917188359	-3.34390340281	0.611567455582	5.48780715025	4.94909522065	-4.64820120828	4.93650605894	-5.26763644375	1.34704430852	-2.94940170628	-5.84987065295	-1.76933683419	2.31426717813	0.739945878214	6.16753359036	-0.52136475957	6.39686195604	3.4835519657	0.157353923562	949307.166032	True	
17.4999796445	4.6204603985	18.5475362673	11.6315368647	15.4857020204	-0.505326898664	17.2352493075	9.80092384943	14.1396453054	-5.08170931741	12.1874990135	15.9785868232	16.9466827278	15.8407943053	-1.41787632696	-18.3571689168	-5.39351070005	7.42556804051	9.97529900994	-3.72713188177	13.9759353653	15.0998866734	8.01535821348	1.56040472196	7.17923963915	14.3970814657	12.9421628932	12.5806815794	6.92597028289	9.12283577654	1.14193452602	2.05111769536	14.4981941391	12.8808987712	4.6224337371	18.6016173706	10.4745031613	16.8042210605	13.0527607794	10.0818117773	4.49356660841	-3.75460975804	4.3953772217	6.26735854724	0.507847469026	3.13486750021	2.44656549973	3.77516754998	3.3005104323	6.20602277595	-2.60404486318	1.81049058684	-4.94233522103	0.556973511722	-5.10715740918	2.48348943885	-5.78961201338	-2.27108803409	-0.788220786193	0.858536878862	-0.623263683569	3.2502853198	972969.531446	False	
3.12864012926	-2.85893932359	7.85136635803	0.558431403158	19.0028268994	-11.2560376964	13.6672579531	-2.09913506272	18.9845080272	14.0152247873	5.84216157914	5.81326227007	13.7217141115	7.83119236118	-12.9603715975	-18.4606632732	4.54717595563	19.7069476466	5.68421233644	-2.95482758895	18.4558216682	19.2640597667	0.39359014678	2.47128727099	3.88517883271	8.4422518449	14.1765678058	7.51087832545	3.12064010243	17.0049536549	4.34485135732	5.13636219989	17.7070232541	14.3451340667	6.88398207465	10.1656578482	6.20285036579	10.6245482946	14.2776071497	7.86343636275	12.1378004591	-3.15740238423	-1.36680533685	6.05749492497	1.7771310216	-1.47081204488	-5.348718264	5.0463977536	-2.76660047803	3.68957806168	-5.31190654308	1.26611317012	-3.36578635618	5.60215480486	1.02849529926	-6.04381267307	-1.69091315303	-6.91839099093	2.887267354	2.87387125805	-2.25124302904	-2.38719724033	845299.515161	True	
2.05825338759	1.71156524101	19.1464783928	8.05781285608	13.7387626281	-11.7548701381	16.6119117447	-4.76740430153	13.2902053866	8.15908934947	7.7155609233	13.8628214733	6.38915171952	11.0409323986	-6.87728635431	-2.36969476049	-10.9186926221	15.5752866878	-1.36709076297	-10.544512729	19.8508842568	17.7424688893	16.6208167545	15.2657384827	1.65176835292	4.1863117456	11.8672203534	4.74337696945	5.49685863607	16.2036699209	11.9538182669	5.3077883706	2.79722265514	18.2554266337	7.74803651985	9.26218294544	9.65656555823	13.590070176	14.72801812	14.9575598067	5.39930976875	4.85251316263	-4.60195770519	-3.08021285008	6.27111899068	-2.43462600088	-5.45987182674	-1.8992887653	-1.94433829687	1.55812154541	-4.75218556272	3.50709453186	-3.39344195217	3.2486445698	2.23833260734	-0.0539744420839	-1.43377825874	-3.03442104988	1.33661655256	2.6919193693	-1.32595961147	-2.91963508993	984762.34558	False	
5.27872641855	6.40390541705	14.8040970073	-1.38487627664	15.167478868	-17.963393324	13.0946003955	-4.57455094346	6.67981607023	13.7820793321	-3.62833229292	16.7574709043	-0.824608456133	4.91149470314	5.27385001709	-5.77422208757	-12.4432447455	5.34217860153	9.38213236499	-6.80206606233	18.1095007118	19.8140022802	15.8895832857	8.54977541963	0.891085246273	14.7064122837	2.72949530949	13.6544912689	1.40769571997	7.54134788846	13.1385504747	3.13984803283	10.3565328217	12.3042161741	11.9425784312	4.56701588658	9.60208336561	8.96987380014	16.8391074204	3.82093853865	6.6022179459	-2.19668333163	-0.824436711461	-4.53332284888	4.97338282977	-0.824771429257	-4.96692254158	-4.3730322763	-1.49937152519	-6.76895764815	1.08746899173	-1.09002447036	2.83859797272	2.8498882999	-2.23939659255	5.38799639654	0.888187634897	-5.11131504383	4.28314923458	4.16195830232	0.902630557811	0.461550741581	665978.107139	False	
7.4110728214	9.72739616047	14.8577390365	-6.60929413516	19.7270884234	-19.592210589	10.4223462791	-9.06676642208	13.6223229484	10.9792672872	-2.48670603933	12.9769022251	5.77373607438	-3.14828323199	9.79611652746	0.328268457827	-10.161535369	-0.268100800309	8.77452276695	-11.3443797632	17.0095724564	5.46541757368	8.63208224475	7.81473074448	3.74900106069	17.4233374202	5.81103200568	8.11236683253	3.80031946579	19.1577248404	16.7377147087	1.63642180339	4.53203458877	15.6594108777	8.71154242967	5.68102513612	7.12606943895	6.43753023512	10.6688618822	4.82361765046	2.68640979209	2.95561673048	-0.0950461104239	-6.87847334573	6.09225665405	4.41297499199	-5.10661870526	-0.82665649595	-2.33274824924	-2.04940993951	-2.00803282552	-3.19588024624	2.40504454965	0.830329662299	-6.55698179741	-3.07587715876	0.673254826348	-0.54209074379	-0.598939287933	-0.907061910556	0.662596311613	2.71052788356	629738.04626	False	
1.14683546842	1.17178247093	15.3704656392	1.70541385935	14.2281070261	-6.96131608145	9.79984452108	-15.0015883144	14.2389270442	6.07789295392	-5.2675615491	9.89497024293	1.16951251218	-0.594705887956	7.12053961092	0.544040950029	-4.19692005586	-2.94807135254	12.3673998846	-18.292917078	14.288680354	7.94455432087	13.1584417557	1.52241132527	10.3644171707	17.2738344646	1.33275780015	8.71201348891	16.1509768599	19.1561694475	9.21657685348	8.81456447325	2.28759964893	11.881134364	0.70282314854	6.22616344242	15.0969467362	11.3668499266	15.0653106089	0.975659035559	11.4562896133	5.11718030018	-3.57439683275	-4.65315039063	4.79168089022	2.16559674666	-2.38789652052	-1.05514352287	-5.2010495691	-4.46333261295	1.63213913491	-4.80994264011	3.30311034879	4.2556937486	5.33704475748	1.50772478547	-5.46853302405	-4.76351828944	-3.21231507661	4.9880510519	-2.73201336836	6.84459315743	680654.829972	False	
6.14771865627	-0.53949263374	12.7821508902	-5.64792331273	10.3391944574	-4.58880456251	16.6502444181	-15.6348801671	3.72674743147	9.98962867575	3.85824514108	6.0385956644	0.373856312325	2.12461504092	5.56897096528	6.92872239711	-10.2629600149	-7.32735275785	15.3280925506	-10.2033784516	5.98986427719	1.79759502385	17.2165852171	11.6186770717	11.607357034	16.9728594929	3.05298399121	12.9794209666	3.13608029298	9.05271222585	13.2209882257	8.80743421506	11.0039344282	8.48121444857	3.27398926508	8.04145473049	16.7816299419	19.3655803755	18.5086178599	4.26796058257	14.2514966437	2.2271209737	0.547472644463	-3.90359583354	-2.10683740675	5.71542741652	2.27363776554	-3.15329475741	-1.60242082896	-1.67203652984	5.41983504028	-1.35019224636	3.15333061653	1.46067516611	2.41302895083	-0.624790721386	-6.99847452562	-2.49564548527	-4.89554839871	6.82655674039	1.32931735473	5.444235984	1040182.9978	False	
5.62281684519	4.68161903844	11.8354775945	-8.82267960731	0.143041780989	4.35809375542	14.0455632233	-8.84287640203	-7.8366396846	6.05461866655	9.80849434762	8.15405661035	2.16480767171	7.01346063041	-4.63059373849	12.2545242994	-13.1715071343	-10.9283910907	4.02339551935	-10.0949980478	6.43576397092	2.52497146623	8.12593826459	6.33123482647	19.248230789	13.4674524207	13.3741859003	7.05527344404	10.9444634305	9.90829638061	3.27382670796	8.00468922508	4.59388595005	4.98638292079	2.31420841901	10.4846056824	12.1438637168	8.4936403779	13.2613240544	8.30434896369	9.79001837688	-0.110607726587	2.72668891628	-4.76947231546	-0.612679734051	-3.23022170329	-1.73600542685	-6.55394361442	-4.70272349242	-0.034482498409	2.18816540561	-5.70354892325	-5.25933839016	6.54266635773	5.58010477315	-3.60900473168	-5.10982523618	-4.50524402826	1.0761672954	5.89649859661	0.626487922707	-4.9579967451	866256.359623	False	
