Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Parameter 39	Parameter 40	Parameter 41	Parameter 42	Parameter 43	Parameter 44	Potential	Equilibruim
5.93118146774	-8.46329785724	-2.19722674929	-1.82384891858	7.22954285011	5.2364512725	6.67423677729	-4.96969470977	-5.65843528135	4.8176957762	1.41473494669	7.17292839612	-0.891823211598	-7.378985615	4.77898706548	0.894382930884	-5.75305737451	-8.39323964235	9.70304971021	6.72673259044	-1.42996224115	1.2396720688	4.70053962359	9.65490103493	7.50812699301	8.4934909611	0.696325415131	4.84434720143	3.35837776092	5.72947847966	8.29502180247	4.90773494248	5.42252943729	4.57510013434	0.12713507397	8.84533175487	7.80585071353	4.05233705556	4.59335787563	3.04325305327	2.66002065452	3.54711864291	4.70855305622	1.18874875639	455263.516367	False	
1.96185434978	-1.52742189706	1.41607189016	-6.70773498721	8.19764046273	-3.39688218811	0.114003866964	-0.624800511569	-0.704081455282	-0.294825853829	0.0153358865108	-1.29068922592	-2.10981477954	3.44563528316	3.46799349005	8.62969394911	9.73739962021	-5.77964571692	-4.9613865855	5.24074847526	-4.9309933619	3.16504630256	6.31902727646	6.31965259947	5.3788936717	7.2446232884	8.86196751994	5.29101253818	8.27217726951	2.13833902511	2.9282598628	8.08527049309	7.05215840942	8.06967700031	2.16600610282	2.5043239092	6.53095792012	2.810543674	6.28132359623	1.39641903619	9.95960721932	5.86761897152	0.805815915013	2.08304633312	362822.532019	True	
8.23614594324	7.26624412648	-0.00722530350089	-8.97330943492	0.612344231221	-7.40798309065	3.77621641893	8.13090409733	2.88087597602	9.86675346872	3.25101939396	-0.758358895546	-2.8760525368	-0.562787647801	-3.60076112743	1.59226764683	6.66954695996	4.53548477008	-6.14535970241	-1.52153927206	-0.0645592977731	6.43538709787	5.57103450544	2.7964723048	8.75601328671	4.9244586378	0.757201994767	6.71648114196	4.13670617574	3.39675547702	4.39084132959	5.36680857142	5.08497194075	8.23853928715	3.51524355687	2.65885522233	7.93210905588	7.02455449201	5.21133952183	1.94259287672	7.89360431608	7.18074619749	3.93715510538	1.99589800911	382833.147451	True	
8.57657881802	0.883860760563	6.17698284104	-1.25597724525	-6.83041489162	-3.20170558351	-5.42389416957	-1.7831368964	-2.37594414925	5.55949706198	-9.99316171997	-6.85649358805	-0.582866965748	3.04829349016	-1.86672449357	-6.70425627998	1.60422919419	1.65091283732	6.3833000933	3.94875245964	-1.75972825701	3.27599288964	1.98651247023	6.14117740637	4.02082554385	1.2426562563	1.28724299074	3.03247017167	6.34017339948	0.1190217585	8.23710708743	9.09246443116	5.16607395176	9.17664529579	0.0210776358777	1.52778650194	3.53175512577	4.85403846878	4.50069654097	8.40859277702	0.722943494843	3.61890490459	2.65017186251	7.90997861327	587292.788706	True	
8.48087099946	7.84332216818	-4.70578819065	6.69796080912	-9.87813559762	8.37873513998	-0.893255174248	6.59557179064	-9.54547177932	-5.73745783184	-4.67999295508	-8.79315098752	-6.93735660093	4.05967161538	1.54483234591	-2.82638858959	5.83393116783	6.30382500392	-0.587585763436	-4.66060588698	8.26760659456	7.4381677143	3.10456311381	6.2899482011	9.59274713201	8.42643593281	3.10810403727	5.77348100139	3.6013788553	9.49678984027	2.22756551195	4.20382561887	7.94806560851	5.52525701046	2.99271187025	1.09475838566	3.63332051644	7.25912698586	4.68477409151	5.10761117365	5.79745879472	2.71487115791	1.609016102	6.41606529776	389241.845201	False	
7.19714712883	-7.12832731868	-5.53568481733	2.80483691124	-2.00289025605	-1.0239053067	6.88389139104	7.06373763673	7.17800728947	2.98493901783	2.8565406004	-0.014671030809	-2.4377844964	-7.47580514105	-5.20911969033	0.813351746943	3.27433120294	0.94236690619	-0.343708042994	-3.94437615749	3.41286174913	3.73144458181	0.397157362969	3.86743258735	6.14696817767	8.68811581946	3.42271948716	1.089763584	1.8676231965	5.74319343882	6.56016647405	2.6817751963	5.50674302651	0.252329972535	7.57593278854	9.82822983647	4.70768889414	3.31949989539	1.94102901996	9.70291952293	4.77053618738	7.50650442758	4.63157993809	0.19450072337	616873.326942	True	
4.34207419554	2.66047049445	-7.3723210533	-5.13699695845	7.20558421439	-6.23109176048	5.95250166738	-3.22401950968	-3.55089422722	-0.523009542918	-0.313626736397	-6.84128552173	-7.27337199912	-0.0103297812521	6.65509956266	-5.93147477803	-0.15033507426	0.0305239277582	6.67643456718	5.46816362591	0.330787431541	2.94683651108	7.99041971573	2.5469031816	9.14339582598	5.28967445111	8.29428027204	3.62677757721	1.81893464281	5.33376836491	0.64140652817	4.60381812889	3.88003031287	5.99388046739	7.95137412541	1.78115352884	8.08178648665	5.46965040066	6.11409526217	8.93303659344	4.94065337108	3.98304691401	5.78389843941	0.112154675813	563668.723356	True	
2.58778177099	1.97228451344	-6.4938176829	1.73851668999	-1.81257726289	-5.12382155393	-2.64749065592	0.459809845663	7.76165779044	5.68292094747	7.9425321711	0.0580947721134	-7.70151388796	-1.37964476242	6.44728603437	-3.11819696559	-3.32471543048	9.06311378319	2.91136792168	2.32761567184	-3.32172398568	6.21275788436	4.13973324879	2.60704319805	6.67947932409	2.84313460146	7.90033244889	5.5014340593	3.71027757906	2.71360841608	7.23390936826	0.856000103773	5.12513782948	8.03265606216	2.84380684919	7.40049016993	4.6967264274	8.39364672647	3.92324340455	7.20433253736	5.26440824945	9.72875144028	2.90062674827	2.3307403533	335571.467373	True	
5.40767899197	4.31422436741	-3.50453998273	-9.48259923586	5.72708032471	9.96473168401	-9.24961705106	3.04640938132	4.44524045975	-2.54545196489	3.32256676387	1.28608268566	1.30381274164	-5.39330003351	2.30648353289	1.62771541776	1.08911185434	4.93548603208	-8.85714129156	5.9433029038	-4.36467726012	5.88321418805	5.83503617349	6.92283091618	9.07485784144	8.82265371479	0.122372178283	1.23885848467	3.0212236443	6.3176803354	5.7912657191	6.56123404601	6.04739541715	1.64447819836	4.01991613449	7.03413044052	8.07441246502	2.83995906197	2.35054385332	7.05982934842	0.461055140542	0.915513916268	2.65123325724	5.47571035258	345561.975429	True	
0.788927835148	-1.0591198794	-4.56804074911	-2.05202321597	0.943384512688	0.0352147727495	1.24574518377	5.40979364381	-6.51426447915	-7.69421583468	-6.45523079683	-1.61144520646	3.14763683138	7.17700550431	-6.4437190779	7.6747590107	0.439802155744	8.47033975883	-0.253032553996	2.40602241263	2.48124365612	6.13991204689	5.7025345274	6.83187233539	2.75408239393	4.12527178481	0.763541630303	7.42304127509	3.91232122576	5.09191978969	7.14004208922	8.85548615798	0.446088936714	3.61015238804	1.84793689654	4.17509719054	5.25529303188	3.1034028545	8.08908673266	7.03831573652	3.17762337131	4.45947829325	2.19760927313	2.06352353386	390571.008464	True	
