Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Potential	Temperature	Equilibruim
1.3383728497	8.79131603065	-0.423029559231	2.04198164787	-2.34737253841	-0.764301278153	1.34802880425	2.62440178449	12905.868445	20000.0	False	
0.317274255999	6.00731606306	9.15003071687	3.60835608424	-2.45269609049	0.862901326646	-0.991609942303	1.66370945143	17051.3345375	20000.0	True	
0.364194579813	7.71767192944	5.94122105726	6.59971683888	-1.68465521266	0.594539799414	-0.496230004842	3.21259706002	33092.4451262	19000.0	True	
2.08816541341	8.29027674416	0.41626780133	6.79666811662	-1.75865161236	-0.902399770568	1.17805519508	2.38382429399	8214.92168788	18050.0	True	
2.6759878862	4.37825415013	4.70375018877	8.07007309956	-1.65905148967	-0.564166083949	-0.918144538324	3.37776659343	25576.2388313	17147.5	True	
1.48389992913	-0.228752514622	-7.32466869452	1.43260723327	-2.70330772641	0.832058132439	0.605952402672	2.78481549087	60140.9944385	16290.125	True	
0.196428355744	9.25457853144	2.23070640727	8.40161837681	-2.70568400226	-1.0110533097	1.23126870758	0.668646191538	16809.731074	15475.61875	True	
0.931332450789	-3.39038308098	6.00534438737	7.98696969038	-2.84761776035	-0.271162694169	1.67501636052	3.83419248457	49338.0904118	14701.8378125	True	
0.710122464993	8.04686969526	-6.65682741272	1.31467265838	-2.66480715134	-0.748049262779	2.43041998353	2.79253869398	14617.1404627	13966.7459219	True	
1.46689670709	2.05607938769	-0.205719047935	4.14110638618	-1.98133234154	-1.2099917755	1.10329712438	3.63888917649	27972.4948915	13268.4086258	True	
0.823573768188	0.520987482786	9.17967447077	0.0300258570737	-2.33547802998	0.615995263494	-0.602648560572	1.6528304365	20430.6668103	12604.9881945	True	
2.3540869882	5.9182283074	-8.60372416393	4.75301927034	-2.47223990647	2.92951731508	-0.723479846282	3.63047759413	15654.7931279	11974.7387848	True	
1.8679686487	3.42958007293	-3.78303116573	9.11270182267	-1.72723002397	-0.615185582946	0.50260730176	1.29597794911	25892.7941137	11376.0018455	True	
1.4442748089	-3.97784223669	8.78067921493	3.16268240675	-2.37681828986	-0.311542925416	1.15511537073	3.59415145	7169.58117419	10807.2017533	True	
0.895930520507	-6.52926532771	8.84605260902	4.46789822351	-2.01302755321	0.96359644094	2.32351067735	1.5596880693	23765.5396726	10266.8416656	True	
1.27679704735	9.96738568452	-0.659817169836	1.66866196195	-2.5785890065	-0.886411355914	2.81404725976	2.22496425293	12503.1161935	9753.49958231	True	
0.377887491111	6.97533527277	4.72194332311	9.38332153081	-1.43290680999	-0.756522769915	0.874681595325	-0.15817444167	23692.2430278	9265.8246032	True	
2.42382593664	-1.35683045326	8.536894497	2.54599725221	-1.49967640532	-0.978032086278	0.420868945478	2.98674903946	14009.2438218	8802.53337304	True	
0.995841892674	1.52329881526	-0.4328276143	3.5552024894	-1.8270734967	1.25390099022	2.2927103884	-0.174641116535	16980.8852886	8362.40670438	True	
2.66421096618	7.35262305924	6.53465174447	5.39864755478	-2.35627774853	-0.926638631684	1.20932545418	-0.189776162494	8262.00363756	7944.28636916	True	
0.275666751542	3.55598916782	4.19437701805	4.95897415311	-2.14804086862	-1.0915505629	1.13713509514	2.34830451278	16057.7978023	7547.07205071	True	
2.59875722464	9.02767191602	-4.16902605275	5.91356619434	-2.32555225606	-0.488634801852	0.103607992259	1.86012507878	9721.17587844	7169.71844817	True	
0.622928761097	1.82559443284	5.63395276345	7.58141158882	-1.37352966202	1.38415023946	1.82663940428	-0.693374955585	17185.4166865	6811.23252576	True	
2.0035281135	9.39543982884	7.44292814465	7.01563589203	-1.50254856828	-0.558126296041	2.54443631848	0.449885611795	24607.3351368	6470.67089947	True	
2.21025639118	9.93512658403	4.96145750585	6.40800873156	-2.01105530717	-0.728874690318	2.32931406105	1.3010589764	9737.20126726	6147.1373545	True	
2.71486040415	3.22741944782	-4.16264638654	4.02851897953	-1.53278661378	0.564299324468	0.563320564551	1.06187396863	21481.5684104	5839.78048678	True	
0.551650643976	2.70546608377	-0.744529026345	4.79110717548	-1.07275966697	-0.904755586688	2.20380891435	1.177905636	7225.50066174	5547.79146244	True	
