Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Parameter 39	Parameter 40	Parameter 41	Parameter 42	Parameter 43	Parameter 44	Potential	Temperature	Equilibruim
3.53072323107	-1.8459099938	0.756712076595	0.720629808083	-0.143247977758	0.0197696650674	-0.119168352931	-0.659777925765	0.214617970721	-2.91122875635	-1.10713561474	0.59230135348	2.670932522	-0.677715289021	-1.92806128875	-2.54740440793	0.391210483354	1.3376947812	-0.632741862487	-2.26710775716	-0.0165296963384	1.47728877384	5.41238169442	4.10015625181	5.15112181872	3.58199913621	6.22684520265	3.95515939959	5.67852005386	4.8744504812	3.45609445054	6.30549455965	7.2844340378	3.21217438591	6.36539232037	6.97450131694	1.91918642566	5.08329946048	6.26625098484	2.37469224271	4.23759530093	2.06635733097	4.09262683564	5.55512233253	77276.588132	100000.0	False	
4.32344004455	-1.93158082074	1.89776253438	0.448329887005	0.396085434903	-0.638964466208	-0.306542629729	-0.624207663282	2.65744405079	-2.49544958358	-3.77715696677	-0.119205606548	0.11090449127	-0.46737649927	-0.448960080889	-2.51318631592	0.387603893932	0.779797309007	1.30417036916	-1.58615428522	-0.75225515339	2.09136201295	2.20709194347	6.0822705882	4.27529665568	2.34555424842	8.75934387662	2.32183320128	5.68015013141	3.09152524988	6.51433257633	2.30451089641	9.47783198618	2.972569303	4.50784162377	8.38723127497	2.89256822763	8.26069658313	4.68966855036	3.23689612829	5.74377912497	-0.446386521122	5.22632044794	4.48937682261	105464.328118	100000.0	False	
5.65592082405	0.142632930758	3.14214345191	-0.310819261672	2.61773411158	-3.21399109754	-0.302555943377	2.07173945504	1.76807039663	-4.95231037658	-2.6699816068	1.85456994834	-0.759935682252	2.38545409383	0.539634638863	-4.10412122724	0.542825728726	1.46381925965	5.76675636429	-0.340694762695	-1.68082500944	1.2816765355	3.8584989802	6.91625255647	4.49520280789	3.89580755575	7.21202056101	4.26192025967	4.60592172576	5.47162811256	4.0761178698	2.23523888922	8.85152162061	2.44920143845	4.81068282742	8.315635948	2.91606528038	9.05350947956	6.34691951987	1.66658968126	5.2632835293	1.26745422063	3.36299435659	3.26630773214	18773.2602593	100000.0	False	
7.48788134458	-0.68475654538	3.07888698869	-0.708340583881	3.9764481266	-4.21982325749	0.716627976202	3.5572302335	3.1503028015	-4.60983883835	-3.75444681759	1.83825220791	-1.49690151178	2.07109842094	1.82400588335	-4.70268066041	0.45201643973	0.369311307559	5.9537104027	0.55567246524	-1.97897338908	0.0402317281604	5.27902416001	5.64576687672	4.61187590017	1.99919313237	6.82357733441	4.84165329986	3.69114772306	5.98206000195	5.38386759387	1.03542431227	9.07291886084	0.606632773791	2.52781772291	9.7874153205	2.68332957296	7.56718012259	5.98423997578	3.08125453619	5.85986225971	2.69581741338	2.89942633837	3.89926941046	110675.567794	100000.0	False	
5.77060441978	-1.35031161143	3.28317613134	-3.76307701243	4.11255659803	-4.19261003559	-2.89244164951	5.64337583502	6.25632469439	-5.53925875506	-4.32109983219	2.30751132401	-2.95723143421	4.55246390512	1.48792782205	-5.19537950187	-1.30393636812	2.29289084506	8.0748304948	0.825679626352	-1.25502516126	0.710114818721	6.27933976767	7.541377014	7.09413037206	0.188931926947	5.37385350408	5.22236994133	0.639677055267	5.96638787734	5.37942201357	2.47240901978	9.72848998128	1.44864041965	4.34634350376	9.339026236	0.0103019995005	8.98128729894	5.00470610431	2.87198450087	8.34162794753	2.91266365977	4.16754215475	5.95002513791	103741.692275	100000.0	False	
4.64162167455	-1.45424131688	1.52754766485	-4.08846295124	3.10314263474	-4.58901609889	-3.12246851926	6.41886303362	5.42987421157	-7.41545049877	-4.11511236387	-1.61131567465	-3.10648800594	6.92268933804	2.71232037648	-3.14105467748	-1.82218584508	1.41326251608	6.14446133648	-0.128157930649	-2.5086297116	0.940086181686	9.04819178068	5.90813559903	6.47882085724	0.578374513858	5.52706364992	8.02746084304	1.78197105762	4.35302091751	4.05908850322	2.70786249126	7.39461657642	1.62036194606	2.21671679586	7.19553111468	1.08191324782	9.01696220321	7.60675021665	3.37407126429	9.13146628852	5.36453086661	5.73026460721	5.23651570548	93605.0470221	100000.0	True	
5.35358763482	-0.701794244237	0.411181519725	-3.25212654938	4.3586751233	-3.43530278936	-1.80104745929	5.9611723846	5.3231435847	-6.74388572448	-3.21373946668	-1.37904393835	-2.15696096952	7.6793952838	3.6120994833	-3.88452668872	-2.6855642213	0.902036389447	6.23174477896	-0.151733497567	-2.97066233554	2.21217707369	8.71289746995	6.32822649794	5.7044982659	0.189962922773	6.14520147883	8.19219745568	2.95934051704	3.03813177926	3.58690184653	3.62108820141	6.49253134175	1.08057323088	1.0872351477	6.13114137647	1.61174665751	8.21190974159	6.88899540426	2.13099278612	8.84553996802	4.8089571638	5.17038198942	4.80790145024	57442.9899777	90000.0	False	
5.45276182203	-2.09863129372	-0.548444346646	-4.96110254205	4.82385269472	-3.13199773232	-1.15640020353	4.6935931195	5.11152480899	-6.94900262964	-1.86907246164	-0.521280246507	-2.56222412902	7.09788166983	4.22097606208	-5.25389789719	-2.79013588945	2.33765100448	5.44761533038	0.753183002115	-2.25704750934	2.9505127694	9.18745835878	5.94650381844	4.97636993043	1.38701913534	7.0290098392	9.36043685346	1.24196847302	2.90989523849	3.41921315045	3.10325292949	7.57771833938	1.91543999697	1.1631745235	5.72061666982	0.170071342609	8.48325745669	7.19232818968	3.27157358285	8.07054328529	5.42275266271	4.29865170014	4.24479606947	51271.236958	90000.0	False	
3.86265383131	-1.16859830968	1.09727755335	-3.82008204742	7.37229141391	-4.88266934011	-1.8268171102	3.81896595946	3.3874279099	-8.16279773018	-3.9872483109	-1.4988479783	-1.06251596915	7.69629979068	4.89967388128	-4.4374570114	-4.63806920155	0.508128940606	3.64140670095	1.03875851127	-2.67250787136	2.82259730419	8.10849432266	5.5798452408	4.29300412625	0.98351254514	7.23288798889	8.52127753605	1.32028766987	0.676524895868	3.47470538116	5.77451526282	5.22961049506	1.83452829468	2.49112274757	4.9255533789	2.61376096229	9.51133468331	7.05997145898	1.05387074661	6.3845505534	2.70212184957	5.80088539618	4.38544516291	29989.8388719	90000.0	False	
3.16017533988	-2.7034244723	1.84437486708	-3.6839254847	7.40385397325	-4.85076263522	-1.37401245554	5.06612637175	2.61030615358	-8.6857170432	-4.83762710092	-0.959458729326	0.547117780994	7.40289123447	5.00577873238	-5.0227022772	-4.34803990783	0.698860108569	3.06304631196	2.06021280827	-4.16394929803	2.93270974007	9.24437289227	7.15061861405	2.86285145747	1.96961090091	7.62954446403	8.47761301242	1.52380308676	0.188043186688	4.11386959244	6.89889102185	3.83123016478	0.652412351534	1.11194926792	4.52869186854	1.56568180812	8.75309905599	6.59746947373	0.0325751806524	5.59526590093	1.47786449144	5.77043526339	5.48064018158	33276.640816	90000.0	True	
1.92328540827	-3.51097674303	1.13178549332	-3.70585214175	6.62457261462	-4.7558264705	-0.338899109155	5.01992734028	3.29809108782	-7.7970510679	-5.23041158288	-1.36226211398	1.56066782079	5.75023608662	1.70440160157	-4.80657862803	-2.27146775655	0.389062780763	2.74904392961	1.66795490026	-4.22945336897	3.78989172	8.64652801117	7.42412233863	2.97141935721	2.54921391272	5.93317544387	7.63109944774	0.583532017786	0.161922908638	2.69801905048	7.65264371348	7.42989186004	0.789213298271	0.209501655006	3.33450326656	3.07348317341	9.38451170845	7.8619935503	0.62362226402	7.93598375253	1.08745127018	5.38369337514	5.74999646498	74616.1072222	81000.0	False	
2.21675814793	-3.97851422686	0.118177326237	-2.08173621899	4.22338718153	-5.10916334846	0.95330070304	3.31524243408	3.47514793185	-5.96014531356	-5.46129743763	-2.11238530445	2.61851962418	5.06899180823	-0.558754412379	-4.34833601013	-1.39262769745	0.592392985756	2.54336603916	3.19583047734	-4.3213150194	3.42699639288	9.29543313964	6.92531850405	3.95968814941	2.34979800784	5.22096183807	9.66043324514	2.08014683728	0.513815457595	0.793816973436	7.20612298036	7.70981745696	1.63909421489	2.16490848591	4.98609860159	3.23618296868	8.76352925846	8.04584950747	1.53857494901	7.57756420555	0.905403888016	5.56764016144	4.30968976	48202.5325801	81000.0	True	
