Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Potential	Equilibruim
5.61912382697	-1.63536049138	-1.79587298601	-5.90708773886	4.19618678916	-2.16158591429	-5.76484052296	1.46100935618	-4.21850329727	0.3359244293	-0.00962881172204	2.42376899703	1.21469258579	-2.47518607653	-3.57671391981	8.08641200894	3.22107934648	8.22791878301	-1.89093797991	1.20461315479	0.89152083307	6.57052961674	6.3569563334	8.38037743318	3.19765861878	6.74719688409	1.18934178817	6.82579319748	2.9845403573	1.17538135493	3.03143820577	8.18372514993	2.01623050808	3.77102124572	4.17936376375	39063270.9478	False	
4.83318627774	-4.92354279123	-0.163167009798	-9.89543293099	5.04969415165	-4.44665195474	-6.90387364846	-0.331837269726	-6.33645725379	-1.33769224714	-1.49871453479	0.340262383775	4.65253802806	-6.13559162139	-1.51485534853	5.49011364607	2.79158586184	8.80600449192	-1.33612828172	5.15741908045	4.31138645562	9.57441481054	2.45510688779	6.23242762837	2.20627494896	8.12640627282	3.08333690038	3.63772672574	1.15538815957	0.402204619991	3.65768858928	9.45475140928	0.445781408825	3.79550032337	3.53837264241	38110226.2907	False	
6.93502673424	-2.4685566922	-0.0430987322484	-9.97140201634	0.695589784083	-2.71125244149	-1.25392731759	-6.02473650901	-5.82114930953	-1.54926023744	-5.58960020835	-5.4044582542	-1.20959229454	-4.09083330524	-0.144928892523	5.95439576913	0.985484888039	5.94755119328	-5.66907790247	8.94733831965	4.97639585192	7.99301047453	5.98561116667	7.63392527745	1.70754618337	7.22493217687	4.54789441264	5.40049049817	0.302362811873	0.249215655273	7.02037304882	9.18505945827	2.96658791431	3.98419457636	4.983183967	36537804.7521	False	
9.5423151109	-2.93179775108	-3.11832593005	-8.40302230965	0.981635334795	-4.38144796872	-6.32539969671	-9.07232839584	-1.5663289103	-2.3297866505	-3.57328871299	-6.13166645594	-2.46439552347	-7.72989319315	1.57955454131	5.36841068854	-0.459912942788	4.36202530972	-3.41052965035	7.07127117898	5.90333233246	7.26061555954	6.75907223337	7.71831603544	0.417593124544	9.2258656543	4.48327547904	7.6126657535	1.75102356599	2.7068964822	0.897143858755	7.85048972368	5.4555084651	3.90809551175	3.87217030764	37004846.7233	False	
4.36945063724	-1.02143721963	1.37923212076	-7.72371226787	2.79092353952	-8.69970994758	-0.977513265075	-5.64883663865	-2.21924843221	-3.16776024568	-7.33551084814	-8.6274108619	-2.49729933807	-9.83705248221	3.20950455703	7.22849672223	-3.4205915696	3.09857815969	0.822180184365	7.86596891934	7.94318027707	8.12757364554	4.21930052675	7.57717248699	5.23685889998	8.48983458682	0.86463206981	6.28374071589	1.28360904178	5.43602473315	6.3461573423	5.96290960532	2.74730947054	3.56834915432	3.83333990977	41192266.0794	False	
3.59883385876	0.430765078739	1.21265802737	-7.77558422663	-0.718414467432	-8.05579663026	-2.33274234496	-7.37611298319	-6.2808241255	-2.66683174606	-6.89404286161	-6.14773941739	-5.84688058536	-8.876820683	1.62857396548	7.32873819842	-0.723251649028	0.451414786882	-1.92154757999	6.95464540564	7.17001969144	8.36545126335	5.39857035043	8.45657296971	6.72080816596	8.60081228161	2.84154297988	7.58194110103	1.18705589414	7.10133488819	5.95885220228	4.34051878302	4.3509106923	3.79230245014	3.83236256255	38134578.7799	False	
0.574051405932	1.07662503605	3.82560463263	-4.98574860647	-3.06170843585	-6.5058151553	-3.71072317891	-8.80777043438	-5.41082776382	1.27052774017	-6.29379967349	-6.56499510871	-5.66531829065	-7.68733654479	6.30072383768	5.95427391002	-1.12758959469	-0.820176517993	-3.87086024735	5.95825018189	8.97074013144	7.10434927127	8.7093244737	8.75353421367	7.75584198979	5.94180181844	3.72747008617	8.94715369124	2.42555003717	8.88670471427	5.25733414878	2.08432732216	3.68716529155	3.81851748876	5.22544072085	37832417.6741	False	
1.07670948579	-0.335233212774	5.73545866452	-4.23169989068	1.90274797241	-8.64987680732	-4.30166381892	-7.125693204	-4.57525326068	4.32201422849	-6.03256624563	-9.12451968272	-4.55435078516	-6.84910242612	6.04287411548	6.90042673192	-1.78692385719	-2.80966930702	0.346751830895	5.78750426821	9.00540838985	4.96153910981	7.44409721134	8.99012378256	7.97039541385	8.34026217127	2.81017706925	8.50965229807	2.12351833094	7.71376186067	5.9786048447	1.87683412337	2.05985936233	3.90093902566	5.06009954953	36920644.3612	False	
1.02278374834	-0.64291949185	6.40815873076	-6.09664076006	1.12146046344	-4.08339343049	-3.71006336007	-2.23983837568	-2.98436188238	8.20835984185	-5.20803536185	-9.69033266997	-6.52119764091	-7.38532746855	6.26881429323	7.89942270719	-3.91925804108	-1.20408517298	-0.357314148305	5.81666284639	6.2186813924	5.2988223728	7.56405934112	3.20430231836	8.29323972681	7.56838507323	7.18257445623	9.93049681843	4.76058625529	8.29238112917	8.46348776448	2.29200354809	4.47743988697	3.83049910687	5.65005120702	37621221.3855	False	
1.60830048189	-1.28426072571	7.04190082955	-2.85574777504	-0.535125051993	-3.75501917404	-9.37311171999	-4.62672259433	-4.2597164832	8.20920923415	-6.8177186502	-7.9013815611	-8.7972833848	-4.55699139966	3.91790822418	9.39783807572	-4.85862717343	-2.6293523543	0.443641036998	4.8054979103	6.18694200701	6.36074602391	8.01801825584	1.9832765194	7.55681891197	8.30952983577	7.17598691251	8.80328048309	1.20629674954	5.35506311111	9.1554722073	1.13017167886	1.93919223088	3.88862839415	3.82199308507	36641119.1961	False	
4.12256765204	0.198861934217	8.14419818973	-1.48372145227	-3.6735642361	-4.96728582601	-9.63864094318	-6.89255261667	-4.2299141291	9.19235934415	-5.94642947254	-7.55480599616	-8.6378866175	-4.54582630918	4.75456335711	6.59522932802	-5.37901849946	-2.92554633552	-1.04177612565	4.48555168872	4.84889676418	9.13757306973	9.90024049037	1.59764552655	7.2663567541	7.17217200426	4.32268450745	9.5026700656	0.969157892544	4.03617361376	9.11856675946	4.19470544394	1.45768772409	3.86492096111	3.57742464026	40516557.5803	False	
4.39958669567	-1.58657936031	6.9904324478	-1.17293743671	-3.05222952107	-2.16240530637	-9.42414495982	-6.23197967667	-3.27645101512	9.99254037948	-7.85326408775	-7.64270082582	-8.5842561881	-4.07708943918	7.67798540756	7.92846505684	-5.71071775547	-5.91376727923	0.183572998469	1.58091269672	0.623217860763	8.76272539117	9.21199661496	1.07178906301	7.59238713598	5.0732250377	3.77516226263	8.50643088916	0.174925122116	0.770991306031	7.39245270857	3.9833102809	1.10592305413	3.53349540499	4.42307918921	40747915.8758	False	
4.76720983525	-3.80970709011	7.82049240668	-3.07108958668	-3.61440805061	-3.98434106969	-9.53418813106	-5.43283303933	-2.34561466544	7.23313459871	-7.1175812886	-5.91252028165	-9.65341465543	-2.07224185474	9.92493563946	8.96678338962	-5.83296886031	-4.22118387073	1.19703211095	1.65252490416	0.79790201719	7.88672655133	9.06403456253	0.835960791695	9.65217429846	8.37259416874	5.70088534029	8.90848510296	1.90073108795	1.12596203259	6.90093358937	3.88896037608	2.84927106424	3.88402972963	3.9521092105	39135994.5572	False	
7.52180981454	-3.79154492197	9.31136312835	-3.76036231473	-3.79274499237	-1.47837521197	-9.99968077341	-4.53927371287	-3.00491229135	6.48280094206	-7.0833015136	-6.20414251399	-9.15951436299	-2.26601214505	9.97996387945	9.73520960039	-6.0539334289	-3.57323838399	0.309936148326	2.11191402254	1.1768695547	9.29858745394	8.18073824719	0.260340084217	8.77692460339	9.82244813329	5.81364532638	9.4536689956	2.37559476771	2.54196642949	7.30334299828	0.992426128291	1.06112559125	3.82352270129	3.36781405981	39291114.5601	False	
9.08125531866	-3.53810968574	9.7812715206	-5.44744633775	-2.50140719221	-1.26251389706	-9.77269410542	-4.73409549855	-4.7840838059	4.6174200471	-7.21253134929	-8.89768896458	-9.17138633512	-1.67137984533	8.97517450645	7.63615250943	-5.5279672027	-3.77681135279	-0.557397714439	2.93216658647	0.424389535627	9.80479478875	8.50073275766	0.262299695418	9.06458629777	9.7546106344	5.03415896854	8.2106631343	1.80690013153	2.10548885941	8.94138622452	1.13752962577	1.92791086787	3.96227902055	4.17661715323	36548799.4458	False	
7.77871290861	-5.72087990125	9.47333846181	-2.34265279968	-3.1432209706	-0.850009637091	-7.2624226054	-4.20102519255	-4.94577014141	3.48162103826	-5.93088430413	-9.93600884223	-8.74213052958	-0.982951977625	8.27086128874	9.6475630632	-6.65508271209	-3.65347059392	-0.286268178587	1.68984324447	0.498656057071	9.87818054365	6.70525761454	0.44072021685	8.01128028462	8.91131683262	2.85916347803	8.83762774438	0.887626613956	0.913756119591	9.40986613632	0.633376136541	1.47460977444	3.86959317531	3.17938699977	37965601.4758	False	
6.28236211824	-5.60550189901	9.53942449042	-1.76311655812	-2.7913158441	-1.96169405385	-7.07774563375	-5.34245029277	-5.35024575393	3.57151749168	-5.77241513484	-7.45101559126	-9.71838634998	-1.4385250287	8.75256369707	9.19701781338	-7.65287475073	-3.78253074564	-0.18778539131	1.64995198613	0.575566342479	9.04364915029	6.51705065909	0.983084759423	7.97104384562	9.66632164268	2.16991279179	9.39887557944	0.478248047654	1.50689817065	9.1037531719	1.18803289567	2.34446083461	3.85421727663	4.04526196293	37840320.6126	False	
6.67863062468	-6.89822251372	9.14270041972	-1.94083957336	-3.41578403635	-2.14079372205	-6.16616268216	-6.45423492035	-5.39749919737	3.98869089463	-5.62139907307	-8.50086768947	-9.89328984407	-1.02357468222	8.22545592511	7.76956348411	-8.4500936205	-4.66375989068	-0.536852825699	2.19233064618	0.552682686245	8.58003833218	7.17034546802	0.670016506041	7.58069053719	8.11296270925	2.00578508715	9.9056831541	0.108147856567	2.05020667399	9.54002480719	0.446795321327	2.97584103142	3.85663337317	4.040431754	38472747.9965	False	
7.4511439998	-7.56809187763	8.15997039807	-3.34630839244	-3.44314754633	-1.24902705324	-7.78384308756	-6.90544971599	-6.07966290368	2.26975497958	-5.06085559565	-8.10390095195	-9.34940772655	-1.06638395747	9.85508651484	8.55693988122	-7.77848561192	-4.9704877902	-1.55222526931	2.02276714061	1.83056041136	9.54276819567	6.40652428986	0.309463404096	8.27472283931	8.19092658321	2.5258984319	9.82610398689	0.989650320718	2.9501716824	8.62883465226	0.552678122074	2.41990051553	3.79256242498	4.51280885428	39063960.6822	False	
7.95339227493	-8.50944222162	8.71963160846	-3.35097865013	-6.26620713693	-2.13931636746	-7.14404271388	-6.65165328298	-5.64311290253	2.8875775622	-5.25693853275	-6.62971257733	-8.91493129026	-0.308975268884	9.91920492119	7.99514248804	-7.41031686039	-5.22625699257	-2.42567814084	2.56939517775	1.75992387257	9.67051618372	7.54958025756	1.57608159424	8.62092843346	8.2728611687	2.64566835381	9.3480327253	1.72677705426	5.0600061789	8.88895933473	0.730580092545	2.97951637607	3.88814483971	4.54268843732	38547885.7444	False	
8.95477206761	-8.12143334605	9.97761271322	-3.89184146175	-7.50419646671	-2.45044871302	-6.71861292468	-6.72119873273	-4.73600149956	3.42632405306	-6.07585247431	-5.64728769912	-8.75676642552	0.616529889471	9.23199357534	8.32676568281	-6.63179930331	-4.03868556881	-3.13033100744	2.48720902287	2.70495540437	9.84681303049	7.65760225697	1.86815376952	9.7769325375	8.85714768018	1.90861222845	9.73527624503	1.7809771259	6.37258692488	9.67525232443	0.515647499698	2.06780622159	3.83406483691	3.30409376195	38127732.3743	False	
9.43808035845	-7.20445013107	8.72111719615	-4.94244264826	-7.2182205898	-3.10788285618	-7.13334011679	-5.99371616313	-4.85475998684	3.51101887896	-6.00371015935	-4.41467865147	-8.85956364929	0.916522530314	9.69235810239	9.08043340586	-7.62967139036	-2.828184158	-3.47458016528	2.13455954366	2.77721590201	9.65804577432	8.32928201969	1.43635682858	9.70718617758	8.39687412333	2.57448191305	9.64656463731	1.71139686979	5.72741416099	9.91242687228	0.390529115216	1.90411140157	3.68310350939	3.22772872679	39987734.2043	False	
9.85965617555	-8.86698799635	8.40314453025	-5.19721762637	-6.89738578256	-2.43498989449	-6.76286296627	-5.96862575037	-4.16123609644	3.52684931704	-6.57465807307	-4.22356711594	-9.0219663385	0.705861664396	9.06980610245	8.90944340716	-7.13075627167	-3.83234240578	-3.51154991223	2.56397945524	2.36681703989	8.60314968198	8.08106149873	1.27480173964	8.2180736458	8.50478874331	2.43812400755	8.28696368922	2.19384578371	5.45463518008	9.83174090468	0.54902986372	1.25851109498	3.82790562601	3.86059766821	38105244.4471	False	
9.98476883407	-8.21162444775	8.42965717434	-5.90189981467	-6.60758187485	-1.88908190952	-6.49402614705	-6.61149448411	-4.20481860761	3.19419080034	-7.06519583202	-3.24892398413	-8.48906258571	-0.771243332779	9.09718232718	9.36022157698	-6.73731687163	-2.85077132602	-3.46550686392	2.24692062343	3.28905374943	8.92741804541	9.08699134447	0.960898917164	8.38464430962	9.54091098113	1.96772078723	9.10357222539	2.63197244428	4.73801137737	9.91753386838	0.118141904357	0.630898157405	3.76362972715	4.95072009302	38598719.8237	False	
9.43570493545	-8.81417877075	7.9610068309	-5.06596260178	-5.80260193233	-1.42245533727	-6.78204728081	-6.13900760759	-3.53030011273	2.55453524495	-7.68938104513	-3.11352643909	-8.98018143977	-0.816319506326	8.98255741822	9.2388288062	-6.60141836955	-3.10849536665	-3.59728631745	2.19616345482	4.23257702986	9.84140899499	8.69720933157	0.36588012029	8.72138348942	9.63096112898	1.72595221862	8.94776725263	2.76640673172	4.38511565067	9.17601201296	0.78368119275	1.42255695519	3.75278611362	4.87480386379	39719691.56	False	
9.42846711525	-8.41090223732	7.74597307847	-5.35341384874	-6.26547280594	-1.51136006796	-5.98693495367	-5.80296681473	-3.5241919247	2.56978917945	-7.56631347307	-1.95420554472	-9.1112996567	0.139120479139	9.06792420981	9.39524829072	-6.0118477348	-2.15878546471	-3.64089657781	3.19933756929	4.157791611	9.75062504596	8.29735430488	0.577033685491	9.13363836448	9.57696908035	1.33485916367	9.76309992851	2.30759242032	4.92172604001	8.09769662984	0.104954155639	1.96991790056	3.97734065022	5.66038990482	37036873.6795	False	
