Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Potential	Temperature	Equilibruim
2.33067071934	4.8254771817	3.0967476543	6.34377596098	2.59252476352	4.11310610011	-1.01726923301	1.47931048218	3.42986269898	-6.73192371231	8.05435038971	2.64659592367	-2.88831305583	6.62584884859	5.06014186121	1.57586578921	5.9402723932	-7.77733722984	7.03283340152	0.385081575843	1.81321907173	5535.40106773	7781.2273803	False	
-4.10119331296	0.14750454442	7.30224181927	4.03670097253	-3.78351836161	6.01541888009	6.45506072614	2.82463994717	7.15559113357	4.29976210275	6.61399642648	-4.46109093818	4.81841172769	-3.70943021991	1.42980815639	7.5325790887	9.72848461552	-3.01880601288	4.73818459499	-8.29254496047	2.76872977946	5495.67296387	7781.2273803	True	
3.41330590246	0.680433382486	8.69819374532	2.26288214755	-1.27357582396	9.48705866743	-5.62154505844	-0.855373601414	4.04395488178	-1.85591863386	8.67862984287	-4.8998337414	0.185702049658	5.06301553813	-5.71310351954	-1.38756768081	1.47008512659	6.44904737477	2.15049160575	1.673098525	3.04691732455	6632.85661311	7392.16601129	False	
-2.19789969598	8.20915377247	1.22016470125	4.70368792042	-7.14118928584	8.46738550085	-6.27730145518	8.43024083583	2.84517545519	1.37829567548	0.0254400889932	6.38193781854	-4.96150542181	3.70400598642	7.07298847928	-1.31360475293	1.9184878087	-6.25548388867	3.87679693599	0.637360118587	0.941836201635	3490.05646363	7392.16601129	False	
3.77797833904	3.78236001873	-4.96678896771	2.43194252422	6.22430296025	9.53816028796	-5.57850124762	0.210139652419	7.64094503684	6.78599774103	9.07542111953	9.92062511608	-1.06693839092	4.91902746845	-0.599937904056	1.38247006861	0.528226060051	-1.47576111281	-5.6671246556	6.98229584228	2.03825953888	3622.74500398	7392.16601129	True	
1.5980020984	6.4173719287	-1.77549402186	-5.85201701804	5.78649991144	9.17570146583	4.59584503513	-2.78786121693	6.73709856106	8.36625563078	3.86444752155	-4.64812817049	-0.190278084906	7.9406558375	-5.49594679708	2.81079819453	-1.51278749878	4.72547879654	8.37680268142	-1.75929463398	3.67253319116	3499.01072184	7022.55771072	True	
8.5759600874	5.46019771198	-2.51617756536	9.54362287397	-6.87373408901	3.77425416849	-0.477762297667	-0.452838407075	-1.34306365551	0.995312750586	5.15159125716	8.87908598727	7.21815293264	4.57795940958	9.23910991503	2.14471266255	-2.63388180353	8.49631688757	-6.58512379354	4.85582973369	2.8364877604	6859.68589083	6671.42982518	True	
9.30817234969	6.86485682328	0.584039896589	4.53906995556	-3.28755230221	7.09291313531	-1.59950913017	4.76575385564	2.9847017274	0.345342078134	1.29189289745	0.885279457517	8.49116481212	-2.20444441928	5.29617384641	-7.63095804131	4.69645493054	-0.779555007846	4.48191129392	1.33420257007	-0.623316811968	6964.58961942	6337.85833393	True	
-6.98313910296	2.48118502833	9.75129188368	6.09800721298	-1.12094229656	-6.43178639193	6.36004017276	8.77695252527	-5.25789643918	9.40914379646	1.20330567552	8.28288391861	-3.7520269892	5.35286153263	1.19648585084	4.36640219239	-2.04901246392	7.87718127388	0.448232197151	-4.58997569747	2.96633677821	4601.08674772	6020.96541723	True	
8.85123432122	4.85092568143	-2.68627421704	4.1853136059	-4.08945463895	3.2297688124	5.21176256952	6.47601719109	-5.32631881966	7.36659365543	-0.00736414267015	7.69432550506	6.93570741964	-6.42279480693	7.75372472261	0.58698750926	-7.06142128596	3.97068320287	7.88621105219	-1.70804086483	3.66057443357	4395.49150064	5719.91714637	True	
