Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Parameter 39	Parameter 40	Parameter 41	Potential	Equilibruim
4.79505518779	-8.89304409305	-6.03433905509	-3.96105710058	-1.29166749244	3.71051488716	1.99591843409	-0.751737141961	5.811528861	-5.29033753085	-6.31603589909	-5.55205924644	-5.90978000733	-7.12700299994	-6.13084786208	0.35154235064	-1.74100280022	2.50845052128	6.98530751679	5.84531758544	3.9774343718	6.49446857625	0.255622589552	-7.67624101108	7.20132095595	-7.8429296577	-2.59670181307	-7.01860783991	-4.80834048867	1.85850794288	-2.0243544791	6.69633536982	1.18528485179	5.54916563429	-8.67478360957	-9.01347991085	-5.58634926574	-6.7582325769	3.77816151384	-8.04630722129	3.51198007102	895553.28949	False	
4.28420975731	-3.74658249819	-2.63270621517	-9.64556090729	4.60519655268	8.60894810771	-4.05723017263	-4.12437228886	6.63699699041	6.77106716064	3.87043843056	-4.8255735978	-2.09259586464	-4.40302300523	4.08776267028	-8.86123436961	-3.22203634886	-0.968677168766	-4.51550855871	-6.24503553315	4.61216628749	6.59653200812	8.58503470925	-1.65152589195	0.0832530700229	2.87611382155	0.61451289766	-5.23943105645	-9.27389576792	6.66650466011	6.51918502277	0.747845548799	2.301462239	9.09031272769	5.10155346906	3.40428055276	6.58552172622	-2.75133369269	-3.7401103258	2.42347973382	-1.45700717394	955404.31115	True	
5.00452240267	-9.4240979919	-1.80007484651	-5.58117734331	5.30245225453	-8.95566587367	-2.782077952	-4.91128671348	6.23810604014	-0.0919528124475	3.76090139299	-0.842885090737	8.44146942148	-2.96301476596	2.10530143622	-5.65775272826	2.6947361774	8.02963711663	-7.59388997763	4.12137617922	1.27640328393	-2.62634434208	1.69438749296	-0.289785378494	-0.371698094113	-5.00188298389	-0.87449371353	-4.7400910573	-5.46690165853	-9.11819685772	-0.104058319092	4.02807448775	-5.81219553552	1.04203611686	1.62727529461	1.6421225567	-6.36172527659	-8.50594563169	2.52653097721	-0.839470698654	6.30747636182	1075223.36315	False	
4.54631093467	-8.55108144814	6.72130975456	-6.84562435535	6.09533954566	-5.38039484361	-4.60965242704	-8.08204949448	6.9856175723	-2.03781958511	8.68354065365	-6.95348169021	-0.577027106206	4.92716130778	-3.85590214704	-9.93859709052	8.74655923982	2.84127117029	-2.46188172335	7.12230114041	7.59131193975	-1.15573194621	8.61739245876	4.14795146468	1.83541399731	4.84607899871	-7.53481309243	1.32819102408	-8.05163689925	5.04625423232	-5.53734707145	0.91751421355	-3.64798811307	-0.0118748343469	1.92652414101	-3.10307064741	7.05993735145	-5.54138942247	8.13910714962	-6.06252893248	-0.733913995512	987515.738849	True	
5.15483159756	-4.00815848036	-3.38859518606	3.16662821303	-7.58488252872	1.7522438313	5.98226386927	-1.03279161591	3.52247902543	6.85643012965	7.86903796559	-0.750965189019	-1.77055608875	0.00592152746605	3.8910519934	-6.63394587538	9.07723157084	6.6555840334	3.63622881276	2.19774676947	0.1553369939	5.66617070958	-0.886972344164	8.43368268968	2.66056186732	4.62440128985	3.74223295155	-2.81811963368	0.50599010956	1.70697200732	-2.93419208635	6.28357267789	-3.62875604368	-6.07698416431	-5.78879887658	4.6860369219	9.71579700874	8.16593057657	-3.20708625955	9.69866317906	7.6863755288	876945.192377	True	
5.52889424898	-2.35411632776	-8.51872954224	3.95376818581	2.04523531798	-8.16161316152	-4.63400748394	-5.38214667922	9.45405189541	2.64115692372	-7.97145963638	-8.8921770128	6.37655886681	5.77817180106	-2.35368591435	-8.84205578369	3.60049247407	-4.09816925828	7.05469186121	9.7410914824	4.20307374442	-4.41357119903	-1.47001380055	4.70502258342	7.21259476415	-0.851724306743	1.26542483379	-7.82342616357	-5.57114715604	2.04322203591	-0.910151146395	-1.7889827578	-8.62908038164	-7.62715482203	1.61653830611	8.31467443067	8.75263721253	-1.97452996452	-9.79938271332	9.5944218871	6.69751522187	2177956.17044	True	
4.54529604196	-8.80626294006	-4.64333228298	-2.09608482052	2.96930739571	-8.76744634764	-7.28886893191	0.233925734987	7.09489448539	1.4382305518	0.315910531409	-8.09683380462	-4.27786150345	-4.188437404	7.0960197464	8.71726082884	7.78814504281	-5.6817296336	-8.0017508581	-0.58015123655	8.08824399515	-4.65107696522	2.59715770611	-6.47822735581	-4.9414311205	-1.96259091702	-4.22313781391	-6.59072742189	4.78830992227	-6.9076003383	-3.28747922518	-0.69757610428	-5.26038312283	-4.57533050825	3.21584198471	3.0718303082	8.16131410329	-9.2233509838	4.73800481532	9.10383720934	-8.41448390796	824064.691884	True	
4.22621142674	-8.45148486725	1.34528046108	-5.94658033375	-5.52824528972	6.09908662569	-5.86157002364	8.40645856366	-5.88119922122	9.77313194199	9.00473840824	5.2888496947	8.45601955851	-7.95504398856	6.17803036237	2.15953670548	2.81723434043	-2.79191691002	9.77661546126	8.08335489816	7.96288193792	-4.00306035371	7.3595817026	9.43987346453	-1.12091999591	5.27108610918	-0.583237634161	1.14638575511	-0.79554004138	-2.66993475172	1.95988338056	-0.532735049074	-8.95609712902	5.38912836635	2.85587021526	4.65557237514	5.75915198929	-1.17836511933	-8.5517726712	-6.00095989055	1.4685204746	978228.816941	True	
5.20375591833	-9.82041379211	2.14756309839	-0.347847602804	1.38513645301	-5.83371311051	8.73729498489	3.24797368475	2.81637750566	7.6863918243	7.79558393246	1.58810359805	7.04213179064	-7.01611875206	7.75550030781	2.46869548915	-4.09520385391	-2.53655023712	3.71290655823	-6.86018769882	5.06201969435	-0.586703696381	9.56135285601	8.4383429065	0.102611506136	2.67778269976	4.69418427175	8.39940930402	4.95973710058	-7.43907743621	6.22416930496	0.0448629166053	-3.95223516887	6.9133471329	-5.01957977196	-8.86143380883	0.0500861235003	5.37517069703	7.38674147843	2.97965700356	-9.89075188379	849153.739112	True	
4.44315853578	-8.0970254207	-8.21669911061	7.81118536376	2.04608367267	-4.51943327488	-5.52648352094	-5.04819724412	1.36354958859	5.47092343783	8.40814361573	4.2729975583	3.53578528689	3.95072244803	2.39393774464	-7.03355031505	-4.89052072604	3.39314598164	1.34238217768	-9.03973318675	-5.8146976896	2.64102995062	-7.83339422306	6.55999879347	2.03851856348	8.88201195502	2.91105409708	-0.0195720496237	0.610716609108	-7.37552206613	9.18688338696	0.467374488258	8.7277842638	5.38696404974	-7.94558101899	-5.32182494909	-3.3376789374	7.88073192135	6.08808598163	-2.27695526547	-2.75669061421	1195632.97016	False	
4.85188211124	-6.30484870606	-2.00591631895	-4.78879585154	-4.12939842764	0.0590763703848	-9.01709866384	-5.07537224714	8.62763384064	-4.98208273203	6.62234723359	-5.5625834503	-0.734019194423	7.32202342996	-8.63620902796	-3.51837568366	-0.582774565244	7.41489903144	-2.25745323786	5.37457514489	-8.02304231618	2.94722231016	-3.33358355698	4.32163741791	-6.37839505251	-3.88960136019	1.90743450997	-6.59570084156	0.0641079903362	4.45283828782	5.90853538543	5.77520383092	2.24572875781	9.14813371434	8.304050812	-0.263085853718	-4.6522372467	-6.78012256579	7.84442433522	-0.380335443305	-0.820478642992	928998.411882	True	
4.70569168134	-8.67241870442	-6.83175615979	1.13090564286	-8.29959690687	-6.87851807708	-1.34167867875	-6.82261838357	3.41100282218	-7.22600565375	7.37920973451	1.93647579909	-6.12841893252	2.89066881635	-7.58662257133	-3.18192513084	2.88334421992	2.56327200688	0.928280082287	-9.27385750233	-4.43594468829	1.42219526581	-3.38170206526	3.40991780524	-0.249575124742	-5.15541353236	0.620348929954	-6.31103177131	-7.833242006	-3.86605190903	5.33933525998	-5.23711635065	-3.6145974586	7.51902338056	7.41717688311	6.37672972502	-8.71511949676	5.39800983645	7.09453504317	-7.48117255988	6.73886502996	847126.862987	True	
4.29659589208	-8.26316944217	-8.14916892449	4.51106496039	-8.97627375656	-5.63788012799	6.16403423604	-7.98476712704	9.19960793971	-7.48828054928	4.24970722977	8.50971060714	-2.38619086814	-6.25007504537	2.947401377	-2.62913640569	-0.808098027784	-5.83498568558	-1.70224245081	-8.47582335866	-8.60308048022	2.60312207675	2.45339652912	2.50653983378	7.89779261233	-8.73216400865	-5.49542167444	-2.6499164984	1.45411232476	-3.3572346593	-8.04525438925	2.67104354884	3.31616484543	-2.07037564474	7.75385186646	-0.541424020981	0.543004393739	1.90840379723	-2.08039038184	-4.70439362954	-9.40643574189	898539.243168	True	
4.69822000897	-9.67485034456	-9.20794450803	-3.77540230993	2.49328016494	-5.08091940058	-6.45580427785	-1.35520014244	2.05614608058	-6.93245961001	-6.9744352859	6.53428059019	0.503599714286	-4.04290322006	7.1384519106	1.05380961031	-5.12125359068	3.6617347522	-1.70376522729	-5.37639383883	-5.83190006107	-7.13096300215	-5.02887418078	-4.36381741829	8.4589814045	-0.207777676729	-2.78232738974	-9.35764580749	8.31510645894	-1.4780269345	5.31666689305	-5.47476984277	-2.58604760393	-5.14894779111	4.8536991797	-1.34075302655	6.10682112856	-2.16649993129	-0.233744812368	-5.64615302577	2.29248547793	851538.781717	True	
