Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Potential	Temperature	Equilibruim
2.13809759727	2.90454565864	0.405236543633	9.23510195497	7.54429524743	5.44992760138	2.48986918319	1.21212664429	9.2939124616	8.19376730159	9.64928046662	7.64974948104	9.88582402225	6.43309277876	9.30363674471	6.08327942779	9.94578642213	6.02344968214	9.94268994664	3.30413675276	2.18399807674	5.67177293803	-2.02269369093	2.11507323891	0.883908165086	107881.361654	38554.328943	False	
3.30198298692	2.61715196456	9.97852201043	6.50253665692	1.48313741595	4.23513136835	0.580102276618	8.97747070308	9.32467993556	8.11250220368	7.7560205144	2.77867291471	4.09971463952	4.87585688877	4.35267469697	1.73694430652	8.88360559632	7.168538348	0.103570028919	5.67904461541	1.65545617699	9.78430808807	-2.77155285427	2.19346291173	2.81237133165	22981.4626724	38554.328943	True	
1.94939825193	2.83684813825	2.45668092473	5.16287831099	4.55898497496	9.34130988977	4.00357816087	6.50247626936	4.42214546228	3.61671577577	4.98642767296	4.3214741906	9.44433792021	0.639997059516	3.23818835575	2.99472575097	6.98041856738	6.60322156313	5.39066012002	9.72426026051	8.28689640261	8.28473017335	-1.42718301637	1.85952988407	-0.556121003838	178025.691613	38168.7856535	True	
1.67749586743	1.24668321216	7.77025420187	1.37676314205	6.29242084055	0.477125706162	7.47317628561	0.440428007775	5.44073515705	5.96849248832	5.82414060351	7.36370035571	7.55700020603	6.35961220726	7.43644045597	7.90395453163	9.12701053328	7.55323859723	1.28481159819	6.89605138773	8.5401483753	9.89835134294	-2.33424498834	1.67198324884	1.77570027839	35256.7603625	37787.097797	True	
0.830514924563	0.615061475364	5.19848672046	8.23264206652	2.70500613844	0.785459872995	2.20300353889	1.33773799169	8.61853328563	3.49555885687	1.14425183014	3.02337511355	3.97003220203	7.15431183155	6.08595340062	1.97697627082	4.50872522489	8.77379009782	3.80306023032	7.58183254823	6.39031599865	3.16369368671	-2.84810691966	1.85750145562	2.65852376301	44531.3620551	37409.226819	True	
3.19386042606	4.47761746082	7.31861463434	1.92299841476	3.65685998579	8.71171647623	6.34256393119	2.04440075667	6.22555942853	6.58040094605	2.7393927118	0.328828773141	7.49928105208	7.64069289091	7.19264559864	6.08775415023	5.0854914443	2.33811185661	4.12410862363	8.51871784766	5.23799973418	2.12064462569	-2.48259201772	2.96450880883	1.69042683223	33059.8398151	37035.1345508	True	
5.81908157961	0.971570154135	1.37941024044	4.64226594552	3.80465248307	2.88238867008	6.89059463948	6.68522357321	4.94518206379	1.50464624436	8.53340861063	1.41191782278	4.53001052191	9.14187437248	8.91793077962	1.66122003247	4.73770151585	9.85084602205	7.06650863346	1.59230579832	3.74081399738	8.56768304273	4.86919946814	2.05369724279	-0.0192804969103	123950.149352	36664.7832053	False	
6.5297474746	1.96915576556	5.89671338211	0.446717254147	8.73523825968	6.45594631008	6.12625500562	8.94879289457	3.91316555641	4.32558514316	4.62453625391	7.5946182578	9.72692514421	4.17816455569	1.25187841678	8.10620149357	9.35298699224	5.01839695587	9.28513830492	2.7683522044	5.33754568246	2.57754672485	-1.65173806388	2.53839092894	1.10026174785	112820.988914	36664.7832053	True	
1.17450178452	4.46502054965	2.82717714341	7.3006160757	6.58741283655	6.23914644143	9.31617523955	3.92636570107	9.39016816783	6.28879267191	7.81242034865	3.80358040922	7.89433872377	6.47271035946	9.7488604498	6.11014668216	6.07340248827	4.78126422739	1.96713609176	4.61290612023	0.46711598904	1.07436254404	-2.4931679872	2.79869019996	1.55982565344	13594.0499304	36298.1353733	True	
3.03332307078	2.12642194283	5.02029686206	0.684640610991	3.0521562835	0.508949245165	8.68825301589	2.03121195085	4.4536948628	6.75606536997	6.9635685234	5.62456088706	3.69858087955	7.28465351611	1.54075669587	7.97001481582	1.08599112867	7.83451284785	2.96634330847	9.62172663022	2.78887786102	6.24810709196	-2.9909732013	2.05195143436	1.73878073047	30168.8593602	35935.1540195	True	
7.04877835094	0.692412702281	5.12714095798	6.5102188888	2.28683726108	5.53859631269	1.84467782781	7.08419841151	2.75537301976	5.85202112516	9.31411213969	9.95174247083	7.25276075431	4.14502730648	1.35443294165	0.449444092914	7.80109802986	2.3311575873	2.17020582952	8.00698367462	4.65341497329	2.46114010193	1.00376130184	2.37428350391	2.43538729479	121837.718087	35575.8024793	True	
4.36082831325	1.95926412532	6.58565792771	8.18163814449	7.98723387519	1.18974836446	3.2492238263	1.27468179821	7.33391290825	0.313359138041	6.21674009317	2.84585678535	6.80025069411	8.38374213033	7.99824841509	8.16838046503	8.85646463654	7.79114258174	6.25676048832	1.25456881357	5.24850177261	0.377062799097	-1.67734705416	1.61465641005	1.65832194269	115902.654885	35220.0444545	True	
6.59125407942	1.08034781401	2.68668728214	9.27368184769	1.77193765116	1.67158101122	6.73783467273	0.701817268027	2.01188293736	2.7587704753	7.55484429891	6.27952973927	9.07503929254	4.16869627933	2.4397343535	6.19501815658	2.20240058199	2.04346702349	5.87917528213	6.27394071085	7.70183037004	1.2023454462	-1.99448061661	2.93129804972	0.548491079368	48229.2986538	34867.84401	True	
8.02608871954	1.41350418259	5.77032765796	1.24755904734	4.37957274266	0.712626107687	9.52018416154	3.68107184625	4.69918121288	3.24584125811	4.87193116846	5.01067437425	7.42697129553	3.86974700981	0.604711542423	7.7707571927	1.92752211346	4.02125343365	9.17071604481	0.0525071714974	9.74687210192	3.50969981897	2.3261597172	2.78834955363	1.89495132993	124073.5305	34519.1655699	True	
4.03164524384	0.989425312929	8.5377319233	8.69049720501	2.14261881824	4.80761466824	4.38145739187	5.66666738204	3.69270404204	7.8196904899	3.541075202	5.82544116651	3.52173510921	4.38323791288	3.01266597728	2.59246348378	0.726135579579	8.45683137442	0.785339403303	8.58715985263	6.2855702089	8.00148694369	-2.25984750825	2.25437714027	-0.513108836802	37701.0582288	34173.9739142	True	
1.63174042325	1.74756487246	2.67200442505	5.07400526201	3.53890762454	0.782482909336	6.26211099475	2.32894869986	7.52314113776	7.8780099729	8.10316222736	4.53635531076	7.27336006784	2.22910070302	3.52135713339	1.46191204976	2.18417028382	1.33615358743	5.14290514034	6.26529607987	8.36745488669	8.87806839569	-2.31637997651	1.70979666302	3.73833302802	16896.5594196	33832.2341751	True	
2.39419633695	0.318193908056	6.7819243192	6.83904311611	9.24530716712	3.2966862423	5.4018670761	5.1671266828	0.674746954623	5.94995307806	3.53092464345	6.51468289627	6.76867712537	1.2766318973	3.82630788766	8.51911600918	4.83327760026	8.01529107518	5.97338106503	1.60116968777	5.23510311076	0.560867432276	-2.72703331446	1.56236513892	0.300820162857	17388.8545835	33493.9118333	True	
6.61430562709	0.322620223099	7.8171226954	5.69502211446	5.35581088566	7.11469731241	3.67879552371	8.29514061627	6.77803967083	6.67957129717	6.30977036595	5.49774883343	9.49227324755	9.55871831313	0.925385751818	1.49473994318	7.91487921586	7.08517171358	4.99495209015	6.523647841	8.58522226902	2.71645884755	-2.99110165639	2.97901829122	1.65231804532	23493.57826	33158.972715	True	
2.32221094857	2.5965952242	0.938611451105	9.41320358317	1.96863543347	4.51277695299	7.24710336277	9.83454430394	0.396704935718	6.42604332228	2.598890323	7.13057257441	9.68018528238	9.33433272103	3.17872539606	8.01718645913	7.22220923497	9.97986240704	2.23879818824	4.02679816363	4.09517261624	4.37192617432	-2.39350653474	2.47954133275	-0.140472345945	37864.2827287	32827.3829878	True	
