Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Parameter 39	Parameter 40	Parameter 41	Parameter 42	Potential	Equilibruim
-2.53154396537	1.03190267651	0.872353581934	-2.76713457842	2.99869772623	-0.291286266691	1.89561036348	-2.43544589589	0.0148768942759	-2.69805276868	0.388368004415	1.27280074009	0.597145991305	-0.705391048169	-0.665113488251	-2.32533972621	-2.46615166226	3.42647755016	1.33862361765	-0.564281165271	7.7348946346	8.22964210339	7.99209733516	6.86074499912	5.06041451047	7.19546668938	9.49819289171	5.78859865383	6.23273346608	11.4568595283	2.30945613727	3.81092344275	5.57654943265	4.76754651859	6.8485327314	8.31518928581	5.76349529877	1.72139903691	3.97321560064	2.59159611121	3.42028162317	4.18676234272	1160.80088401	False	
-3.34273393977	0.458740173364	-0.610651445883	-2.05506954439	4.15632898296	0.505842924586	1.4265078802	-2.59077262978	-0.279446084759	-3.38041168751	0.706224964347	-0.0929625921031	1.11301099486	-1.55209258485	-0.0374383611915	-2.63085937331	-2.70994991799	4.24651926499	2.03371861977	-1.394045532	8.68443738227	6.91228647007	8.84978677427	6.25808347883	4.61673099973	7.43828713769	9.3979224015	5.99800397183	5.26703509975	10.4204946816	2.85863279816	4.38731211063	5.13521339522	5.93372371658	7.47835114911	9.01428579241	6.83501957499	2.12696796406	3.69728913272	2.52811714956	4.40520746525	4.5523175381	1147.9989939	False	
-2.68696039269	-0.358400633551	-0.3513029921	-2.41942881956	4.71389885979	0.543348241358	0.995631154021	-2.16914521854	-0.338059628867	-3.46463080091	0.493817769055	0.0734953984347	1.85989347059	-0.737286528604	0.0344666092706	-2.25991110398	-2.88393659832	3.42291384433	2.60599330724	-0.756070360907	8.18270863559	7.16273584479	8.60545327851	6.47332856406	4.6479794001	7.52757750378	9.40572093695	6.07577312075	5.36133529038	10.5794414957	3.25944404655	5.15583737466	4.66465566524	6.53898661228	6.95629898065	8.38228997436	6.19020042525	2.38058068318	3.16567642875	3.08040799435	3.73164186508	3.80353893003	1093.71692804	False	
-2.62602985347	0.32613215907	-1.02064791416	-2.75549557286	4.61000708642	0.239198840846	1.05649364489	-1.90331294516	-0.754741724521	-2.87954949479	1.13733150361	0.47079444224	2.03000774572	-0.216348087524	-0.471431596311	-2.53030416639	-3.5869757624	4.14610531061	2.3411042041	-0.64790086186	7.62315735873	7.25506960322	8.83194653712	5.93535485417	4.51829343763	7.33728418389	8.78489324681	5.51432141103	4.67764989656	10.2861992195	3.45757648905	5.48463935357	4.42505890891	6.72930320255	6.3652991209	8.95275688204	6.07067471737	2.42202228855	3.1249336051	2.61622449328	3.50628664582	4.06018494946	1106.80339267	False	
-3.18494908615	1.07825711092	-0.13536052431	-5.73887092167	5.81764115462	-1.11486155206	1.42553506425	0.942767620519	-0.291810359727	-5.93984521522	1.34824028735	1.60429083175	3.11045789157	2.07282659196	-1.75198911056	-3.27436004865	-2.90982569533	1.52501227876	1.82147481096	1.04271369927	5.53046789275	7.3601985782	8.42658822691	6.18833353963	5.22070934674	9.45417037376	6.84450344815	6.26713550491	4.84415729141	10.8183254843	3.46965320574	5.62406346822	7.12682570278	7.29409754591	7.53051426461	7.29600635843	6.35146532479	2.43609657494	3.89776011022	4.43331678701	3.37572675968	5.2590767262	1028.32553914	False	
-3.61231297997	1.78285758573	0.651525634078	-5.8170274649	5.51879040165	-1.57080300991	1.43555591226	1.7331790102	-0.61156805076	-6.39885662199	1.22341028872	2.02072277592	2.51689653624	1.80416851241	-2.68214174965	-3.46927260408	-3.110384265	1.86818917541	1.84849228085	1.27820014201	5.83865301746	7.61215363606	8.7516628079	6.32600958296	4.84821202325	9.67349773516	7.3202548634	6.59737560123	4.94576947613	10.5881328317	3.8610425893	6.02013663007	7.38163589806	7.20120554031	6.54490447618	7.86889173823	6.81332216726	1.6690253544	4.3442616842	5.02464889478	3.76695286042	5.77798234086	1070.13902026	False	
-3.41810659559	0.524320945724	0.621351247896	-5.82316293839	5.39815447718	-1.80797029984	1.13816787045	1.6903951345	0.950572368044	-6.24809091453	2.33920356752	2.238854434	2.14756761487	1.62156926648	-2.16507138446	-3.19033317645	-3.2218864249	2.43408642273	3.13239725617	0.702507753384	5.95637943342	7.572213589	7.04635078301	6.00426751569	4.8888931423	9.49964479645	6.7646314739	5.64524002204	5.52502457369	9.71502513127	4.34084811534	4.97222773844	7.38212348247	7.12965101934	6.33203164764	9.108243329	7.5063497429	1.33255218686	3.31774090296	5.95814894184	3.25379379655	4.66678140051	935.411892394	False	
-2.13208525245	0.795052059396	0.953339961689	-6.39870899944	4.91272457898	-1.18327364311	0.516476672136	0.82284972266	1.52485787551	-6.82761681709	2.61050385062	1.72809844325	2.87002837475	0.982325667879	-2.70209827876	-3.48254754377	-3.89929081221	2.53176926252	3.62580653382	0.833889084478	6.56838093084	7.64682126273	7.57115439884	6.32916299998	4.75882045181	10.1096178951	6.7928778153	5.58381596107	5.42097914363	9.9388617764	5.09305973247	6.29858640007	7.67070072543	6.80537058469	7.15987834644	9.93646427657	7.46996247262	2.47766820328	3.81786401257	5.06737269915	3.96325066816	4.74300736231	895.983595113	False	
-2.72683514871	0.596350001582	0.986977325737	-7.29125533904	3.93660910157	-0.64316104117	0.689200045332	2.90827846578	1.45289734285	-6.76237934007	2.09018694921	2.36756872375	2.73855663253	0.427847725973	-1.91521648105	-4.86478673372	-4.08562527243	3.55529470935	3.56681880556	2.33437816028	7.85787604165	8.08596625344	6.96547515207	6.45007750101	4.91990100711	10.9981680617	6.34606105338	5.42275888274	5.12692768399	10.4570282409	5.20470731382	7.38293031795	8.84200385418	6.7722809855	7.83110933373	9.80014714993	6.18799784568	1.86433567932	4.91097340975	5.13686888837	4.25368726288	4.81692764268	963.192398169	False	
-2.32884382853	2.53339773314	0.217748228832	-8.02771555276	5.76948438688	-1.16006932984	1.0788613594	3.11045975084	1.11461392129	-7.84495471223	0.923780986254	3.72738253759	1.34456773936	1.14197708987	-2.61658178417	-5.30127784876	-3.33093610945	4.11322699954	3.69397605232	1.43005822639	8.093517031	8.8602509394	8.90997338536	6.9135603932	5.09897387314	10.3681441114	6.94935456602	5.70167029886	5.723496039	8.68862702285	4.86196381251	6.2762238564	9.08553391796	6.26188234815	6.99602814033	8.06954999414	8.55020465316	3.65155154401	5.30987144309	3.04062179617	4.71195720187	4.24336022452	877.541124642	False	
