Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Parameter 39	Parameter 40	Parameter 41	Parameter 42	Parameter 43	Parameter 44	Potential	Temperature	Equilibruim
2.72316448397	-5.72456053153	4.30497832709	7.53709646542	1.50657985861	0.357735450555	-1.00784119214	7.0664067192	8.93849578866	4.08742354095	-1.90420024763	-2.75077639944	2.88745598421	4.37936105689	4.71270772232	-8.06214338212	5.76543453434	3.70500409184	8.06152773741	4.61673713364	4.32093998887	6.64458348733	9.45234855913	6.47595057874	3.51685243371	6.21193762469	0.194809176774	7.52489513576	5.17287784548	3.40375338495	1.35310642936	4.63477772623	2.13542259841	2.24524024404	8.42284592762	9.01193394584	5.04082908449	1.28691952435	9.81081417208	6.14700321177	7.37110490061	-3.01875794022	1.92993309534	1.61797105175	157433.809604	80000.0	False	
1.66280845453	3.68282461091	2.15787564298	-2.25544808867	4.48640637997	-6.50003108203	-1.26125202918	5.93054932562	8.56710618806	2.84296383002	6.2475292778	-0.314994335721	6.45858620065	8.63030585315	3.44765938443	-5.163646732	8.09545781534	5.82657346159	3.52764642885	7.3046384481	6.26646953303	5.38702888716	9.18302900575	7.63706651853	0.642586153891	0.649954979617	5.65561633098	1.56115864822	6.16279284441	3.13713188018	1.88976239848	4.91846244765	3.12347804038	7.31454458732	1.9757152172	5.66731657123	8.29203840983	5.61409174994	8.34199702256	7.72560186496	1.35944314152	-2.82773916748	2.95526111008	-0.728688096137	78996.7368197	80000.0	False	
1.09564625932	2.83847904637	5.10420763624	3.01340233106	8.00548432625	9.09902761697	-8.08636748071	2.99194515792	1.07105960075	-3.04162261159	4.03559433099	-3.52412609109	8.38300170131	1.27466785229	0.168254643217	8.08007444078	2.00223985572	4.65344622375	1.70739007311	2.41774556076	4.62372505831	4.41861401549	3.50229756133	9.68044995091	5.01867915989	6.52458717303	3.61360261107	5.96069187089	6.27072716453	4.15554690636	1.66923143726	2.76348357603	6.34841345906	6.12188791407	3.32248366742	7.03362363942	1.70999987117	4.67186683912	1.12072382658	7.4168467468	7.43249696198	-1.6461180692	2.77875597574	1.40658718555	79446.21619	80000.0	False	
1.12836919568	3.88405617176	0.945256737067	-7.71196115069	7.94478232605	5.7820329618	9.17802670311	0.923733672522	2.52747235538	7.54842015053	4.25667880323	-7.51437839079	0.178491990695	1.32435531732	0.583718514803	2.24085225954	1.36835500547	4.25251501175	-5.83152757588	6.56967669379	6.86484391161	0.0228202198881	0.924580267909	1.95101767057	8.25983538304	0.312781574686	7.78265770351	4.90881687314	8.21444343689	1.57709756487	5.08326217731	4.99851142543	0.118016860851	1.52863225558	4.82355973684	4.86774372488	7.36240935781	5.46663868563	7.6823557525	7.70052448144	5.16000498643	-2.28300999642	2.85219186188	-0.326004372866	90830.7741737	80000.0	True	
2.59946490683	6.29521772209	-3.36461566824	7.06688633118	0.238635268933	2.30830279785	4.25569348403	1.70640059211	-6.39312246384	-0.27961299719	5.39682122559	-3.02004156502	7.49201154708	-5.33448947828	-2.04996049576	0.588647340423	7.37425148895	5.49297759048	5.18751849501	6.73503781961	2.00241695247	4.4141713403	9.62303764226	3.22209196141	8.31829798135	1.19723119456	4.94659852763	3.40493208686	0.114185188266	0.233838919311	6.36031066668	5.99613833356	0.945604749	6.94985474979	4.23319621066	8.79406502119	1.53709175932	1.50743306856	7.82797585251	1.35084388887	4.57405384174	-0.908350245546	2.73963713146	1.46537919231	80059.4470488	76000.0	True	
0.65233338321	1.51326976878	-7.3577978066	0.998562419835	2.96877671029	9.30561602192	-0.72861066616	3.31163213501	-2.02389791192	8.10225632767	1.66573182989	1.87734144104	7.6147182244	3.98267145602	3.04633947656	-3.62900118954	2.62125115754	4.36918683265	-7.69410879943	-1.06909383442	5.91510915411	7.33269157669	1.62356936426	8.76114235751	3.03112224828	4.80177174904	7.62539006937	4.19695562865	0.679211167994	6.22470348101	9.08561760966	6.82364090844	3.95888673959	3.52298052214	4.05577478371	3.64403540651	0.352670740656	3.42852670771	3.32360807407	5.98619913124	0.920038274753	-2.06732829834	2.82057288865	1.66147401742	96415.1215876	72200.0	True	
2.09913219742	-1.76976898281	-4.31700040546	6.31171030501	7.74328031591	7.08839200377	1.82405638508	4.12343174401	8.10452062242	4.94102836729	-6.36651875426	5.56233111782	8.44755658148	8.12293497922	4.17922573617	9.95731078077	-0.701409688888	0.466377562905	-2.81303178243	4.03317684536	7.95158177293	0.512078239285	1.16190836806	7.52816048218	8.4094419056	3.28593691046	8.9309097281	4.76741462051	1.76558876873	7.29930472401	8.21738515894	3.11236272353	2.75824025086	3.41967429627	6.04245358566	9.06716419084	1.69959599995	4.14427951825	1.77888558522	8.60648422211	9.37635798904	-2.34953075687	2.1568883092	0.60801795092	81848.6369575	68590.0	True	
2.28069826927	1.76063426677	6.23458017051	-4.82316709347	0.767481075013	4.56029614404	6.20499935422	8.24291684099	-1.27902318827	3.91418578742	6.45061227042	9.76153174745	3.32615402155	-8.25543975727	2.4669723204	0.631922140057	0.819448588054	-0.795443114546	5.31789904549	0.274289217615	-0.14894676772	7.25449402392	7.30806010033	3.93510584503	9.34698018231	0.240414270503	1.53946440546	0.768174530283	7.63009264175	4.48139309153	5.4457242741	1.37010901561	9.71207052714	0.661315743923	6.89474100284	8.47429256174	2.63290327149	7.65672978325	7.65255149571	2.06720427653	5.87258139602	-0.977480285398	2.4532256469	0.603164537016	106097.894125	65160.5	True	
1.24801057276	1.10912268502	-2.89186675477	3.38713149599	5.4187999516	-0.869890813203	9.64754180593	9.11187405785	3.74020215414	-1.21974580913	9.56211385043	-2.88687776891	0.836833276814	0.953318724741	4.76280281815	9.8922230968	-1.37519226314	6.50152869804	8.68630906517	5.62270108291	-3.09881614794	8.19023555622	4.60447140866	1.09199982666	3.03979847905	7.39997669102	2.21485682278	3.32826512571	3.69203643408	3.06664241728	8.36900397896	0.967451591381	8.81222197134	2.31482456146	9.01386185971	8.45017734269	0.314967793572	2.98299700835	2.79884568004	8.57412894545	3.98094166254	-3.10258957537	1.19594595052	1.1768790365	70057.4062208	61902.475	True	
3.41158073102	4.24659172	1.51476135427	5.33415884865	9.14209941674	2.56237166409	1.23876180431	4.36081683319	9.25193111548	8.87724512365	3.84303435168	0.983488222698	7.63838620785	6.4682020095	5.52047224486	3.22586124769	2.41376027416	5.74399162867	0.172545193224	7.80849496554	4.80990239626	8.84026173611	3.81313626852	1.22744915356	1.69639775782	2.37834123838	1.70523104679	1.19655900077	3.942400856	6.75525273459	4.88230407189	3.32181570895	1.27809609252	8.27632639475	2.69165277369	0.65589548663	8.82367264155	5.31910842172	8.79254693631	1.89391077969	7.74296730442	-3.1885926542	2.37882356954	-0.984855167803	85757.2616947	58807.35125	True	
