Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Parameter 39	Parameter 40	Parameter 41	Potential	Equilibruim
4.22701644831	-9.16336601081	-7.72892395616	-5.39875119271	-3.53788255653	3.40102401663	3.03766723155	-0.415087246344	-8.83374803691	-7.26909106402	-2.83416620732	-9.36173651228	-2.93481384026	-1.32966083973	6.14159012198	8.30170595089	1.40271316119	5.17762167051	8.91994053331	4.91080603751	-2.95713350362	6.42212468501	7.20843527453	8.5395613523	7.8590555288	7.03257786267	0.939358383928	8.17647919096	7.15463477489	1.90379038987	6.67803303098	6.48981600271	0.550770742529	2.23586356768	9.20701148431	0.453277370737	9.44605526735	5.80817392012	5.09878936664	0.829892244734	0.954219684374	948883.072226	False	
4.07711921345	-9.06760726787	-7.26954043865	8.89313686549	-8.94914119382	-1.56357664084	-5.92747675332	0.264591983329	3.21848060134	8.55896380424	0.293802485579	-2.80962047584	8.42672116029	1.32932684751	-1.38281341338	-4.57652806152	7.17630154586	3.3053984944	5.60156008069	8.25572681718	4.01139721113	1.66390168296	1.96957871639	8.68196971232	5.75136617015	6.68660507726	6.44134738531	7.87023660641	7.72939999423	5.13042766418	4.18552028894	4.68196727049	7.28751721568	5.15735778947	5.71150509545	3.90552684457	7.81950921218	2.74033891868	7.78042722296	7.05238431797	8.74097081435	1099315.3322	True	
4.39367003594	-9.14807361605	-8.00018164099	7.67643676598	3.35912339366	-2.94092370435	-9.19126539354	-7.32727645119	9.30986171675	-5.68286521129	8.93745256654	0.827640587366	8.18672385984	-4.75127912201	-2.01823163997	-0.765737058537	2.54358403898	3.36893320093	-8.43029350732	8.46642340422	9.92327483019	4.85424835332	2.19341111868	0.694977716704	6.24111958992	8.36529748408	8.43789196089	3.79627621776	0.92258381342	1.63130469614	2.04442169479	7.73498388659	8.78650507304	5.62136060517	0.51447590721	5.41010206267	8.00531402965	5.80025109775	3.90742535122	4.25129773411	3.90037734071	848228.523018	False	
5.02999576336	-4.19598178783	-7.33168972273	-0.926473796976	8.98212665931	5.55570981748	3.17782172208	3.06897359983	0.0455189606997	1.42952152236	-0.38449792716	-6.89706133287	-2.35004134448	0.274385198513	-9.86154374783	-3.09562999444	-0.830280055509	5.35122475346	7.01052041101	-6.92423355079	1.88757058924	8.61102044907	4.62673495221	7.40665927229	7.4826908805	6.67890646627	5.82220376744	3.1538514616	8.83216743694	4.75663002345	6.79936102049	3.87350657748	1.53351259053	8.87858335657	9.97821097434	5.49574985322	8.86301099024	3.23782531034	4.48312114623	5.1209142693	8.52317873812	728653.407847	True	
4.75921783864	-0.893742912441	-9.51481805407	-2.67121830166	8.76055610232	4.68478557187	7.22233907022	-9.76167413769	-0.42389849814	8.75634394449	-6.01077050542	-1.20479061266	-4.3472414063	4.18539164119	-2.54800591992	6.60552842662	-8.60262154698	-8.44343210861	1.0329704608	-8.3294932446	-2.37051049663	5.78188858108	6.19898793469	4.54235322072	6.6672446764	3.06452456076	1.44889025257	1.17578510868	4.7911887161	4.78333612566	5.68932443121	5.25975935426	4.39938702039	9.67043733561	4.7574515493	1.67978197501	2.42787182512	6.69747188241	6.77223903283	4.61546527711	5.11086516786	873960.339169	True	
4.76376951301	-4.86429978785	-1.41091975907	-5.95824392065	0.147942025035	-6.86575456003	5.55823896118	7.7978434974	6.22681164988	6.42468591401	6.43729109311	-9.59581804671	6.42176628537	-7.9359276274	4.87717353689	2.72037138294	7.10185112124	0.58257892536	2.63331129853	-5.85428605066	-0.84623440795	1.73503981251	5.5082345727	5.86190006939	7.16406488646	5.59253821631	2.23638002103	8.44051839197	1.00011922006	7.65512983845	7.30176572886	7.31075461242	2.73348704433	4.58608701861	2.72410272715	5.46682226909	5.05509268682	3.637385227	6.0227360919	0.270574592217	1.01814961637	867324.035935	True	
5.04330016452	-8.06892820865	-1.44212287893	-1.2352994079	8.80013528872	-6.68954063183	7.27561500373	-2.8972647944	1.65216861353	3.13639567812	-1.54967760253	-3.45464719973	2.10495477159	1.65255804717	-4.35141687757	3.46725916412	3.67272404353	7.57934240927	-2.36733628514	3.30970530657	5.50640705418	2.08478647432	8.56403539313	3.52786228939	9.31854328114	3.449557675	9.49471678494	7.71845857812	4.91993362679	9.51950378572	3.55091435401	8.6582355466	8.11229205923	0.724599388134	5.76575985497	5.38204796657	7.81976536718	1.48214625241	7.28235834593	4.98692803498	6.02813704971	306734.183459	True	
4.54585049531	-1.81996910961	-1.19846821266	-3.32625055727	0.785747475055	-7.89218837411	4.32305301416	8.44259600693	8.88605673864	8.50349251071	-6.86609612056	-1.77446370617	1.38998082306	2.86049763489	1.66845311074	-2.64551301518	-5.06131144713	-9.35153194023	4.84804324238	0.675930355566	-5.77857524532	7.37003634506	8.02324366909	4.5465591259	3.09201760697	8.90736025123	0.608955324071	9.38716868093	6.63942703558	2.01616400557	6.70356508706	8.88958894611	5.00843705449	2.014529228	8.57369357238	6.85465528521	1.31810625684	1.76240267588	4.7287378342	3.82058346544	7.22010564154	832170.839501	False	
6.27772373221	1.61899120339	-2.23731317097	-3.22341826822	-3.20690213649	-5.65051147072	-1.20410294266	4.31974911995	-0.578959155614	0.611606662578	5.11116863024	1.49461228045	9.3589007523	5.19420020966	1.45209850337	4.32939535218	3.10636590997	-0.768900690266	-0.857655437224	-2.81825460471	-5.30878879658	7.45164744525	7.61037013851	4.62228806336	8.08055299223	4.01133137157	3.3370982878	1.8067577019	9.04470702111	1.36268235314	1.15333512351	6.83383887766	5.24901776632	7.29886311662	2.78315578638	3.06996415034	9.19575230886	8.00210909238	3.80741196686	6.74190667763	8.47511873172	1006373.73889	True	
4.3804518142	-8.18481599629	-0.336824561153	-4.86522254687	0.777913571049	-1.27779027986	3.45165942797	2.17022450489	2.13308674881	-8.10631437195	-3.31950273514	-4.73938334256	-3.47827084413	6.18084718432	-4.43108612037	-3.4255838169	-4.43823165873	8.42397980352	-7.29078055629	-0.67236603563	-6.34849644549	4.84304755651	7.05072526991	4.65878268751	2.78928808357	5.62090276451	4.69873485714	6.89222518287	9.61167317533	0.114717206103	7.09446352525	6.88867371516	7.98797649096	1.04682993189	0.319610399644	7.76009716618	7.947899232	1.8579738971	4.89474195778	8.23518099715	0.637195217802	852549.28347	True	
