Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Parameter 39	Parameter 40	Parameter 41	Parameter 42	Parameter 43	Potential	Equilibruim
3.74543927153	-0.647699513743	8.59932036122	4.27807456817	2.96550166977	0.0049626974188	-1.15673025669	-2.25799935857	2.42386544542	-8.65448010698	-6.77890447048	-4.68742656619	-8.99618387235	-5.65373983508	-5.93743481095	2.54860969876	0.664885062483	-1.34458844532	-2.48599766513	3.20563923986	-6.61974091912	5.47010613973	2.09970195703	6.82554352251	4.37948180646	4.80722565596	3.35980841878	5.26511200844	6.9244090688	7.41437189016	9.49898448574	5.46937265283	6.02202256571	4.41923159134	5.81357318825	1.07305661069	6.92704984784	5.19922400706	4.77632195648	1.78636482528	7.45939777157	-0.846347505773	-2.41423446741	798852.123592	False	
3.81444143962	3.20869710646	9.14691435942	-2.09207722454	2.91594732904	6.27712810816	-3.4611991603	4.0670127515	6.41847267264	-3.63002105828	-4.06903804859	7.10870947299	-8.97593812918	-6.60714422888	-4.60252039644	5.28250522052	4.79781549619	0.527356336116	2.12930970363	8.32932022916	-2.40173875037	6.81203403766	5.61686034466	5.61582491105	1.63162445844	4.83488452355	8.07186622865	3.34508275925	3.83026943819	6.07904568984	3.08875201597	1.15531957381	8.22723660249	5.79113155437	0.400198415715	7.26543193656	5.79661603422	6.033586413	4.9585488802	4.06680963875	3.55391241988	-4.39845734572	-6.14450774414	1205140.91739	False	
6.50907711162	1.36772902339	2.12964873674	-0.272760999536	-3.34604137732	2.35880134852	7.87346124767	-7.33387475382	3.94158078785	4.41065217678	-4.52487928932	7.12133450907	-6.67094436983	4.79960693892	-1.98387552888	-3.94715718446	1.60017573804	-0.423148647553	0.57340118634	2.86887501151	2.76620394023	3.26915925493	8.23470056284	8.51663106423	0.297277904787	8.57369009829	4.48789270948	5.1159546048	7.9145370902	8.83292790536	3.12174447038	4.66206698414	6.7349754151	5.89506357494	4.50989467317	3.42282790108	1.30866399607	3.44275233468	5.20092169311	6.26246598254	4.34059981709	-2.47729919992	-0.943075534114	644801.995842	True	
3.56554080312	-1.97081068924	0.528886850451	-1.44275060664	-7.52460272255	2.93392559884	-3.51448977383	-5.17706866921	4.31637171155	-1.68494930878	2.38548515219	-7.10194271153	2.65083656725	0.321382681608	1.98782910939	1.02249622759	9.7852419317	-9.22245179821	2.28222444467	0.357472019019	-4.87733165201	5.33461551645	6.55872755516	7.10047128526	4.29337185527	2.11572163936	5.40003372458	8.00583258143	3.08338245199	3.28907506	1.09091716276	9.33758272024	2.0873141067	6.7409831051	3.27852950257	5.89730057368	4.59098204039	6.45571402963	8.93650304834	2.86371735293	5.54799685333	1.82598742073	-2.12316721546	837506.512395	True	
6.62908674663	-0.0299305298733	1.03573959765	-2.8441541349	1.88673982825	6.24913674934	-4.37911166787	-3.19518780143	3.32236155504	-2.60205562307	7.16376701645	-1.07720243944	9.51217842036	1.71212328472	-9.68771948484	2.24080575337	3.29698164261	5.75554326481	-7.39017819849	9.30482138048	4.07247385046	2.5389115321	3.98491220726	7.01729571374	4.37400523345	6.43399561682	9.85978775866	9.74488736938	1.26861971944	4.7833881804	3.42375220388	5.63833397794	8.37123534037	4.70629450967	2.20852276099	1.44067318257	0.426731705334	7.71528321595	0.546921109761	5.78353907361	0.471849876802	2.28112924028	-0.28556221373	445207.495477	True	
9.53535169945	4.16627683438	0.423727576887	-0.481674821909	-3.26606387013	8.83058417432	1.55169219691	-7.90885045744	9.70303205247	-4.32770641169	2.19762443589	4.98667594565	4.44460119928	3.71697152419	-8.24812287134	3.39758248429	-4.390070183	9.03178477314	-9.99930840166	5.86354799222	-3.73930660838	1.11267680071	6.55714080378	6.74874176565	3.81882202063	9.73078654343	7.5530617874	5.88957562186	1.19502242985	7.04914681174	3.71825167289	7.24018448307	3.39369959895	4.01904704417	2.51075039549	3.09148341742	1.64499811504	6.2068264875	3.14568453596	7.46295179245	0.211540229176	-4.27991927233	1.22195446722	583320.853323	True	
3.16019565649	-3.02398686901	-5.88676506967	1.92971281686	-5.08566902658	7.97378328252	7.63670865891	6.30214153491	4.99223229518	-9.06812757317	-7.33445750784	-4.24999668986	0.563411896371	-8.24679729637	-9.34109608466	3.42789163157	0.979398105746	9.16775059114	0.471902653632	2.76152223976	-6.78976221469	5.10973313501	1.3699183187	7.75907990393	4.27902660222	5.457296025	9.81348904947	4.62317391918	2.97723511899	1.45600738848	5.46692078842	5.58671732199	8.51845322117	3.0954457326	5.53016631341	8.36038277794	8.33414921077	6.48226624877	0.0551265045522	6.12750295038	1.18168785325	0.482778466194	-1.46775331525	851960.500678	False	
4.19005058923	-1.07107295577	-6.94853350417	-2.60052187501	-5.32647953726	-7.43731441264	3.80038068997	3.7194329437	6.89551636635	-0.828217923366	-8.2893481476	-2.07272951743	2.36505988261	-8.88023128419	3.08238623984	-1.23860735174	1.230039385	2.31117423831	4.12163872432	-0.399378971094	-8.41788924619	7.13452991475	3.36301270628	4.93721521853	9.02267451323	5.86122776439	0.177834284264	8.07097449703	4.4585214696	5.92736384551	1.56941848487	5.44335174885	0.314269149586	1.90042720454	0.916786832499	3.44615292487	6.14286672283	5.05812957692	8.51844518788	6.10638352257	0.377665711609	-2.27630673078	-3.77125468819	1275617.34031	True	
2.30971038189	8.37121713875	-9.05487438237	-6.90301524537	-4.65253640907	8.63906695522	-0.682823157005	2.73952401355	0.258518783509	-8.28215216947	5.68400458282	9.25504502112	-4.05436787106	-3.39742498421	-1.1199342087	-9.42011985839	-1.59126487106	-7.43014253568	6.73251816748	-0.683416444612	-0.674716656308	3.68318904143	3.4363017336	3.76905579903	3.21598798729	5.42106191057	5.07589049573	8.58383918484	3.26009385658	1.66331529185	4.75661425318	6.58664997075	7.66831710503	8.79440170108	7.04402874638	3.53243769891	8.62495841498	0.587062081421	4.0276164235	2.55461368394	1.15792818346	1.1731462459	-4.77578563789	998603.832705	False	
6.0313847078	3.07180111669	-2.28435408302	-9.10293712234	1.22178117655	5.12960264443	-2.60909597695	-5.63330883203	3.421657888	-1.35703290895	2.65263948646	5.11975566403	-0.727135435486	6.16366334136	-0.969023169151	-6.9580678119	4.86118325827	-0.446692366891	5.10002406182	0.842641602789	-1.65197596046	4.64268700325	3.2506691562	6.86097659443	1.60103160233	8.45547060817	6.64120138149	5.95262345969	3.74997693468	2.91763755554	7.43836051114	5.15522483506	4.22016169282	8.74685154856	0.493891674083	5.89467801782	9.09738091814	4.80908326418	3.2982145464	8.89902465462	3.58850372922	-2.19532145236	0.124831528707	808677.468134	True	
