Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Potential	Temperature	Equilibruim
7.38436759926	8.69807130059	9.24356211272	1.25178550171	6.47121553013	2.23125656306	9.41292484687	9.35428686935	2.98057780311	0.105376985335	1.47492682457	7.81505783803	3.61522182937	9.35465158906	5.14327077273	9.83994666727	2.33903749385	3.89711528439	0.899058145245	8.31421634626	2.54621610482	3.44647293559	8.96408095729	9.04976969331	3.13379321013	-0.490727746983	13521.2985275	5000.0	False	
0.979422164735	4.28167898322	1.10474796859	6.33637495449	1.62594028172	1.81590493057	6.82672238052	3.48170794947	8.10208131796	0.871546391665	9.28151273358	8.85555681779	2.86284095722	2.15890577463	5.87579253178	1.34903024856	5.90612913172	8.77868261964	0.694605639035	5.89631341244	4.14492287971	7.26600817679	4.63779234234	2.71671588367	2.05640760279	3.70892490852	9086.94409887	5000.0	True	
6.73518842282	4.78895459912	7.70015151681	3.2426484452	6.2437904779	5.62941703766	0.228558019516	1.78261011524	2.09317886094	4.16126055123	0.849175700596	1.66402850709	3.54421626521	8.77006054974	6.10371150839	7.51824941158	1.33431083856	4.87557733281	6.67193938014	6.07625499774	8.7345741503	5.95801966724	3.43030846042	5.64402688424	2.42623646358	1.43909100347	8283.95302583	4750.0	False	
4.59903778223	8.0925338588	0.477755565741	9.72287586027	8.81303133063	4.57027195148	6.6092404786	5.60080736907	7.94868056799	2.08015918261	6.00775322899	6.82340822747	4.34926058927	9.42107465609	1.93353099071	8.64692884475	1.36615230081	5.58852440868	6.71572585095	7.1327484917	5.01662842883	7.00396053318	3.23654669256	2.41614750203	3.38725945842	0.335412647751	10065.7423771	4750.0	False	
1.53120443794	1.99803453678	6.64568631691	5.49870794492	6.67432492176	5.11497983144	8.55014216129	4.26111059711	2.5905648093	7.13737410437	3.38901837057	3.30390086862	0.622676537755	9.22758956511	3.96421790587	3.36784832594	5.16414373611	1.75799206872	3.19300494322	6.98540541757	6.48217138412	3.17997299763	6.14979109983	2.07564339396	2.2143647206	0.572041099082	4393.68528121	4750.0	True	
7.16990300124	2.74686829756	8.59393510915	1.84183100267	5.50730927165	4.56419732045	8.89732470146	6.72707918467	9.27682279117	5.94998716197	5.0968663696	7.27757612933	9.70567327325	5.37731679355	3.23445031313	6.06113044334	1.83117455291	7.788885447	5.40762960359	7.73777320935	1.03146398755	7.68778751573	7.95490844984	0.735109305357	2.67988054048	0.0896446788461	17323.1376578	4512.5	False	
5.05231742297	6.87418291285	9.5698119213	6.71967525501	2.17468415057	2.63908687098	9.46250648888	8.64370876077	8.23549211612	6.40807247765	2.74665695557	1.91311973571	6.40319551516	1.65495456382	8.45363326459	0.585716304616	1.39054539812	9.81470566392	8.72433229213	3.79350137118	8.28603839312	4.05893179023	3.55452807698	7.94744068955	4.51438134105	-0.606996152969	11695.2167973	4512.5	True	
8.64988484956	0.85426452535	6.84398624097	9.13240162157	4.42760935626	4.92430062932	5.51893136886	6.36227730734	8.61016287376	4.12238542983	2.08064173261	0.770511348629	8.05594527896	9.60356349854	1.64536649516	0.347890077985	8.40137907655	0.475863845702	2.25937803491	8.33523363756	3.7224962813	6.12710457412	2.47836311302	0.88496823689	3.12561627766	1.66699695857	7828.69042943	4286.875	True	
3.7080707807	9.65363450232	9.45247822596	7.28686110367	0.14316124355	3.78585862552	7.06927627135	9.6992460624	0.388706168318	3.81885773899	9.70982379298	8.21726158817	1.80803052148	5.2071137111	2.73132911131	5.11663557732	3.9956753031	7.25808932353	7.034600917	1.26772762284	5.01711802957	6.14737429885	4.77970423363	9.16715652875	3.47619506648	2.10176283523	11666.2682285	4072.53125	True	
8.2938637305	3.75706309533	8.62906568039	8.44511340492	5.47043802764	4.74602077937	5.35233687446	4.61101286503	0.741380188597	1.45489130787	6.20737028123	0.341524825033	5.21349520211	9.8598651434	4.05755646477	3.9168940001	1.35068629469	1.94002346176	4.66401972381	1.00356988795	4.68533069247	5.54312620681	2.10872466798	5.10519422652	3.30386346763	0.612385669848	7576.83734781	3868.9046875	False	
