Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Potential	Temperature	Equilibruim
3.51622577199	6.31681131709	6.45913819109	6.76733744031	7.54982937953	3.61995370801	2.7785207487	4.49301202136	8.96223405027	7.29839470381	7.48633514318	0.174896670857	5.8175852293	5.84493841061	0.605810654415	2.79062506656	8.66564183883	0.439304253829	1.82274029686	3.98077359236	6.75274242787	3.9255315138	1.66535289025	8.10454810048	2.28119172221	3.00900651604	6178.8235398	5500.0	False	
8.50343259679	4.68985137424	4.11436827821	3.7348164874	7.59654175459	3.49777202403	2.09730574885	6.65768195675	9.16788097743	7.57329077365	3.17645541101	5.27717279395	1.84708004324	2.98872786713	8.99922109157	1.14443095098	0.579766516221	3.48812223742	6.2012915586	3.07743276856	0.639018830276	5.66301180979	4.07334172183	6.29869366387	1.95431177688	-0.606463245278	7921.89508289	5500.0	False	
4.32462645392	5.27729130635	3.94967017626	9.23014669314	2.36416775935	8.34796395553	8.2440663627	6.95783756974	0.205764838484	8.56258602706	2.83296083039	3.901955461	1.97073171714	7.92846748886	3.89395091965	2.88906717408	4.90192336873	2.90951294447	2.29243286438	1.10929063716	0.633016642925	4.57215833105	4.24844028982	5.6810159478	3.69646177659	-0.876887793689	12603.3440158	5500.0	False	
6.60185606138	8.12923751807	4.76203789129	4.72536718054	1.189943752	1.39792433843	3.86590750855	3.69038070971	9.05548383453	8.45857619238	7.28599238183	5.56974920425	2.96398055671	3.96977276536	4.28395539337	6.66849082774	2.03725066787	3.74979916617	7.37823564739	0.514695678173	2.50553791707	7.06449617228	3.81184077525	1.3160074082	2.0010741289	-0.243317298085	14379.0069866	5500.0	True	
1.87391282624	6.79797626867	1.14030414418	6.41003679729	2.20150192462	5.57400334571	7.19764363119	9.61205665715	0.259587028711	7.83007965064	1.47503446047	6.86391072379	7.9566714844	5.55855535725	7.41299262326	5.41888639419	2.02735256372	7.82927425355	4.79685367808	1.06992138922	5.93970111119	7.33532748594	5.65197374089	4.1358780576	2.03125986834	3.03945568381	7604.14207517	5225.0	True	
0.999460750415	2.50471697386	1.18763331315	8.76071905254	9.0730450163	2.45704052182	9.4135988434	3.72674577255	7.96263629861	4.58271521032	8.38892273287	4.77565989314	5.81798112983	9.70924452252	4.89722004198	4.18660427214	4.1209954005	4.84027836022	7.77148725679	5.19714510433	5.65510691364	5.69143377797	0.744524741218	6.27043723779	3.32894538685	2.48968083754	15507.7910475	4963.75	True	
3.73426569883	6.91999464211	6.63375822923	2.60830034882	2.28619967772	7.0144030588	5.38344502597	4.49124165408	6.2972876754	1.47249262927	3.54637278203	4.70632199785	0.60526820872	8.4631944811	2.99592778148	3.25822275381	6.25132798587	7.01419512304	9.00754615006	5.89883006399	1.34088041284	9.71604017208	0.86367012604	8.63208459255	2.15741828319	2.37529320129	7394.55883645	4715.5625	False	
1.96136498628	6.89740343262	9.50327523292	8.50384873618	0.351204457501	5.54789627741	5.79103258277	7.44501757185	5.76424942599	3.50025466793	0.0213386388412	7.90839225912	5.16087524637	8.12517672867	5.1628786748	1.00827320293	6.38695074302	9.56760908069	5.42441217574	2.25643236183	8.5516753207	7.86687458754	3.54844964436	8.27339730938	3.44805956734	2.67314225987	8312.99993006	4715.5625	True	
5.57229752632	1.28410359196	8.71105379762	9.24616316104	4.82679852875	3.23570715318	8.91831690281	3.41530002138	8.14009323844	7.48179884135	5.52457465768	3.27052640871	6.60455275957	8.809802828	8.31671870571	0.67921392934	8.52814363131	3.03092910789	8.09643191348	7.03371718848	9.82983170464	2.53739138697	7.15861319821	6.10802383627	3.66355861838	3.03215231456	18737.0378666	4479.784375	True	
1.17488078551	5.02100870376	3.85620642809	5.42841643629	6.99559500601	6.09601029877	7.27693006817	0.650116030188	3.7982646878	6.68107524087	6.89662459433	1.77123255496	7.89801826938	3.67943393371	6.20921381972	9.66598436501	4.71488443722	2.78156009031	7.51238491806	7.43900967668	1.67052654423	9.28499876486	7.97312820829	7.36391067782	1.88594436705	2.98081409878	13555.2400803	4255.79515625	False	
