Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Potential	Temperature	Equilibruim
-7.35089030102	5.84179706851	1.00105632749	7.02631442822	8.66681818841	1.0909104952	9.0671817584	-3.02644410453	-0.682728164479	5.91307107434	4.26928066163	-3.32990510242	8.40867534927	-3.37589650047	4.90843729121	5.87716098699	1.83047274457	-5.90048776819	5.5299738886	-0.118471774825	-0.00981158833842	5041.79576247	7781.2273803	False	
4.60568878728	8.91579038182	-4.74699498369	6.07110014761	4.40485020712	7.75582252154	8.3479399945	-5.85154504023	2.34538516566	0.336024191439	-1.6446025534	1.09696514644	0.523956897119	6.51173819435	0.204189799596	1.49355841541	8.28521326256	-1.299537927	-6.56473846811	-0.313290130707	3.74801569572	7156.73533959	7781.2273803	False	
-1.2478091155	4.55050421596	1.10422083572	8.66603504356	-2.66861800688	-2.68146236802	2.33333980866	-3.3800162562	3.41166062052	5.8616521792	1.7919018734	-0.798140080977	7.9758201834	-1.56552322769	-2.83437780031	1.79512052203	2.02957916714	-0.681923565578	-2.55391960322	0.0620865471407	1.25819860848	4111.84675889	7781.2273803	True	
-8.27881092532	8.38505737796	2.14430926448	-2.27243930314	5.40114058411	6.87947911031	-1.81563906297	-2.18926019579	0.746441377446	8.86174445802	0.996905808215	0.0415993310529	6.25675999463	9.44773837653	2.0050322615	-3.69744649353	2.46470007298	9.5361636396	-0.590012910737	0.81891161584	3.49504881473	4863.75891847	7392.16601129	True	
1.2407510645	7.75095127072	5.45699551319	8.88044417624	-2.62473026299	6.62727436394	0.656035594926	-7.27689329226	6.11346808647	-1.07206619743	2.1491257817	0.0806040426174	7.51225248664	8.6674045108	3.17091896543	2.27172650907	7.91914578312	5.56281244972	-3.68451656845	2.2683345599	0.0441306941347	6228.83416893	7022.55771072	True	
-7.55770886768	5.74100616706	5.52225853545	7.27608753133	7.83147993888	1.08745569302	8.97786084329	6.0656892615	-6.3762982885	5.27726255688	5.09377375407	-3.79730169553	0.22523339912	8.57174845999	-7.30921811354	8.61587383903	-6.21060833422	5.85822342679	8.66946578405	1.26482506763	3.87204282678	6628.26667455	6671.42982518	True	
8.29181933209	-2.98713061956	5.44951922462	4.8853984118	-6.43701697342	4.54923444102	-5.2065348079	6.45121822578	7.60902143216	6.31960209198	6.09408220833	1.94849048009	0.140423863472	-2.23914052944	-0.92508885947	-0.00398764269684	6.91269968374	-7.14949435042	2.16444033741	3.47331936658	1.31722952606	3396.19531455	6337.85833393	True	
-1.75880953957	-1.3388683342	5.04791964078	-0.516216349546	-6.60392010937	8.14020293353	-3.17413423338	6.87383724455	7.21147361174	6.32082015115	-4.57353447448	7.36591621758	8.3796334886	-1.4771793619	-2.39507963799	2.63324532866	0.0850619545821	8.51815284288	-1.80632948013	3.36737289265	-0.516472345958	3195.8990008	6020.96541723	False	
-4.20999652494	5.36161188385	2.78740046937	8.9454101856	2.37359659712	9.50752103883	-0.982714440653	8.89268882813	7.79075328195	-1.46260488522	4.66158766027	3.11727823578	0.0490269167331	-6.69617245406	2.5582989352	-1.41121466208	-0.355057392553	5.61668805586	9.29895763575	-6.94079982661	3.01582419554	4650.09647942	6020.96541723	True	
5.91383459008	-3.37656045061	2.66110791813	8.34535243827	-4.09442476024	5.12518070298	1.30456676235	6.71774921856	2.62507177266	-7.74251373398	8.06735569873	7.68706750329	-4.18111982072	5.30436573401	8.92697494508	4.60641326491	-0.0720122726038	1.82980510815	5.17358139866	7.0345394895	2.0577023831	6025.14006378	5719.91714637	True	
3.7928608438	6.24534466396	1.20500893595	-5.51221499182	1.2454948223	6.45041423144	-6.74182342668	7.44243175891	3.75623778517	-3.3742644947	0.111924804999	6.09198133762	-2.51395851382	0.756921048817	6.57690768556	-6.15332316445	0.780497816959	5.62622208404	0.650293408658	8.10766360887	2.90084381446	4768.93152205	5433.92128905	True	
3.75065893263	-5.87601848318	9.61596936237	-1.89513958174	5.59192459572	-1.47560620772	-0.241767406639	7.28783787919	-2.10708269297	-4.503528791	1.95618835889	5.40119444325	-0.704499955402	-0.907614804136	0.496036769644	2.27987423519	5.32611139784	1.63285138467	-4.87017714546	-2.84873947893	2.90675478151	5761.48260222	5162.2252246	True	
-4.14548332093	3.1851783177	-4.75157941922	8.08402810377	5.63121537995	-2.12089742547	-2.15837567436	3.66789527077	-2.43622972948	8.70547180288	-3.97360139781	-0.61220213333	2.62877987788	7.26079667412	-7.57535255685	1.05148191964	7.35370423036	-5.16366683978	1.90465213188	1.48869466843	1.61527396666	2950.14291518	4904.11396337	False	
