Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Parameter 39	Parameter 40	Parameter 41	Parameter 42	Potential	Equilibruim
-7.74067343063	9.90035503547	9.10361562232	8.66586378743	-9.4212014205	0.581782518685	8.85951977429	5.36039235146	-6.35360785492	2.57024592796	4.90946383254	7.71552630935	-2.70977881308	-4.62295815827	-1.52568794726	8.50792992622	3.51968317405	-5.48386022645	2.18151634187	0.238892246769	1.68378564677	1.03996184653	5.08625597357	2.35980709478	5.28297700616	1.33499642245	7.6354975194	6.83650517759	8.57136757843	3.41548291595	2.87360381306	5.75962114807	5.41046748736	3.75231344326	1.3958203541	7.27545478412	5.49562501706	1.49988886646	9.64636407757	4.9132787103	2.45959838321	3.08640380355	529304.343411	False	
1.92868397447	-0.794843021896	3.52221528708	-2.30952957723	-4.73361414134	2.66284508719	-8.81482696752	5.72857017587	-4.1994705737	2.1768596109	-5.76459723866	8.82201133345	4.76366924818	1.92747540204	9.61653132496	-5.5974144602	8.86659964139	8.66810144491	9.91429995533	4.55698548957	4.01168917504	2.57404277549	3.24565625887	3.86153249925	7.01020143812	4.86465816362	7.52154583145	3.460541949	4.52515636214	9.86041326293	6.20366596841	8.58502922225	0.0910097886282	6.30596860385	9.1719655681	5.58934628844	4.67702960867	8.14102497454	8.04533105625	1.36102379593	4.56051492854	5.49237873624	769077.518	True	
-2.57619051533	9.44047569949	-0.813769560452	8.62633615962	-1.15516923523	9.74493446854	-4.76625687321	-4.85668675133	-2.58926977328	-0.214675511718	-0.0745739815359	5.55142927828	8.84896095162	6.64578672722	0.583505937091	1.43168481348	9.59578487519	1.65426201475	-8.40080744677	7.64209672259	3.91313874951	6.41137372205	1.76305655304	0.527538638883	2.74460369712	4.77794434222	6.10708856882	0.313015874373	2.85924887657	1.63665119935	2.43318657385	0.536352709871	0.687872320449	9.34403900923	0.461449217613	5.73476878528	8.21653805689	6.38583198587	5.12371809079	8.69855500799	3.91249642793	5.25231013787	451296.039255	True	
-4.33317199818	6.97319076114	9.0847717569	9.49481866889	-4.67257879917	-7.84034384576	7.23979388768	-2.2025167581	1.26285099258	-1.75058126533	4.32369986118	9.22247561541	4.26239050547	5.56010471962	9.96471775709	8.97785897585	-3.49692427722	9.02418311426	-4.29938147477	-2.30604739684	8.9774527978	4.75307451175	2.12072173372	6.29060971295	1.92707776818	6.76845937165	1.61941273087	8.41719485258	0.622550620705	7.19876274904	3.21863434273	7.41959557573	9.13625827688	5.14283461009	7.71079342302	5.40294256356	1.88941756559	3.07033901077	6.66722931568	8.1316148322	4.00580936389	4.43698043139	286250.843033	True	
-0.828864607492	8.80286873037	-2.64634545482	-0.991971904207	-4.63279382359	8.16186050318	3.64097272796	8.74954450187	9.24134060088	-0.12190359231	-1.79766730632	2.48502675265	3.59049260921	5.95755103852	7.00247379691	9.47316388141	1.23154507608	9.37839717955	5.20849508864	-2.15811203521	2.53569645369	1.18755658512	9.90517819805	2.81937885584	0.576044037312	8.32329671961	3.2611122872	8.49017462908	6.80411617631	3.18900869879	6.2752324326	9.55405065903	8.05631175826	4.40092061005	5.48892713968	1.0656773541	8.16928837641	8.87187460374	3.95738967593	9.6422936384	2.77376029688	4.1147302594	316126.056151	True	
3.72760982148	1.06055830134	6.09578090445	-8.73486654949	7.54802008997	-0.119104464604	-7.48212943355	6.95878764891	3.89521766679	-2.83295547068	2.45563850759	-5.06330522837	5.49486386683	-2.82680962801	6.35405682776	-3.77418971594	1.3701919733	2.60498244639	2.22586574359	6.02658340724	0.00713014712796	5.72106514226	8.54249609275	4.96132794047	3.98237248914	6.96582962598	7.6974708555	7.04895082735	1.0257373546	1.73081095491	7.45421686187	6.57269550803	2.17925194949	4.56827996175	0.461086556479	8.16136390024	1.18915651406	3.13076997927	3.30855272932	6.98298544702	2.99194973329	3.73569422425	166880.290313	True	
-3.72286039792	-3.4909849399	6.26274780359	-4.20629956525	6.63633662112	-3.18225914702	-5.8833056611	8.29577162489	3.55548291907	-1.33745510572	7.88010000815	9.45483078732	-3.17370071223	8.97048212595	7.62772011103	0.557729346126	-3.38476381544	-3.96191527071	-2.62257788938	5.0772460833	2.93969079617	8.31403458815	1.23641412304	9.12246044077	5.39146148369	5.53914012563	5.84605773386	1.74795886395	2.92830095542	2.50585023143	3.72040992884	5.06070649094	6.03314638568	4.07690896528	6.81625626018	2.49446249387	7.93632693109	4.13405134094	6.5039575598	0.0967640937246	2.99947293643	3.04007705774	483280.103101	True	
-8.63590588137	-0.676233036395	3.58689661655	6.97329189322	-2.74507938878	-4.89519311654	6.56365094023	-0.728712360382	-0.0760351312544	2.18516302994	-9.35927470498	6.94657501132	7.84988496013	5.56885962332	5.76540740814	-7.75350889778	7.39842145791	6.3389161302	-0.69776062978	5.16946232947	3.74421176567	9.78870132701	7.14908978946	7.2096516705	2.62660076163	8.24636545403	5.13764499535	3.27470277241	0.957988763591	1.11779644924	8.04136554933	6.93805550563	4.7266208305	6.9981068735	6.82759794592	7.36558263695	6.65760235028	9.52916522901	9.12228855635	5.63181672191	3.68136314434	5.8876203256	167776.427298	True	
8.7958326184	4.03590037873	6.98731704665	4.40034372606	-1.60174972688	4.22110515619	-9.07063157307	-4.83255986001	0.475640876567	4.84158659526	8.75599593818	7.95228379296	6.40702672485	9.74000044832	8.40373652863	-0.176301174225	1.74835059033	0.629423535938	-2.29130700662	-2.20145890918	3.2372189255	8.20449033821	3.32534669019	4.94701446743	1.93099672822	3.64089053853	7.98787239073	3.83480002053	2.51912733741	0.366020557066	8.57391769241	5.81701300519	2.97185216592	3.9763938211	5.30961689526	2.78189319382	7.48470637321	2.00212051917	5.3942750637	4.15023821441	4.99469117459	5.00501866761	274322.281209	True	
8.04907613483	-7.23909330959	2.27353790486	2.37017514144	2.07755336346	7.47250304342	7.12754160945	-0.544759321502	-4.57833876284	2.50539798742	-2.03393660117	-1.81965149756	-3.92378976009	7.11177485506	6.10801262001	-0.970158127205	3.29604515633	9.16702665052	8.73380686729	-0.927833143158	2.46421370158	6.90097462226	0.418566216404	7.42141053074	9.62925427659	2.66708808767	8.28118639645	3.17337298223	4.93694447493	5.22836360228	5.53795860232	5.75566267813	0.699335326739	8.76889701411	1.94652885104	1.28006308002	7.32606624968	3.78943757891	3.9704340402	3.30086794893	3.61650282674	4.88891778492	313705.40248	True	
