Parameter 1	Parameter 2	Potential	Temperature	Equilibruim
14.605864921	-0.576779902696	4228.53938922	3104.6066153	False	
2.92607110979	0.694180567164	11242.7953625	3104.6066153	True	
6.741687221	-0.869298476083	3491.50807655	2949.37628453	True	
7.49370172569	-1.37383944728	9280.66817221	2801.9074703	True	
1.64625003236	-0.820179538802	3479.30956245	2661.81209679	False	
9.79347242176	-0.24826709054	6240.6105234	2661.81209679	True	
1.63596116191	-1.06949744374	4376.86218672	2528.72149195	True	
3.58075050353	-1.06448318523	4335.79598046	2402.28541735	True	
2.20259199608	-1.01404034513	3977.40186299	2282.17114648	True	
5.00456771406	0.0468868072181	8100.95171297	2168.06258916	True	
4.00038821185	-0.668411442519	3821.49346609	2059.6594597	True	
14.3423074198	-0.142761752285	6927.70362163	1956.67648672	True	
3.56225658255	-0.926283509786	3595.21464075	1858.84266238	True	
5.00402905009	-0.74469051743	3588.36106954	1765.90052926	True	
1.19907085317	-0.892251521761	3518.51551498	1677.6055028	False	
5.78703797817	-0.832262555814	3477.4308489	1677.6055028	False	
7.8094075687	0.260693451363	9287.10448742	1677.6055028	True	
8.63722611722	-0.736360675473	3608.33865451	1593.72522766	True	
9.94991870616	-0.630600089384	3975.22713677	1514.03896628	True	
6.35328457971	-0.98983868812	3843.24642439	1438.33701796	True	
13.6426986872	-0.547932525031	4378.52390622	1366.42016706	True	
12.4696801938	-0.413503046355	5169.04523383	1298.09915871	True	
10.4712260886	-0.576452887009	4230.18799279	1233.19420078	True	
14.1111518784	-0.149357887448	6885.2325115	1171.53449074	False	
1.15685940042	-1.03114194213	4086.04871169	1171.53449074	True	
4.85823067759	-0.991578864488	3852.12616611	1112.9577662	True	
1.92741364656	-0.918926729295	3575.01285374	1057.30987789	False	
0.898399975737	-0.854396386969	3477.49855505	1057.30987789	True	
0.83465664621	-0.74351306679	3585.65085936	1004.444384	True	
1.25651248166	-0.68639506134	3752.70524297	954.222164796	True	
0.351686540963	-0.68455073153	3752.87837466	944.679943148	True	
10.9048047155	-0.819785337554	3481.42983688	935.233143716	True	
7.69080035979	-0.506902033589	4605.86589127	925.880812279	True	
2.53232173309	-0.667323483398	3824.61596986	916.622004156	False	
11.5740066169	-0.98523341168	3820.24406868	916.622004156	True	
10.8166617525	-1.01956621102	4011.90459455	907.455784115	True	
5.82779267933	-0.56467183905	4290.3425425	898.381226274	True	
0.632260257276	-0.819838574139	3476.13624905	889.397414011	True	
6.67319131222	-0.83336295199	3477.30245583	880.503439871	True	
9.52886486035	-0.682222913196	3771.51724146	871.698405472	True	
6.78286435927	-0.804103136658	3492.29216008	862.981421417	True	
0.832758426421	-0.886469598474	3508.50998232	854.351607203	True	
5.83173328411	-0.843240206061	3477.490003	845.808091131	True	
0.10442775491	-0.561601946607	4288.25765878	837.35001022	True	
8.15247329285	-0.535308204578	4446.83796783	828.976510118	True	
4.62422178479	-0.518926044976	4537.48704329	820.686745016	True	
5.20500532902	-0.656656969982	3866.9908939	812.479877566	False	
10.389984936	-0.744147444614	3589.69868871	812.479877566	True	
7.70282973425	-0.992989368849	3859.46952111	804.355078791	True	
6.96799899773	-0.949081555076	3667.41461645	796.311528003	True	
6.54165233733	-0.980533142693	3797.59303764	788.348412723	True	
8.66156812108	-0.318063773658	5782.85847846	780.464928595	True	
14.6431334971	-0.919659984437	3577.86076485	772.660279309	True	
11.2184850072	-0.897069564611	3529.06466952	764.933676516	True	
9.45855292966	-0.658356298914	3860.39243979	757.284339751	True	
7.00081110339	-1.04313897903	4171.24047139	749.711496354	True	
12.0785493581	-0.551801472448	4357.89947002	742.21438139	True	
1.07279241159	-0.851385124355	3476.71592443	734.792237576	True	
7.07818192202	-0.774183073535	3530.30511017	727.444315201	True	
6.43658506462	-0.780059227266	3521.10837103	720.169872049	True	
11.8664321409	0.0778409642487	8282.53252463	712.968173328	True	
14.3079601994	-0.765436800972	3545.49427882	705.838491595	True	
3.15457126554	-0.714945073397	3665.49745295	698.780106679	True	
11.3390955817	-0.860380870839	3484.47968737	691.792305612	False	
1.17396861792	-0.813473184258	3481.87598714	691.792305612	True	
1.95823372301	-0.9467756329	3658.44753318	684.874382556	True	
9.021514804	-0.91398381351	3564.00767149	678.02563873	True	
6.42181493125	-0.901943720007	3538.16198886	671.245382343	True	
7.56565191018	-0.656912091327	3866.06560375	664.53292852	True	
14.6481207893	-1.05432909496	4255.10040991	657.887599234	True	
2.73656942823	-0.678684477913	3783.08191208	651.308723242	True	
2.73237292665	-0.890779203982	3517.93564129	644.79563601	True	
4.12485527156	-0.755787359194	3564.07789743	638.34767965	True	
6.56489880122	-0.906250758585	3546.85667751	631.964202853	True	
7.15790943051	-1.00338251002	3915.72218007	625.644560825	True	
8.53054126637	-0.72927851294	3626.401665	619.388115216	True	
12.7289966107	-0.689749898828	3745.52337132	613.194234064	True	
9.45452870337	-0.797380809451	3498.91069825	607.062291723	False	
13.349772439	-0.744060428171	3589.90022484	607.062291723	True	
10.5087124141	-0.848684493934	3478.80794618	600.991668806	True	
6.2587431077	-0.900367366146	3535.12949971	594.981752118	True	
9.21115430639	-1.03720093706	4128.91392282	589.031934597	True	
11.0932753149	-0.860236326845	3484.38509534	583.141615251	True	
11.1645000992	-0.834729914966	3477.17998724	577.310199099	True	
5.70721716863	-0.98637590503	3825.85968311	571.537097108	True	
9.7843499278	-0.72038376487	3650.54854408	565.821726136	True	
8.77076090033	-0.890175608928	3517.48423764	560.163508875	True	
2.78355020046	-0.882502934122	3505.87557784	554.561873786	True	
11.6185207608	-0.869815071941	3491.99885899	549.016255048	True	
2.64334437772	-0.716942239657	3659.32899143	543.526092498	True	
7.52344799125	-0.618259209524	4029.92461378	538.090831573	True	
14.3826606753	-0.731547289125	3620.50429163	532.709923257	True	
6.7058416883	-0.766916850976	3542.78613527	527.382824025	True	
3.76324843297	-0.730313250656	3623.38920472	522.108995784	True	
8.50633553335	-0.968444757291	3743.21847595	516.887905827	True	
11.100845102	-0.776673531826	3526.32046991	511.719026768	True	
3.60452845794	-0.894662186272	3524.64116973	506.601836501	True	
3.21046445944	-0.837082497126	3476.68753135	501.535818136	True	
4.60074715121	-0.874314337361	3496.446848	496.520459954	True	
1.28290674916	-0.888127266867	3512.18693356	491.555255355	True	
6.61314013898	-0.635880244358	3952.46387139	486.639702801	True	
12.7412091763	-0.748078984212	3580.78119171	481.773305773	True	
8.53239488955	-1.16070707956	5336.28371383	476.955572715	True	
12.0716323953	-0.837458187521	3477.06696907	472.186016988	False	
10.7553538104	-0.89956715632	3533.63621144	472.186016988	True	
10.8702655967	-0.8818730991	3505.53897301	467.464156818	True	
9.12428350957	-0.8436298452	3477.58055645	462.78951525	True	
10.3261240962	-0.765826517695	3544.77977832	458.161620098	True	
12.653025046	-0.878671630949	3501.50798449	453.580003897	True	
2.31478762337	-0.790690899778	3505.52010709	449.044203858	True	
5.02319642994	-0.920832324019	3580.81214575	444.553761819	True	
1.808036339	-0.840979024679	3475.7015502	440.108224201	True	
6.81049311136	-0.764689471028	3546.86011647	435.707141959	True	
1.51788398029	-0.745033231632	3584.86700991	431.350070539	True	
1.53877679584	-0.721392378716	3644.79786242	427.036569834	True	
2.95730156193	-0.815164646392	3483.43102358	422.766204136	False	
13.7361680629	-0.854264121685	3481.01594127	422.766204136	True	
9.46612384907	-0.964824930265	3728.00138331	418.538542094	True	
3.58766469131	-0.851551178482	3479.58071601	414.353156673	True	
4.28659336186	-0.881491475512	3504.93135562	410.209625107	True	
2.84131967722	-1.04691212376	4198.71431166	406.107528856	True	
4.01462168527	-0.678303880865	3785.16854757	402.046453567	True	
10.3638605072	-0.945146384271	3653.6793819	398.025989031	True	
12.0586686141	-0.859484306217	3483.90316172	394.045729141	True	
7.72959192113	-0.771106337333	3535.44625272	390.10527185	True	
2.04778630369	-0.84548147555	3476.76237134	386.204219131	True	
9.15377608497	-0.911803624796	3558.97414145	382.34217694	True	
0.551243855739	-0.768776350015	3532.73847478	378.51875517	True	
4.71726533163	-0.744737043587	3588.22550439	374.733567619	True	
14.8242371888	-0.731530973176	3620.5463447	370.986231943	True	
11.9471895407	-0.798360993364	3497.87674056	367.276369623	True	
10.3869617648	-0.826359800236	3478.81084786	363.603605927	True	
