Parameter 1	Parameter 2	Potential	Temperature	Equilibruim
1.87001044489	-1.05155622206	4233.29745796	2822.36965027	False	
3.15106628181	-0.58757005152	4173.99088108	2822.36965027	False	
8.36914872094	-1.12116360427	4872.09612127	2822.36965027	True	
13.536990315	-0.725894876966	3635.39999671	2681.25116776	True	
1.70449938745	-0.331628432483	5688.53145943	2547.18860937	True	
7.99250707228	-1.01796567226	4001.91877129	2419.8291789	True	
10.8164991912	-0.420503871942	5125.17338935	2298.83771995	True	
13.5466260714	-0.527026254981	4492.48032977	2183.89583396	True	
11.420454188	0.197353701666	8951.91910351	2074.70104226	True	
4.41842223731	-0.0543851592615	7486.56673737	1970.96599015	True	
8.8659895001	-0.760608245148	3554.62859247	1872.41769064	True	
5.76282363754	-0.852873557676	3480.3530924	1778.79680611	True	
11.8257322306	-0.241851369312	6282.71390164	1689.8569658	True	
6.91560339372	-1.293039141	7481.7668365	1605.36411751	False	
10.1394381248	-0.613612185475	4051.08170298	1605.36411751	True	
12.3151232542	-0.814593906923	3484.31519802	1525.09591164	True	
10.9241104514	-0.789666595205	3507.89371495	1448.84111605	True	
1.20851079387	-0.89476786057	3522.77716598	1376.39906025	False	
8.279607229	-0.467911052417	4834.4885947	1376.39906025	True	
4.51225192618	-0.711403417998	3676.37530847	1307.57910724	True	
3.18708912586	-0.892624409206	3521.10751204	1242.20015188	True	
13.0771105162	-0.575502301371	4234.98932013	1180.09014428	True	
8.33805491073	-1.02314025855	4034.5780136	1121.08563707	False	
12.0556121821	-0.439831478845	5005.22774223	1121.08563707	True	
9.58238930052	-0.964693790803	3727.45925288	1065.03135522	False	
3.0798726958	-0.622455537089	4010.2706552	1065.03135522	True	
12.0422096953	-1.06163730128	4312.78756868	1011.77978745	True	
12.9986524564	-0.766309015262	3543.90086358	961.190798082	True	
10.2557216122	-1.15335292988	5244.12581417	951.578890101	True	
8.16133301049	-0.673504619008	3802.86449318	942.0631012	False	
10.7991249014	-0.853632395345	3480.7204628	942.0631012	True	
12.7099072334	-0.723037930781	3643.17688787	932.642470188	True	
0.833129372073	-0.9646157947	3724.75016137	923.316045486	True	
11.9459809467	-0.967593990126	3739.59909788	914.082885031	True	
0.0633067641833	-0.902097056351	3531.75437372	904.942056181	True	
6.85744097408	-0.920800140649	3580.76707132	895.892635619	True	
14.2694517242	-1.05437342519	4255.44333073	886.933709263	True	
5.96397705819	-0.851810825631	3479.91098747	878.06437217	True	
4.65443156366	-0.652413703367	3883.82233052	869.283728449	True	
2.30571293496	-0.777262389185	3524.24279366	860.590891164	True	
11.3862452828	-0.78784229538	3510.23349919	851.984982252	True	
1.98760681696	-0.866748906897	3488.10155163	843.46513243	False	
0.991424711639	-0.520839954543	4518.70208897	843.46513243	True	
5.63180154681	-0.446285956711	4965.49542923	835.030481106	True	
0.876290574709	-1.24778511356	6640.67711077	826.680176295	True	
13.2468847498	-0.77617220586	3527.11288095	818.413374532	True	
4.54486089481	-0.0493609545249	7517.83007017	810.229240786	True	
3.80422649355	-1.07685730169	4440.40175405	802.126948378	True	
10.8852566486	-0.818997311477	3481.82166104	794.105678895	True	
3.73308950627	-0.857855772872	3482.70612062	786.164622106	True	
12.2725734034	-0.927801890021	3599.63667286	778.302975885	True	
8.04657534236	-0.358443074366	5520.31342278	770.519946126	True	
8.98373067074	-0.729603027081	3625.55221915	762.814746665	True	
1.70861785462	-0.862935314727	3484.69857312	755.186599198	True	
10.3906935784	-0.372296671746	5431.04889117	747.634733206	True	
9.54988541955	-0.673961235734	3801.19343788	740.158385874	True	
13.9461544532	-0.645630879731	3911.58015083	732.756802015	True	
14.4212722733	-0.972468442052	3760.70904032	725.429233995	True	
8.33645053187	-0.685535522443	3759.9502855	718.174941655	True	
10.9063213193	-0.549389696646	4370.73805921	710.993192238	True	
13.1642529043	-0.785397325632	3513.49718071	703.883260316	True	
11.8572146163	-1.06106284744	4308.16876352	696.844427713	True	
5.97662366525	-0.970109957616	3750.37026186	689.875983436	True	
3.40931091883	-0.654222239954	3876.19688825	682.977223601	False	
0.706368152895	-1.02172771758	4023.56933348	682.977223601	True	
4.8909053902	-1.10877195908	4742.16515696	676.147451365	True	
1.28561891777	-0.604322556571	4089.10156211	669.385976852	True	
1.1717024024	-0.92736777099	3596.38438712	662.692117083	True	
13.2516760411	-1.07018251169	4383.2074431	656.065195912	True	
1.33974549255	-0.645321359615	3908.46690544	649.504543953	True	
13.2462567812	-0.807953231932	3489.04032684	643.009498514	True	
9.23810499737	-0.918183267821	3574.15192183	636.579403529	True	
6.71540603878	-0.80693847479	3489.85071049	630.213609493	True	
11.0495591451	-0.890910544188	3518.64754372	623.911473398	True	
13.2932105935	-0.825198210727	3479.18893725	617.672358664	True	
8.90681348252	-0.967699391326	3740.04546006	611.495635078	True	
4.27128367925	-0.719618221234	3652.50884889	605.380678727	True	
2.5138621825	-1.0115109523	3962.35979838	599.32687194	True	
4.57484470396	-0.675683183431	3794.75116098	593.33360322	True	
12.1792388583	-0.792874474613	3503.97876214	587.400267188	False	
