Parameter 1	Parameter 2	Parameter 3	Parameter 4	Potential	Temperature	Equilibruim
7.33216524167	1.96293312032	-0.61853354472	1.66203137117	3869.16304882	2030.5119599	False	
3.10530255299	1.87429584971	-0.158685625681	1.54405027602	2816.23296956	2030.5119599	True	
3.24856024456	-1.97840745528	0.206260256858	2.27794288806	4830.15461149	1928.9863619	True	
2.64832835533	4.30871757611	-0.354475669283	2.0632126844	1820.74194738	1832.53704381	True	
1.8142690602	-1.75109561617	-0.124947367296	1.63965789775	1823.79833186	1740.91019162	True	
3.26755627373	-0.427398523904	-0.747614207702	2.08520446317	2822.7862935	1653.86468203	True	
2.38535675089	0.14670562967	0.214139196097	1.75456183745	4233.88405467	1571.17144793	True	
-2.77164118642	8.60120839297	0.965386409977	1.88549993287	5426.61745135	1492.61287554	True	
4.94383806132	1.04559935652	-0.290441466719	1.11394007197	3221.16333274	1417.98223176	True	
4.92629657982	7.19449245105	-0.562661870994	1.5720763233	2787.73699856	1347.08312017	True	
5.4898497379	4.63438165104	-0.34531965836	2.34400506044	4054.84882185	1279.72896416	True	
7.82393360696	0.368270041049	-0.481328166324	2.66428584363	4207.62455875	1215.74251595	True	
-1.43952143404	6.04699755487	0.903348680186	1.1011299261	4869.73873924	1154.95539016	True	
-2.03031607453	7.98510674067	0.5771709075	1.86950560547	5552.82763994	1097.20762065	True	
7.05830034129	5.87419635093	-0.566836528659	2.62117310029	3937.75450901	1042.34723962	True	
3.07723206996	6.07719912806	-0.084366535935	2.73143799151	3763.06018267	990.229877636	True	
1.75992936592	4.48233662772	-0.625330437016	1.57102350194	3402.20053426	980.327578859	True	
2.26624761018	8.86943789124	-0.37424389582	2.58206315009	1817.29814419	970.524303071	True	
2.59611886211	-3.26763384246	-0.179285987012	2.91837513726	1826.16712323	960.81906004	True	
5.96660325019	-4.61996360179	0.0745741995486	1.72308873683	5397.91623154	951.21086944	True	
2.74883797824	0.231160080459	-0.318871892867	1.45558225463	1327.25018932	941.698760745	False	
2.50447258819	1.18997227005	-0.301786017339	1.45925248855	1532.70272073	941.698760745	True	
0.60189374051	5.87955710364	-0.167625676309	1.53696005146	3164.39912639	932.281773138	True	
3.07624403804	-0.704062987187	-0.0231598359059	1.9643976641	3255.62234191	922.958955407	True	
3.14228252745	7.22158641161	-0.380425892816	1.65523139236	1954.06097456	913.729365852	True	
1.32288336784	1.25694182459	-0.488473340775	1.97423692442	2945.52800711	904.592072194	True	
3.63891106057	-5.10153137157	-0.246716105377	2.53060986911	2393.37982821	895.546151472	True	
1.64223386675	0.0123245354528	-0.274959044338	1.17875931842	1530.51399999	886.590689957	True	
3.06497905309	0.285046483646	-0.637885300005	2.06153862424	1865.44733126	877.724783058	True	
1.45592635181	7.15830579707	-0.577388305169	2.57621993034	3623.30909498	868.947535227	True	
2.22760924089	-0.802373203289	-0.355443623915	2.8068135702	1605.74095997	860.258059875	False	
2.36009977378	8.91170286145	-0.402371306925	2.14872948052	1757.8289532	860.258059875	True	
3.17845866594	-3.29032487692	-0.200140090826	2.33826889457	1896.96041244	851.655479276	True	
2.10587786208	-5.06641276122	-0.453405129412	2.29034305091	3806.58238093	843.138924483	True	
2.47915293137	2.10499239132	-0.49748862782	1.2040484874	1454.81138603	834.707535239	True	
2.42943991834	3.24513590433	-0.398167664414	1.37184159982	1556.98438069	826.360459886	True	
3.25015790837	2.44682120958	-0.433555112433	1.93265572172	1708.12928679	818.096855287	True	
1.8849303633	7.32143899251	-0.331036925894	1.35594643438	1966.0665579	809.915886734	True	
-2.05082166734	-1.06251166188	1.69570143705	2.36196193537	5690.20846651	801.816727867	True	
2.75752016107	-4.53736354469	-0.450434522748	2.34235420043	1943.14392839	793.798560588	True	
3.42586057679	3.94914422114	-0.550534777007	1.57736101953	1710.15767097	785.860574983	True	
3.01319816907	6.79719476671	-0.555211477022	1.96453631992	1734.78692144	778.001969233	True	
2.27624049165	-4.02671104073	-0.259717662516	2.73365757774	1352.78381706	770.22194954	True	
4.07820214665	1.08568978952	-0.507909752866	2.69340052897	2104.55561015	762.519730045	True	
-1.83411589516	3.98815204548	0.713551634099	1.99221372412	4837.09052976	754.894532744	False	
2.05101169811	4.06160768817	-0.22862996664	1.48924307611	2083.64044804	754.894532744	True	
2.39607629481	7.94401897581	-0.00300886683579	1.19288836692	3577.71204083	747.345587417	True	
4.80090544033	7.67023860298	-0.574962223217	1.84328215901	2693.77319522	739.872131543	True	
