Parameter 1	Parameter 2	Parameter 3	Parameter 4	Potential	Temperature	Equilibruim
-0.849281635167	7.83291414187	0.92329249592	1.19617818054	5665.96089157	2030.5119599	False	
0.946895928583	5.10752544981	1.12114596584	1.86248820087	10154.6508575	2030.5119599	True	
8.39341260146	9.05088252797	-0.481996045558	1.80735700933	4481.12081198	1928.9863619	True	
1.98660881797	-2.32368895574	0.0704017207363	2.81671433261	2998.59743423	1832.53704381	True	
3.60200965337	5.29977057762	-0.335576333928	1.92427256651	2490.17957633	1740.91019162	True	
2.32186811721	8.7617943272	-0.18834038843	1.66620821762	2471.23908033	1653.86468203	True	
2.85666293131	8.73941452483	-0.337681840524	2.22250005026	2002.44580764	1571.17144793	True	
-0.999578245415	8.61802073369	0.222446077538	1.9742644919	4936.41485591	1492.61287554	True	
1.90238679169	9.9685165279	-0.40511237115	1.74359984169	1974.07305728	1417.98223176	True	
0.250555232386	-5.57005925055	2.67976723394	2.68453054699	6016.24950091	1347.08312017	True	
3.11657121325	-2.16911106359	-0.225847413282	1.13231022968	2378.55882994	1279.72896416	True	
1.40301865548	5.96075245094	-0.0938412848726	2.12532270556	2772.3609483	1215.74251595	True	
4.33479365138	-0.917737708402	-0.232085491839	1.6876935651	2885.0195484	1154.95539016	True	
3.63908917871	8.8670731242	-0.300001515454	2.90139434675	2773.90116415	1097.20762065	True	
4.58317851381	6.51389121112	-0.476916813834	2.4066892288	2708.61330626	1042.34723962	True	
1.0499196438	-6.21869734542	0.231855928978	2.67422630396	5408.52587506	990.229877636	True	
1.58311409594	4.99678170215	-0.14213212663	2.13054154475	2556.83396249	980.327578859	True	
4.77999081065	-5.57250538655	-0.28960035525	2.61365381697	3261.49737294	970.524303071	False	
2.17216682242	0.512596179849	-0.174400961375	1.36406085451	1686.71326558	970.524303071	True	
1.32284310404	-1.273524149	-0.478152999051	2.33277494155	2737.53064374	960.81906004	True	
2.76255211052	5.51782260572	-0.377481027166	1.63146495233	1775.41844505	951.21086944	True	
2.50600477445	0.577372714781	0.176564793369	1.18678346747	3657.38516844	941.698760745	True	
0.534719128524	8.08137522472	-0.123180770354	2.68255998295	3287.58044866	932.281773138	True	
-0.205676344467	-3.18648533216	1.00863700117	2.73517025356	5201.2177295	922.958955407	True	
2.71429454695	2.81663971812	-0.581115747348	1.71749748311	1776.34169877	913.729365852	True	
2.80113975072	-0.70744621864	-0.453529029453	1.12643499311	1178.14240913	904.592072194	True	
2.87335022448	-2.33052463064	0.00788908418751	1.69896508121	2746.64007814	895.546151472	True	
4.37531219556	-2.02570890527	-0.431628532041	1.66264642393	1929.00093925	886.590689957	False	
5.75406831811	-2.71302353966	-0.393505020666	2.45388417624	3174.66299431	886.590689957	True	
1.78013546505	6.96320748268	-0.30505882534	2.51806455827	2094.62316579	877.724783058	True	
2.33155507889	6.46300382308	-0.126353429355	2.29335850452	2845.14671794	868.947535227	True	
3.14861235783	3.02753603413	-0.343190863826	1.90139764136	2009.08040732	860.258059875	True	
5.01924667984	-1.06166902096	-0.373535283253	2.63726367049	3228.69400142	851.655479276	True	
3.48458877944	8.85017367633	-0.45871085518	2.26050878881	1915.4074392	843.138924483	True	
1.05685310266	-2.66233726589	-0.295545046807	2.21044320107	2465.80180773	834.707535239	True	
5.21304276676	9.59654553317	-0.449066773787	1.85399998572	3316.24440816	826.360459886	True	
4.96231846733	7.47634142426	-0.448249530799	2.29694707749	3132.42798865	818.096855287	True	
1.7463483815	-2.38787499483	-0.0898886007055	2.03086859124	1897.71804909	809.915886734	True	
1.50063078265	-1.05206776539	-0.337585480455	1.78035657562	1748.39234449	801.816727867	True	
4.27762899637	0.117620934235	-0.546731280347	2.5555815457	2134.38632569	793.798560588	True	
3.0683700235	-2.6695158018	-0.697716757239	2.74559951228	2255.94505725	785.860574983	False	
2.63004121577	0.0290321720821	-0.340518602705	1.47923750772	1213.42476621	785.860574983	True	
2.87640823879	-5.63948795936	0.265281001725	2.83996385508	3902.93532372	778.001969233	True	
6.4502214647	-1.99598426826	-0.346206710491	2.01641321098	3695.95904762	770.22194954	True	
5.56853478112	0.124930717008	-0.288430030234	1.39924258174	3666.54269589	762.519730045	True	
4.18267524714	-0.00565720063584	-0.293936156938	1.74412108811	2677.11788927	754.894532744	True	
2.39400534061	-2.12171437786	0.33761558512	2.67212284574	5046.79841621	747.345587417	True	
3.30410953928	2.71388045927	-0.352356518619	1.21507258126	1871.24394547	739.872131543	True	
