Parameter 1	Parameter 2	Parameter 3	Potential	Temperature	Equilibruim
3.07375910789	-0.212938980408	2.93464004832	2320.78334266	1845.91996354	False	
5.16219518313	0.668176636202	2.82562384579	8749.47986199	1845.91996354	True	
7.30679249143	-0.366998626795	1.17703786893	1773.10202219	1753.62396536	True	
-0.624654794103	-0.490405966725	1.31364965263	1436.25443413	1665.9427671	True	
-3.27564066179	-0.391379989758	2.83738528086	1205.46127356	1582.64562874	True	
-3.52234520516	-0.404778276422	2.49992958778	1264.36774953	1503.5133473	True	
8.4354982101	-0.169442081986	1.17238851965	2469.36837604	1428.33767994	True	
8.98237947173	-0.471671235821	1.47959436933	1816.43529847	1356.92079594	True	
1.35490556546	-0.412002332426	1.62185211706	1483.10478894	1289.07475614	True	
9.66546094134	-0.00963806543562	2.87368004077	3544.70156833	1224.62101834	True	
0.663763580412	-0.563665379196	1.538832467	1849.18348533	1163.38996742	True	
0.191359755037	-0.453018037878	2.67565470493	1633.64735252	1105.22046905	True	
1.41503008741	-0.5396767766	1.63459098925	1807.65673555	1049.9594456	True	
4.10318353961	-0.650983279419	1.03199041144	2778.4667834	997.461473317	True	
3.64010372109	-0.553641722549	2.16504155886	2049.96377335	987.486858584	True	
1.44788481988	-0.56937994438	1.77703830623	2002.74488893	977.611989998	True	
1.22507217659	-0.0476983457975	2.83424369933	3157.07766384	967.835870098	True	
-1.13303394791	0.103780270075	2.38724928034	3469.3571602	958.157511397	True	
7.20392676944	-0.35755591427	1.40132526531	1810.99649022	948.575936283	True	
-5.65906171075	-0.0354599964534	2.71436250295	2765.89590808	939.090176921	True	
8.45020759071	-0.0489832319644	2.82851811511	3284.28966466	929.699275151	True	
8.44150702639	0.275793648344	2.44871281337	5634.71954584	920.4022824	True	
-1.5652828482	-0.318007925735	2.04822332049	1237.47672527	911.198259576	True	
4.95037337371	-0.606866266943	1.0744422203	2383.20747855	902.08627698	True	
-0.45851723263	-0.263307482749	1.43951155274	1295.06787698	893.06541421	True	
-4.44988203861	0.0391715591786	2.03775508116	3212.31627833	884.134760068	True	
-0.913293414335	-0.0868449292947	2.14508634209	2253.90286705	875.293412468	True	
3.52493926018	-0.577295198206	1.57525140328	2135.85087894	866.540478343	True	
5.23096927988	-0.474734885979	2.08292056197	1810.22471892	857.875073559	True	
-1.01285774143	-0.130223772346	1.99121469801	1913.95355497	849.296322824	True	
3.10109351436	-0.203186592303	1.21595157223	2043.46825215	840.803359596	True	
8.3452431827	-0.46139247292	1.33885059098	1793.64261803	832.395326	True	
4.90016634037	-0.588230924571	1.21106632725	2241.33843544	824.07137274	True	
5.67761816792	-0.43106752556	1.54769018275	1739.47230031	815.830659012	True	
-3.63117017648	-0.364394551418	2.81681889658	1180.38323229	807.672352422	True	
5.47131429837	-0.528395062604	2.098492173	1970.37933829	799.595628898	False	
-5.51287333011	-0.253459613079	2.86859363026	1920.00483273	799.595628898	True	
-3.1309894142	-0.430033618765	2.25558031694	1356.58715894	791.599672609	True	
0.582659784221	-0.537082862849	1.84253413134	1760.82674643	783.683675883	True	
-3.29434681548	-0.57446700271	2.33346073905	2035.84329789	775.846839124	True	
6.62274277684	-0.341110502323	2.2939359099	1879.48415129	768.088370733	True	
4.620205121	-0.460717383799	2.82205619825	1802.13649634	760.407487025	True	
-4.13457872063	-0.160765311916	2.96736548495	1645.67362317	752.803412155	True	
-1.9098179181	-0.353370448841	2.95767587485	1503.78182336	745.275378034	True	
-3.69630947125	-0.277982061664	2.5613233722	1331.54104431	737.822624253	True	
4.04851231273	-0.582716504371	1.99239382563	2225.1854318	730.444398011	True	
-1.5637067911	-0.655192631331	1.87999912133	2653.36566721	723.139954031	True	
-0.902553446318	-0.24271085564	1.76251875156	1397.89028856	715.90855449	True	
-5.4872767342	-0.159997305254	2.77357336594	2235.01795014	708.749468945	True	
1.47030858429	-0.534246135494	1.2070701224	1685.59635533	701.661974256	True	
-3.11966292087	-0.230104951839	1.84636391679	1909.90414555	694.645354513	True	
-1.66456758639	-0.565106480422	2.84856547493	1923.22564057	687.698900968	True	
-3.86698130893	-0.227028330925	2.44238656898	1567.27453196	680.821911959	True	
2.79826306672	-0.386048422787	1.22065696299	1530.86200074	674.013692839	True	
3.25033962077	-0.413553998306	1.30350097004	1585.03036255	667.273555911	True	
-3.81349358824	-0.534217545083	2.86779318373	1589.47953782	660.600820352	True	
-1.65980548477	-0.593919807947	2.03396502252	1997.42411836	653.994812148	True	
7.56132990814	-0.61537479869	2.33154345565	2518.29887301	647.454864027	True	
-4.1767141167	-0.34164712255	2.70727865825	1294.91186842	640.980315386	True	
-1.45291459738	0.157796866915	1.62690175526	3110.93932466	634.570512232	True	
-3.46482632402	-0.253359434508	2.12361900593	1675.77208594	628.22480711	True	
0.598770648432	-0.389297504717	1.06859504245	1152.726734	621.942559039	True	
-2.10701711587	-0.137026309437	2.11629185716	1736.98568253	615.723133449	False	
-1.34523749686	-0.02502941482	1.33439604788	2204.70719413	615.723133449	True	
1.21290292336	0.0353309170211	1.01229173845	2599.07482328	609.565902114	True	
-0.763339531642	-0.328450827294	2.77046017456	1648.46847091	603.470243093	True	
-3.85608219957	-0.194776607651	2.00003261751	2306.26919516	597.435540662	True	
6.93687556768	-0.331124169357	2.55955006204	1907.57833032	591.461185255	True	
-0.627873071812	-0.63965359366	1.41089878624	2507.35217164	585.546573403	True	
4.74092651407	-0.381183406286	1.87612506949	1761.76166706	579.691107669	True	
4.53283762282	-0.403440585306	2.71158225764	1782.06679087	573.894196592	True	
-0.225590753944	-0.553467145251	2.52933464873	1910.36182751	568.155254626	True	
-3.23449124765	-0.349604008516	2.21700398001	1358.96469505	562.47370208	True	
0.721033242364	-0.21453286093	1.41489010983	1637.95462908	556.848965059	True	
5.52617391734	-0.467990890946	2.10866022623	1803.96256202	551.280475409	True	
-0.545012750982	-0.175860937188	1.40649366221	1543.28127632	545.767670654	True	
5.39719370886	-0.36864447543	2.50994164257	1823.51601152	540.309993948	True	
