Parameter 1	Parameter 2	Parameter 3	Parameter 4	Potential	Temperature	Equilibruim
2.24434806973	-2.05570599221	-0.409734406664	1.6639324592	1442.14081283	2030.5119599	False	
0.171987950042	5.98259345158	-0.0750207900468	2.49273605969	3720.43479941	2030.5119599	True	
1.52361925462	2.50944441933	0.734027553846	2.37668204214	7961.99776221	1928.9863619	True	
-4.58995412141	2.77065116305	2.73516197164	2.36166452175	6026.75804718	1832.53704381	True	
7.3535209959	-2.09269069037	-0.774115254724	1.851897778	4585.02873879	1740.91019162	True	
1.10654273982	7.19239066544	-0.163963689667	2.7377021585	2723.90976362	1653.86468203	True	
5.55050940686	-5.63088132113	-0.671334604803	2.41036678059	5075.1060209	1571.17144793	True	
3.54239275888	6.4044679193	0.156529731352	2.6108647135	6243.44702207	1492.61287554	True	
8.3588808001	-5.62021352325	0.978557788965	2.3150808585	7146.23842815	1417.98223176	True	
3.36831478586	2.79797192161	-0.358379311365	1.57665535778	2012.35595313	1347.08312017	True	
0.843949563137	0.0456117524934	0.619400590378	1.74768003241	4891.95562349	1279.72896416	True	
1.57083846427	-2.42519960989	-0.342216040909	1.65625709044	2404.87845881	1215.74251595	True	
4.22699588151	4.72379902614	-0.541093061818	1.64418596604	2220.13564342	1154.95539016	True	
2.53545935037	7.84512209776	-0.381922548752	1.68805889051	1765.06327237	1097.20762065	True	
2.23512533264	7.94959998737	-0.209833126049	2.72790307257	2361.36963934	1042.34723962	True	
1.76230916685	6.18771695809	-0.292142560583	1.42170185908	2059.48514811	990.229877636	True	
2.52503973601	-4.13159047892	-0.575149834735	2.50371988421	1950.20809364	980.327578859	False	
1.63932945133	-0.410806007004	-0.347136625831	1.81396676403	1656.5025196	980.327578859	True	
0.342555184604	-1.9038714896	1.75255974687	2.07646915346	7536.73070511	970.524303071	True	
4.33404438194	-2.29577628542	-0.480391025688	2.13240400334	1759.29829239	960.81906004	True	
4.61679917287	-0.0861973378677	-0.558386213392	2.55165125177	2375.28740772	951.21086944	True	
1.75299987003	3.39256039283	-0.127534645001	2.61364255325	2606.52686089	941.698760745	True	
3.81539432581	4.46204559575	-0.602112587943	2.86033143905	2043.55779133	932.281773138	True	
3.69222038877	-2.94094446121	-0.254193981298	2.11889421855	2036.95020481	922.958955407	True	
1.70834053963	-2.76421047	-0.209549666727	2.7346200733	1646.36125336	913.729365852	True	
2.15198356091	-2.6601360653	-0.0828502540846	1.88392416749	2028.83760416	904.592072194	True	
3.40987656613	-5.8899206847	0.48343629206	2.83125517704	4931.3222539	895.546151472	True	
1.94308588653	-1.69237065309	-0.230751718995	2.04758543959	1456.45296968	886.590689957	False	
2.47590232061	0.0485268962782	-0.595827106585	1.77161466325	1825.73382392	886.590689957	True	
4.05123415583	1.02920586524	-0.428920206308	2.64745984987	2315.64331888	877.724783058	True	
