Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Parameter 39	Parameter 40	Parameter 41	Parameter 42	Potential	Equilibruim
-2.25940693429	-2.25558053831	-0.772980219482	-1.04542925033	-1.32654795589	2.84464555875	-3.01343521073	-0.376739660718	2.74411008666	-1.95223894295	0.972052934481	-1.31933279093	0.360231582743	1.41396970073	-1.80741331048	2.21867852438	0.370824839172	2.97538178765	-0.266025985545	-0.569386875997	5.82415487828	3.83133257106	5.64818356082	5.18162746351	4.36958612565	5.49010033527	5.60997104034	6.02473632779	5.75945552876	5.11605427822	5.23159103199	5.28685734099	6.03449376506	5.88638613249	7.02126482268	5.94397847554	3.97137150575	7.62806201934	6.30120368461	8.60733474176	3.53513632532	5.55485670193	3090.21092088	False	
-2.10486312706	-2.56810641052	-0.816259164154	-0.726445600924	-0.820939427678	2.02877985874	-2.40709071069	-0.0153623579642	1.89175546502	-1.18048286069	1.49352624063	-0.70431974259	-0.139222368828	0.989576101481	-2.3638016113	1.47976771027	-0.198471507846	3.14515355578	0.114585535446	0.0835197812945	6.46172016891	4.08385984098	5.47160870699	5.85847848724	4.52782034005	6.00681385594	6.49727321395	6.02295801616	5.11116844108	5.70018278697	5.48082465725	4.52105064767	6.8418077726	5.19335989387	6.19272472282	6.40678353501	3.67208742328	6.91357165271	5.43214397562	8.22699845889	3.38887457171	5.0245879568	2699.99208703	False	
-2.05075427418	-2.16018410965	0.270041625715	-0.227450361403	-1.09554253659	0.665089345208	-4.80483288716	1.0203098965	3.14555646053	-0.34847437496	1.13616675912	-1.42163135213	-0.910175141598	2.74445714828	-2.26243684508	0.654591076146	-0.312051962607	5.75090133509	-0.432758276625	0.167410812016	5.64357238174	4.73741184518	6.16673617231	6.20407536829	5.97868700369	5.39500496037	6.23584434093	5.43528573221	6.14907721291	5.9682153773	6.2076929329	5.3897467934	7.88101944088	6.46596973225	7.26044002253	7.60583871324	4.01482110401	5.9794143917	6.92587892846	9.38475650075	3.62135581733	5.15944305881	2181.65121046	False	
-1.82136191125	-3.14607754526	1.82869087736	0.0850097386256	-2.11993244261	0.949749185575	-3.90791877761	1.1592309556	2.45804973004	-0.407090918596	1.81631573074	-0.422785826356	-1.01103675194	2.35861500182	-2.61797054066	0.734141508231	-1.41836937564	5.87913819451	-1.54940943484	-0.572165117017	5.82222545192	4.51056243775	7.4243136923	6.27352718111	5.03513988451	4.73344833689	5.89511841709	4.953180047	6.4340399202	7.08476163537	6.12110972229	5.7290459669	8.05306640469	6.26973169842	7.02981387978	7.07402837761	3.46460000409	6.51178163007	6.56880117731	8.78240336028	3.12486781388	5.37517574321	2186.61407771	False	
-2.53297853865	-2.37013572721	2.40877677555	0.0944544930149	-1.26126733212	-0.122537435183	-3.72281715843	1.27934567298	2.94658935784	0.338645059631	1.9040152054	0.669112181977	-0.962172705791	1.72105401122	-3.8534819173	1.21552562868	-0.753924252745	4.58498563886	-0.916535341325	-0.611989676369	7.15749007006	4.56236712981	6.85609849789	5.86752295411	4.73578406705	6.9848841996	6.27773670782	4.85352474719	7.29509349009	6.42326829535	6.64203858312	5.82793755231	8.71065277704	6.66677473031	7.30872515333	7.32133950765	4.27617761936	6.70881310719	6.80353357181	8.14648455269	2.86829599718	5.11955515857	1947.70647706	False	
-3.21673908993	-2.78494070941	3.51078765662	0.642693592428	-1.86051191546	-0.00256906040077	-4.42822019042	0.0771107890575	2.0190308891	1.44495965065	1.59713794736	2.41120174011	-1.68318998215	1.99632486791	-4.36239040945	0.8833613481	-0.242340421636	5.10660293099	-1.17054582262	0.622263377377	6.63330727091	4.5261548267	5.4861210294	6.33659932421	5.14346412786	6.43905043975	6.3515470043	4.66116388016	7.06356092367	5.82755081375	7.14023659446	6.1964968016	9.74700101483	6.43601113869	5.7445261197	6.41589899071	4.1697698451	6.74182363377	7.2805461207	8.67287823311	3.27573751205	4.53800119292	1487.99339485	False	
-2.94657420258	-2.83289661607	3.66048684718	0.492912354647	-2.04153686021	-0.0267687701081	-4.26536214932	-0.453103810017	2.09714797437	0.956968565593	1.42738595905	2.64711802372	-1.28869544457	1.46843125044	-4.3096060717	1.13977309177	0.158961892857	4.66255513714	-1.65273698192	0.294726894877	6.89590748134	4.38744674687	5.73276422723	6.14503877619	5.00792489285	6.48991936584	6.61454277635	4.83379628328	6.52949896457	6.0568262618	6.71490728547	6.10202786141	10.1899454137	6.51336518113	5.86707061897	6.86348908366	4.20950763112	6.71657779435	6.73564043141	8.4230275095	3.39409329747	4.31092549271	1467.50460911	False	
-2.02478919985	-3.20099495976	4.32490186168	0.756862609301	-1.72128602792	0.0729394306563	-4.70991898298	-1.54573557936	3.01477758315	0.236915002812	1.27669956734	3.16766929393	-1.01509703917	1.96580805021	-4.11447786508	0.779930782975	-0.523900924106	4.48163863794	-1.57674413175	1.23003989306	6.89689673891	4.51672569393	5.91139445845	6.34758483635	6.10078984777	6.95587252294	6.63468434752	4.50773668149	6.25686730024	7.02798313537	6.55189767411	5.95306812366	9.91519966216	7.40107687903	6.87123184083	6.30031094525	4.57283296995	5.92668914999	6.66605946739	8.79103644458	3.32693856878	4.73712879329	1535.79784285	False	
-2.69563618617	-3.31206596428	4.85131027571	0.32444058933	-1.23131098331	-0.462600264924	-4.96881317047	-0.551323871169	2.19809864708	-0.111509646505	1.38028938636	2.99626964969	-0.651809013937	3.15664930151	-4.19859026565	-0.768747302629	-0.246963037348	4.62197157454	-0.792446235993	1.85172617309	7.09921634241	4.57170888913	5.54866117415	6.17683472812	6.57709906277	7.03286444039	6.0330354127	4.1370531609	6.89970042706	6.45714604718	7.28776781209	5.78937319464	9.79102387511	6.89915629195	6.41269316328	6.37853723546	4.4480402691	6.36427667174	7.19851277545	9.34975212436	3.36396739515	4.98245656563	1756.05184406	False	
-2.4948910967	-2.60590413269	3.90726019007	0.438197934975	-1.15201574633	-0.277573523869	-6.703880002	-1.17619069507	1.17960609508	1.6054163455	-0.676862081944	2.87176997384	0.148841350083	4.76488424028	-4.76554034139	-2.29763211185	1.23881956999	5.05395669831	-1.0621090903	2.84402118101	6.97300821388	4.02340873944	5.63648731718	6.33533251587	5.5138274995	8.55903659411	5.50982396629	4.91716783601	5.45343274095	5.57146583522	6.22210375424	5.59716199237	9.85021570725	6.56938409851	6.72397596605	7.83363002403	3.64696714085	5.7554502567	7.76037376661	9.0713427638	4.21483211856	4.58040855598	1632.66572748	False	
