Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Parameter 39	Parameter 40	Parameter 41	Parameter 42	Parameter 43	Parameter 44	Potential	Temperature	Equilibruim
4.73142194923	2.61435686232	1.07792600693	6.97490674125	0.762657202044	7.36256162588	2.88284147182	6.86347835408	1.84170896754	4.09700552409	-1.36444719607	6.36998728915	7.62995784181	3.93219441638	9.8861396938	1.96226845858	-3.77281099695	5.33126744966	7.09358443683	1.09883853636	0.160374557001	5.33048019371	1.26996981656	8.2882840714	4.92181391738	2.64621856838	7.28619524904	4.55236447928	6.93620137842	2.98823209456	1.11239917265	6.45024430639	5.75378644156	3.65506901975	2.22198777896	1.25496691788	8.48324859241	4.73321724895	1.72024452519	3.02703236221	6.18248828407	-1.64160929629	1.4534456454	1.01284776627	59247.0637296	66115.7024793	False	
1.3640306951	1.44367951785	-0.0113780898637	-1.26597774967	9.24042021931	4.71686061356	-0.638786008913	6.21481944811	-1.36927991372	0.982282959531	1.57914399141	-3.8813128639	-1.60017039057	0.154757107541	6.79590019395	5.26772921131	4.5665529854	1.2049889644	6.10997263106	-6.19346289132	4.15177141335	3.95242114343	3.10212132094	4.65119661648	5.13457837076	2.80551316244	1.03444393787	1.31471920617	6.67487905814	6.05443957364	4.49139047004	3.9690420582	3.7949088913	7.80768012997	5.77914018821	6.89658596688	6.18184219493	4.4075258864	1.64878126692	6.59134850745	6.48048855128	-2.754712279	2.23805346224	-0.547876563928	104827.461641	66115.7024793	False	
2.61768429674	4.04238357543	-4.68188057311	-1.81166773317	3.65479240587	2.35484300516	-1.58426651856	-3.48369063772	7.14712628181	-1.39073817085	-7.4167601672	7.77388682461	-2.98461423806	8.13639666341	-5.18283630766	1.74874899769	-2.28183261748	3.41622258613	0.363207702154	6.69559489326	-4.50096581045	8.06859307799	7.88322111888	2.46321595888	3.18169641117	8.58508867491	1.40384994819	8.24616326336	4.5270523017	4.28192417561	2.87723150838	7.15047883365	4.54422893159	9.16523664504	9.13433597653	2.49829910105	9.40989838548	8.641238072	4.04114953511	7.73062965726	3.27454123119	-2.352441294	2.61710791414	2.91189901819	75268.4358854	66115.7024793	False	
3.52285880094	1.5685368057	-0.875559029123	0.483543510289	3.48616705512	2.55223219997	9.62215583257	7.47098176988	5.81891898194	5.2229629878	-5.30522293145	6.4862306802	4.42597314688	7.07459515575	4.39489016649	9.13608826242	7.70156592374	6.70757916238	6.06017304857	-0.524835655112	5.47861081817	1.48533376079	8.72142176067	4.11843253337	3.12305700638	0.689824842931	8.49733810666	4.18478282904	2.84355642495	4.37571345122	3.77463093478	8.43691841282	6.44678826237	7.20625231375	1.58914187813	2.77332476559	7.13929458165	2.44493349561	8.40672811189	5.26422907056	7.73821408435	-1.67144721625	1.58232625752	-0.2338073325	30769.5185435	66115.7024793	True	
3.98895212979	-2.75795017816	2.70497743249	-4.60664062256	3.41802495497	3.56947718271	-0.409046924305	8.13712964515	-7.54823660862	5.01347644715	2.62287798194	7.81350321762	2.30641202632	3.88892023788	-0.807329029749	2.50893563152	-2.82411615101	-0.0627967396503	-2.3192186575	7.77442350277	-0.276857645763	3.31156287782	6.45249573665	0.450791561357	9.743376442	9.47378529183	5.39944721419	4.68040652808	7.0591643477	2.07107687926	3.45188265645	7.83292986851	6.2226956201	7.01285504922	4.20536318897	3.7874900235	7.17670910611	0.582377329161	2.20795769729	5.04658638703	2.20772753128	-1.5354977666	2.1014843035	2.3865467647	50317.8983305	62809.9173554	True	
1.03206185354	5.82115548973	8.38267419548	-0.254396198083	0.423112829502	0.960341165054	-1.91152616796	3.84284973589	7.54203990284	5.20107769963	8.78335242211	2.63321073233	-1.89540902892	6.363515926	4.46336692627	-4.31906178278	4.67478045182	-1.42546562338	6.99556502198	-7.37546968153	3.43648086449	2.61970318106	7.81623508498	1.10251698689	0.807030582786	8.63092041383	6.41792034614	7.23370777572	7.75570306372	2.77319481829	7.68374764884	3.72288974117	2.69139128986	1.73800071513	0.94069220638	7.36535153357	5.27474411528	7.84872632128	8.27864190759	4.38861686624	7.14991810409	-2.09530499933	1.81161943403	1.89392868036	76076.6269166	59669.4214876	True	
2.51518331151	5.43576953982	-4.50990866087	8.0124506896	0.997095527996	-0.671549657893	3.07873320231	0.230325095154	-5.3042215251	3.61139590121	6.93466361798	3.21147097019	0.895843008467	1.05022938583	8.14264990841	6.96664896212	9.55563938253	5.76707965915	0.120412888013	-2.84541208591	-1.31570646945	1.12887358614	6.12690435658	9.9677595281	2.0260506393	7.14873459856	9.35314253183	9.03798270294	8.35177963989	4.23466575323	8.03084207856	2.13643480762	9.90343841884	1.86182932281	1.35680255253	2.31389697991	3.64356290101	7.30874043031	4.31515223885	5.71521502011	1.36728391703	-2.67721484403	1.96367032093	2.15966556241	12892.1879087	56685.9504132	True	
0.00951673956214	-2.49939446967	2.17905984938	-7.00591983962	4.77368585558	1.05003315483	9.23597146557	3.83653168789	-0.687163544646	3.83933039378	-1.255643098	5.38335282856	4.92050252834	7.38200368359	-0.0997623177218	-0.586175553564	5.62580156311	7.55972131529	8.85217042566	9.13729536817	-0.356584493958	1.50021693105	4.09157747045	0.417618227337	8.04050495324	9.80213841165	6.25949458425	7.06055124194	5.8795981884	5.33405891129	0.732291780423	6.96553371104	1.00779722736	9.40679962129	6.6921825196	6.48432083968	1.90934227053	7.12195849757	4.6046737654	2.8962973643	2.27545354608	-2.43695525526	2.6284631859	2.16439630307	13478.4966461	53851.6528926	True	
1.37621249444	-4.86964784151	3.32037678523	-4.28611792836	0.816461013269	5.44166026216	3.61567699262	5.92186582408	3.91546793506	-4.53204701683	-3.0322058013	9.00501664715	-5.77149913452	7.06220241417	-5.78619668991	2.5374718665	-2.48651864612	-2.04495256563	1.85679752298	1.20336717884	4.23458674331	8.84380262596	5.78976011204	3.19535702406	6.07511040344	0.420235985446	4.62101926275	7.59067698515	3.62894874186	1.53584778827	5.29860650448	6.97698714143	0.384071323305	9.09858549413	9.2307148814	0.214237673435	9.33686595759	3.48723114322	6.85158582294	8.2505445181	0.321301999837	-1.008712619	2.22779178631	3.24889513963	139367.388452	51159.0702479	True	
1.20562373885	1.99217762856	7.21331474523	1.72121086809	4.86577099387	-2.39557761853	6.67877870621	-1.66327472447	-4.14951432709	-2.1432747275	7.97286043819	2.95029256504	-1.56065373838	0.756662549787	1.70773568501	-3.05005728581	3.12963425993	-3.35485097019	4.05119378695	8.62364012743	0.480359331429	2.73056404242	5.54510813068	9.90449360738	9.39339726063	1.16707292125	8.32860103408	7.66154513518	7.67372873603	8.59954670042	4.44178114303	7.45407300857	2.07462819625	6.21031081782	5.46851858789	9.3574037031	0.836900622105	6.53012109036	5.37414220615	5.49648884165	2.98113479952	-1.85651679888	2.72629013166	-0.83294592207	51707.8672755	48601.1167355	True	
