Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Potential	Temperature	Equilibruim
8.35086289606	9.08074869347	0.807390575233	8.4098027934	4.8358042696	2.37363359633	8.33905053162	8.45190090339	2.95841062224	4.504701072	1.87596667172	-2.56577120314	2.80523974993	1.79304762666	3.83755904649	6.01119476208	4.35179117356	7.5510559985	5.4212547365	1.86553628506	3.00498081192	4.33519182115	2.77440614927	8.90381984385	5.71452774911	9.26875281007	7.12593906392	6.06608039215	6.03135459835	1.65079766641	3.48089619092	4.40702506509	2.69279540882	3.9515588711	2.82897660703	2.61325774569	154763.548154	110000.0	False	
2.21895326267	4.60468945011	4.76700682348	6.49415396643	1.56554673194	6.82311525388	9.35209259409	1.2194726007	2.81009432454	1.70453228004	4.32888833636	-1.73382722748	6.53967605573	9.99114001659	3.1077309268	8.91449670896	7.76668732047	0.947621468671	1.96864874439	8.18395664139	8.7553669862	7.74951059579	3.02089945663	8.87539121423	6.41350013023	5.32297852268	2.10466723035	3.59452507779	8.31127134395	6.54903285043	6.81671406429	4.18111312623	4.94099332523	3.05744103526	2.70897121312	0.532613864139	206375.784154	110000.0	False	
5.15352919455	3.5075061164	1.89914560495	5.4420378494	4.91446838876	6.91426188227	6.81254557067	4.03866824223	3.27358377421	-0.280646217059	-0.821413732526	5.13398502979	-2.84211246296	5.13324575671	9.55315434537	5.22073367831	1.03851023564	0.977181505848	3.29277260925	8.02923219369	2.48776214371	9.00839691817	6.28406865383	5.20774721938	7.57192071414	7.01369561859	2.14277065847	7.46711032603	6.42706683068	6.17605570297	8.57038416337	6.98658055838	1.5344422084	4.78630573066	2.03959379561	-0.122794694287	208140.969931	110000.0	True	
1.93344088319	7.18074237	9.74856839836	5.82426461342	5.25497329563	9.99925624953	8.28730282846	2.88213765145	6.55081875265	-2.08540462156	1.68199291209	2.27504436537	-1.96080487043	1.40812112636	7.17901257265	6.00250998034	5.00688887345	3.32408966395	3.04494102421	3.19169422623	3.31209780527	7.32613472874	4.666284757	6.08754224803	0.925729462366	1.84072981629	4.50631177044	2.46357567982	6.04300939759	7.83836123685	6.1040526993	4.69624556606	7.78705769695	3.08018725127	2.75395969869	2.94678387835	222873.436879	104500.0	True	
6.40554038539	0.551064039995	2.09688803433	5.64655305075	8.54297006477	7.13648997988	6.28612367177	9.07381116645	2.88885128458	3.74187894197	0.345554827556	5.1142537767	1.65789167537	4.53475372273	8.89925850018	5.24472934543	1.93633996843	7.5586277475	5.40880425267	1.15767612612	1.23740369046	3.04885434594	9.21018399197	4.48640241156	4.89403484421	1.84018464627	0.581403727597	4.8883708969	7.08829143963	3.63645279825	7.88145178965	6.17947896021	3.87414382802	5.05371243901	2.41927409154	2.3126071374	253996.407987	99275.0	True	
7.40301007432	5.47745866959	7.45667807194	2.22906201162	1.99361472763	3.08317485281	10.5748910389	1.43294584899	2.48249066038	2.25132410224	1.61628102394	-0.824983460684	1.58433147381	4.38001287741	5.30628713569	6.1471123929	3.17815020043	7.77775435795	5.20978932374	2.93082720726	4.71069608043	8.67437767338	5.29323061847	3.82121611314	7.52193682542	3.05114036268	9.0780877962	3.81704798978	9.06978646112	3.91181653692	8.5393366527	5.16539041935	0.165666719846	5.54287045344	2.94866962339	0.683433319821	156601.302384	94311.25	True	
4.37958130789	7.81840814105	5.76269517599	6.03486497888	1.63755340556	9.3625545434	6.05779690553	10.1123971278	6.40808938864	3.71602248256	2.12149265058	1.83575065993	7.73762873965	1.32176520849	2.82499785335	0.308366409298	8.27521608553	3.90229577697	7.33320821889	4.37583850187	6.90199007442	7.71473607346	3.97096413655	6.94027878676	6.77549635907	8.69207831721	6.70352140964	8.86391240117	1.40624693448	1.53473306219	8.26890181113	0.619996996108	1.64620320798	1.96687397375	2.74540230657	3.50229308395	285825.67023	89595.6875	True	
4.68024986241	1.94405740422	7.18725439011	3.30887592956	2.52287178325	1.16141390774	4.54211198296	5.98175546078	1.06286428856	-2.3314766872	3.27326718075	-2.0959802151	1.80850801395	1.98750497026	3.1706293221	7.42561505945	9.74979078455	9.61711649766	8.64918675024	3.67401453576	3.01158948134	1.83558064838	9.77637558495	1.6953857574	2.03283244359	7.68714097912	5.74223254792	7.63434869355	7.23681321733	4.99430278498	5.6368261692	4.59758929995	2.68581908227	5.01152306093	1.64915168644	0.359268016593	207336.460565	85115.903125	True	
7.85654400909	1.78046769218	1.68245033343	5.67512240953	8.97360954335	2.14835624363	1.13687539185	8.42576080374	1.08482739424	0.104664316758	4.63855322331	-1.11561593277	3.3672234311	1.27219448939	9.22528145854	2.28994626332	1.01756661279	3.45090639013	2.05763106518	0.839052589952	1.53038010172	1.13153283952	8.60542015347	8.9436151915	4.06062749294	6.67772676187	2.5605672612	8.86049721809	5.03202629158	9.78422960177	7.89668335424	7.77134410338	3.03791665114	-1.3376553284	2.80818641613	1.3288887451	178482.291419	80860.1079688	False	
3.76704310549	4.86124120618	2.66179043328	7.16650751251	3.9275823405	3.30313557639	1.2915847746	4.09379082245	1.9750039806	-0.418787075122	4.26431092861	-1.42519746618	-0.289713277068	6.15675077942	1.62696626639	7.26809311071	8.49013782288	3.83705501748	2.25387817933	1.13896258289	6.79777908676	1.069540502	9.2056251262	7.00720922066	7.29820958043	2.90332347829	9.18766982759	0.0457174715174	4.04366881554	3.45670098515	9.69346210758	1.36723371296	9.43117677995	-2.5393893522	2.21942076786	1.99149512306	54573.2749976	80860.1079688	True	
