Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Potential	Temperature	Equilibruim
6.11257995323	8.95231416023	8.57343195646	0.613709731207	3.47876989598	10.41885938	3.62343316479	0.188327602206	8.39201312827	0.555043339704	8.34672600885	2.93903162397	5.3544055267	7.47995963301	3.67026158632	2.96346625637	2.67967743748	9.87876971275	1.79327815096	8.910631427	8.35596164811	8.29238763425	4.34650386078	6.36636244048	1.70323076169	7.97432775565	9.5779580515	3.99286275875	9.7373245785	1.22194027032	6.67719723728	1.20192446009	4.47289062631	4.38502575944	2.72319962206	2.01181669538	459190.797167	100000.0	False	
8.2161848105	8.78682131333	2.5017547467	3.9723346689	5.12354386693	3.13473864633	0.736661161164	0.975078469635	2.76171074659	5.43667068251	7.81869974303	2.25355743248	-2.68094772306	5.05586649591	9.80242664594	3.43434338253	0.962005726826	7.39455845553	2.87017131624	3.69759299929	6.6271778124	6.45193403024	3.67046376524	6.40715024083	8.2594659275	6.08724571945	6.64140250145	8.79063591333	6.52212186203	6.48431997754	5.37425179175	0.743524041883	8.2405159655	5.02891828114	2.74195374912	2.03041161717	225019.209152	100000.0	False	
4.2788887385	3.6329521628	9.42971076351	5.7576228068	3.9850860196	0.487725659708	0.212988522436	6.26373751796	5.80453278346	0.591930292048	-2.40127879997	5.94067936499	6.11049844208	7.80956564911	7.58300163175	4.50666891635	0.726220286967	9.16743132313	3.81348306639	5.83830001505	1.27374929279	2.99856400998	4.46366827176	8.69674176861	6.38111484951	9.63419754639	2.2249592809	5.43862546398	4.69453066984	5.45600439748	9.94040234099	6.16702272065	2.57539108008	-0.966969572018	2.53450990997	-0.829414794372	270033.129446	100000.0	True	
6.72919872321	8.16777158969	2.12220110038	3.65031422932	1.54212794982	7.72016300959	3.79157185946	5.47873126689	4.22278080894	0.411395290567	-0.94184379981	1.12652484949	1.53160931403	3.62794478167	3.56373024553	6.04390536091	6.99023002261	8.78216999718	6.44520176785	5.84209113832	2.13666008667	8.60172962516	2.28750782904	3.43943216561	2.55201006247	1.63406943365	2.4936001423	0.536265560574	7.14605903353	2.48995961367	6.62296129941	0.965251724905	3.07792991241	5.37611431785	2.36813091425	2.1514827124	148815.727703	95000.0	True	
3.28184850939	0.67381586763	1.35050903542	7.89148528408	9.35142045195	2.54524894334	0.800001577004	3.64140428812	5.02638340046	-1.10615985863	1.73758929587	-0.753078642325	5.0961827696	0.547934786318	8.49252479184	6.7100557436	8.86251773335	8.90386424206	3.03418752084	6.14712217526	2.93987032616	7.9576956059	0.181491263354	0.199868196118	0.743270282785	1.04552767118	3.33987236484	9.92154688623	6.45335697191	2.42255898828	0.208284842796	0.347383012154	2.02502145021	-1.66598385378	2.49979349921	3.82270571919	235891.582779	90250.0	True	
4.95392659338	8.07026790807	8.31093712962	3.57871158183	9.52928463488	4.06254836709	3.21068899275	3.87028886084	-1.78387257508	0.59951356082	6.33517147713	1.26886589629	6.75706988177	0.217596489166	4.8792275185	4.93784736224	2.60879733764	9.13284805902	0.639288683773	0.755638293528	5.11600172813	3.29242093399	7.15889829301	9.40489540937	3.72799946864	1.02009817783	8.45026985478	2.12103607326	8.21088675675	6.21767743745	7.05899162529	1.69950451909	4.51781989521	0.295195561549	2.95955865123	2.45052113078	190034.962994	85737.5	True	
5.9278608557	5.9353893994	4.45077921799	4.73181450892	3.76623308771	7.44896755389	2.29595200818	5.13528520673	5.51250903289	1.70380162304	1.46689214868	-0.938295394938	6.82004600249	8.80466809008	0.781300603357	7.60069744931	1.33043009924	4.98036704841	4.28583543015	8.29976936475	5.36533478946	8.26244855904	9.45856744992	9.10465736025	9.02673072258	4.1475790941	8.68775155706	6.38297168958	1.60268534652	2.19045834121	0.638808906069	5.15096480233	2.45562466155	-1.5652137526	2.43553157105	0.881487440607	248729.048158	81450.625	False	
1.91306309254	3.17282323001	0.230965618823	5.5729320608	6.6406767053	0.086140604993	1.32500879351	6.3209104784	1.8828837741	-0.294564904651	-2.27143076867	1.45918391568	-2.35945492552	1.64300960686	6.69354091513	2.05009134643	1.50292213064	1.42171438177	6.92735401135	2.76548002958	7.83907907065	9.29908983949	2.27068059482	0.567396340529	2.57394140647	4.82142953537	2.19833814185	6.70705274112	3.75383521416	7.98339727068	3.24243094308	6.33790099561	2.66027180184	-1.84180498734	2.42346212261	2.18968375903	169441.301396	81450.625	True	
1.99841676854	11.1804787702	9.42577870819	9.48053549202	9.75956136035	3.28354538248	4.76897722082	7.7235272514	5.48948182638	3.40356498291	5.18302057241	1.7471027039	5.84008907901	0.929336954838	1.37094471527	7.55614591448	6.95075481556	5.80972129072	7.71650593716	8.22216863568	0.28263806336	5.60823338746	2.92676754379	0.915233876544	6.90863900556	7.95339562793	6.81686492198	4.58226370054	6.43457729206	1.386390199	1.71791276043	7.21981699655	2.30377309872	-1.98629060869	2.8146524119	2.88740339099	364018.675539	77378.09375	True	
6.07719113364	8.48819095797	5.37155084578	9.04042925444	8.14228984514	4.19387867967	2.34272734166	5.72687222437	3.52100300434	2.58615132072	7.79044078049	3.61382537471	7.15856100259	1.20633623693	8.27671818625	0.155294108839	3.67482572445	6.59039522345	0.44457804516	0.173923076019	8.15425964046	7.63165214762	7.74447395941	4.39154723691	7.86357226634	8.95557937134	2.89747058687	5.13594534034	6.4166811107	3.16739343057	7.43890103223	1.10584345572	1.38973275069	1.32757524771	2.60235336384	1.95105525048	299387.898538	73509.1890625	True	
