Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Potential	Temperature	Equilibruim
2.73329802796	2.24346157523	2.69598668537	5.99573671355	2.84214453494	7.92626795431	3.01588551093	3.12121148792	6.51137889144	9.68559797256	8.50008113028	1.78140837414	2.19611615312	1.21089880687	8.50702510698	1.06972871759	3.31227804599	5.77180533464	1.76390211314	9.47055751848	1.84944109615	8.47486180413	3.75137643157	7.64404821255	9.07294080054	0.76294598641	2.33134481056	2.21120726871	145471.444311	51315.8118231	False	
2.59146216829	2.57097443109	1.25581990431	2.54178992125	7.56567816951	6.85889101333	9.1234472675	1.54508874582	1.88956815252	3.66310767632	6.6009998907	8.06559753774	2.9076127978	4.78035919011	4.5056818006	9.7308150569	7.68621823413	1.29323191992	3.21419177979	5.57190764212	0.447173478943	4.7801730315	1.338115403	3.23747841886	9.8569162912	2.03942180171	2.64022766467	1.36580633327	37812.2937371	51315.8118231	False	
0.782702409337	0.948920472087	8.45854653867	0.880764784649	0.46601579551	7.82527326621	3.84789987107	3.40321181947	4.72579086787	7.78986808786	4.96010057562	6.53803168864	2.86700533744	8.52932256975	8.57966349896	7.9385597948	3.07706522179	1.34272497358	0.432734015795	2.59879524953	4.93258838878	0.0154391084549	8.04873803774	7.57316657998	6.07029014929	-2.25429461997	-0.505830371232	3.2919665851	62642.1668728	51315.8118231	True	
1.19407154033	2.7614597083	1.79646355649	7.12683418059	0.504203491253	0.0717220369646	0.754184823315	9.5285768115	9.2813617617	3.45395142265	9.11085695979	0.500537622504	5.75114218199	8.31683093772	4.16748486223	6.0822495973	3.99244989137	1.0344889825	5.13553269455	6.63398169229	2.2681356491	9.3269494661	0.998646625543	2.99752068261	6.85845876474	-1.85300725849	1.99611873504	3.015362113	108754.464685	48750.0212319	True	
2.061746479	1.41232335466	1.82681016889	8.34952722661	5.70207052603	8.68505193443	3.60683162213	3.49340128638	5.88404694372	3.00438348724	4.55503051486	6.53048079522	4.61525891197	1.30072327142	6.60805816234	2.1776932477	5.64706166913	3.08779356836	7.9375212544	6.79421242003	8.24922778388	7.80109391124	1.66044429872	1.28515400169	6.99147443263	2.33509649676	3.43870755991	1.71159820121	95442.3222695	46312.5201703	True	
2.15876456888	7.97144423566	3.79820017001	1.94390151823	0.930079466495	7.63787388728	7.87293942012	8.91568044554	2.35716507934	4.01477701268	9.34555594232	4.9998116969	8.164145626	7.10896166149	1.12557557189	5.03022062524	1.47435830591	3.83904961916	2.93748878102	7.62733138274	0.933082066219	0.879735151485	7.15752316517	4.93316513455	1.0098844438	-2.76798878878	0.334053784455	2.31378929954	21177.0907839	43996.8941618	True	
2.2258555092	4.08523428935	5.38115076841	6.63959145722	5.39961325625	2.60503236027	6.32736547562	5.49762367054	1.86198111189	9.29420917714	2.1136749527	1.09121956925	1.72513158812	2.07562278306	7.16464699078	2.56142508246	9.56092894009	7.56150823669	2.78411804181	0.0395382426298	6.68263123701	4.05706671515	5.45212657817	5.14941406394	1.86366932646	-2.26632306891	2.4016893335	-0.88776297434	44611.3664703	41797.0494537	True	
1.94434412773	5.33950400704	8.11832555865	1.92820642535	4.6177712235	5.37675555348	5.74363274296	4.39805762844	1.16114578923	6.87661526631	9.29411651263	9.94890472371	9.48282793101	6.55385873721	1.0955239282	9.54215058647	8.80555438376	3.21750932572	0.381156423914	7.08624533648	7.24978443495	4.99990150638	8.14457013657	1.54761831276	3.83387177493	-2.38378584356	1.52014167144	-0.242825411227	23687.3203681	39707.196981	True	
2.75442423377	3.21022069726	1.27678101195	8.43158011055	7.22827813378	2.64758773208	5.42903964951	6.07221057518	9.27562804509	8.59854550947	6.04191770268	4.66038669461	8.06657376965	8.27842267265	5.12085196125	2.57009686245	9.9568537632	7.98528406222	4.31040318488	7.05615465726	5.18113711762	1.89658592101	5.41223259361	8.74452063719	0.859817569586	0.406569767811	2.55289224418	3.32375640468	37631.5940206	37721.837132	True	
2.36589877697	0.834729754396	1.71393586714	0.280882350657	9.83718385907	4.31732740367	0.0282544370936	1.28154934143	5.2319494192	9.23009116704	7.30825362795	5.18602159783	7.3906884968	2.03059816677	4.64415322661	7.91560545904	7.14908420415	4.93025483888	4.91246584165	4.12740221622	9.38315217252	8.82284208313	3.37238907984	2.77480045296	9.10532222775	-1.5917776386	4.05538447036	0.544970884359	54044.3109216	35835.7452754	True	
