Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Potential	Equilibruim
7.76002368932	7.83022637756	7.15423754912	9.03515024955	2.28536839357	9.84560010695	4.92203163768	7.37481737333	4.95536716871	6.62604109755	4.95522883703	1.76859666457	5.93889745417	5.09299882604	131257.89242	False	
5.95007053183	4.46765010876	8.24397792235	6.36147277521	0.756626088027	9.46408584774	7.54033764644	2.19640576408	4.18617460925	2.90024457863	3.57362137428	6.49809823429	5.601698269	3.78850886862	154810.304878	True	
2.99811663368	3.077585432	8.41638432199	9.3486159391	5.8985719785	5.20195679853	1.94558986053	4.25763714075	2.53577429986	2.22389774421	2.30835679012	9.07361739587	4.75182068123	3.44841899781	599545.990159	False	
8.45799856322	3.01404583798	4.14282678426	9.60311377989	3.01556961357	2.66915084219	8.09336523415	1.08274790248	2.09057829168	2.16689180561	8.41797247769	3.17302206239	5.04225463085	3.28185421156	501313.973758	True	
0.475311919095	6.43962757245	5.34074244848	2.89759642648	8.25887756065	6.88429427518	3.70265535985	8.72519465368	9.2348412615	4.60667536399	6.39264389614	9.50187381029	5.18171623127	3.1519123143	430183.281905	True	
2.00938860799	1.91920087434	9.50857066042	2.15456676925	5.22870050631	4.27073111034	5.40247597084	4.38257244413	8.30433434988	8.71142837539	8.34281629178	3.55373717716	5.49894149825	5.19644557632	258693.236328	True	
6.50631976779	0.443407398337	1.48742245859	4.03155666713	7.3308305876	2.41695400572	3.69951894859	3.37967742635	7.97131978211	4.32458199853	4.19440175572	6.07916259864	5.98538781578	4.3153954405	121414.421869	True	
4.36545548984	1.13214144749	6.87515382481	6.13701567546	5.37248924277	0.790828026968	2.01708478483	6.57481836458	1.11631017312	1.67791565043	9.73117009978	0.610263930617	5.95002497903	5.89470825393	246505.531716	True	
9.24714271501	1.71085139712	0.975709031455	1.9074744714	5.41537858739	2.56390636622	2.52261731285	8.38126503068	5.68826026303	4.51273173586	5.96664828742	4.84669174639	5.73646945985	5.47308393697	189412.875609	True	
3.66203381289	0.944508961283	4.48996533257	7.56215783039	2.29954057129	7.01602564561	5.46631325003	5.35164739369	8.51878041844	3.42664715177	7.07958582567	2.53355867975	5.87386294907	4.83132825905	137257.948228	True	
6.55977105986	6.38182032452	7.38663356078	9.40903474623	9.92078986168	7.67840267491	4.23866266861	8.96439822356	4.50316566894	2.30186020848	2.5227899862	3.51015503182	5.61424885741	3.3755707755	177328.494987	True	
7.34680620492	4.48128054109	4.43304074891	2.43674901806	0.999736191362	1.16264135903	5.30790856401	2.46311301592	6.3752975587	4.72328489624	6.05779869651	0.225552028109	4.83723281106	4.23930829419	472691.219388	True	
6.97004725544	7.23232191621	2.26412076887	1.67756683205	3.37310255785	1.69122925877	6.41599637853	8.12569890338	4.04926877571	8.54718323516	9.72494359334	4.18209906348	5.89454557071	3.54838815693	263658.679387	True	
5.14443483171	5.1209286991	1.82311048601	5.32434414752	1.56930642013	6.66805987709	0.481605495216	2.46392151769	4.84317422558	3.58891791377	9.15783854585	9.18547978929	5.78014436473	3.96768634926	225633.827001	True	
4.00264494313	5.37424174077	7.59562166954	0.923100769716	6.89383692772	3.54386255534	2.89569761671	3.1470390789	4.56378127746	7.10614413243	0.632686518975	3.59055588811	5.32266948841	3.80449397158	170870.811727	True	
7.25207212491	5.84834970357	3.87086419018	6.94938528497	0.771193550413	8.79782780969	8.43555441446	2.00029697605	1.25596798614	4.97174070549	3.39005942512	4.95384433172	5.60940532237	5.34464286698	178633.831038	True	
2.72155422828	7.24206331881	2.38503746584	3.36729901317	4.28619334297	3.79212123078	4.64173571026	2.91511559576	5.44900609347	9.75176477651	4.48477052653	5.23404417251	4.94526586318	4.69527422307	449538.791998	True	
