Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Potential	Temperature	Equilibruim
1.6000224667	4.58723237778	6.30778313285	2.80392890422	4.42837249446	4.68951814624	1.59734398916	-2.87394437534	0.60057903498	1.4792649896	125589.501664	56447.3930054	False	
2.06405046043	6.68051521517	2.1837602213	8.91062166661	5.15027113707	6.86335431847	0.101247660553	-2.25461593587	2.76965325962	2.02866583873	29011.6674196	56447.3930054	False	
1.51123066367	2.95813584266	7.24143286835	2.49456756016	2.12736893337	6.30742652639	7.06351508736	1.87894328306	0.219291267265	0.312700076154	170600.580068	56447.3930054	False	
2.27320077359	6.61960117681	1.88906574589	4.18465081716	6.84065636719	5.2917227121	6.95703991192	-2.87754683536	2.78668322828	3.89862867074	43475.2399367	56447.3930054	True	
2.03846741433	0.520545717678	1.98401566265	6.43708014167	7.60677993444	1.71893834623	7.00129285415	-2.2080613308	2.8321557648	2.26428072476	20071.6313659	53625.0233551	True	
2.09630517968	1.66659428851	0.774820022341	3.47118247498	6.77956669318	3.53370164767	5.9387473801	1.98717074117	2.05736411695	3.73989291271	34415.8407372	50943.7721874	True	
1.53874358579	0.144593460236	2.27985072797	0.324743253618	5.00353457498	1.29173664737	5.47711630175	0.796646089476	1.6028400459	2.62555652252	28944.1728606	48396.583578	True	
0.679064225214	8.22015147662	5.38959471438	5.68203044128	7.31878513546	9.40282161963	9.31443997628	-2.15231299568	2.8028047605	1.46613673863	71438.7679427	45976.7543991	True	
2.73403791566	4.86245204517	2.72874437491	6.10437092487	7.47211822299	9.37563000086	6.70417530509	-2.20447589922	2.80790791189	2.89499575414	34299.3630798	43677.9166791	True	
0.00433840244907	5.84241132104	7.75067672615	3.58414794563	1.02556073069	2.22524093292	1.43379245825	-2.92031435159	0.580970675564	0.525070492997	38532.8821464	41494.0208452	True	
1.4170026963	6.14073103039	5.0684274896	3.74685781345	7.89655634753	2.95554248943	5.83334337211	-2.69568626667	2.04128717918	2.63194121189	156918.686308	39419.3198029	True	
2.97458406307	7.92131956812	5.33467250791	5.31426116959	4.18167071901	9.46702537728	4.97806467647	-2.02433232457	1.75958905643	-0.389129546798	58830.0499277	37448.3538128	True	
2.66537969587	6.47227126106	5.85735362518	7.30327293562	0.861724943705	0.763159426744	1.80607025783	0.0177539494554	1.82418605356	1.8726023597	74171.7962634	35575.9361221	True	
2.76180851256	1.79881153962	6.46122401599	8.64345282671	6.9238357446	7.71813186171	3.02786244658	1.29154202122	2.81595826515	2.92927317144	37478.9608542	33797.139316	True	
2.37776645475	1.82860599434	2.69141695969	7.51608283943	0.925218825497	7.81820270489	3.42086132657	0.563991753174	2.2886862957	2.27513895823	23638.4655688	32107.2823502	True	
1.89458823768	1.71742306331	1.23710306442	5.42566821547	2.96500135639	1.60247190289	9.55082132769	-0.515052571156	4.84795745187	-0.547171685619	47755.4518649	30501.9182327	True	
2.1492459512	7.47711197361	7.56051675969	5.1567224343	7.29179524751	7.43058423309	6.59060851215	-2.87594670025	2.68923598419	0.829009299202	22279.4413825	28976.8223211	True	
2.67092052936	0.601386261235	3.39207276774	3.52219163115	4.91178233845	1.07283148648	7.9971217039	-1.70667963074	3.00781398831	-0.420298160561	59672.7648207	27527.981205	True	
1.34794843082	9.75518140077	4.04512407093	0.681329487619	8.85544301123	8.76913242056	4.9380776295	-2.61778232529	2.7545031434	0.870559575356	98285.6777547	26151.5821448	True	
2.02384962846	0.39827507882	7.06227534435	6.05762531833	8.50949990634	7.90327731165	5.27616225372	2.61491495118	2.6308985847	3.5331934202	155938.355696	24844.0030375	True	
2.78643224902	2.96079937147	6.72581533774	3.43866011153	3.67119164287	3.86722529074	5.89280914334	-1.84964157135	0.716716042742	3.10708299681	51005.274114	23601.8028857	True	
2.61802390456	4.09316145426	7.55054549578	8.54851387845	5.68506145663	7.69229635642	3.11939725604	1.37587766469	2.30210851656	2.37171886855	77598.6274953	22421.7127414	True	
1.1366323206	5.97239316936	3.37715187218	8.7206152949	8.91713490135	9.35649052784	4.06199198004	-2.46113474508	3.96783730547	-0.608697927593	27788.0530994	21300.6271043	False	
2.13327935924	2.7625730914	2.55077070508	3.22331599852	7.32549846872	7.58490895014	1.50545781346	-2.71619087099	2.52767958667	3.72555141263	19160.3498315	21300.6271043	True	
2.78533351848	0.725288022922	2.52323806957	2.10681117675	1.81939963508	6.91655196263	4.363091448	-1.98039413396	0.539727540482	1.16050038088	16876.1532821	20235.5957491	True	
2.99863267438	1.75034039294	1.12746933001	1.87060837719	9.96670502931	4.20353051562	8.01411540088	-0.126308158409	3.62662375657	1.50541073319	28775.681684	19223.8159616	True	
1.09198163418	1.5107429029	0.564277385883	2.42781239403	2.12869593629	7.22456303045	3.39920942025	-1.83216125578	0.786717991467	0.922520676852	10515.5342169	18262.6251636	True	
0.84440181073	4.58672484669	8.60785219626	7.18076551622	8.60773190924	8.05722862066	6.4993459696	-2.50190000296	3.19091592313	0.237262283969	22042.716394	17349.4939054	False	
0.538743889198	3.35237385664	4.67451568975	7.87483217462	7.46547715854	6.58710406773	2.04860915208	-2.41353796229	3.3399489996	3.32615681756	36096.4127211	17349.4939054	True	
2.30013485909	1.91645195382	1.65894415905	7.4880229892	4.4335170119	8.15015575061	5.46711584471	-2.58380363754	2.32108552698	1.92747777067	24395.4882334	16482.0192101	True	
1.5915116653	0.132246219381	3.95928350465	2.76212807437	0.794326979788	7.32260698151	8.31477310507	1.56782448198	0.506617862522	0.812939311276	59012.3317973	15657.9182496	True	
2.54413977225	1.91218413058	5.86739729206	5.56166728837	0.891997095017	4.39778517436	0.436292770779	-1.88018556845	1.42875850679	2.71716399541	11780.0734548	14875.0223371	True	
1.78443407232	2.2490915996	0.37240374477	5.80423586786	3.64407131225	2.00999154035	3.73695931186	2.22296006323	1.70434996613	3.29373714038	17330.0153913	14131.2712203	True	
2.29531446705	7.3959729809	3.65219723921	6.42474376981	5.98166508815	7.68563173381	3.74515974813	-2.59235848575	2.44154034011	3.40274175753	16305.9886346	13424.7076593	False	
0.596912061271	1.77034481599	3.00269049543	4.34322064565	2.10289152788	4.42769279603	7.66646663736	-2.89318782057	3.78616816545	-0.63977181883	41397.0646899	13424.7076593	True	
1.5871079965	0.150702515573	0.0837791883161	0.312591551618	5.4889664604	7.72916082001	2.1473404107	1.43051510246	2.70724641965	0.184198360861	33306.9078885	12753.4722763	True	
0.365092863882	6.6496303598	3.75495531589	8.01651145835	1.02035718537	3.70509342526	6.96797687001	-2.3386669971	2.58934351401	2.35027218984	45103.9111709	12115.7986625	True	
0.179926687482	3.80694528755	2.12733247475	6.53820397809	4.96167917807	6.58046499847	0.1852593427	-2.42821006368	2.08822365501	1.79242648329	16605.0267951	11510.0087294	True	
1.8972443108	5.62547383205	0.557733898954	7.10567683846	0.364769087477	5.06185814731	9.91897336358	-2.82508580889	2.06035124599	2.00709846181	26927.5564032	10934.5082929	False	
2.3630604873	5.06891218529	1.66165984092	6.69244521659	7.02964665958	2.77522307849	3.60308973538	-2.93038064104	2.62842947611	0.184781480494	29202.9271712	10934.5082929	False	
0.99786509241	0.978674645199	1.11089963864	8.11059256321	7.80590213421	2.01640522558	4.63168807692	-1.70814335096	2.85419512781	3.11382771144	29006.0037334	10934.5082929	True	
0.694459832327	0.251503802388	1.72405583558	7.39191505633	6.73339711398	8.12855560112	7.47057746665	0.469809096219	4.06832140148	-0.551828366086	28696.9927015	10387.7828782	True	
0.886447612412	2.42103959248	0.678453181895	7.94096385157	6.48108376584	5.15225841195	2.29749280652	-2.56040524094	3.16493098219	-0.0543653085304	7461.91819012	9868.39373433	True	
1.8667448359	1.91648813024	3.61227148225	5.5954840641	5.45136820457	9.53098856998	8.57613933394	-2.2781686105	2.21848293234	2.11273993402	27089.9020198	9374.97404761	True	
2.61872872784	6.8255081952	5.99030733568	3.45717114761	5.95856542548	6.17481123553	9.05325289769	-2.50245588266	2.17451439605	1.90974348861	18894.5547692	8906.22534523	True	
2.40954596577	2.31048818667	1.05248720333	1.35689219898	5.09256831852	8.66632657501	5.2896090031	-0.151070657437	2.13847944847	-0.483777870288	25827.7472037	8460.91407797	False	
2.02700834405	4.75901448695	0.281324726896	7.84274854907	6.6964856353	4.10372619547	1.18168437471	-2.61207173197	2.85371478081	3.0297373977	10474.2707397	8460.91407797	True	
2.95697651337	1.51276312364	3.67878117556	4.63833586201	0.271881886263	6.40633351699	4.20616203594	-1.14356748404	1.04496098371	3.6334666332	13700.7277902	8037.86837407	True	
2.64140824337	1.0089301005	2.91247613044	2.35558754275	9.73188766207	5.07589270096	5.64855868424	2.70477427368	3.64413079195	1.95160164264	15799.6565906	7635.97495537	True	
1.4839665948	0.601326546626	0.617748155692	4.66663789436	6.13922911282	5.30662848375	5.74576248559	0.848475316102	2.33225458729	0.355160124847	16041.8565398	7254.1762076	True	
1.18260949854	0.956379153644	0.765634565384	2.58133391717	9.74964235914	7.37964103382	0.783788923758	1.35917346524	4.60983870754	-0.143779375502	7659.81702209	6891.46739722	True	
1.62670074409	2.17551230608	1.25241470733	4.59342323067	9.48187725212	2.68731685949	3.69171762203	-2.18707767669	3.50616613918	3.67762601969	20274.1416018	6546.89402736	True	
0.0684386549126	1.30508808871	2.54901030977	2.97417532208	3.2051641736	5.28933188617	4.07656163396	-2.5506475287	1.45495149633	-0.0298223664794	15029.8985303	6219.54932599	False	
1.24852513777	4.01402870683	3.49751828259	9.54333799095	8.33847915329	6.81983282938	9.33034849348	-2.64348210465	3.52720450275	1.3984412466	16786.8872394	6219.54932599	True	
1.60114496643	2.13284285069	3.83252919333	5.48166464488	1.64796918555	3.80933319783	5.80744136787	-2.63428117255	1.54514980108	1.89768608319	9889.52260943	5908.57185969	True	
1.63350825366	0.358405788095	1.24478629492	2.66170751714	2.54361493484	1.59936415434	1.67267322508	2.02021118379	0.62294948696	0.596378510778	28796.1329108	5613.14326671	True	
