Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Potential	Temperature	Equilibruim
0.748889773667	2.27043457666	2.18709764028	0.167853973555	2.31211027695	9.27979435186	1.94323093957	-2.54896103112	0.988594917082	3.04837714044	40449.5028227	75131.4800902	False	
2.32755456584	6.10932621058	4.92361945846	3.9954352895	7.95292388801	5.4688392949	4.17148842879	-2.88299621907	3.72438378151	2.66876089851	133912.647833	75131.4800902	False	
1.09604649875	1.45676543436	3.15413953225	2.02462339108	8.80245390831	8.28945425075	5.28069734911	1.69347971539	3.90325643276	1.79763776945	144399.807985	75131.4800902	False	
0.630414032498	0.141075481632	1.2651064389	2.46658608907	1.50605042032	3.42565816853	1.6341573551	1.39878554277	1.43448885657	-0.307335424702	9336.2257424	75131.4800902	False	
2.15797137138	0.901672565224	8.52924573515	9.10298155605	6.76804793022	7.4881783119	4.68122562838	-1.96579617425	4.02526432828	0.100016960265	64448.0178812	75131.4800902	False	
2.66103670709	9.00975079613	4.11332934955	0.828016174134	3.30409547014	3.97128396591	8.82840753917	-2.72228240573	2.62994049548	-0.383363430416	67955.9756837	75131.4800902	True	
1.0828107534	1.07674009219	3.02615334722	4.07426918966	3.64186582446	4.88548930714	4.95893724681	-1.80193374015	1.26642993133	1.89994694093	38779.5263843	71374.9060856	True	
2.04087998894	8.49564991111	0.141026902967	4.92077346234	2.57871162027	9.72343563018	1.64754010605	1.48599205707	0.873816494771	2.05397538058	122253.67148	67806.1607814	True	
1.47577980579	3.67635129564	4.87456248873	7.00123635682	4.47964946686	7.64856696028	6.8345366765	-0.583016619536	2.28813788589	2.89427154497	164302.5014	64415.8527423	True	
2.49528794772	1.78939202543	5.44374205853	9.42472898987	6.78883536213	2.93963029547	1.12090315357	0.728810877794	2.6985571938	1.30947233929	63433.8742439	61195.0601052	True	
2.58470787295	7.06801518656	1.58878585985	3.11978253962	2.54886942135	8.31905693009	4.27304126649	-1.85955341453	0.438368828225	-0.303519929578	91245.3712878	58135.3070999	True	
1.85886109616	0.0705835578759	2.18139326073	5.29169383903	2.78830776432	6.2355328745	9.37234226089	2.32209111612	1.48872008285	1.96234535557	16496.2800584	55228.5417449	True	
2.49485881621	4.15918207012	2.43402824558	9.25426290275	5.59074645569	5.11539449356	5.35676217744	1.99159029701	2.55968825541	2.56548170527	72651.5476084	52467.1146577	True	
