Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Parameter 39	Parameter 40	Parameter 41	Parameter 42	Parameter 43	Parameter 44	Potential	Equilibruim
8.15948438641	-8.21249621151	8.82764984993	6.05083804277	2.90576888017	-1.09844675785	-3.70216557037	-2.12789172558	4.39013796288	-3.12262297827	4.41524101099	6.03552066752	-0.723555869207	1.83888621904	2.61362685191	-8.67365262254	5.72494664665	0.820771856267	9.3005690567	-7.32231098378	8.18807527668	9.77985275736	4.53997800568	8.95894199473	8.53487245882	3.89136773837	8.82606158069	8.40670619665	4.09664238921	7.37938897208	5.08126421217	7.00935055914	6.86438344902	1.72469020202	8.43942603251	7.41103683344	6.23639881774	7.93090258361	6.38205582213	3.60744480313	2.13777879126	3.91717216212	3.76787669378	4.81663380454	731990.882638	False	
6.36226792097	-7.73581024022	2.29572769994	-3.57882286686	-2.76004733894	8.65369921122	1.58451132448	-8.05471990136	-2.46286894471	0.366662968917	7.78646027651	7.88314676436	-0.911442048469	3.70813490152	5.83341586251	-7.84615724627	-0.867490288472	1.87009296162	4.22457207475	-1.71018581501	2.98216999614	7.27228927149	0.393187671378	4.35489544053	7.37809199781	3.01283701891	3.27413153976	1.52579333429	8.43695424776	4.05058661269	3.27683438162	2.94914214135	7.70351431635	2.54438402738	8.37351484087	1.51946288328	9.40136536845	7.77815059034	5.94688191586	0.22322756739	3.09922922841	5.08526998718	4.8219731687	3.25427483498	731495.650266	False	
7.70486179396	-9.60513226023	4.00952348137	4.75889046019	-0.61973751511	1.79630989832	1.57688559462	-3.92882518267	1.7188696334	0.262111549717	9.40884752424	4.27546523996	4.76651667633	3.36796042724	-7.08366557989	-1.05425975222	8.83872236991	4.77743197643	1.64604848986	-4.35691172031	-2.33413716174	4.04319099696	5.68300343217	2.39805393892	5.45490498773	3.63799560366	7.57618288338	1.85653092038	1.39041876123	3.86643144898	4.4531638629	5.55794427242	9.09989618433	5.4872026334	0.831640607013	2.20239934303	4.00301626824	2.25908906743	1.13727376359	8.19465989598	7.17056763856	-0.307059125086	2.1445321221	3.34439176363	1102350.0384	False	
3.47135305782	-5.97306176367	-3.36299032847	6.73361519118	-2.97623717792	-3.3657086331	3.54025625267	2.84597168161	-2.64188704984	-0.542443463078	-3.59699048079	1.28426837708	4.31369112816	-7.31460856275	8.80767297965	-5.7782456168	3.46589325044	0.567486135442	-8.57555119745	8.87510370856	2.69159859809	3.66505042222	4.08309350481	7.73251006567	5.47276563888	5.48074860307	5.93991333945	7.34738688676	3.389250323	8.64797281721	7.17807249833	4.43106236268	9.88547652674	8.74165790561	4.64180275369	9.50081516071	1.5081257381	4.62361102262	4.01518613648	2.79484196896	7.46342632068	2.06641921161	5.88601503201	3.87463546024	941545.805364	True	
8.5048846684	-8.33277294255	-4.88284443887	5.49634499233	4.83392890157	4.5375351851	-1.34510888529	6.18877772203	-6.88192731253	6.11871376586	-4.10544275177	1.84980813657	-4.54409443105	-2.53942546196	7.10556283337	-1.57400769541	1.23440086175	5.03846791391	-2.96766503017	-1.56339876862	2.30346893009	6.6600503391	8.63484456021	7.34355830857	9.06662437888	3.08711584728	6.47681243585	1.37339612366	4.29228672382	9.48452640263	3.32355880256	7.85993226274	0.989052710361	7.20019117203	0.226811153876	9.61968533906	2.76784454283	8.79748520972	8.36491324143	8.12498539064	5.84130243331	3.39025457982	5.18781863197	4.09490989277	1056845.67687	True	
6.61530412593	-4.17688263282	-4.25864016115	7.14243055688	-9.14851792075	5.61489421022	-3.36074294955	8.3299723398	-2.41260784357	-2.61708844046	-3.72438026884	6.97352346652	-7.48703055189	7.17521949826	-3.40899102348	7.52816555691	5.60936116203	-4.33926215075	-5.58866508555	-3.51087301069	5.08804318727	5.12028775431	8.1657770917	6.76863619274	7.83760013404	3.0724776491	2.92224591939	4.61954117058	8.23814318815	8.84038753977	5.66743523748	0.516885894004	7.98434698278	7.23818262467	7.09182603623	3.5913315928	5.15148543091	4.81864498006	6.85029259995	3.60727649739	1.13529858252	2.20175389255	4.89495163673	5.34538298214	807613.011246	True	
6.58786477096	-7.22702566942	1.35621862296	1.92175200311	1.50153905136	-1.15391578506	2.07457832253	-0.216619851932	5.61520223613	6.25641917721	-7.3359426616	6.89248500594	0.998560951088	-0.795372440204	3.14062637694	8.79904670303	0.537891303681	9.72555149858	-1.32538768007	0.206680087546	-2.63239314627	3.48846793811	4.86223744563	8.97255715605	8.90163845804	2.46405831146	8.66361029131	2.5060653849	7.94451747068	6.76861150042	4.27124856822	2.68151563764	5.61491537996	9.91954057572	4.96799164789	2.09863986484	3.3204884622	9.71025574661	2.15321740673	6.46108439931	3.94478809551	3.72951365069	2.87228086875	4.2159005295	799329.505176	True	
5.30879929433	-8.4737737449	-7.8820909295	4.7403990875	9.33348645591	6.20087484675	7.05064227444	-3.91602353459	-5.86731603779	3.40308415296	-6.93610604583	3.29966247674	3.95593019191	7.24250476346	9.05017255349	6.13681630597	1.48864387352	4.38958568757	7.82861487912	7.88321274838	-5.75863338175	4.87603113155	3.82473483211	9.23402617933	4.18530120121	9.07048829864	4.8874073447	4.26157882807	5.16068667271	3.31492374916	7.69722916093	7.77276199702	7.38812091179	5.79080379746	6.09213362111	9.02151801334	2.15415156202	4.61719641157	4.21519971893	6.51437014225	9.2436818982	-0.905944906092	5.67406335944	5.8865965633	779735.514522	True	
7.89375856276	-1.96321324875	-8.42961102346	5.53290387516	-1.02041706199	-1.92221301289	1.72778071778	6.35740768545	7.21930793748	-3.11967188144	-3.53555868212	1.19798884465	6.76274832036	-5.24188833434	3.85066698224	-5.54595663514	-0.429982546594	9.35206607218	3.85290774144	8.23940528597	-7.95092337271	5.93126620558	3.66912688497	5.42976543339	3.02091482661	4.12513930366	7.51161796451	5.6802451855	9.53535651905	6.76802690925	7.84995928147	4.40821842641	6.06143043735	2.41885640381	0.402724781117	6.88744749913	7.00594122873	4.24521165676	9.39934617714	3.74862193215	8.98993195713	3.67583960067	4.08244180653	3.646402563	910446.863561	True	
5.785972253	-2.54260305935	-7.58570773362	4.26583809686	3.81148668178	-0.919516224897	7.06817824401	6.79627443403	-0.847894614901	5.10723571384	-0.543586827866	-8.40213351054	0.627118908881	-1.20471927853	2.57762996515	4.66440693809	5.63287125647	5.32239849774	-5.67370877522	6.80273182714	-7.87110042832	3.949054779	0.904935530272	5.11159659718	6.35386941372	7.25657902073	8.27690797687	5.60568366183	8.60198188367	8.95226563857	7.33967086962	4.7978967879	2.6526410789	3.98239784955	3.56579281892	4.48320435588	0.645559013369	4.43873480365	4.46301981682	4.07677257133	6.17292792388	4.56549986547	3.15122796068	4.85481489545	810111.543013	True	
