Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Parameter 39	Parameter 40	Parameter 41	Potential	Equilibruim
4.36653806958	-8.99970627737	4.68553886142	-3.2831824574	-6.73582813468	8.03680854429	-4.07724019051	-3.26961228833	5.69835537346	2.92304134122	0.456996838813	-6.82496388952	0.908031674051	-6.9944957457	-9.42834257779	8.82210946432	-2.70342505055	5.27461811525	1.93762155407	0.840129493747	-5.05192802722	4.47943649963	1.57889285526	9.78647990049	7.31864619819	9.36237520736	6.62668923044	2.46267326458	0.809913232105	7.21360026171	4.58770557003	6.04625721746	8.9172866185	6.74474635853	8.74302657422	3.25098492709	2.60463485217	6.07694821278	1.28060001996	4.00982962307	9.39696998027	853816.397014	False	
4.37045452761	-6.07349890482	-8.4112086356	1.81012685815	1.72401652767	8.31196548042	-0.155504472519	-7.76032709286	3.1109096043	4.36315397874	-0.662229462726	-1.16602933903	-0.103722285332	-0.185073163566	-4.68137198411	-0.318722839968	4.70902137511	1.72427287099	-9.38353642621	6.0450949003	5.91272302855	3.53407307408	6.42642151686	8.4214439236	9.32315986318	7.50353481517	5.75746412608	4.3451641075	7.92616052221	6.80345639894	0.307599106722	0.455108694308	7.52761736807	0.478059948266	8.08702254296	2.94683960427	5.31517998985	6.24214216466	2.13801347934	5.53968859677	3.64002029633	836981.158643	True	
5.13650288014	-3.16818416253	-9.48327922865	5.50858853275	-3.66171976324	-1.70202524452	-8.95867421784	-6.13920668467	0.226460479663	-8.4886643403	7.5000057605	0.00767682731449	-5.71550760282	-9.8655191665	-8.17054288007	-6.613422417	2.8891057518	-3.14671483873	-8.74674786787	2.28191285544	-3.40593050064	7.839938728	0.115785603135	1.42051988543	0.803871211547	5.45764839965	9.63676222897	6.84543541529	4.80330017787	6.88564491228	1.80352865251	7.43693071061	1.14378562657	1.08110026392	4.70241584487	3.50300566144	8.23187181787	6.63901384871	8.46953688019	2.1598992415	2.60920893318	1189121.78368	False	
4.98122988937	-0.979352309032	-7.70503854848	0.462698009639	3.45827116819	-4.48200870936	-5.01306912776	-6.92789982166	-9.20971131605	-6.27457773834	4.35333255303	9.13743467659	-6.99182225573	-2.04026158335	1.86788420245	-8.55706490057	4.72010714402	-8.79775392249	-2.5862813151	-2.56879122474	0.518217715365	7.38567887214	3.30761582141	7.68789373157	5.12447230651	8.93708952899	3.26103712981	2.65519354898	3.11873507747	8.36021668424	2.19962549752	0.548705853299	7.18834986507	1.45374103118	7.04914740759	7.46629255477	0.854636213864	0.386716311676	3.23955112748	4.63242981263	8.46311158049	813197.067081	True	
4.97218909759	-8.04093665692	2.67552703913	-4.33469022583	9.05658609534	-2.75227477718	3.1643246376	-1.35775624969	-7.65217549262	-0.611972443766	-6.52088804505	1.56424962345	-4.92891104793	0.308687037152	0.712029906988	-8.39132407459	-3.24634725605	3.03504801092	-6.29054042834	0.70243542598	-7.75341824815	7.41916539821	9.63050690029	1.2753926349	3.12263917741	3.23045142185	8.59319629353	4.79088839829	5.94503821983	0.19955421853	8.06523178959	0.73193884811	7.84164004729	4.55866066369	1.90545964982	8.54290074251	0.348731102718	1.45094004767	0.224834505146	3.90473749409	2.3567012011	611311.362135	True	
4.15763032232	-5.12691560808	-9.87806817994	-8.3082015301	7.33799965232	-2.57716355209	-8.20907221799	-1.82777161793	-9.55364598255	8.86975327261	-3.73469330655	8.97504545956	7.88357379753	-8.31905631416	-9.78471502973	-5.39268555114	-4.76899863462	7.32746063638	-0.030819939388	-0.635851777467	1.36203757529	2.70164943555	3.64736494063	3.8981898564	1.07977516588	1.91303213276	7.95142340429	1.53152456497	6.03455899403	9.38433162837	9.16572202796	7.70012815529	0.543403322546	5.41078137038	6.14072358067	4.70843689319	0.990899677773	6.32171981323	2.08164492338	0.240619714815	0.885360059111	1015834.96212	True	
5.04544187196	-9.95175448068	7.37369821494	-7.66387886664	3.20970997656	6.18196839343	-5.65604497779	-5.52107503565	7.36514221178	1.30403840735	-0.557170697936	9.97169438767	-8.72345249772	1.65623461317	-0.155886762257	-0.21428552739	-0.841215730719	9.46594275996	-7.49610489071	-7.2768193425	3.84475972178	3.74297398431	3.80478838959	5.00305123469	9.78558558575	8.57382577244	5.77303989348	8.21636727534	2.68320584767	9.58274504649	0.803191665114	0.556090288522	0.96349097616	3.2388479813	1.4512408146	4.31859243711	9.52336063662	9.7005981758	9.12790952049	7.88152481458	0.607006218386	460578.663512	True	
6.24661325179	-3.04011560227	3.77616941111	-5.88565166402	4.48146489306	-5.51928222917	-4.34762083049	3.03119613279	8.92956348405	9.71097498447	-2.77659354545	8.7218430818	-9.72279870708	-9.7855780441	-5.26025582307	-3.51147670955	6.94948936225	-1.91554932419	-7.29705761433	-2.8478168234	5.1321180839	9.9605614247	6.86172061022	4.03757135675	3.4954519436	7.99476110518	3.77671679518	4.29481429704	8.0447146114	0.311193278324	7.50471566271	8.00765355714	2.98795938395	7.12426553681	7.28037611221	7.63214678467	9.35772554157	6.25077287561	0.484422561446	0.181100907445	4.69571637662	935175.051327	True	
6.31239790019	1.6512771683	-6.10001725213	-9.45704624039	-4.06973697193	-9.52831491927	4.11504983536	6.42847109272	-3.76815095607	6.99343838918	-3.85763303646	4.30213420422	-7.17325973689	2.62018708918	7.78716436168	3.14289534529	8.00496655066	9.30414644106	1.7725631111	-2.6490520654	9.53170369942	5.81133076945	2.36295437873	3.16060551087	0.263658861549	7.08747582036	0.00877311040461	4.59624488261	3.22738786128	7.74835853137	5.13282084027	5.08042842098	6.34004993586	3.95356516521	6.05149095294	7.10314132881	3.79276113303	0.240986131471	1.89047125945	2.90444925953	9.18422372403	1018773.55951	True	
4.9584548244	-8.3418126894	0.174234688953	-5.37379166449	3.75259088106	1.19527800428	-3.91667814748	3.48137449348	9.3665930686	-8.31664372462	-0.835640759561	4.81102513889	5.3057995722	0.404633544132	-2.27956161418	-0.158447442259	7.49802201133	5.73072235296	8.29230308006	6.3372233456	2.50731303188	2.47006351314	7.43842786178	7.51066792424	2.42207873194	2.53313902986	3.43495064128	3.51059368032	5.38422750641	5.2439361039	2.3744894913	5.25655070583	3.40071892331	8.47959939713	1.51797674636	6.14313601038	4.16933410923	6.97066679266	3.42004154262	9.28632563106	7.12973106904	824837.199286	True	
