Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Potential	Temperature	Equilibruim
-0.198200511512	-0.445874654122	1.08594256955	3.06622946291	2.20798119444	-0.746567651014	1.87937256419	1.98396388499	0.578779201529	0.859939522659	-1.4080845145	-2.96398498854	0.847604037196	1.38480469968	-1.23986426651	-2.48114075113	-0.455932128228	-1.40473933681	-1.69283630464	-2.42651618663	2.22396413497	2.25400151363	3.79024952468	-2.27071570417	-2.92674233637	-2.49561509548	2.23604033999	1.50019532628	0.0202996292837	0.887739216248	39169.6094355	2633.31254306	False	
1.558158835	-1.11296251795	0.544679908367	-0.094229620069	1.72468570197	2.825116355	0.194484343038	-2.84908191455	2.63053365386	0.728201893575	-0.78891793144	0.0816472323321	-2.21243823755	-0.0985877373057	2.3702874929	-2.0894625747	3.45814701852	0.82980284099	1.03846904695	2.61512257075	-0.452692099311	2.67712456544	1.58374889563	-0.758841756679	-0.0451179224667	1.62347450424	-1.40865359795	-1.54555685556	-0.601793474669	3.65972007823	35615.3345772	2633.31254306	True	
-1.72911207789	-0.8507089833	0.33212441288	2.2144733714	2.54849915999	2.45634050832	-0.457801974345	-2.70325747498	0.176728289627	2.97284144246	-3.67576629694	2.85063118512	-1.26175635231	-1.56628932807	-0.128278446264	-1.27727385325	1.83379562933	2.2073360012	-0.233939004627	-2.20725192787	-3.33962352186	3.74501795763	2.26795814571	2.98605731082	-0.237994348324	-0.788029817309	0.577063622002	1.2779999385	2.21124235756	1.50812627919	27138.1872622	2501.64691591	True	
1.02336844267	-0.996414267236	-0.308754753812	0.532991764552	1.37253143379	1.7201676304	3.15582466789	-2.85473673123	0.226892342212	2.0155763998	-1.22382178882	-0.0853062219718	2.32650066864	-0.759512995936	2.10535792652	-1.1924166438	2.46808527941	-0.482880939901	-1.38430896058	-1.54458282452	-2.53749495253	1.97301672231	1.35545930784	-0.704382273003	-0.618451782474	-0.14343883622	0.542125663292	-0.870020047491	2.00701770026	0.140977483074	19902.252231	2376.56457011	True	
-3.46619054885	-0.191963356229	-0.839559566905	-2.00791005512	0.564134381075	-0.312701530086	0.173243524239	1.7347245714	0.907639200908	-3.30886749861	-1.03908674938	3.2479770857	-1.86471827278	-3.95487654996	1.57301334517	1.93930113015	1.33782785332	-2.7963888867	-3.97210132487	-3.72699930497	0.5832901692	-0.142442250068	2.15082137364	-0.264235566103	-0.116137523628	-0.661761143689	-1.51704237927	2.70128104484	2.89918418838	1.88379166138	28257.965271	2257.73634161	True	
-3.7949093262	-2.18353278719	1.54278448088	-2.03466575779	-1.82413329468	0.743684099115	-0.155079581428	-2.97664353768	0.185554883494	-0.835596633686	-0.385990355676	1.12204123337	-1.57734268392	-3.53515252248	1.5543720967	-3.66268492515	0.146806210342	-1.12083619013	-2.97921145225	-3.93847246289	-1.13311910772	-1.32588396576	-0.437902407456	0.231606079728	0.0686918538234	1.21011125837	-2.02137840232	-2.15848320839	-1.14222166796	2.07555913995	34239.1123777	2144.84952453	True	
-1.26468205171	-1.68915284596	0.542054096724	-0.820929719579	1.14280765471	-2.46434550381	0.540172904934	-0.191094624169	0.35478951279	0.614417550355	0.23797612817	-0.72049047007	-3.32805406299	-0.647528475418	-2.41967484756	0.135189979897	0.188083866982	2.19096191719	-1.51670606897	-1.66351184222	-2.76534672242	3.62311490762	0.10583208063	0.695356345262	-1.4406769488	-0.545354151815	-0.592340162825	-1.79405509057	2.12647017778	0.55712802379	19587.6020422	2037.6070483	True	
-2.94852118193	0.050922927233	0.0475335187213	0.542693290537	2.74959629233	1.2195417343	-0.324647432105	-2.61328884139	1.10895930845	1.97070247996	-0.785201805835	-0.903428406896	-1.62819512307	-3.37399659521	-3.73389259338	0.0300269434232	1.72463465277	2.10692450149	-2.25195192751	2.65700807093	-1.56662891791	-0.743110415936	-1.0475959572	-1.05607090408	-1.47198235029	-2.40929451797	-3.37391031561	3.57369465316	2.49134150384	1.06421322858	37425.9649057	1935.72669589	True	
0.384619668616	-1.9709130945	0.284198042802	-2.87775696156	-1.77292900949	1.42798238769	1.99296828806	1.1621365784	1.74896626826	-0.983811973116	0.247812901803	0.518659875547	-1.28804046113	-0.543522334985	2.08488162893	0.0755172838675	1.93983482327	0.805766157538	-0.276784239712	-3.45135412828	-3.91021946862	0.934332189395	-0.867820889815	-1.51647117	0.501789564284	-0.960827172929	-0.755464497672	-1.34387744698	1.70127600839	1.5464083135	19004.3191901	1838.94036109	True	
-1.56606136055	1.17707679259	0.368513461693	0.679568738994	-3.35437112068	1.62761373233	1.14302466501	-0.411040836218	-1.19971693897	0.767643776306	-1.6958345151	1.97567794434	2.45834032002	0.851022770006	1.38909035582	-2.79569023855	2.39485960777	0.0864383166133	-3.11277614329	-1.17384424983	-3.39752611336	0.875704942894	1.40892483626	-1.89547585763	-0.966548865117	-1.66917868687	0.841951034066	-0.693574384191	-0.348456504777	-0.711188092098	23807.5721201	1746.99334304	True	
