Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Parameter 39	Parameter 40	Parameter 41	Parameter 42	Potential	Temperature	Equilibruim
-1.8663027698	0.90574693735	0.518173363714	8.99881051161	1.81828249465	-0.254052948178	-1.98045974598	4.0674068855	5.79337176246	-6.83628066311	1.54481259199	5.05932979481	7.39530804286	-6.00587286093	1.74856412274	2.12411535971	0.0475124558337	-3.25253888457	3.76298005869	9.66332283719	5.36406865483	4.0134480821	7.53795912907	7.78055557881	9.92453204008	4.55596524206	6.89962016609	3.08145575759	7.71907847225	3.25433295659	3.49203891286	5.93952469888	4.66993769708	5.37126976535	5.04187380616	5.50426915391	5.00271849933	1.10054999427	2.48685681657	9.31654928499	2.01559792657	0.962524994389	7586.93873278	5000.0	False	
-1.2605130696	-1.59009249308	7.74510684154	-1.88186393294	6.7236936864	-2.70740142213	6.22723493785	-4.70972994507	8.91616824685	2.97703388257	4.17062219618	-0.275169804478	2.2522790359	3.17167481016	3.5924167209	-1.13710611316	1.5405829061	5.19645643824	6.2786104663	3.85130567915	8.48617647523	7.01136580977	2.96221894348	0.465042958346	9.05496422265	7.43672254554	5.58657438695	2.96219260973	6.24013918902	8.96826079081	8.77822164244	5.46430529847	9.10355039411	8.04895398481	2.48288029838	5.22690113811	2.43855100282	8.65765328383	7.0061897884	6.6282361303	1.53661912937	1.27882110184	14939.4764656	5000.0	True	
1.01904317505	6.44264340891	-3.44689188934	-2.53239577094	8.66490289288	-3.13951521309	5.46517500914	-7.56149515595	8.75860984266	-0.543840443535	-0.342940741933	3.58865173224	5.95641326462	2.88366994669	-9.09859076534	1.88082226453	4.38284454887	9.2398478282	1.38968156307	-1.1116793552	0.00531967597188	8.13837011188	2.26962979965	6.30183243739	1.20418384501	9.59596648742	8.55656114067	2.90336746861	2.05706161089	7.64434614785	0.688233537705	1.01059879257	5.52443703141	9.1166725665	9.08015924628	7.4432651798	9.88712201318	7.57071796168	8.41050123942	5.36729366871	2.90543405411	0.4496418866	6685.24935266	4750.0	True	
-4.85234269664	1.268044629	3.33116706474	7.96777947362	-0.278400345597	3.12472138874	9.19275632467	0.927322794868	8.51289834149	-1.71012709288	7.76974649504	-7.72791985123	5.37916511027	8.3873644581	-4.31309341041	7.42727656389	-0.703361741031	-2.01195911375	8.77434098102	9.65671246934	3.50340295059	5.4099454739	6.87219018488	7.371251144	5.15445168	8.42724615635	7.17921286429	5.0542541112	6.06259786875	4.06460687475	0.410388863983	2.16363967884	9.07412593924	3.13541274811	1.21968071027	7.77718572159	1.49585491711	1.31527084769	7.9296247132	7.51092002949	2.30740825718	-0.400224630221	10548.8277529	4512.5	True	
5.59776536238	2.96869629093	8.31175315417	5.3429679247	1.78795521368	3.9819471712	1.12262360376	-1.32301108529	5.21979761285	-5.13132656417	5.54395089629	-1.11443702721	6.37363996754	1.32988954528	-2.16043984179	-3.48220142564	6.88304699143	9.94389161471	7.01761665627	-0.969209043087	7.66054735333	7.21239166321	0.851401309939	2.992530293	7.29100473645	6.53009205536	0.826221948189	9.73851329189	5.44790660743	1.5331491661	5.9277182382	6.58053697889	9.36129122216	3.82708150196	9.68569144392	5.91166851142	0.565187911932	6.19513845147	5.93026573294	5.04630767076	1.43794814946	2.36850174713	9547.56052936	4286.875	True	
-3.47533094434	-0.995471367971	3.9767125578	5.48841515512	8.06433977251	4.59651580525	-1.63231544524	-3.3601755943	5.60633652808	8.35926453671	5.21822417498	8.75031275473	-6.0680814325	-1.00195234309	3.08300094797	6.80919559234	1.44483097307	-4.82715410338	1.98908716314	0.569114343102	3.62169681402	4.85071173494	4.31630983424	8.7381404312	1.37902237726	7.81234096278	0.822421382794	2.20478259845	8.9257838469	9.64073607697	6.97304480029	4.94302880124	7.77836422152	0.483713023389	1.62432957859	0.610439880823	0.764238099573	8.75734325244	7.53408515285	4.05134450917	2.21273429422	3.54685931657	8913.70265106	4072.53125	True	
0.0982421137847	-1.58407489227	9.22145246135	2.49219975267	-5.75788638562	-0.616759289367	4.83310360585	-4.36213459915	-0.13239897428	5.96385988664	-5.75036137966	6.60368687746	6.35371376249	-4.6611583342	9.28006054566	8.19472900738	3.57095138749	-3.79659640432	3.8818490243	-3.69593709358	8.45036099747	8.82549018347	0.568136729988	1.45280715047	1.87027069219	6.97496390466	9.7410527618	3.38828574925	8.40552476963	8.72076499275	4.85435497588	5.49358252521	8.22328819435	2.3868451667	9.98221482932	3.89673945186	0.459312877883	3.33372567109	6.07193658293	2.55341288661	2.80832896984	0.818898059485	9252.26426723	3868.9046875	True	
-4.95225549466	8.54834805672	0.793028376447	-2.98483957571	5.95683852027	3.56679790036	9.02078100075	-5.85078628855	2.90350711155	3.97873013666	-3.14244190024	3.0108120634	-4.61045761136	1.3880710723	6.57213250731	1.26305734117	-2.63575251585	7.51160221904	3.41368950582	0.398012090307	1.82190748168	5.37808496796	6.64140619622	6.7315886095	5.85341880844	7.69812745831	0.899685843346	1.98942115533	8.25526383762	9.12407322633	7.10359752212	3.35499387903	1.04911958302	8.19230845109	5.35181325392	3.55473604334	2.18702163196	3.16197977821	4.95977036923	4.415468876	2.47469171224	-0.79816744167	9182.47227231	3675.45945312	True	
0.931434654834	2.90767081604	6.67825389979	1.08130468551	9.65559524552	-3.75112837801	-1.54320850844	5.26362545249	-2.42495159623	0.819110437625	1.85170207181	-3.93810581771	-1.31439209277	0.914797820561	3.78664339087	-0.333645550426	-6.89108872803	0.84545035416	7.34337218847	9.42496197427	5.0422745443	9.13969211845	1.74984307979	4.04647942108	3.0348232305	0.881339215148	6.171350391	4.83894326757	5.38262906096	1.27888793897	6.63213378335	4.22329100067	4.81236840497	3.52435751561	0.715762135818	4.03809706246	5.04136763812	6.76727320665	6.63229530703	0.902317529997	2.78257843478	2.28807917187	8514.66927999	3491.68648047	True	
-5.28212240078	1.27265349635	7.99414846265	-1.38284653348	6.02889898959	3.62987774012	-4.73109456415	-1.80372820109	4.26677500629	9.77928252448	2.95249106331	-1.69639432866	0.98654858199	9.13291861511	7.13501993974	-1.69621060741	1.16189424869	-4.04914037986	2.83061437337	-1.14982085485	0.981933224497	3.38785263746	9.55269330107	3.8685081965	2.61658798749	7.01966466475	8.3204268078	5.49680161717	7.93585450902	9.34520160483	7.38694844325	7.28479558042	8.52151005817	8.96596973738	5.8239209521	9.59804282036	0.767076354431	4.9265649908	9.50848758338	4.34095863471	2.39527639741	0.276997950521	10503.3502395	3317.10215645	True	
