Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Potential	Temperature	Equilibruim
6.06647505145	5.35929355717	4.55860309745	9.10805248556	4.95085753363	11.1926754064	7.94693649973	5.56449475992	7.02342019114	-0.892574643225	-0.0832477516348	3.92048245618	-1.705333152	8.35189824301	1.2745673056	5.60343851864	4.29778175992	4.1562404296	3.48860278177	2.34398729846	9.73429619845	5.03251832192	9.3670097519	2.3297775893	2.77182364535	2.31376382196	0.665143118846	7.69178158935	9.24461189104	8.48406136817	6.74770723324	2.77912710656	4.94807075624	2.4877616809	1.12921815576	438691.25792	88197.485259	False	
9.54571437123	8.21158538678	11.134743925	1.61763142421	2.86491728275	1.26524793173	6.43779309735	4.78643360815	0.788576146694	3.83744906511	0.88155091024	6.11916547202	0.866508155804	5.58830119913	7.45735944572	7.59791998562	2.53340402129	1.55834197751	7.83133700865	7.1878041454	8.3000533271	2.12877062989	2.82676037283	0.829797807489	5.653572689	8.41680782476	9.5485943147	7.92711349763	5.52755165638	0.685132883179	8.21573676446	9.96043910319	6.73135052224	2.62173172698	1.01136708675	360950.425487	88197.485259	True	
3.17312097286	1.6728980358	9.18860147638	6.54829148672	7.31137052424	1.71792926803	1.71318458892	3.7418993663	2.89685820347	0.566882319999	-1.49514475806	2.98157082104	-2.74297977184	2.73556711171	0.84871243042	3.21890746372	0.456284017918	1.71784787422	6.96892922957	3.48386778422	8.59569507142	4.60705241731	3.04741650941	7.62090297455	8.26586370971	8.47781925351	6.53939075021	5.93225798015	1.93782737801	3.22588293367	2.9229344433	1.36934299571	2.04331602476	2.40366359104	0.98506778171	142488.015369	87315.5104064	False	
3.79194936844	7.1993364392	0.779005019149	4.4851546989	6.10090428971	8.04296771915	4.41685363263	1.1391919271	-2.43059116794	5.81103011651	-0.724736581154	-1.18247882646	-0.448243483982	4.53479797813	2.47687033191	4.70357378453	3.06262903902	5.95522052294	2.7387199575	6.98283660639	2.47069384916	9.2052116222	9.18576194828	0.87049652335	8.95822926987	7.24069330767	0.902660404435	7.22007858837	9.71908119407	6.39516385005	6.09213947916	6.11455855225	2.61052434406	2.75573797165	0.75358006979	57823.6486626	87315.5104064	True	
4.26178728663	0.180837177218	7.86054064224	7.5496789688	0.807613236715	2.6166045798	4.95646298165	8.13406154362	6.39590441152	-0.227430822355	2.30342929957	1.24896472428	2.08889630354	9.23444167352	3.17303395521	3.82350007982	6.0111736889	4.20546349482	3.15624373177	1.20176604938	5.69077248198	6.91059703914	1.71838806995	5.62280958899	2.87955537574	5.36456320048	8.22570719676	6.76007262559	5.81997044372	3.13266079698	3.86718794974	5.18108969909	0.487862507548	2.91229884538	-0.507820160203	76250.7287164	86442.3553023	True	
2.76431800588	7.24765016706	7.07583558391	7.63276521162	3.35719020317	8.26951294434	7.37302696188	5.55970266654	1.96160683942	5.58753684522	5.75961082801	1.37872731295	1.90504369348	7.70105008591	6.65526355381	3.21552756879	0.767734657833	2.80678690269	8.85012597926	9.22380448501	4.69513218107	4.51377864997	9.41632066543	6.32381421358	3.85025271033	9.53219079881	7.07309581354	4.56431257507	0.187953458946	4.25025637201	0.681701625216	2.70843561168	7.35326409899	2.70786186068	0.0333346622894	89112.2212687	85577.9317493	True	
9.32232285738	1.25725209989	4.02097768942	1.87501849524	9.88019368844	1.72346931107	1.9948170456	7.82507195767	-0.0226528321433	0.2792910403	3.23014735167	3.65660356859	-1.69909688085	8.38077955106	1.51486660646	2.27186802019	6.26730450282	0.963175822466	7.64195793065	3.811734603	2.43487377735	4.41838641189	0.554614292245	6.56724499131	8.06759565103	8.24837869846	0.259705467782	5.17008063005	9.09118553447	1.98990640228	4.81533450521	7.05485151077	6.81758204424	2.69795151734	1.72192634532	196191.689349	84722.1524318	True	
8.88684086558	8.85592197334	2.21691452329	0.662189044524	5.98925527822	7.37613424901	5.25367282119	7.39690071219	4.03667352738	-0.188454567847	-2.19236141947	-2.84019252474	0.556217537241	9.82921750465	8.38879074952	1.43472250816	1.11865458311	9.73960286037	8.10859630581	4.30786720372	6.90865256364	5.96881641945	0.102973455332	8.61757596858	0.665818208754	4.53822717688	9.83059389666	6.1595459765	0.31787406369	0.839595188224	1.68395729357	3.0275362498	1.01093692439	2.89208872213	2.11003059442	64421.3771861	83874.9309075	False	
6.99488891989	4.89895830263	1.89000868994	4.85844621283	0.691414443079	6.49315000928	7.17912031999	2.78720751276	-2.23766039184	1.30407372603	5.96269286913	0.331921342909	2.68507574475	1.25602684743	3.52537357654	6.30471925216	6.15744367336	6.99340099655	2.98001074587	8.13588536585	7.26893519306	5.36100584367	3.08667672713	4.87937018993	1.57624529011	2.03389354317	4.36244641162	2.12037813746	1.85535110654	2.3596131258	9.35992976965	3.63438049991	3.42091078176	2.54110168016	0.829122746524	91280.3861614	83874.9309075	True	
5.26115073068	3.38073468354	5.97700381313	7.18699737132	3.82993529589	3.58356477314	4.27159453701	8.12829912408	3.28516316742	5.47858757671	4.36676147406	0.946907288528	-1.01650943198	4.78190619986	9.05396160517	6.49556831602	5.63455886734	4.74038996582	6.37520495448	9.12872308327	8.54099369748	7.76565860259	1.91069076649	7.72090379385	5.47046171309	7.72571007015	0.269824858386	7.35331497339	4.91545805906	6.08462907892	0.143904413831	0.586397307375	0.303150446327	2.87532228846	0.0105169463018	21154.221469	83036.1815984	True	
