Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Potential	Temperature	Equilibruim
1.84301748875	3.63260738339	7.8897191359	1.99095024338	-2.20613956753	-0.138459035324	2.34937875669	-0.87332760086	19657.3451368	20000.0	False	
0.727693588233	4.49745109984	5.37488261512	5.15798800429	-2.73806894006	2.46720791396	-0.710441486716	-0.882708522837	24418.6429588	20000.0	True	
1.13814364303	3.22981721247	-2.47964939108	9.03938234244	-1.33049581179	-0.305775188598	1.16352428737	0.579292997833	26153.5053121	19000.0	True	
0.132916750543	1.94289939199	1.59579550066	2.43775577128	-2.68751816204	-0.847421081458	1.25242873978	1.61528629506	11153.4653931	18050.0	True	
0.590977660229	8.65674180056	5.72806627211	4.67993017525	-1.3028045305	1.1681913625	-1.07214141626	1.68987957413	39107.8746868	17147.5	True	
1.03889772337	0.263082329367	0.0831425266204	2.38647717532	-2.74145703594	2.68629941616	0.44883263945	-0.381898078253	27675.9846864	16290.125	True	
1.52949975581	9.72950234514	2.2101956876	4.76378066675	-2.13477660787	1.94286828819	2.39059511549	-0.601827661877	28107.6843475	15475.61875	True	
2.03713867469	8.51503214791	-0.403807027196	4.64716522121	-2.68071011687	-0.653679078546	0.532168908071	1.12563275831	8984.29475719	14701.8378125	True	
1.784995934	0.335219250306	6.0901630873	8.76214112176	-2.57823767827	2.02092332091	0.171869936105	-0.698094200497	20850.3305005	13966.7459219	True	
0.216170927932	4.64538851594	6.68826585443	7.38289023754	-2.53792329415	0.395291563289	0.372186928291	-0.454517073763	13993.341671	13268.4086258	True	
1.39012885376	2.41387676781	-3.13335745027	5.66634315889	-2.95378446542	-0.740078824181	1.36169633974	3.54264224189	21635.5571958	12604.9881945	True	
0.78511186919	9.26010571899	-9.38444061264	0.970131546576	-2.18401637621	1.6529949672	-0.594845266499	3.19790589693	27257.5575228	11974.7387848	True	
1.36991791224	6.65499551575	-4.11632709008	4.72104984969	-1.77323385986	2.20503714526	0.109233824115	0.781902436385	32149.0117767	11376.0018455	True	
2.19311032432	8.86983042072	0.512911934779	6.26450539521	-2.12883984745	-0.825810276968	1.26194730981	-0.31956336081	12935.4472542	10807.2017533	True	
1.25076733016	5.93931882579	-4.93143892182	8.80942099265	-2.413183094	-0.887812274656	1.40625234652	2.86743403451	15526.2144646	10266.8416656	True	
0.541017181106	-1.34954857569	8.42109587593	3.90656664118	-2.62694539774	-0.730475200266	1.18443575334	2.04875983566	5934.4065573	9753.49958231	True	
