Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Potential	Temperature	Equilibruim
7.39703810374	-0.750209161373	3.6008799164	9.02698375019	4.87978435144	-5.12173201536	2.04594173064	-7.09340114146	8.54011178977	1.27326224859	5.10081451909	9.43218777284	7.27542956338	5.83888623852	1.24563389955	5.71032690505	4.54678468821	4.59736870392	6.88277337484	5.43143024078	8.00515000935	0.869700863773	6.2685085756	3.31007601137	5.42611443486	9.0135152225	2.52716929245	1.16324013579	3.76935115365	3702.30805752	1944.35367739	False	
1.67967971872	3.57918791279	4.423092706	7.04754208764	-6.7746371672	7.1276004607	-5.77020504966	3.08282468271	9.21542972709	7.77064702557	0.16314844453	4.23142219879	2.20611692967	3.05019572736	1.50213487635	9.79407598618	9.13383971545	4.6587199401	3.94857962396	9.58938681382	6.72827037522	1.3419443548	6.88984370653	7.25280460743	2.96620092661	6.25098390335	1.42360141849	7.39923588103	2.97954814947	4539.27845617	1944.35367739	False	
4.39487485804	-4.45245339506	9.21229854455	8.12313783705	-7.3386663688	5.01538107317	3.10245482917	-1.81753504174	6.77857318349	1.96159216375	3.58996907332	8.69527819692	5.74696401758	7.41832421698	4.92893366034	2.18881513764	7.28085793323	7.27527735928	8.18696575926	8.86795298756	8.18812678791	2.70438295267	5.96092253711	6.49341955092	5.02969808564	7.2625232613	7.38314216268	8.72327785064	1.41993018979	2472.2623635	1944.35367739	False	
-2.4192412738	1.80078731671	-1.41898482159	-2.04024544596	7.79098252185	0.772366412176	4.2022985757	0.737009104124	9.83800650742	6.96777731452	5.88533921743	2.28677252872	2.18739065906	4.14607952031	4.02074760429	6.5270316519	9.14531211043	8.196247711	9.12836163719	9.2448208735	7.38838607225	1.38152824855	1.4123875783	0.163811951555	5.65554821106	7.49710283457	3.56861542559	3.59707969799	3.52028636165	5590.69208828	1944.35367739	True	
-2.70174247281	3.24214841289	-5.06959184547	0.474167907481	6.15249165403	-6.60865148357	5.8790459073	-0.508580204979	8.98308315055	7.38483724514	6.31777533161	9.44685658239	7.26558087164	3.96569074465	5.07712232053	4.37341659986	8.56625214778	5.31279327365	0.160685350946	8.53578045747	1.67519660128	5.37484906751	4.96647386819	9.89234559765	7.46871027665	6.29476852154	9.217477298	7.34986017989	1.93228698993	2341.63055625	1847.13599352	True	
0.886381789588	6.66043089594	5.10026872291	1.84764642898	5.4012073917	0.675528604934	8.47080239027	0.227593353477	0.352480999571	8.13082832793	3.37973493691	3.31597307011	1.47413667113	1.1023718173	3.46617968628	6.06026026318	3.49348909172	8.0234845101	9.94224722663	6.45739502375	4.04465252161	1.53160063967	3.16147320307	3.3458718055	5.22467884115	6.40539292783	8.11733185174	6.3863752628	2.82522011266	8048.32558074	1754.77919385	True	
5.0577748879	0.0563493821593	4.32656614496	4.98151385538	1.16609010149	3.10552191204	-6.70415442629	1.10712277413	6.74771785016	3.03150880707	0.146438065711	2.94204168905	8.57992635079	7.20610408283	2.82096654062	8.93648237066	9.03355995912	0.931977230235	3.89367225531	4.53980293113	5.41367409452	8.87014001374	7.27775651438	3.89085109342	0.488156017397	4.90304731282	4.40080781887	9.53280136575	3.30996838007	4444.03325193	1667.04023415	True	
3.95282658977	2.84656294784	-4.35716257479	3.76969997964	3.40689659624	-2.39487161667	4.16706963404	-0.607210497334	2.81531743147	3.05788476068	6.73614990708	6.9635798064	4.29081388419	2.45776157195	5.51416652276	9.5333560203	2.90873071436	6.33312565233	8.28121524941	6.35611166276	6.07993969888	3.25514778817	6.5579620386	6.41419175708	0.962496102409	1.77114218163	5.16144926924	8.70784695629	0.180700404125	4046.71919479	1583.68822245	True	
-4.30016060015	-1.05025035232	8.94477037892	-7.73670625733	7.76937069964	-0.284718794051	3.731785325	8.47642466536	5.56522961801	2.11931157424	3.41144624378	8.90663878748	1.4763494614	6.57306109248	2.1448868728	1.86502022973	2.09854436645	7.06096174013	1.28061282911	6.84767872534	7.47123063759	2.33224741221	6.91765944	1.20847147281	0.684219213746	8.57711120411	8.92784028406	3.05785023594	0.586432885012	2984.21244609	1504.50381132	True	
-5.55613594202	5.60554572827	-5.34463127904	7.59964537382	4.97990272076	-2.60249646895	5.97409085958	-2.73950991642	8.76841921071	1.54179843045	4.2019588489	6.83325403365	5.06901492593	7.45311252133	4.62044404479	3.92477490074	9.64001447205	6.91833455943	5.85559614274	7.37061575532	5.51595466572	8.07725644147	4.86511003034	8.43120671821	5.99583765629	1.84690690154	3.91746483896	8.70341170203	2.39507761782	2600.66544125	1429.27862076	True	
-3.08741195445	1.3827393803	-1.62462964989	8.25243167698	-5.43411631681	5.0441934498	-6.10796280462	6.46866161934	7.03021241439	8.59695551412	7.77710928318	7.01680874506	5.9118759406	2.93868773082	8.61896036023	9.33987852729	8.4325398006	7.44313551925	5.90640952363	7.20158125089	5.45438855864	1.44321186085	9.84603771464	2.79864927307	7.57926973741	2.81898161782	0.596675091535	4.53011329393	2.4627381288	2434.12351702	1357.81468972	True	
6.26531402577	-1.30384259938	4.37009537786	-5.68111824122	-0.738849784164	5.01450423884	-3.47900724468	6.06353788715	5.36913175195	2.70351859411	7.40183310209	3.32951627904	7.69232093295	5.89924652073	0.897238321417	1.30834537641	8.14640777733	6.9203306604	5.69855119478	4.98562626162	8.01946136213	8.73979668295	3.2641678616	8.44269407625	3.68550216282	6.57880194711	4.78224846366	5.17198048682	0.719646891932	2139.90297291	1289.92395523	True	
7.15404274023	-1.68336922012	-2.53311947904	3.23419492867	-2.80538726652	9.50304145197	6.59532206209	-2.90739139985	6.27344384716	0.420536259049	8.82129587386	1.04558276445	4.81208938094	9.73223552354	3.01791937247	8.51607206278	7.77397546144	3.63054904614	4.43505824199	9.94793710264	1.36875697712	2.08840246544	1.81297299128	4.62618936905	5.57676324238	6.871866911	3.12935185038	6.35589907731	3.17085183586	5378.65893936	1225.42775747	True	
-5.9817688868	1.5673993685	3.42990598613	0.306871429059	-1.22157167301	2.82448609974	2.1828930399	-8.45304354189	6.41493513921	4.01375246381	5.88648339043	6.80495621894	2.91039224366	2.79528011149	4.47758611363	4.49108913078	0.432514670797	8.19844443256	9.12876325181	1.42121884105	6.22152758881	7.28787010521	2.55121385677	9.55489228817	6.33512678026	5.22417562647	8.77331637102	2.83198223896	3.68635602135	2046.5631169	1164.1563696	True	
0.0193388139364	-2.06220529047	-2.30471400671	-1.13656297866	7.16339872139	1.9866558036	-2.25181407325	3.94926616405	2.7810679844	5.79554910737	0.452512917508	6.06637797272	8.18819925302	7.49883768743	7.99933080638	4.33720442702	6.05150189874	4.59919606559	8.32914106641	1.40311127267	6.99928197767	7.02110474601	6.23785364406	4.48565825484	4.34616297828	9.85617150069	2.68544666253	9.24531562545	2.70682335473	2200.89396693	1105.94855112	True	
0.0180730993146	3.91043865033	-7.32484945067	4.99785915975	-3.97948019769	3.55737523662	0.304202991679	4.95734606997	8.78442489349	2.73274689661	3.59206248092	1.43610814268	2.9383471463	7.13045867421	3.41904817307	9.63388272506	9.76739469632	9.6220786833	6.95351290972	8.29557122208	7.97466678909	5.91064896525	4.60117317276	0.654535767428	7.00511744986	9.4798439918	4.41455951564	6.81996402341	1.52567854799	2783.95134339	1050.65112356	True	
2.24240726433	8.54071306422	3.58555095827	4.2027941345	3.2791682581	3.19170529492	-3.61697231453	-4.63001956044	8.00259175572	5.43376027086	5.43278432288	5.48868451142	3.47428176217	9.33335691258	8.98167480747	1.22424846533	8.99117818915	0.683442304381	3.16431906239	8.08957277657	4.54387687748	9.12088380576	5.4028358122	3.00396199034	1.89243982449	6.72970426005	1.4398986045	8.81828614299	3.98800463313	5307.71254694	998.118567384	True	
9.97647081093	-6.75513739184	8.70131282367	2.45867509972	9.93566736104	5.97779879961	5.72140105345	-5.43173557458	6.88214132526	4.67503215917	6.29236186802	2.53310663418	4.27436578421	4.3766167047	7.27856187626	6.48129478922	8.97837023166	3.63789354968	4.27392645055	6.6010011845	8.08200791075	3.46914485844	4.42827203994	6.84290678106	3.27423937555	7.00981897683	6.1723883916	8.40776864828	2.52909045349	3387.73942025	988.137381711	True	
0.266971999391	-6.12626033518	7.26900690452	-1.07534279938	-2.4462547442	2.69716351971	6.49892914372	-1.54786090685	3.64535642407	4.66726844239	5.17897580441	2.70741174752	7.43361490704	5.9153965959	4.16003258372	6.39091980211	0.327898791447	0.835573236336	4.31735672083	7.47308595867	1.77210171481	7.69341197527	6.10260580651	1.93282709124	2.19355222092	2.65450977032	8.44394235119	1.31166251244	0.760397413598	2148.81446587	978.256007894	True	
-0.153833041244	3.74292275845	5.37167833241	5.69601455851	1.87448289679	-1.41157645968	-5.86336189536	8.24692016369	7.49287719228	0.684810422353	1.50152606024	6.30825013861	8.62725762674	1.74407695938	2.86280830185	2.96590848159	8.45976340317	5.00241870789	9.26340698516	3.12191741031	0.551178152011	9.87038548225	5.67990782378	5.73098605125	9.63338979847	0.499946911018	4.65636010358	5.63925918411	1.64387908349	2927.81360352	968.473447815	True	
4.0347926795	-2.89374589183	6.29708807756	6.8528244624	-7.40741832739	4.44049244622	4.60218459923	6.14406036282	1.49135809147	3.89609398953	1.28022184238	3.47794094055	7.19827593014	0.945452186482	6.53383578171	7.20933312196	9.27730778929	6.77816337313	2.03557536751	7.05751943234	6.97640935402	2.82757470536	9.46046330108	3.93541027301	5.28855367476	8.85904793764	8.52873748993	8.15684963662	3.10764556447	3165.84289055	958.788713336	True	
-5.83949058632	5.36160166957	8.16704214905	-1.4608986847	3.16149177325	-4.01765287531	7.18218800749	-0.560210843296	5.06290377293	5.05993694149	5.60395762172	3.73492408261	7.94394886793	0.474798736767	1.78125609895	4.76990987948	1.64897282249	7.96166856078	8.29081295175	9.26834335591	4.22517580812	9.01253243756	8.66599019723	3.1123049514	3.57298955149	3.86580589244	5.35194635163	0.682127404513	0.0692708173502	3140.24441352	949.200826203	True	
3.88844142156	-6.15978782675	9.18314072492	-1.59227085829	-3.94839164364	6.03575902929	6.40780743088	-0.509275532987	7.21048112381	5.93576522324	5.88471935115	4.97768447439	8.46497979795	9.97903137608	2.09986176766	2.8272793866	8.58208479274	3.23788443585	3.48487268247	6.95128109663	4.28705800331	1.2790506869	3.98714725535	7.45154555441	8.67963710381	1.47748985857	5.29874181593	1.36011534665	2.19885694773	2840.82295124	939.708817941	True	
-5.06204573873	7.54327301653	-7.0683116328	3.66551889512	-0.967705438004	-1.8730848779	5.0018079791	6.34989356411	6.36693671838	5.17887410919	4.8794395665	9.90724988889	6.29598235555	0.334011689015	1.31152998498	6.46854225099	9.65891314529	1.23572305647	3.44848339735	6.04555020401	3.78112302554	3.20643354458	3.34313563065	1.48423399385	3.5752826574	8.33248124624	6.92680694039	4.48316739547	0.262000966469	2891.51656566	930.311729762	True	
-1.75031509518	6.46310802156	-7.25526051215	6.33853768565	5.65836602622	4.78637749332	-1.99726929002	6.37912629452	6.90247412789	0.32568508924	7.52387705368	5.9430362368	6.89873300607	4.67812453045	5.77061582528	7.92441512271	7.25047969668	7.31425831015	4.93338886971	1.82918117243	1.77567369142	8.94618897775	1.13389819485	7.81634270118	2.74628767282	7.5606222599	1.05387631911	3.89260406344	1.87000486637	1775.46325286	921.008612464	True	
9.46601031631	8.2351581755	-2.17896552772	7.96617738505	3.66175780362	-7.39672504411	3.80101566836	8.60115157733	1.09210361316	4.38022118382	6.82086208457	1.82013350434	3.37552847432	2.88960224814	6.60449968827	1.88806390444	2.84597247294	0.988910132342	6.90617844062	7.55523945507	5.00578698549	5.94141105844	3.16495493608	1.03470809798	8.92366714953	4.02782699379	8.08683217161	8.67594558079	0.440870108526	3304.9869947	911.798526339	False	
