Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Potential	Temperature	Equilibruim
5.89880278518	4.84052174441	0.788045791703	5.03059708548	-6.47415998654	3.68107751329	2.9231236395	7.95971280536	-1.28238253694	-5.38987873135	8.97347522354	3.8874974002	5.1514596617	2.30085595117	3.73871764046	3.1121809384	4.12014049513	2.95540952866	6.7125519224	7.9144665919	9.93258892372	8.65571885333	3.69826294566	2.32475289628	9.0017580818	5.54409464175	0.185035702212	2.02010638206	9.4738226736	6.5452101518	1.62901060316	3.68632206521	3.44349295821	7392.70989713	3444.54114507	False	
1.1859007805	-2.7043625736	3.66378222737	7.15676032461	-3.85805328773	7.236760282	8.4052037824	6.45265218193	-0.259414077653	5.25520661733	-6.32463425479	1.44622925824	7.66729650995	4.38055961891	3.08939992251	5.23642935523	9.86895725685	4.60406598839	7.19803245757	3.85024398643	4.19837252518	3.09047644934	1.81349699162	9.14482771582	2.96657351163	2.28676637614	5.54006116643	6.65075481255	6.59353353159	9.68434262496	0.437550757394	4.53928536104	2.32032580177	6809.76267516	3444.54114507	False	
6.28118167552	3.1512616783	1.82244726057	-0.855664902488	2.46248919637	-4.82693481306	0.330926470586	1.26932648756	2.15423172222	0.336572397306	2.79593278968	-5.07648301741	7.50001402616	4.49290195838	4.20658148345	5.51257369307	6.8022374757	3.89287156881	8.69100040002	5.46720828233	8.60722566909	5.08283275888	4.84278544192	8.5488161098	0.369740152628	5.63981890426	1.900328758	8.99165570871	9.3661768207	9.66256245501	1.68055728759	1.66891249287	2.35194286974	6801.18051717	3444.54114507	True	
3.05694007492	-0.0781983155837	-4.3042326528	7.07451740125	2.28204356567	7.9741666446	7.35204262438	8.60909762127	-5.97249939476	1.24665986473	7.78202928607	3.31394042655	3.3030711924	9.99681718658	4.85186463002	3.76307724858	6.23138772072	6.50347430801	5.55675063076	1.00714063438	7.28532216729	1.85572293314	2.47817261065	8.58966608567	7.73275165088	7.18409301598	4.6911470896	2.07138269557	8.01696061319	4.67183739603	3.99665715115	3.92366174484	1.25210965199	7128.72792355	3272.31408782	True	
8.31893066408	5.00241143109	0.464021071196	5.8822011447	9.6061769241	-1.31539588402	6.84531469451	-5.3618005262	2.1124237475	5.25155920376	5.12149502528	2.19748011588	1.41923999848	5.76635574532	1.23754875408	1.93452929143	4.20880892593	3.60843708587	7.78558774672	7.9555622105	5.1123070385	1.3602815747	7.18346228836	5.43260445528	5.07599755658	5.59776266729	9.14642260859	6.40711855573	0.423218149609	9.91363749065	0.270343763162	9.87170721595	2.53230441182	13765.9610471	3108.69838343	True	
3.34468113459	-0.167852626213	5.77031086345	8.30073301571	-8.13330160453	4.7839551924	8.55603622264	2.64730663178	-1.07530527909	7.80445943937	6.11107822712	2.256437076	8.79649763401	2.60331215342	6.62399808755	4.8264134289	9.01702925856	7.8800021375	8.84206357081	6.27282039626	0.741280338758	1.96867661517	4.53821494499	8.50602825602	5.7814008747	0.306343563434	0.170161232402	6.74837244265	2.29508575523	5.43213728866	5.77932948026	6.330979682	1.53247946644	8861.02217983	2953.26346426	True	
6.75299470251	0.215834048914	4.00451566673	-0.395660278513	-4.95260784141	-0.00881445387843	0.0796348605989	0.26090466228	6.9200452981	-3.47101663263	8.54278832656	-5.13182916679	0.0721473652938	5.32339327654	8.00741153779	1.14850767272	4.40195911342	7.23707799868	4.31956934824	1.61088014696	0.197836745302	2.73650353059	9.31485403252	5.24348538755	2.04491886436	5.74202990147	8.49461770433	2.06436189872	5.25895997204	9.15586169106	9.38438365311	3.69832838991	3.81182047148	8554.84867214	2805.60029104	True	
2.12112317519	5.16116216752	-6.10947791959	6.78355165388	-0.961796401985	7.35620784868	-0.862902169282	1.56889966889	-0.199598931183	4.89081207141	-8.01808136931	3.73174254221	1.65120647573	4.66963532622	7.50794251457	5.23611784249	8.70804005552	4.37503785161	7.04177765968	7.83641200983	2.66753038882	3.64301282575	1.83689813895	0.902167903434	7.63369247705	4.84004217665	1.13250058241	8.03786259112	9.0300916976	8.58850220585	9.71941959597	9.33376297363	2.19590982273	10393.1909442	2665.32027649	True	
7.55502482241	2.74195454419	3.93466277903	3.10717310424	-0.665893692718	-3.28469480642	-1.60878736218	5.98230714041	-7.13461002735	2.89558254836	2.02349975877	2.33663667428	6.08232830113	8.32787201037	2.32091437596	4.96796934526	3.32178063649	0.717181275596	7.44887897267	7.31278717821	4.42054913414	1.1862515232	6.26425897517	2.70702217811	8.78579237117	3.28124730825	8.25032720024	0.0781291331159	8.14642423669	5.53106506931	7.61251187925	1.65241550316	2.4009807671	8923.6886063	2532.05426267	True	
7.05146411163	-6.84367953214	5.31756727736	5.37281729687	-1.14664046631	2.26647496872	3.62487327695	7.36642085871	2.98129522131	4.27504884663	4.494890898	3.44612006386	5.74185072387	6.89766179127	6.4565300286	7.86692361526	7.98498892037	5.841415653	5.81931708919	7.63524245183	8.72408665174	7.47795868073	2.08571873495	5.20283245004	3.63915157329	4.4200561712	4.49992823911	2.56513658755	4.93161859174	1.3090426063	1.79567624193	7.11148576815	1.74646100781	6439.58997955	2405.45154953	True	
-2.42065302929	8.69733551263	2.81656562474	-6.47193820663	3.11983755951	0.727978486032	9.01107943754	-4.33021444044	7.58648586519	5.07215270591	2.94713819754	4.63713350032	8.44758182219	0.477362154955	3.16151984816	9.14401664249	7.94543520862	3.96073318179	4.01076406332	0.365388844607	4.85433676914	1.41394053868	9.07931330548	3.26712576154	3.45712134277	2.72796150719	8.96818179627	9.0943966449	3.81298217457	1.11701590872	2.8370597898	3.89160157833	3.02642873189	6967.15014547	2285.17897206	True	
9.90690172915	-6.20438079076	-1.32804954538	3.85024441112	6.68451187801	-3.17303701487	7.56430684952	-5.06935420886	5.40702803946	2.89999784878	0.553027881064	9.47091599816	2.39854711085	3.79698024851	7.45352862285	6.41658023992	4.2233154277	6.40183595812	8.38994120813	5.56330216195	7.1373698177	7.46507266357	0.667793178415	7.76877776528	7.23905354724	2.54436478438	1.91371424958	5.92382185385	7.86770965949	5.37759093728	8.76342541603	0.909077171056	1.0224423063	6458.61678329	2170.92002345	True	
0.161159055714	1.01164203775	1.87699076527	-2.9354117409	2.4207246293	4.14213714404	4.95983148782	3.75295954165	3.0568838721	0.923277775004	-4.77900655775	5.69773899875	1.59714721638	9.98963644805	1.55317986313	7.49965628774	2.96555899911	8.30385047302	7.62486060914	2.33014427133	2.65181615152	9.3787939705	2.78746395619	3.60317506638	4.21659316123	1.92215459449	8.94646188107	4.65734510519	5.0842110146	4.56470818009	2.30255661671	3.6287645737	0.141457385042	10449.0529013	2062.37402228	True	
-0.224239023469	3.1041121605	9.08636377287	8.68026924672	-0.0188260273358	-3.39127625149	6.21414018152	6.8516524806	7.30209953108	3.31372940159	-3.78888307998	6.38494396869	9.66878118326	6.87993419304	5.31209396059	0.140178532384	2.04992291766	8.01984519529	2.79290548137	4.73390097349	8.86905764382	4.99657533435	1.78058135758	5.67717001828	5.22943432931	4.42315917654	5.06254204026	1.95076315903	9.95388259781	2.21922771217	1.07917625353	3.02346711538	0.321514252107	12012.5925603	1959.25532117	True	
5.95469113138	0.811016539626	7.86102899828	-4.80354855057	4.6161277739	-1.69379561311	-4.6445912593	0.0327814699066	8.44515324975	3.21613353048	-6.68521552137	9.32115524232	9.42683406612	8.978902752	9.72618624977	7.32032835986	8.51539070907	3.49720555852	4.81037517919	3.54685121412	7.73715959191	5.76793992654	9.90263954551	0.437038430554	6.16447439248	2.40963566334	3.05984285983	8.78877040013	1.23375969657	7.56267855056	4.44870426834	6.74237846627	3.48797644092	9456.10827974	1861.29255511	True	
5.09314959438	-3.85136862761	3.61948085855	-3.28643735725	4.52117973482	-5.64497093409	0.471209874894	7.93017202956	9.67074661514	-0.0131331607554	2.09524580548	8.079912888	9.75655528821	7.00792050699	3.56069405797	8.77818401571	8.34676308726	2.72010351816	5.96350603047	3.94192035534	4.82810193827	7.37660802082	1.13936293855	4.31866609938	5.84660319327	8.8257999489	0.416457925254	6.64479816874	7.47397260995	2.47690794933	4.49778606215	5.93574365848	2.0467708713	7716.51200207	1768.22792735	True	
-0.140730731987	5.23371637604	-0.255770917687	-4.81263081469	5.11928745237	-5.90041780399	8.06732038682	-0.77808890668	-4.67693013016	1.32834648307	2.72749070055	3.26851860513	7.14143349115	1.6601570388	1.96258381451	8.94133740905	4.44716823237	1.62524232002	8.92462374496	5.40976498939	7.27008224835	3.59693020441	0.810708301778	6.30255137809	8.7058740418	0.412882632957	7.56889440646	9.68847106382	1.48819323496	6.83037310174	6.48321351647	9.78543727971	1.99026154378	5990.53556184	1679.81653099	False	
