Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Potential	Temperature	Equilibruim
5.40622597546	7.70417272789	6.83052149311	8.67693480616	6.24375115181	8.35475517411	7.73230139701	3.98883332388	8.69147355563	4.97172938199	5.96589062944	8.44975916727	35289.7014585	2593.7424601	False	
6.0388166797	6.87068880187	7.04617746997	7.84634607615	6.99067760792	8.0354603456	5.87977277955	3.95885575184	6.03280959278	5.69933387239	6.69022301278	7.0953774417	26660.611933	2593.7424601	True	
6.07401993093	8.86190811592	7.61647106897	5.09189659969	7.25734287563	8.14115872295	6.94771863335	4.1884824037	5.05277441546	6.70243467673	6.92765163847	7.21562542114	33625.3019719	2464.0553371	True	
6.51381577577	8.1023819003	7.06696309647	6.97280457431	5.0839289924	7.99739889168	7.09735760063	1.67106821467	8.35694784303	4.49132029434	5.99355341133	6.22691944812	29472.6353367	2340.85257024	True	
6.59102214155	9.11668472056	6.46908384108	7.95629938008	5.9854421499	7.17062291974	5.78556643649	3.95132178232	5.80311283283	2.4695308483	5.64847323651	7.69962907327	32571.3842	2223.80994173	False	
7.07695922603	7.64113233901	6.10427589764	4.16739135694	3.71841216588	6.97158298315	7.53811411976	2.72281253596	7.44374072733	3.41266002422	5.40277011383	8.46504016494	30934.6974589	2223.80994173	True	
7.12303082229	8.51159354336	6.70766777689	6.41438962798	4.07502711183	6.4112871479	5.73897724103	1.91100580256	7.5317942839	4.85062867196	6.82027203263	8.41565146437	27491.9311795	2112.61944464	False	
6.97230162482	6.46430495583	7.08105793623	3.56089988638	7.48215103916	7.12942576044	5.02803614245	4.88775294514	8.18185098391	3.73807414037	6.16609891514	7.6608159634	33839.7245591	2112.61944464	True	
6.01010514288	8.30169451507	6.98063307906	5.31217996758	2.68479389798	7.02538130049	6.55746335433	2.20367443308	6.85681717309	5.94145802143	6.94058133345	8.08525755682	26811.4640509	2006.98847241	True	
6.0685248924	7.11165006345	6.21628281798	5.40654996206	8.63623790092	4.43485270467	7.65282281699	3.86680951814	5.83998414807	5.15720673163	7.95217812201	5.8149906097	37933.8754785	1906.63904879	True	
7.67587707837	7.71592525745	6.70855654364	6.78555158404	4.29935586444	2.60885147062	6.31745378144	2.73398190215	6.96516025742	4.30039046538	7.38711104648	8.47146609584	31237.5554123	1811.30709635	True	
7.0306548195	7.68815089457	7.97511742997	8.03630647645	4.57926157156	5.57819356915	6.51218764648	2.91295431362	6.61244003695	4.7677832783	5.51090215094	6.55858431024	27195.6320979	1720.74174153	False	
6.75038635624	7.41965727043	7.26208687652	5.28743411652	5.17686542064	3.62983509156	6.11912522382	3.78072427743	7.06753350577	4.90127103076	6.49643409945	7.81311459589	26255.5727992	1720.74174153	True	
5.59983840031	7.78631036314	7.38728811705	9.20703160578	4.66829762486	7.44609619713	6.39313817819	4.51071459855	6.45892490503	6.46075612833	5.04380820603	6.98367543202	30017.8789156	1634.70465446	True	
6.9694226431	7.81598556083	6.40955497604	5.44711953079	4.13714696872	3.74614357408	6.91145941702	5.12507024061	7.57956464244	5.4093604641	3.0873775772	6.96978360065	37892.6510804	1552.96942173	True	
5.65853627339	7.28895355906	7.2233667898	2.06184528046	7.30554181207	5.54161936603	6.14832643769	1.74062105943	6.92668406798	5.53096434806	5.69589288023	7.3264896658	28461.5792948	1475.32095065	True	
5.82306270766	7.7473241035	7.45480877698	7.45750972286	5.15399873119	6.56057122446	6.76520445228	2.43296215629	7.14384467168	4.32646489461	5.95304499832	6.50751362583	26377.05016	1401.55490311	True	
7.19066750636	8.93891234755	6.71848661694	8.32609561232	2.50426477542	8.21620715862	7.78340478977	2.14930090475	6.07367438895	4.90362882769	8.00876516771	7.99541507697	35433.4308116	1331.47715796	False	
6.34450681089	7.30901186195	6.06035749837	7.1386216474	4.10980787523	7.19443525455	5.62627403808	3.56793899274	5.80314446389	4.76977866067	6.82284474272	6.67154391324	27097.408028	1331.47715796	True	
6.1211477198	8.05919961192	7.57774615741	7.19868330853	8.34258936786	8.14979783415	5.99891391174	4.94112381662	6.5177502909	5.49090918654	6.33531618381	7.21362595639	26245.4632692	1264.90330006	True	
6.84097877648	7.7829202365	6.21777084254	4.74686226822	7.7821127802	7.82896538359	5.29634564205	3.99696811545	7.82129036248	6.06129608632	6.00809629974	7.41498015626	26614.4174307	1201.65813506	False	
6.16816881522	7.55043594792	6.98108908917	2.90861074784	5.84149773682	7.30558506723	6.83031690443	3.08042329816	6.58307812397	4.26243412039	6.42140418845	8.09846249699	25022.4309867	1201.65813506	True	
6.65586143602	7.83866744458	6.79314037756	5.53397762991	7.283643506	8.91045661869	6.21702462086	1.85582064523	6.50339522767	6.54408567285	7.05014304219	7.54452736122	25814.0064858	1141.5752283	True	
6.3751083139	8.73986751691	7.32563000373	9.3746639683	4.82462997147	6.32068462913	5.90538052988	1.8588098387	6.82737220266	4.53099797259	5.31680416174	8.10893514628	29471.205814	1084.49646689	True	
7.56120424951	8.09017139409	5.63648441641	3.35544485809	5.49176535147	6.9524717196	4.98990964821	0.706943703353	6.75954158922	4.62039989019	5.19893236996	7.11354495423	31980.8655016	1030.27164354	True	
6.0637308468	7.74321945367	7.63993716584	8.55142102737	4.86676613269	7.70152619939	5.62655756409	2.25359108117	6.73055972732	3.98522321566	6.23361109934	6.41370221544	27467.5906026	978.758061368	True	
7.12469164941	7.78765345485	7.23357140735	5.89844625257	3.61513479426	8.39097358157	6.47480515364	3.88936339274	7.17989299699	5.02778686292	6.30789098856	7.33222991561	23438.5124035	968.970480754	True	
7.32057540851	7.67130009028	7.1725010835	6.08558166152	3.4201054319	5.33806181383	6.12007419222	4.31392863197	6.27001536688	3.98251395915	5.56617319514	7.10444497778	26843.3630036	959.280775946	False	
6.83553023757	7.87527359708	7.17083476182	4.27948251818	5.96001630134	6.50864348374	6.26281688841	3.48922908911	7.33502922365	4.81733155838	6.71166754347	6.07835429947	25054.0872268	959.280775946	True	
7.90783011087	7.57497530531	7.60216995304	6.52290061999	7.74172598267	7.0248932012	6.45134394995	2.34227204219	6.17772261011	3.36365004987	5.76463560925	7.68823828749	28748.9518429	949.687968187	True	
7.14551481496	7.1935854479	6.62073102182	7.7692397405	6.73387906274	5.57374962485	5.17518186737	3.65953193999	6.38255292229	7.19249895998	4.06670922226	7.34780492167	33240.2727454	940.191088505	True	
5.99284217594	8.08850071752	6.88986211041	6.08164159406	5.15488019106	7.21956643541	6.5206471553	4.83680724431	7.30990994016	4.43529662481	6.57915500027	7.67662397373	25231.8278112	930.78917762	True	
6.7952430055	7.75326964309	5.79951504651	7.51205919089	4.38581339832	7.7994278577	5.19854175237	2.11357208195	7.6954939756	4.8087266195	5.69592722377	7.67685902408	27474.3138845	921.481285844	True	
7.82800422551	7.77425243931	7.09445675727	4.87311391958	6.07051825516	9.10504385937	5.60717058899	3.30913451507	7.06314394108	6.9172606964	5.75201404702	7.7565055661	28117.7910922	912.266472985	True	
7.25412868918	8.31901862782	6.23159346744	8.11845428383	7.77224111506	8.88685950985	5.4324785587	1.3738679194	6.03881531679	5.14976110675	6.35650924659	7.12089218331	28226.6763211	903.143808255	False	
6.37021821911	7.55489382635	6.82256295453	5.49775730322	7.42078960332	6.45266901281	5.6277669	4.03288946645	6.83524154551	3.4691501404	5.93837597052	7.00011834754	25417.9283494	903.143808255	True	
5.61142873419	7.97954776869	7.29655506929	6.6697398757	5.66820568163	9.1289397995	5.74186055847	4.96816278899	7.22888707637	5.45051563649	7.13004129391	7.74841760076	27938.7998431	894.112370173	True	
5.63536771691	7.91564797683	6.91813656164	5.13228023031	5.56747966744	8.43179019742	6.15836284508	4.02815677404	6.67637943594	4.87111790296	6.01947387681	8.1698492387	25129.0305103	885.171246471	True	
6.9527896246	7.713937172	7.51981755792	4.24175167909	4.288106301	7.36371763084	6.45138249829	1.80354563865	5.94347581892	4.53429845048	5.50919202436	6.89458513583	26571.0525676	876.319534006	True	
6.5454749235	8.02471555226	6.61411698012	5.75040256801	8.09314648845	8.2243409158	7.21165250629	2.42613662207	6.77600493851	4.35847282738	5.95445355463	7.28959173088	24924.4214229	867.556338666	True	
