Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Potential	Temperature	Equilibruim
1.09302594706	4.99923737789	9.33142674988	3.1870406053	-2.02718390504	2.93026228657	1.80741495379	57513.9082529	20000.0	False	
5.00404054927	3.94696972962	7.0258079358	6.26493479765	-2.70945470839	2.62045570239	-0.495402253298	27234.3064758	20000.0	True	
3.79983765194	0.410757130114	5.60674174133	2.30114294968	-2.7007833272	1.74944569405	3.47049057833	12596.7027045	19000.0	True	
3.82971324381	3.01123401272	5.87698535133	3.28455477656	-2.41919846495	2.05539493209	2.78979412152	19255.8807826	18050.0	True	
5.50735878665	2.49804017731	4.13814184553	0.184784950546	-2.987373453	2.65263492287	0.636852893396	22365.1607393	17147.5	True	
1.97813216711	2.48067043859	8.16446906388	3.0321541242	-2.3861810088	2.38656065675	-0.00632872807472	11072.1170493	16290.125	True	
4.41737285554	2.30845720876	8.68347946277	5.00625763183	-2.21808717305	2.2833067194	-0.122686827166	17791.8125385	15475.61875	True	
2.0397117256	0.409560390065	7.91411176114	9.85591746283	-2.7684021185	1.46245038809	3.23956363825	22611.2921987	14701.8378125	True	
5.47524576772	1.77023598656	6.80690039345	2.24163586187	-2.28671209234	2.05002557446	1.21849299684	47612.5052591	13966.7459219	True	
4.64936946607	3.65776103799	6.1915998852	1.88084000467	-2.03611359389	2.47978011628	2.31690426474	29684.2039561	13268.4086258	True	
1.01777760752	0.346055347691	7.13926004895	5.7607715181	-2.42348838553	1.58252954836	3.50815134123	7467.36400551	12604.9881945	True	
2.57843112675	4.7956492224	5.96991745586	1.30573443223	-2.39492980863	2.62314617137	2.01916586291	30136.4713203	11974.7387848	True	
4.47195425776	1.58142541065	7.0731292548	1.61792309464	-2.55007505546	2.29822464325	3.44771668151	5700.97930731	11376.0018455	True	
0.421322383521	1.2588193317	8.32174138382	0.328965996358	-2.4222103354	1.69632387418	0.698151721122	14498.1551121	10807.2017533	False	
5.62411557095	0.670556123724	4.75519473365	9.53264330412	-2.68987356607	2.63703508562	3.46254659725	11451.1141363	10807.2017533	True	
1.52780704836	1.25243062028	5.94126525821	6.90765740073	-2.55345963022	1.7112246789	-0.0297861404732	7981.01966915	10266.8416656	True	
5.54241338278	0.18671830026	7.77002824221	4.6624954524	-2.43484830434	2.18898973603	3.56609864406	28165.2107108	9753.49958231	True	
1.33903500686	2.11579608383	6.89259055581	6.34465066665	-2.41745700164	1.98611488106	2.03126458375	6284.191743	9265.8246032	True	
3.08699039405	3.04227780876	6.58399541354	6.30781072425	-2.3792852939	2.46658041692	-0.657594379684	8408.23190208	8802.53337304	False	
0.623461250124	3.63540688493	5.26327418393	6.5358338752	-2.57760715859	2.47849727262	-0.21991676114	24745.9159162	8802.53337304	True	
4.59556930925	2.60489484831	6.38486435461	6.25860760174	-2.16119041837	2.47118192703	1.06944657752	11697.6189957	8362.40670438	True	
2.3171330002	0.652052672231	5.17468221443	8.81970846581	-2.38019384377	1.41358194002	2.72607111987	12541.486121	7944.28636916	False	
1.74349315259	3.42281180535	7.33250097684	3.30205105345	-2.5172172927	2.36985954771	0.0230435414787	11222.0658995	7944.28636916	True	
4.6246518344	3.98891401915	5.95920070562	1.27008584268	-2.34838834002	2.89240124532	0.85231881307	6610.36735607	7547.07205071	True	
3.18662479701	2.08828096536	8.09995162143	4.277178318	-2.74062958272	2.69524325758	-0.722094659294	11869.7532096	7169.71844817	True	
1.97533403653	4.08840991853	9.4819931303	2.96721108303	-2.5550290069	2.88436370872	1.14950462213	18124.2903641	6811.23252576	True	
3.13288090179	0.751560350938	7.92515126707	0.38217009157	-2.16395820036	1.84826494726	-0.548271181746	18279.4493384	6470.67089947	False	
6.66528649144	3.47828483709	4.14828291847	0.975031597665	-2.26700916551	2.98952161616	3.98087627178	18018.0989634	6470.67089947	True	
5.5603537616	0.958282292143	4.7599317113	6.82981263109	-2.0010272009	2.34019902837	3.45091937968	28068.6367172	6147.1373545	False	
5.95593901881	1.62576951615	6.82225715918	2.04144287929	-2.19213687617	2.60390132242	1.39513050184	9903.4743395	6147.1373545	False	
5.84404826751	1.85536793556	6.38479453416	4.22088348422	-2.04317402545	2.93494444615	0.282790858074	26037.9650314	6147.1373545	True	
5.7733240648	0.770106799112	6.72403297574	8.86789638743	-2.28820816023	2.65876779356	3.71142328127	3925.09714352	5839.78048678	True	
2.92316066849	3.55004931828	6.91437944632	0.548175521275	-2.82171487547	2.19742345435	-0.0192820649628	36536.253653	5547.79146244	True	
0.855615103244	0.89406601621	6.718837166	0.12802340364	-2.53264584933	1.46042847365	2.06828966944	11225.4857973	5270.40188931	True	
6.97933763839	0.59359178864	4.90978310167	1.0237454728	-2.31995254469	2.93927610918	3.23693861244	13748.7702644	5006.88179485	True	
2.75771399417	3.55390522766	6.1441461317	4.69733030574	-2.2343402466	2.60590805014	-0.679040822435	16852.5130375	4756.53770511	True	
5.25952212579	0.703427289684	9.16506241729	1.14337520509	-2.41368257402	2.7198868851	-0.313644497862	9161.38464976	4518.71081985	True	
3.48852407078	2.06085627883	7.30920120917	4.0906872755	-2.34581228491	2.22025561212	1.95297440552	7940.39793382	4292.77527886	True	
4.22710687862	2.25553672788	5.91337222654	0.267066897922	-2.47800058048	2.10636855928	3.42314677409	6151.602024	4078.13651492	False	
6.44564883318	2.39973685643	5.8138946988	9.31721046585	-2.19829019476	2.85457187625	3.59017754969	8759.79774975	4078.13651492	False	
4.18730644814	2.7584336315	8.46796323255	5.54937056693	-2.36203352711	2.69169931926	-0.460904539089	8265.77722687	4078.13651492	True	
4.74257262472	1.09868155912	7.20024689078	6.72666569628	-2.23674936444	2.28154030224	1.37380759434	6575.07058137	3874.22968917	False	
5.86352217985	0.00304783365132	7.23952913896	9.508088408	-2.43198002294	2.71526196808	2.72219018938	3971.61757388	3874.22968917	True	
5.22833337886	0.315306084047	7.42905690559	8.37922997954	-2.34400561133	2.41664975639	3.22228574768	4474.76349844	3680.51820471	True	
5.39229785948	2.07776248577	5.99374009507	5.32652023156	-2.57205484113	2.55968408429	0.176722500599	4304.66615871	3496.49229448	False	
6.27879643159	1.05673980581	4.27868716572	5.23117041192	-2.39598233061	2.88289363563	2.58911569362	9741.636275	3496.49229448	True	
