Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Parameter 39	Parameter 40	Parameter 41	Parameter 42	Parameter 43	Potential	Equilibruim
5.0710387658	-6.48825987391	-2.35389252163	-2.13988432642	3.00415627996	-8.56725565465	3.86525452424	9.69297181232	3.41280665121	-6.54307454155	-3.16862365138	3.18524202433	-0.658568817669	-2.16469234074	-7.74702495572	1.32872257603	5.31157095605	-5.10522374212	2.75233445878	-4.42491950327	8.80286949856	3.35663522518	1.26445351527	3.451139148	3.70449886242	9.58051172895	8.65875213612	2.59546074437	5.28400232951	2.0676699483	5.76644999238	1.99895791263	6.61835798936	5.91449806068	5.53661939147	0.706280786427	6.47585699476	1.98947591688	8.99598517865	0.438741279732	0.68693042664	-0.549128761696	-2.90048324002	505406.120536	False	
4.55912503743	-6.81219440241	-8.42032387153	-3.00996423836	-0.291517428895	3.98794606769	3.06275399418	-8.84533795927	-7.73704133992	-2.83349085573	-9.67973049413	0.035269886391	3.30943286529	-7.56646271956	-5.98524215484	-4.59557315686	5.68574564385	-9.80735099289	8.67323977381	-4.73639240878	-1.81962964815	0.584036710857	9.60714605567	8.59389936395	1.99909389947	5.69012566616	6.09425383619	3.79334787961	6.96425981116	6.38117208196	4.56431139964	0.749501261442	6.12971358751	6.07457981813	9.3570038774	8.87815745211	5.06189528588	1.29490291552	2.04176920417	3.92715946271	5.50630380159	-0.125049012378	-1.57038320236	817142.99717	False	
4.88854141418	-8.28468093512	5.75258736153	-7.22433670976	-3.68097872446	6.60276194752	0.5977052942	-1.24240972598	-6.7557032083	0.130307446106	-3.07632328426	-9.71218461212	-1.81193152675	-1.29465897342	0.835501542241	8.38118990118	-4.47638343113	4.63979307031	5.11878494764	-7.97271704648	-1.27797241641	3.71334046131	1.53183888161	1.7546898813	3.59171060988	4.41587199685	5.82100957712	6.22133604663	1.21151461215	1.69964750611	0.888956516111	6.09600233499	2.0106897235	7.85946750129	4.69210082279	8.76758674341	7.8753293946	9.27342016142	2.98109556744	3.77872682951	3.71697483912	-2.36597838876	-4.14967023504	898075.780033	True	
4.5688031876	-2.49960171532	-5.04815999571	-7.18817639011	-6.68199578997	2.8779857104	4.7144504934	1.68174042288	-4.65859002826	-9.18384906181	8.43433422637	-7.66845710786	-1.9920883098	-8.74839103042	5.61291079426	5.720111501	2.92117895668	9.99055294011	9.25352079951	-8.28012873286	-8.25847363383	5.00100234019	5.35599153069	0.7534891998	6.37822157129	8.79382354528	8.52432477698	7.71135680905	1.25626489382	5.08212873491	8.5043327178	3.70246377007	8.14802583328	9.54056728814	7.75120542127	8.34952277918	1.82590185588	7.43667567113	2.04512407816	5.58437511568	0.0802812447715	1.96922196254	-2.45890146479	802538.805784	False	
4.54746732171	-3.85101261585	-5.24401592488	6.17398216464	-9.23839260291	0.378346815407	-2.47862187282	-0.61658035127	-1.99988710466	0.298046673508	3.75196132574	-2.92502684437	2.52754549705	-8.36245895946	-5.59905874081	0.98109972657	4.54569330318	-0.187276920912	8.90499279092	-9.27728840533	1.98833658724	8.11422979937	8.82134503889	4.16880052445	4.02056092744	8.7230207221	7.41897687138	2.55937746171	2.0549569345	6.43975578074	8.2634333912	1.32775382355	4.63200979108	9.39381458043	1.32782865709	2.51836314726	3.76088075439	6.17318212985	5.80715936123	2.13299052709	1.72028074224	-3.41715011181	-3.5551802803	805980.583828	True	
4.84720787443	-6.46174107173	-2.37885097326	-5.69694599434	6.23881180565	-4.51474286285	-3.79680844785	7.07586452243	6.44926151312	-7.87863357192	3.02917351275	-1.23403123571	5.99390514445	4.49991887904	-9.32388570692	-5.56127713966	4.12232495806	-5.1456189203	6.62317408072	-3.87775289891	-2.70492281253	0.706521673063	1.59171948935	9.75566452615	7.63858237213	8.88036757453	4.35694426422	9.60340089977	1.21343750988	6.58076240561	3.69269997701	3.03739802723	8.73972532908	5.92274159337	7.91621191456	0.347092423734	5.01236784275	5.24479843541	7.43708254673	2.91832516524	5.08636419619	-4.71900403573	-4.04401851749	451378.489607	True	
4.34350532533	-9.01469241477	7.19730184592	-9.83891596288	-6.0507549989	-1.38680417463	-3.83055795627	-4.09078587954	6.13544943443	-7.38731989905	8.35481834165	9.49583089025	8.25269043174	-5.23268781182	-7.78714823382	-1.66228184733	0.867568210689	2.13911579269	5.85650017249	-2.05305564683	-8.33325535479	5.10455743437	6.6677669561	3.08818508848	7.82161283293	3.08382247556	8.01987246291	5.91760057626	3.39148516671	2.41994212302	6.88152902209	3.64908669671	4.76703127221	2.96262192351	5.30426256314	3.80000631379	6.53969807318	6.88535802507	0.536432879935	1.35126615419	2.79480649744	-2.98066958761	-4.82176354167	896817.461483	True	
4.76840096259	-9.79631533457	0.169178650987	-5.23337853652	1.17158679808	0.667527501758	-2.48172526254	6.23306751896	1.4871002344	-3.85766925343	9.33296687778	3.01789703584	-5.08318033216	-8.60113577661	5.58324157711	-0.90349766267	-1.20635012962	-1.25129938272	8.22020801365	-3.62237832807	-0.795224654129	6.93496384071	9.07458417252	3.73104897281	4.94379387075	2.06805695172	8.39703408946	4.97951420304	9.34692373492	3.69306492107	4.91998787296	6.25093612637	9.43553307588	4.20715665058	6.98954229886	1.76052148687	2.62165775607	8.6733054542	6.10672138467	2.6687130726	2.42919340044	-5.82031953189	0.435678327145	340325.214112	True	
4.96662962942	-8.35565430818	1.62645167419	-6.45293376375	6.91827472265	-8.59014399844	9.78460438255	1.30802019122	0.397548752529	-8.42891939516	3.42780767511	4.30707034187	5.63475755454	-9.06407332021	1.11259221662	-7.280224611	-6.28997470617	-0.670432533235	2.84408690628	-9.26351866417	4.13388339113	9.38905903743	4.76720748076	7.01124710819	8.46546014674	0.975856926475	5.46586665356	3.39238033557	1.67761459405	3.71969341287	3.62263184573	3.99545240893	2.68007247221	6.42533272982	9.65664734247	8.20483728	1.14890135797	3.66588883155	9.26313367117	8.13806880002	8.58565488163	-0.135279428439	-5.00149538206	332185.773817	False	
4.69172962127	-9.58646674876	-6.21958710905	1.85390982821	8.63580675785	-9.44070536838	3.81180988473	-5.39067726068	-4.84839945291	6.25644013341	-5.13582537386	-2.87409056745	-2.06253642014	-4.98054220129	-3.91787996257	3.92063559416	2.63522314525	1.54037449781	-0.543208106797	4.81703704914	-5.88616750103	1.23521852925	8.64363089494	7.77949410527	1.30242814569	6.51486086509	5.29209208128	9.16938302128	0.717707631595	9.78835018734	3.51314365979	4.14941011115	5.71148852716	5.65602866708	1.0399969886	9.28011300823	6.15349056365	2.25892687403	7.07140966642	5.00554282994	4.74549933689	-5.57668705136	-2.75008395098	839291.055834	True	
5.60527530893	-6.22697021064	1.52541604383	3.71834929322	-2.57125656638	-3.95055507514	2.99146874683	0.616869795092	-1.89479724151	-7.19196749531	-2.73172889867	0.300013044181	-6.0899852991	-7.65059411956	-2.69401719652	-1.46344137799	0.540897834036	7.64981120024	6.33931742198	2.44350232321	-1.37223028349	7.11160166746	3.03495909589	0.673692310311	2.84075237443	4.94981321207	8.38522985381	6.06424042495	4.31667073459	1.94028697833	7.10770360896	5.44322796791	4.91309774095	5.36728950404	3.89097959684	3.40795689034	2.28124263718	2.10591924957	6.97888943802	2.58190348675	8.52568222053	-5.94141111536	-4.84427970658	1517671.95511	True	
5.08487087782	-9.29130407624	-5.11322947984	0.999134662381	4.3825888762	-2.43372263107	7.7450578656	3.82937510745	0.367161555342	-6.35842868817	7.59325056575	-2.2457468239	-4.59895127003	-6.00436716277	-3.70431435529	7.01684022605	0.109954164697	-2.22911975139	-6.60909474148	1.1944886377	6.00213670396	5.80754015826	5.52643808264	2.30409991062	1.2618373771	2.93401357853	5.11200680474	9.45858484252	2.05464769411	0.739118225313	6.86280222375	7.72311705689	8.3698103297	4.09078341474	6.53324023899	3.51570908042	2.56327456943	7.53735014374	5.42835327963	9.28827809859	3.64776703204	-2.40757181053	-4.34948354596	676277.996585	True	
5.39142504654	-0.565814634744	-9.54337477113	-6.43306883296	6.09026664926	-2.75636471058	-1.57247466316	5.14350814822	7.56971354413	-2.06902693027	3.36915086527	1.52181693888	-3.68073960611	-9.62821964675	-7.01400910831	9.59144849721	-7.67763588518	7.96606637422	2.76746897926	1.67399571209	3.64495457749	6.32494027055	5.99657971874	2.26501192711	4.70632558997	8.67348581074	3.90763463073	4.16178449244	1.19795002819	6.61372072376	4.5018475488	4.20935401277	9.40567447377	9.33140422918	6.4113814522	1.67869437929	0.216144578566	2.51287909487	7.35646638485	8.30001759931	8.31361568909	-2.82884433065	1.58122364681	415025.442559	True	
