Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Potential	Equilibruim
6.05398436497	2.15556625293	-5.38994835854	-9.15210200121	-6.4087554285	5.13279934909	-5.59898354399	-0.721173812592	5.46641996576	7.10798792597	6.60197084214	-4.05511070688	-8.21812587125	-3.97416999713	0.745703730622	-3.05441428873	-1.16349703639	8.05804215889	-0.241988301899	5.4861604107	5.75906435107	0.0996293046127	5.16784277619	81.3215771506	5985.27891679	False	
6.36925460295	3.25533572095	-8.72637953254	-8.14221417917	-6.16711652761	3.79224966339	-5.23164218912	2.91749127688	-1.59275347825	2.35287458745	8.87274460198	4.00640527962	-8.40327623208	-8.93722463541	-9.73991397301	-5.14828332874	-3.52537186941	-5.35736857201	-5.74046208963	9.60650239079	-2.28452646449	8.85416498549	1.91399195583	86.5553528063	5839.26994158	False	
5.68920556146	5.79948235453	-5.67701979003	-0.560600758492	-5.39544715928	3.19017026097	-6.20230608235	-7.13209911372	-3.52774046662	-6.58254222429	-3.96018714218	0.772799101019	7.38964338481	-6.03788639316	9.99884633093	7.08325189519	9.22513773548	5.60884086888	1.95500205216	3.12113140023	-5.49998579862	8.85164073055	1.8465218244	77.5107333148	2819.98973764	False	
7.68944918145	6.56853687076	-1.07716204527	0.0605249629228	-5.43014045741	5.78440926674	-5.64912350616	-4.02672639283	-7.31555968202	-2.30843092235	3.50811065677	-6.37755543467	7.82914713507	6.28956938408	-2.29669942131	5.15173258281	6.71857202527	9.56911231662	4.34672891424	7.15776996822	-9.69472222969	4.49818795408	8.56703715951	65.8657593604	2733.94476374	False	
6.76511082065	-7.38805166681	2.76739267473	3.46262824054	-4.25879486397	9.53608424636	9.2941020791	-0.208690774796	-8.92309593371	-0.0828584759443	9.102681255	6.43960293202	0.377872685937	1.27511613154	-7.83762706736	-8.58276095728	-2.86822183257	8.37484498555	7.45328302299	-4.50927555854	-5.36601169345	2.2439840852	8.43487548361	68.2599370737	5568.0062029	False	
3.95246084604	2.2558371894	-6.44103222408	6.96721628371	9.92562489435	-9.02371536732	0.331712957143	7.00907384666	4.05160476646	-3.49245533053	-0.200553690937	-1.33459138302	-1.85576587116	-9.8584996633	-1.28018286281	-7.81383116073	4.45176298435	-1.60609973492	9.54425314182	-9.1265329541	9.07069611828	3.50052437008	4.47000402282	72.1416923762	4748.39633737	False	
8.32121685037	-2.27141591365	-7.8548279033	8.34861223395	0.358506105382	-4.9339922735	-2.59802202435	-6.22687483131	-0.989450577449	2.2665048632	5.85943707217	-7.90517773408	5.4320672412	7.64707845976	-8.11764054582	-7.75031181235	1.79798038598	-5.99425691962	-9.0394109749	4.44426266299	3.32705621614	1.34455280348	5.50180320497	80.3826005173	3852.66606315	True	
3.34499080194	3.17919397836	-8.3447014742	-0.887367459027	7.38813538035	3.55019953891	-9.07248263665	-3.05806388231	-2.51659915365	-7.02507309249	9.24275003107	4.66289383257	-5.56768146502	4.11178272898	-6.18821307231	-0.0337785788169	8.58814338138	-6.77595670367	6.38722595635	0.719955099826	2.00804063086	8.48134232088	6.46327428399	65.9320371163	2334.7317574	False	
3.03607492567	2.62350035128	-1.89369912021	-5.44709731833	-1.98442313088	4.62992843686	-3.69183450074	9.75531006468	-5.80271521812	-9.23199010698	1.58995971938	-8.9227582696	-2.95127355768	-6.90154342227	-7.45504436857	0.0666319818924	6.65092619843	7.24581426495	-9.88245642618	2.15151565937	-2.62865937764	7.4861614862	7.3270727344	57.0298858458	2207.6334098	False	
0.335315163021	-4.54638560364	-0.737788883535	0.887480097913	4.48708257886	-0.0105389873827	-4.19177764136	-9.50378479573	-6.62204882504	-8.17062631664	-2.7794534528	7.44873613598	-9.47078814355	2.98727788849	-9.70862296557	8.30986113583	0.163674966304	-2.14169846584	-8.75522351194	-8.58161972209	3.3686046808	5.63414365271	4.1896308339	46.3833378323	2662.61477281	True	
