Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Potential	Equilibruim
0.983741828199	-8.53848723982	8.24666345536	-9.77442758051	3.44250488227	5.8725379047	-4.70833000353	-2.63181754356	6.85567640606	5.72147227244	-0.791077241933	4.53115469869	5.73621233109	-7.03087979886	4.90410489202	-1.71355113401	-6.52141003448	4.87214248347	-5.37899708167	4.23262350844	2.63824581866	7.34505397741	0.759077278082	92.5800041686	3408.74796811	False	
0.350202484539	-4.98862191253	-5.32843796198	2.51608074929	7.12597197732	-7.88376895842	-0.766530563125	-7.00124074905	8.28055014476	5.41512897404	1.25279521289	9.7107239516	2.33391454511	-3.17993023519	4.50271957231	8.3730491285	-3.002179094	3.84613018464	-2.66209052884	-9.8859783372	-4.49882321801	8.00533767274	5.97701235906	97.8042493797	2889.8918523	True	
1.43822222647	-9.68195769129	3.37117865507	5.93281089603	-1.75654777994	-6.33452599549	-6.76934878308	3.138747889	5.37554349241	-6.79594821924	-3.2092490236	2.09710104252	-2.87052295429	-8.9260586981	-1.04036204023	-3.75670656027	-1.02441115693	-7.82891552882	3.05373990138	-5.86549259856	-5.40316788547	1.34770297328	3.26548136209	99.7677191306	3518.10655014	True	
2.68333789087	-5.04306409195	2.55604601637	3.04818843513	-7.98069427781	5.80619374117	-4.19278625056	0.923969147636	5.12240223703	-2.19732983426	-9.66031175341	-4.90633924015	4.62353467006	-3.90193663151	5.0478885004	-5.13374859795	4.28705505797	-4.59675905505	0.863364151644	9.34685480836	-8.38912674046	5.07236477751	8.755931249	85.2656131494	3286.46954467	True	
9.77974957953	1.67232201579	5.51191670886	-1.50469211452	7.82255089676	0.442758145367	0.192433305608	-9.12751519801	5.74613095385	-2.38054907948	2.69915480097	-8.59199943848	-0.691996668687	-7.60815494935	-3.06798672771	-5.10742909814	-4.69093778561	-5.98362695775	-6.68611003343	6.23317527678	-6.47735665095	2.32038740888	6.34272682337	66.4710751418	5188.20336244	False	
8.43788659569	6.48795388668	-3.05235049133	-0.523546875055	9.18931510925	1.70149551712	9.19240375432	-4.7556811996	-4.29523907628	-8.72341133047	-8.9963453595	-3.52344640981	-3.38926944218	-4.07077885409	-9.167096091	4.14756301723	-4.62417314307	6.77203619367	6.03051688445	-7.42652228858	-8.18671645335	6.99399458044	3.60870966603	62.6889427606	4587.79625482	True	
-0.240087814109	-9.55752797514	-5.09160447606	-6.53919581561	-8.06440911893	-6.19146279338	9.19456423264	1.7855482055	4.69528097734	-8.83006667642	-9.23846827529	-7.93765960736	-0.754113615649	9.44195868129	2.720580322	8.96985181593	0.270488472885	-8.72711476009	9.21816686862	-4.63429732959	8.45504736395	9.63912898036	7.86467947329	73.9959689364	4886.41698671	False	
1.01061071406	0.250822069947	-4.45087222883	-0.329350283399	4.30669162009	5.13014984285	-0.0794443822653	-4.85481688303	-0.95346192872	-5.84508552333	-4.34246750465	1.06393513578	-2.09500095847	-6.88212938494	-3.54583987838	-5.72777931882	-5.49874403216	8.96919081293	-2.59727772036	0.55037564378	-0.809964915447	7.67291770976	0.529153103368	89.5890080201	3642.62830785	False	
3.33313937142	-0.895092821647	4.77718855872	-3.10998140766	-1.07674181788	-6.72851786576	-5.16998220377	-7.43747048718	-8.6662319262	-4.72851601389	-2.1464458235	-7.9128648843	-0.704536771108	8.39730204322	1.58064983101	3.72635642793	-2.37069035011	-9.16508157377	-7.17988487164	-5.19528915004	5.23762485447	7.54475707494	6.10923856186	81.2890686592	4847.38185208	True	
6.3130728338	6.28089771729	-3.00501505427	2.78229743259	-6.31496643636	-7.69689067158	-8.37595461475	-7.09988969968	-3.95377144447	2.47277910014	2.54489430653	-5.9731557764	0.884572689052	-4.37438188734	-5.25924393691	2.03998636405	-8.67571605215	6.4352254898	-7.76960190882	-8.89000417259	7.61734133623	4.25603284415	5.30381027768	90.1451273806	2623.18281848	False	
