Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Potential	Equilibruim
4.21863163698	1.71390706681	-0.161826902104	0.548016704134	-1.14815045543	1.7653677385	-5.36170640163	4.46629058929	1.93086926882	-4.19487536988	-4.65592436751	-1.90506223184	-4.32581292585	-5.001791679	9.84510023304	7.49524774794	-4.5260290654	-0.500832864047	-7.11564229841	-4.69575695199	-7.10586558635	4.75191124823	6.35952347236	43.6878209851	3550.32222626	False	
8.52147158633	1.2313935282	-9.36761352666	7.47020531905	-5.04412287129	-5.18006855557	-8.40806916954	3.53786710934	-4.41218169108	-5.32522708371	4.63069883282	6.97753908802	-4.49124880855	9.1730675034	-9.21821823195	2.31355893995	0.580401840545	1.76671575134	7.99765810608	-7.2979513989	7.41208181291	1.26778559583	5.00783850062	47.3151178936	4662.78517196	True	
3.38105018169	-8.85417173775	8.06550339755	9.20504965662	7.56617695364	8.41770773631	9.36506143191	-2.0425064844	-6.9857457342	-4.55540928221	-1.54582290109	-8.29790368929	1.29114839496	-4.21715778658	-6.95790152699	8.41409723711	-1.42831052648	-5.84504640569	7.07126716257	-8.27233099078	-4.54936778648	6.41541054928	1.73207748889	46.7807469543	5801.68285384	True	
0.335655437214	-6.60853394512	-0.308293963457	4.82816187805	5.49596294401	-5.36513445808	8.71215093254	-1.46584445408	6.73516428597	-2.92433766849	-8.96791120492	1.8110840312	-5.28460600115	2.87128216324	9.98440030321	-8.3764846557	-0.0658769006284	3.0856809965	-0.0691393965152	-5.17738575685	6.77245212458	4.12586745695	1.09640620843	61.665556596	4603.41250364	True	
7.22556211166	4.66953393616	-6.10769194499	9.63125348287	0.549324006727	-1.99977033588	-4.23460301977	2.47448748731	-9.20457215516	0.416042473771	-5.17949932178	-3.11091722938	-4.83921569284	5.43530428225	-8.17651281904	-1.06578410126	2.35556165683	-8.2941295652	7.75816483156	-3.92098169541	2.02412451884	8.60477897472	6.66031441795	47.0638910497	4283.35412422	False	
5.49671428458	4.14665083795	-5.4299711283	-2.27890818281	1.78853060543	4.07817295704	-7.53333437522	3.3364334653	2.99890390558	6.82620665428	-3.74598193804	8.12404261299	0.563593687724	4.6833386098	1.1855510668	-0.607517345152	-2.70675849671	-7.71272245633	9.34366887887	-7.63391558684	8.50713654023	8.02486189148	4.274376763	46.6183870585	4707.55094275	True	
8.92719700002	-5.03143964482	5.30592452002	1.38133442226	-5.3534181707	6.46819840387	6.92204368317	-3.93527070244	-7.1532775117	0.655083690835	-7.57389354244	6.94730113783	2.13257061261	-7.58977718269	6.72761860686	-6.45468958472	-1.55089323913	-8.3460032981	-4.99864776775	-9.00393498984	-7.55781281339	3.33041631893	5.83247181166	31.7055974599	5499.71796126	False	
8.16154759236	2.25831562696	0.613056747353	0.566115469754	-8.01506277222	5.49902606117	3.76540346591	-6.24202947982	2.79761550056	-3.27551249218	-2.45549900621	6.68255367441	3.33004750319	-4.75120725441	3.75043555583	6.35295015572	-4.53680015633	0.213863943479	0.0610417825636	2.84017087035	-5.46651786489	2.13595051192	4.03363413352	17.3950025713	4705.47222971	False	
6.38224113983	6.05034714574	-1.26228634742	-9.84225616761	-8.47141546337	-8.664796542	5.83101570174	-4.43478063589	-0.598450102562	-1.00225490144	-8.39478761693	-3.00873209035	8.68949218144	-0.477056544669	9.85592829154	8.21342116417	-4.15356408591	4.09537219094	-3.46747198377	-1.68506268303	-9.10495012807	2.84096367097	3.30399941386	30.3944372191	2941.68537916	True	
6.21063262377	5.28145917184	-5.41367798573	4.39114454569	-8.4395042945	-4.27273708537	7.4065646583	2.62947261539	0.416186378312	-4.31500953459	-0.457025525597	9.66429958948	8.79244123015	-3.03618170831	-0.263603381609	3.61668454967	5.49001233099	8.4908156498	-8.40834821305	2.22116912446	-9.19281834856	3.60603609117	1.45295612272	46.1822733273	3040.38237128	False	
3.96759186425	-0.812264690359	-1.00491019225	-4.80339755524	4.36459724179	0.595104304989	2.0928530094	-2.54240385345	1.20118767825	-4.72572661226	2.89630908726	-1.83709147364	-1.44538481428	-6.03166464679	-7.80143500745	-5.92673429769	4.85389875173	4.32463529128	4.70471950207	-0.777941158311	-3.09894007378	7.45395816284	9.61773537233	60.0683339359	3542.09088136	False	
6.29575766411	3.16766998345	4.06016327235	-4.75108760508	-4.41982325538	3.00656827301	2.45165262542	-7.32452040359	-2.15566038636	-2.3531507708	1.44408281898	-1.45192629757	-2.0300402627	9.19457089836	-9.13159311569	-3.77104198932	4.06482072071	8.75124922709	2.93160300971	9.02997348147	5.57918476395	9.54537737949	9.69196521667	66.7692967923	3613.19114659	True	
7.42408812831	4.77739743737	-0.115395985331	5.06922550361	2.29464374477	6.7723366406	-0.777047966413	-3.07445653709	-5.79740116415	-7.40025739776	-6.48955868599	-2.05648022211	5.89322974974	-1.1051174115	-7.42439165776	-2.79593101884	2.35976488628	-9.42537999759	-0.0603284414382	-6.70040465968	-0.547230316236	9.17883937962	1.87747808984	73.0142848087	4518.40016564	False	
8.72724875419	8.23204646139	3.80430725427	0.233433990047	3.10903885861	4.90838354609	-4.77848367248	6.2385243265	-3.94169708679	-5.69915205166	-5.80723228308	-1.71182962786	9.69673888773	6.57081333888	4.6212139368	5.65151810847	1.45145883876	-7.54890904361	-0.635871377436	-4.25524850102	9.17841827696	1.18227355603	5.6053560681	72.4954438223	4918.32834568	False	
5.71177279995	-2.7043793689	0.949886897594	6.94769637837	6.63373296018	1.62454570866	-6.78294780817	6.29724394	-8.95386431322	-7.33121931016	-5.3367316782	9.00274620277	1.56005445347	9.28051092065	2.59057505533	9.44259136913	-0.614625199201	2.22734724105	6.77133916236	-9.22971864147	-8.94463292664	5.83760542535	5.33032191219	72.1611888554	4706.28358348	False	
3.3369906324	3.84374229842	-1.48133954155	-8.74406958835	6.69660122476	3.49314297224	-9.40640862891	-2.90484967201	-4.2759052938	-9.83968459459	-8.10147164646	3.90879645892	-5.974405605	0.185927867334	-9.53862083537	5.04535653854	-6.79123455418	5.1520278015	-2.49571629892	-2.8649532984	7.31203983552	2.23714414044	5.69846368266	90.5567047336	2871.97906209	False	
