Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Potential	Equilibruim
0.535636990439	-1.4182244757	-0.661751545951	8.44862873796	0.216212888494	6.0122215403	1.8528568854	4.39629447727	99.4074601976	8.45438576092	12.5447131834	2064.83940859	False	
9.59952719407	-2.14735945455	-1.68166378165	5.62249732488	-0.72147562774	1.6302066373	-0.687125378515	5.18779025636	116.68412017	10.6418737204	6.3050050129	4125.83885144	True	
9.0546636442	-3.98578422867	-0.1172659722	8.83051364512	0.329595742897	0.225921419181	-0.244716114597	7.66354674168	114.163978224	12.3813152564	12.6076611027	4708.12481538	True	
0.263495118723	-5.52075944952	-0.353812450365	9.01462751228	-0.844493079911	8.9770332094	-1.36347179951	4.11976025255	106.987730269	12.2692422187	16.3525781578	3232.82826249	True	
5.98680943496	-5.71067876905	1.81082469235	5.8525207767	-0.886009701533	7.68435184941	0.565621331066	6.18710742208	119.3244222	0.680237800089	24.3176682657	5275.34392397	False	
0.978305626928	-4.35303937798	0.582254139478	7.74587275559	-0.175519868892	6.03936119565	0.496104249577	8.11564267623	121.574430057	12.9807344847	37.2052725536	4393.89190412	True	
4.04683045521	-5.93588952899	-1.91629220323	9.23614213819	-0.244551169277	1.60924699716	-1.82566376076	3.12019049268	121.203578395	1.86100771087	50.9970171954	6037.41512382	False	
4.19211263203	-0.793406167729	-1.41729679586	2.71231919317	1.80003474691	3.02448408119	0.0513638611155	7.01492945548	125.944619185	10.6769471815	59.8607907722	4217.03997496	True	
6.7975492528	-8.89881655046	0.486188348904	3.52888884614	-1.905889064	5.58433010219	1.96844962319	2.57782825067	115.457016319	11.4589748865	54.1562344188	3621.29475717	False	
0.605538358468	-3.78224619507	-1.00506502115	6.92735795301	1.62251226205	8.85029545868	-1.25484139149	5.52992031766	114.708103829	12.8262813792	51.3662820084	4175.38589084	False	
0.033791435008	-9.49357650223	0.0615337845517	7.59763670184	-0.0193484110153	7.33709032701	0.75564001855	4.50706186813	110.634441454	4.33970483751	54.044711243	1694.83856767	True	
4.39328881331	-0.355063947369	0.00454891851038	2.87835731356	-1.48150773825	7.69985099491	0.100495063283	9.21842510987	118.305260345	1.44407574395	60.0940463459	5070.60772274	True	
0.250809020138	-8.53531393572	1.22732557553	0.102654167301	-1.3559078047	8.08605304922	1.40778927174	5.11569424673	125.388889633	11.8624801722	55.9307311891	3643.64974982	True	
2.80419248919	-7.6733477537	1.12258308314	1.78728751139	1.49390227987	3.90244149133	-0.889964876495	4.41634017538	124.572371631	1.94430120237	63.1444259384	4441.27109843	True	
1.44030930471	-5.88366821233	0.389865985805	4.11494648906	-1.19701783095	3.42580643086	0.461362543953	4.12808762359	118.659652912	1.39527686807	75.1430460218	3322.09163787	True	
0.236948148348	-3.36427648992	0.0739259054635	4.76395237227	1.95608541289	8.60395304053	0.315095506386	9.90070111374	132.513340541	13.8144139356	77.7555406427	3995.16358785	True	
