Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Potential	Equilibruim
2.36550907977	1.21745210457	-5.16274655023	5.96209156348	-8.03523056333	6.19851061854	0.625781966064	-4.71261293128	3.16456243436	-5.25395582046	5.37091458125	-8.71846093389	4.20290815453	-1.16649680967	-0.644314847413	7.14126043074	-2.38382592222	0.538878460642	7.74032492085	-2.91627944166	-3.89377365669	4.29899562571	6.10764495273	77.0310642906	1899.76426459	False	
-0.445347944306	-9.80377952532	8.05089681085	-5.83868535265	3.63194972932	-9.09233991586	5.21719530158	-6.59800718831	7.06046723898	-2.51942393449	7.6372364429	1.32229377509	-1.03459726056	8.42076606271	3.68756872729	4.10657869242	-4.29645515156	6.99299613971	2.1650478033	-7.50648975398	7.44032927316	1.49816363586	7.69766567631	80.4680502946	3143.27163728	True	
0.453409273431	-8.11123791472	7.58541801762	-7.83764244039	-4.12580312853	-2.60166388117	-6.25998020276	3.93591512047	-1.03071045824	2.43498424686	1.71583816486	1.43422984529	4.02080206132	3.46339497624	0.20198310305	0.885261507492	-8.76377835005	8.97981385592	2.76626861435	-6.71075413197	1.87106316474	9.64320089567	7.29015582111	63.8984059737	2907.09176959	True	
0.00092293941666	-5.65732680403	5.07731640268	-0.725537028912	-2.64108599796	-5.96122618116	0.248148563413	-8.97605754369	-9.55090850511	2.59652005729	-3.06289042317	-7.91157308542	-4.40625802279	-1.95272536156	6.4149715481	-0.964874775548	1.61709873155	1.2107244864	-3.6774786871	-4.56950692867	-8.46104792494	1.08648051531	2.5163734258	52.2966340981	4649.02319232	False	
7.99569494085	-1.62525006478	1.06669771687	2.54712142936	-2.43929726462	4.96273258943	-7.50247988116	4.50598976261	3.65926448253	7.50476964782	-4.53336666814	0.928650839927	-7.22342089469	2.16571724643	7.35946130659	0.669068194584	-7.93190560878	7.87760282835	-8.11499221032	-1.22622113851	-0.114107428399	4.95970961203	7.11324356181	61.3095825881	5213.18272593	False	
8.87237545002	-4.97844436556	-5.38277493439	2.09622686148	1.32326877952	5.34356031458	-5.32540184049	-4.68500511044	-3.90735918498	9.14593347607	-7.49938327804	-3.14265848157	-2.85714731614	-2.75932185216	6.60760503006	0.237085520185	-6.18660143086	-1.48365080475	1.81764578722	6.470135007	-5.27188964657	3.4203599914	7.3824797784	70.1198778071	3868.12949288	False	
4.33814268601	0.087654037496	-4.96171034972	5.97516061759	-2.03744343294	-6.69550326711	-6.7127681772	-4.7614770472	1.65168632757	8.12453099584	-0.617816984028	-6.02401604817	-3.245478627	-5.08951866106	-1.40940345615	8.19731281603	4.62969193414	6.51397592648	6.52470283141	6.54633112727	-6.58912093278	9.7663588501	2.0455809466	68.0880852322	3623.81342862	True	
-0.535248077178	-3.41466678043	-6.58048174852	8.73204266558	-5.77602606297	7.58375459281	-9.65932313098	-9.46368886758	-7.46504885928	-8.57942013624	2.50611581698	8.867485422	1.55956090507	-4.45573316241	-4.48184551832	-3.69086332395	-1.8798577067	-6.75517185886	6.64608851623	-3.19298405373	-0.579202781777	3.80825157514	2.16395043257	83.2050589678	3279.92483121	True	
4.3655642551	4.00826734209	-8.24449413699	6.70570664751	-4.01115997546	-0.278257761034	3.50306020977	-8.03684290994	-9.18671996338	9.45089920819	3.88937627803	-7.06255700402	7.31061049003	3.56665926659	-5.61879237707	1.59549146992	2.82235467852	9.29520616629	3.5226577466	8.82550469595	-0.498131144379	6.48218042079	2.04816965893	91.822794886	2851.1268182	True	
1.65069292526	-3.42164464637	-1.17968139027	5.40355529282	-5.24431531177	-6.11821660097	6.01548782556	5.70852838239	7.1594540679	-2.62371242847	1.83469954813	7.26308905561	7.42244139404	1.95921376412	-0.588743289746	-7.45269903562	-5.46659127167	5.63416629278	0.671872944677	4.13241202627	9.10386675874	9.44646402484	1.38258161092	90.9006670492	3026.44327356	True	
2.59065400519	2.88439655243	-9.08648244982	5.26559288886	3.14844414315	-4.61857151484	6.05010968981	-1.25290167102	-1.99499722514	-5.51530211912	-2.77612612189	8.74016286295	-1.40641750833	8.8643776188	4.05569382443	6.04654712147	7.98907710189	-5.28227636496	-2.16453458293	-8.16256654927	-2.88067965607	6.44707020107	2.41169833677	98.9918290168	2982.41561085	False	
3.75329431411	3.36963202624	-6.10711954405	-3.90147944809	6.99355884626	-7.35431364048	8.27256787089	7.87610542037	-5.95717850952	-0.146388829301	5.97079840396	6.64614913464	5.2207593042	-5.85332238959	6.23201275534	7.45793657359	-8.7539282145	2.56520834778	4.2940672844	-9.18609998875	9.29236968521	2.98819603919	2.37811620579	98.2685024919	4438.47015831	True	
2.23622789668	1.03687724416	-3.31050507714	-3.46559852753	-3.2009666162	5.95072020465	2.15403641667	-7.9111999142	-8.48090472474	9.68142908617	-9.15430038161	-3.11739209153	3.95867190272	-5.67809417181	-5.25674770611	-0.139042569899	-9.99152905471	-2.77941397255	-2.53627530831	-6.78194007132	-1.43843121899	2.34149048786	2.53032482736	91.201113843	3548.07887128	True	
0.260302256038	-7.44969870033	-2.33878841387	-1.23927699984	8.8485584943	2.44203728081	-9.22649920111	-5.22337988072	-8.23349052676	3.08549999765	6.73070670161	-7.03909297592	6.33201375545	-2.63968973933	-8.65415018435	4.37941521559	-8.5705906134	2.30829382537	-3.60637059531	2.21133906854	2.71213853326	9.04703569293	7.86800040344	90.5755336948	2977.10564623	True	
6.98053310131	1.51347497831	-3.56426550422	9.86470346157	-2.76981397066	-8.39193167506	0.20571873692	6.58997953341	1.04842861467	5.79859458785	-1.6141388936	-4.7534890486	6.13189577492	-7.39869251926	-4.95084177576	-3.53266053547	4.50809831263	-4.57677783807	-4.84864025173	-0.164710466782	6.8416235642	8.36792661715	2.64164408828	90.6177484599	4069.62432224	True	
0.787757009558	-9.12788800088	-0.390231588224	9.05989096888	-2.0965567097	-9.68203110643	-3.56403982639	-2.7515204587	-2.56369373109	6.6678436462	-6.62138683328	2.57063433165	4.70854384768	-9.03974247611	8.13849509951	8.59037947493	-2.56204850845	5.06683861439	9.83092901322	5.49369252919	-4.09895281064	7.28512145165	1.52285795845	91.3633907046	3541.66431713	True	
1.19583661538	-7.44925862602	-1.02012571341	7.36962803248	3.60582264433	-7.39158091061	0.662369307097	0.394089335557	-6.06719756674	9.99214241941	-3.83518670576	-3.36629907433	-8.39736236244	-6.66745040883	5.92618954795	7.88391635266	1.16862665621	-6.81440862238	-1.76392273676	5.09714938761	-6.98356427722	4.68796063988	5.84124437759	80.7198144375	2850.98738781	True	
2.37506709352	2.06250334647	-7.00856300954	6.32268592908	-2.75603941866	-7.52958056259	4.57923176052	1.3330611513	-4.08861678254	8.194274169	-4.92537568441	-7.84232810195	-6.09530770595	-8.1056935404	4.20496368517	4.70300930489	9.10697245581	-6.57630295074	-8.32646147936	-3.36174158751	-7.69701064338	2.1602173572	8.38272982917	66.4804573018	2742.68353698	True	
2.42780088146	-2.81960408433	-8.19402582836	9.65636438321	-3.73902153619	-5.03097944863	-9.4920696257	3.84640227932	-9.39942148875	3.36574729445	-0.662405900889	-6.67211478962	6.71114604662	-5.38354990919	-1.68436666686	-6.20914604106	4.81920464158	8.45152256005	-6.17522053859	-8.48348476417	-5.49665151853	7.21044278136	3.70941601879	55.8394670598	4133.52689472	True	
0.778946266553	-0.942509555978	-6.86519074179	1.2249664135	8.72329392163	-9.66113575901	-9.60547414719	-5.69017729893	-5.06821611495	3.82857097913	-1.1605009375	-8.66187141872	-1.74164861979	-9.9400733876	0.490476467848	1.82683013887	-1.1713929744	6.37930100217	8.97282341858	1.88391717048	-3.09827492631	2.83476921963	2.04246230476	25.3537929126	2536.45049093	True	
0.391934006748	0.407543960357	-9.9818525318	4.60394793403	0.42644672633	2.77389541455	-2.19372146761	1.89377333574	-4.979640271	5.52658681638	2.03940742866	-8.35498145416	-3.74459367281	-4.58836841342	0.295831816114	-6.5876655677	-4.54974904346	5.93244276324	3.30052274319	2.9427994093	-8.29649493121	1.75412626811	7.55422695645	7.4964688262	2325.40124443	True	
3.55905864813	1.60699304523	1.87206004854	-3.9123978839	-5.33800677757	8.0158879032	-1.14229893101	0.348653243912	-6.92203888092	0.916559333741	6.02118060644	-8.82162483604	5.45281653238	-4.36592495993	-8.85435631168	-4.35031910794	-6.98106628669	9.83036835434	2.16930380844	3.1480302922	-0.727016168667	6.97049147737	8.90767130945	13.3840507117	3032.39997035	True	
2.42022507405	-7.60104194584	6.26354847501	-2.85923556862	-9.77805506083	4.84621801409	-0.980680234318	4.35882667289	-5.48116439958	6.74229771455	8.01890101111	-3.76352951026	5.25761198251	6.58133032325	7.82229459319	-4.24658301704	0.292710160091	2.22525093756	3.3505189633	-9.78235056515	-2.8453426606	4.3072528949	6.52752829434	17.6623784297	5410.78034068	False	
0.524115129431	-9.97244028649	1.99463329872	2.3353022227	4.17119421281	1.85598338056	-6.02324174518	-6.26425389005	-7.26672060034	7.71913938006	2.25381760433	-2.53909630058	-7.42013328948	6.41690383959	-3.96744725894	6.90830774633	-8.17098525949	-3.32632051963	7.38644584567	-0.606109720204	-1.8738920589	3.59590353834	3.16335080363	18.4709652384	2835.43854637	True	
4.65438901229	-0.686952332399	5.51204639978	-8.29245159012	4.47062515388	-0.0430101997509	-2.9891358276	-1.24790767433	3.33585570924	5.72079885183	-0.173961759629	-5.55436281661	-8.12471306003	-9.32678433027	-5.25382126848	3.15211297704	-8.20985257634	0.621241887774	-5.37965801626	2.60537108557	9.92639668846	4.8882640961	3.44350634673	16.7969030698	2100.40713336	True	
-0.388560384322	-7.98507266356	2.72809016081	-3.02269575098	5.81123643083	-6.55202389353	-9.51230098879	7.13789531496	6.18522594185	0.858487094686	-7.52226723999	-6.52061892618	3.99765992234	-6.6032697172	8.79570397912	4.96314305589	-2.14759169016	7.1067547394	-2.51002474655	-4.16215377508	-6.45513848691	1.860230433	1.75274645847	17.3183632996	3948.5103498	True	
