Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Parameter 39	Parameter 40	Parameter 41	Parameter 42	Parameter 43	Potential	Temperature	Equilibruim
-1.83473318817	-0.520075461988	5.43235601939	1.53077357145	8.9331037881	2.91689650554	3.10167479612	5.4853401434	4.70487915631	3.60506758719	-3.12598366943	1.28470748044	7.51239346664	3.63378892273	-0.393932589079	-1.30383839332	4.94785888695	6.7318933058	0.103272454736	-0.0794252840531	9.08310838217	8.68927604917	8.04755031466	3.24250074226	5.3332314769	6.74550719598	1.00003993543	1.43542082462	3.19527646299	5.85797478372	9.60454781765	7.42203600465	8.02217257002	3.77953679136	3.5897918973	3.35520585355	6.69999455054	5.5849221214	1.95813320073	9.24584634767	2.22386184917	2.75610945002	1.71629382406	481527.79586	110000.0	False	
9.38934674091	2.79523138982	0.494668236437	5.77423587178	-2.24101341476	-2.38310734015	0.83618292133	7.36435718267	1.98698642181	-0.95969359191	5.25623769246	-0.342314007591	1.04280906378	7.20817394392	0.79923364969	-2.36548182358	3.31050024632	0.48655714909	-2.24789944965	-3.56594693489	4.57654683147	5.41569334431	4.31603090298	7.63925690438	6.49572007077	8.38651612501	8.59859813847	1.63924042453	0.967218316254	2.45518426781	3.16078722866	9.16709621057	2.14760245855	2.45361564247	1.57143140708	3.10065554343	6.53988020413	9.10515293782	1.99443616816	8.86954677602	-0.630744567854	2.94474949961	2.27161425656	303698.731834	110000.0	False	
3.28122954797	1.75210283117	3.99917486465	7.62877976821	-1.66850784062	2.4954388836	2.60241381435	3.5812841177	5.77500460517	1.22441738455	4.42482579772	9.36727611385	5.30581587957	5.16597965108	1.52064013281	1.07099555149	8.39126147162	-4.61006575699	-7.07338923053	-3.95305231126	5.24266524767	6.6429865558	1.04620957067	5.96526962824	6.79892611379	4.60475218833	7.70113043133	7.50691977207	1.96310821824	8.84458551779	4.45381839266	6.98275657017	0.250073697641	4.40987671446	9.65724423552	1.37820442395	4.82710235866	6.16302350888	9.57697057236	8.80487129551	4.8593247711	2.43471080375	-0.0352914910068	560813.228889	110000.0	True	
2.0616714825	4.3554766944	-1.33853672814	5.98492317043	3.55158446194	3.93997997165	8.31266997813	0.573832110405	0.438171237522	1.24631090191	3.45207309789	-1.00995194824	8.38512675671	7.50382009949	-0.20242521152	1.83622444662	3.80376465374	0.813268344349	-4.58092159979	6.01089900483	3.5622819795	5.02840922842	5.73552795119	1.38104602236	2.43822505207	2.98301034788	8.88398858723	4.54613030881	4.47811872225	1.60274977304	8.15798396053	1.25813483105	7.04871436868	7.86975812828	2.60503837805	4.25463272044	6.37803056171	7.02767482862	0.675885631736	7.66501282529	1.92064233965	2.8750254045	2.59345963096	421009.733167	99000.0	True	
8.05610303578	0.737117472503	9.12352698205	9.02193832592	1.99014996267	0.796751541766	0.401011220744	6.68798792453	6.7222245809	5.68093030461	5.65359267972	4.45637362862	6.32270086538	5.17035756158	8.08097397742	2.85391545293	7.08489007804	1.61765673211	6.79078854774	0.343213743947	4.32760409856	5.13472068374	9.92917833249	1.03138979455	1.55300926415	2.89345822115	9.29312865849	7.04639280578	3.48907014907	5.90909774713	6.54825342606	0.394579566457	7.07901429856	3.27412133715	5.11947319375	2.80624446038	7.3898080097	5.75932163516	4.0383186769	2.5133090445	-0.667126478381	2.70279187641	-0.689275706288	291982.548389	89100.0	False	
9.1792218994	7.1269155428	6.35483287123	5.79288441776	5.6109832837	7.98989805341	4.56680943985	4.22580406021	5.27000407421	3.76625093502	6.49131176242	1.05160155146	5.04957417652	-1.425108462	3.92534459669	2.08477080629	-6.27864252572	-0.892382591628	-7.91551775158	-9.34411470696	2.54025622826	0.595420508394	0.944879625856	1.81744926466	7.1563708172	7.73836686827	0.348636340813	6.35217451387	2.20778009227	3.8481661904	6.45081412289	0.791931324966	9.39061413293	1.93736240082	4.11719905604	4.57877823912	5.0666264072	5.50435049011	5.90038572656	6.56078523681	0.839279852596	1.82343085383	-0.705023392249	407999.028327	89100.0	False	
4.43009939823	9.22702986029	6.84489133925	-0.960542177787	-0.222965518397	6.14831156314	-0.655608396112	5.24090237842	3.63867164169	-0.368935334548	5.44751064614	4.10547550266	-0.821433525914	0.813520502266	0.753560290672	-1.2860656034	-1.83661403689	-1.19091645128	-2.11738557899	-7.05360090331	7.74485679629	6.45633554684	8.0901243769	0.709613523884	5.1207884251	2.72680895546	3.58365494801	6.4359296979	1.99262451592	2.61821783919	9.46191284858	1.74831290286	0.313469319598	3.81879949341	9.06706252186	1.08761224972	5.43945112069	4.68228703238	5.13085809449	3.86983320721	0.00976608565564	2.44851594103	1.48062429264	204300.364778	89100.0	True	
7.76349945436	0.203210275214	8.09950509722	1.48349083505	4.00921166312	1.5061379123	6.25832595742	-0.395414461246	7.03158521627	6.47049237969	-1.28064057596	3.67297376762	3.68086659664	1.15316671984	-3.83301078075	-4.95055080981	-4.78695660195	-0.644370871057	-8.84347360326	-8.68855456849	7.0497440907	7.72111440107	4.48489757244	2.26790664782	4.1046656031	5.10546454142	1.66384920512	2.33769673797	0.790190969958	8.39280165771	7.40264410858	6.50265070094	5.29566169206	4.55201864684	0.702382698267	1.87705895408	0.232511921879	2.89733634365	5.99268777133	5.45796235381	4.05171514505	2.26112147199	-0.843281962036	265212.893331	80190.0	True	
6.69562168036	6.39606238389	3.58233237438	2.20002788837	-0.788960276926	9.70622580282	-0.295708627225	0.670461555797	-2.96196114881	5.99193164189	1.42423882632	-0.602641164217	6.42869977696	3.72656760394	6.40127597032	-3.06480454389	-6.26222646309	-8.39575106836	-1.85725494764	-2.79440140782	5.68029692604	9.27627818336	5.40141584269	6.00696583251	7.46340432768	4.26597628045	1.00470088611	4.89759726094	5.51479552931	5.10512815902	3.81601471476	3.36290405612	7.43274929023	4.98858742688	1.80785522546	7.64880596576	3.37994055671	9.4069846792	1.74436955458	5.61920397109	-0.623056610615	2.6170012709	2.22458687968	408612.528092	72171.0	True	
-0.544373081378	1.39781077336	7.84201918847	7.44016586649	9.54531273204	3.49636664646	0.797841088711	4.0111552056	7.25041726676	7.13641563776	6.87465042	2.55567623767	-8.03487413078	-4.65631130306	-0.401609381328	-9.18750944347	-7.43741824267	1.21726763915	-7.74632728897	-9.01422303197	1.93124215044	0.642158286823	5.29821659449	6.86089385083	9.39494739477	8.78664984519	7.0424244677	1.3391809778	7.32045216957	2.18068365587	1.33187482132	5.89399283362	6.51457404514	7.47141058486	0.895122104057	2.51774764122	5.59522851413	2.08968763026	4.41023624792	2.00508723423	1.10310989557	2.79218507304	0.989088957453	396896.909634	64953.9	True	
