Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Parameter 39	Parameter 40	Parameter 41	Parameter 42	Parameter 43	Potential	Temperature	Equilibruim
5.79712401921	2.42218624767	5.013319142	0.993398293696	3.79812260052	5.21817580573	6.87945870633	-1.19105723354	5.62862005193	5.07048015299	-2.92766323224	1.76055759138	5.59324594047	-6.08346499146	3.18368473771	-7.15289962605	-0.0191858743822	-9.57269693723	-6.71076826164	5.22481689835	3.90663268134	2.01829162605	5.90680479387	6.74831247007	7.02807924003	2.45218464398	3.01128968672	2.45386521383	5.38997939665	2.90268340206	8.07186077727	2.87934873693	6.50914628215	4.51543119971	0.488257957152	6.33077642363	6.83910817527	4.18166640753	2.94896068739	2.39885161503	1.42769240979	1.73604362267	5.73222684482	519014.861358	100000.0	False	
5.98357570151	0.535451842199	2.43914356774	3.34230151015	0.252600653072	6.39825351324	2.56759540108	-0.590261601704	-2.02507309903	-0.250215426074	3.18250966351	-0.31243051999	2.33885882047	0.947049504003	5.16446261736	-1.52212285141	2.61291596605	3.33966959672	4.34740378251	2.01639203337	2.614562275	6.99255569295	4.8982793086	6.7017329448	1.37117592108	4.58867251661	2.8120437346	1.08589810791	6.34630076068	9.28166909931	6.49609973333	9.20835895052	8.86439873955	1.11550170853	7.11258108467	9.63156040482	6.91731015532	5.79826511206	6.48237444047	5.1832633145	4.13425203094	2.74051832623	5.1091403107	37011.1782035	100000.0	True	
9.76226416136	1.13905525756	2.11837090414	2.82593145121	-3.05035342264	0.00958803721939	1.97570030873	0.941488477802	2.87760891268	0.0695513188728	-0.0729132602565	2.39637441805	5.13036382261	2.2734100563	0.814512172325	3.12683893441	-1.98259655393	-6.37742731368	2.9988986743	2.68149621938	9.68397237042	8.04291894497	1.50573150011	6.37393955544	8.45891546018	0.571454503945	9.48700239347	0.870126911235	7.93741726101	6.30804661088	5.54959500413	0.734671037511	6.33863611171	4.77715911545	8.99197429959	9.32010972182	8.64947605369	1.76304422014	2.13492347004	8.45006353443	1.46842438309	2.74989296072	4.11912385016	266138.36194	90000.0	False	
-1.43945304599	0.955697098281	9.13298389496	4.88059555775	4.08379010543	6.1503304294	0.821314353025	1.61787751813	-0.538073349605	4.06535971858	1.47065034267	5.02809182148	3.76200745799	3.10142594729	4.69788413835	1.79809392722	3.83721477642	0.38657658779	2.34265457466	8.84563857058	2.4990720665	6.48332128922	3.8303264034	3.12785900781	3.3881935614	0.716083634011	3.54978741729	1.93701483508	2.15663986952	1.70862212515	9.05254702141	5.69008767669	7.0567059114	5.04242563264	2.91051315008	3.34853376127	7.01916057784	1.50573860671	8.38050620212	0.166407151188	2.88040438342	2.70503653997	3.27808420253	307601.252027	90000.0	False	
2.64982614402	2.27093122876	1.86897185624	6.63819868779	1.81748521086	8.10865053883	0.465437468873	3.64158228467	-1.00013614997	2.04077058399	-0.552763128586	4.76350993346	7.12204711362	4.12057324573	3.49092644489	0.0657538066228	-2.06613137328	3.86044168381	-1.05961735459	3.82930230167	4.63389321273	0.0413781930869	7.96170119254	1.44114526927	2.31169873528	5.71977442136	5.67269393045	7.74808214603	7.76354869346	2.43753223254	3.22529628014	1.48788219191	5.90154426909	0.607119073766	5.71984181122	1.00301844357	6.85369489405	5.57167104723	3.88289536276	7.97611389404	4.90752186959	2.48338303232	4.53463291059	145794.433399	90000.0	True	
1.50933075125	2.05291788172	6.99105328689	7.5199116783	5.09304954064	3.16809608521	-1.22687060857	8.27034976146	8.55917993989	4.34927163854	-0.276704427824	7.38257616212	3.93937738015	-2.66406428748	3.80217586249	3.10225541182	7.22434506411	5.30503106279	5.15344216177	5.08192962744	1.07546927695	9.61752983702	2.72577453713	3.85113647264	8.99558680837	7.79479774746	2.16609275275	0.337066970111	2.94987445478	0.651530777506	4.96309574465	1.24382440287	4.47243470007	4.51931385863	1.7712099374	5.26499551924	8.06428918975	8.61180937101	5.34648965896	3.183078045	1.18803918503	2.74015315139	5.70833328399	327092.735272	81000.0	False	
6.02255329796	3.58259149001	4.904741901	0.937227318255	7.3583036743	8.77604053721	7.34354466878	2.68407778394	5.00811709433	0.32090588427	5.23221359899	3.61655156533	4.65277738154	-4.18319097741	2.28704516036	-1.47074253952	3.81941467723	-3.13621871783	0.955406093001	-4.13277804436	7.60421928452	2.49807786865	2.69108941516	6.26833512526	0.766539954179	7.3677059731	3.90780588157	1.50087120369	9.25150044709	3.19980058751	3.25315527373	5.38218549666	4.79174007208	9.01968061738	9.50142251231	8.6398492109	4.03118727035	7.85450719416	2.35658973128	8.14459401499	5.21397032869	2.52109753981	3.97463182642	177787.000123	81000.0	True	
4.02370995596	9.15420841986	6.43020065353	9.47790479935	3.4979208654	4.75678021566	2.37661346816	2.77792061661	1.31115590438	7.84574155581	6.69959286183	0.726371327241	-2.06828092828	-5.7088641113	-5.41509760559	-0.730402718206	3.48881849087	-2.42238331259	-7.00120506779	-4.04799745729	4.20713204554	5.23513958078	0.00212218489708	5.75329925956	7.61540335198	6.81310454235	0.635257870367	1.72006381811	2.08975989176	8.08794255254	1.97384892362	0.703748051121	0.147837840289	1.96845352734	7.50996777609	9.69802754105	4.9057029437	2.98276926814	0.351895956589	5.47376537377	3.68505117003	2.62069535121	4.12168870146	270514.724064	72900.0	True	
9.18610346543	8.19475718485	6.35958916448	8.57424499927	4.24070012123	-1.94967281654	0.35781420808	6.33608655499	3.64360253692	6.98449622233	8.24053770768	-3.98638875058	-1.03742401087	-0.777579325326	-4.90889504515	-1.39252297329	-0.123932336046	1.00093842645	-8.11013614831	2.93169825966	1.98497114079	4.54017688082	4.23831803526	4.08295024075	2.35043787976	4.11559328636	2.28934974824	0.132319047612	3.34377121495	4.27362752661	1.46244706232	6.91414604239	1.58914877891	4.33149339606	1.70587808221	2.09863945623	2.1236759799	1.4639240653	8.53038222323	4.49610506513	5.36018363756	2.51186313971	3.53147446886	375966.20671	65610.0	True	
6.89071809889	6.31168518156	3.55824741826	6.24069089959	7.21040435904	4.96626221022	6.62502714435	2.0420292293	8.88635391239	3.52198282848	7.90294200829	9.00664424761	-2.12057861602	-1.78993690245	4.11801360217	-0.656379394253	4.87812690524	-4.47552116579	-1.43074936309	-5.38428931576	0.993052100111	1.44153543914	2.65683891286	8.33263357852	8.40662990455	4.93920395411	0.428518411704	6.06878001694	5.32855025372	2.65063181626	4.42926150967	5.21537666302	4.17492248861	4.78862261591	5.97397757028	2.59398403872	0.257825726538	2.66507378553	0.931587231282	9.27606094989	4.77526941861	2.79581770202	5.05546887142	143448.716141	59049.0	True	
