Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Parameter 39	Parameter 40	Parameter 41	Parameter 42	Parameter 43	Parameter 44	Potential	Equilibruim
5.13178633392	0.522760830829	7.7050714938	-3.79515120241	-2.85447500631	8.60186787418	-0.731964016949	2.85893075222	5.35572913755	7.61272345727	-8.76236763633	-5.52346155902	7.7759465126	3.94484010275	5.20666848845	1.68298953293	-4.01835381439	7.87570056243	-4.4168376661	-7.14433046107	-7.87585534746	4.5706855151	8.79647578892	-9.75352552624	5.91845043664	0.541588415124	-7.32373059337	1.94308804253	3.56659645576	6.35597478435	4.22006776389	-0.945928650634	5.38089219521	1.03807280198	0.953034289058	3.07449090553	-9.0906122895	4.03747533882	-3.53557002498	-6.13500212161	1.48684335981	-0.404538118215	-1.71441727719	-1.84376073262	4559124.77522	False	
3.56810508157	-6.09127774676	-8.14395830505	-8.24172771385	0.662640750817	-9.16806532578	-2.167856288	9.54215547981	2.30969188762	-6.06609266284	-7.57802784146	-1.64414995001	0.791792813424	-1.74785431883	-6.64598208311	-4.56827775319	6.80494442913	3.58010554032	7.81367110237	-0.237770202861	6.95997107997	-3.13750176308	3.66205101702	1.3598581341	-1.47961019898	-6.98102684551	-6.58981490252	1.7193030549	-1.1947168253	0.630806914612	-1.83861470217	-4.31340265053	2.2688785826	-4.7136815822	8.10547221263	-7.4004365025	2.19854474282	9.40892771538	1.91479235876	-3.64059405875	7.76718888187	-0.985188670732	-0.29822393871	-4.91276438857	5809711.63924	False	
2.91437293071	-5.83838225138	5.68688972135	5.71108039299	5.93909378429	-0.950689964294	7.81556141953	3.80242923215	9.30290486846	-5.67023280441	-1.63673103415	-4.26114905667	1.42571357341	3.19991973294	2.82671717334	-0.347497313144	8.74505339857	-6.47564168926	-5.05712221298	-4.68477871473	5.00663689082	-4.02981155455	-5.15457297711	4.41124231403	6.2578808587	-6.39724912262	6.4071108155	0.737082905978	4.58424202193	2.17456921603	-4.66282551771	-7.19908449464	5.77662838197	4.75239390825	-0.384784827658	1.33727984801	0.0254512121799	4.88124397543	8.28606099184	-3.91516244634	7.08120527065	-2.48959898116	-2.16191312376	-1.80417016499	6437028.15771	False	
5.76996894418	2.50984336034	-3.05782879157	0.151841677364	5.50167144551	-6.759888889	-7.08204421871	-2.23169109521	-8.37750094312	-0.660284594964	6.39213289061	-0.923396206735	-8.60539082408	3.36844530908	1.69651219491	6.91891022132	8.75334112756	-2.47921369456	7.14467234863	9.2552610528	-1.26317109727	3.43252683903	0.794901887396	8.06352194465	2.76604326219	-0.779594761897	1.04196404822	-2.88068072334	-6.48487028661	5.74792062746	-7.32783303022	7.61056637705	3.52712506724	1.8645131161	-6.00829243474	-1.68185726962	7.69788453575	4.07257214679	-9.53720220101	-5.08604883148	-5.45724368951	1.13536567745	2.69433864822	1.92871238189	3340434.08278	False	
0.333843270841	-5.35218942923	2.64455346062	2.69799636332	7.54000362627	-2.76873710127	2.00221610453	-5.82861546369	-4.49322768583	7.34802443436	3.36341935426	6.50322320729	5.72115643032	1.68839631887	-4.4416719323	7.2949449875	-7.37731362554	6.52822948211	-4.42816891971	-4.62383866267	8.55079539312	3.11108527353	4.69836545809	8.69989653754	-9.92344166621	-8.87578682426	-4.61938628413	-2.96008422568	-3.40527752451	-9.88341761553	1.39539330283	6.88255867972	2.38256489119	5.5735896661	-7.49889697534	-1.53140898171	9.57829496173	-3.30980373368	-8.74095751203	7.38162530016	1.57779814758	2.10109102141	-1.35251588743	-0.195092297454	4414811.02821	False	
1.33242505243	0.549557332284	-0.547333077456	1.82680410549	0.738752050485	1.53134296824	-7.53039553673	-2.40703038293	6.70614832446	0.268190320578	-2.47109819507	-4.51173002355	7.46368434039	8.34347993073	-5.95637440923	-7.9451238432	-0.854094256654	-2.15984935337	-1.82134313357	-5.11545440798	7.05818544666	-2.05731338732	7.73892309132	-3.93399845312	3.42060498093	-2.30839046565	9.42231413368	-1.02681865992	4.67333142857	-9.43353721261	-2.80835979693	2.29111623728	-0.579282738864	6.10428641813	3.46773893411	6.80411028556	-1.41776852423	-7.92673891922	-5.8804017248	0.472483495615	-9.77078331317	-2.75186927163	-0.862782552752	1.51131686341	5385976.79172	True	
2.92811926716	-0.145872436055	9.8498176167	9.95489152738	-7.45479723497	8.18643589233	8.14908289806	4.15516556416	6.00587446655	4.85326770136	-1.95033826057	6.64485154831	2.47917128752	1.65264203838	3.99318030329	7.4054507995	-5.81285065798	9.91612263419	9.20122012325	-5.36821164355	-3.89302517644	2.10830876739	6.59560145755	-3.86629371694	-2.70503862615	4.54373791152	-5.44426792321	8.06493972635	1.1575503753	-4.31604098568	-5.41143757317	-6.28669541584	-5.34916692982	0.418523833181	-5.86790658864	6.50143787235	5.05984069463	-7.55208084867	3.17338011513	-3.37274565709	-4.0885818547	-2.65059570568	-3.09235110458	0.811980186486	5776119.36029	True	
8.55742330381	-0.883447881278	3.52453712891	-8.26124324386	-4.50961878865	-6.5823097628	-1.38012806165	1.92090911421	7.4150805121	8.22206420843	-1.41126718066	3.94641099747	9.31439590683	9.92105194587	-5.75025887503	3.80280120956	3.48594379673	-6.59380083764	-1.26621404089	-8.78265671072	-0.0818630032992	7.20949775197	0.913055809866	-0.034850131797	4.36161094297	4.47345788194	1.45865805543	-7.95995518561	4.20975749636	-0.171601055291	-2.48949805506	3.24640012342	-5.38769714022	4.84339765255	-4.891465715	-4.25974755472	-5.39149663149	-0.919243706794	-9.14244867507	4.06634507662	9.13857859923	2.38767027016	0.344170180297	1.81659197491	4651870.51084	False	
2.2778484895	-0.498883740888	-6.9850717588	3.75087324337	-1.93080349293	1.22156494876	-2.07265043056	-8.12853246709	-8.49413190096	-0.0881108375354	1.67298003696	4.36552714179	9.77997919674	8.61344136304	1.39833325574	-7.30791586768	-5.74510989327	-2.49828191155	6.64189026159	7.31059580057	-4.51294179357	-7.54904008806	5.1155548429	5.47159703228	3.32565568493	8.66009292026	-5.18116603876	3.78970571228	3.69517136249	4.10491721211	8.28334683097	-5.71951305227	-1.77264602825	5.29076325424	-3.37567424511	-2.80725257876	4.83881843336	-4.33871039714	-3.52412270678	2.10693808704	-6.7141961394	0.880207381385	-6.87462372803	1.11047648365	5776376.44698	False	
7.28625968019	-0.408689862739	8.48185630401	1.82238449227	-5.44439648007	-5.35153640431	6.75183666983	-7.7817322736	-4.88235698589	6.44497098854	5.3650281927	3.2883877899	2.38320848216	-7.23595647158	0.450886260604	-1.94786052698	5.30392605468	-8.37679891978	6.76264323052	3.47390654068	-7.35672542971	-0.726345311179	-7.70230428532	2.57668819134	-3.86121212662	-5.96487259286	-3.21552260405	-3.95391261558	6.03780724526	2.45803118949	-0.294192501186	-5.54310432427	7.25865592402	6.9358744784	-9.43532050413	-5.5451817968	-5.22423636793	-7.19052522904	-5.14494607873	-1.89713958175	1.80873833394	-5.00093446261	-0.446585480713	-5.18426872795	6029092.27524	False	
1.16883021994	-6.08521526355	-7.96827425055	6.55741350273	-6.2151952297	-5.85413391438	-3.22608221567	5.06855195034	5.39140540495	7.51327613	-7.17287358155	9.8604655422	-3.64242738438	-1.66258763275	-2.42418896938	2.71385877214	-6.28512562265	-0.754103491225	-2.54471234361	4.32735463468	1.86602915641	1.20433011443	2.92710482757	8.42124960228	8.99967674517	6.20446357906	-0.45381622196	9.19373131058	-8.84571938723	-7.51725716411	-9.85523985898	-9.63366545942	6.02910173145	0.92710823545	9.25147564471	-6.93154459485	3.92259970154	-8.33506273081	3.50897192984	-9.59370918993	-2.452617859	2.41734626928	-4.74456831208	-4.41269005237	5775308.08212	False	
