Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Potential	Temperature	Equilibruim
2.78336989219	9.60438626832	4.04669876683	-5.10521991714	8.12105124893	4.80924323273	2.738059824	-6.26012151458	9.96970548474	-2.41302972639	4.08079874717	-2.72125757866	2.8612815576	1752.6615927	2138.78904513	False	
1.76631896312	4.24251261877	-1.90451399233	8.69329799526	0.118261337813	-2.34133822614	-1.45231066341	3.40704435561	2.69096356662	5.19002931418	-7.16563345858	1.82452680186	3.97870128949	833.601606257	2138.78904513	False	
4.19198648004	-3.15849923723	6.68461988719	-3.16154019609	0.253422645396	-2.19588584521	0.995358221015	6.93762672075	1.24976920645	-7.49320211624	2.79405865865	5.08734017514	1.01403164542	1355.8291512	2138.78904513	False	
8.25513110936	2.74311277216	0.512566504585	-3.17695138349	8.51324516339	-2.22582127226	-1.06941423493	2.21723316812	-2.92846543701	-2.67353757892	8.61272645363	3.5366994657	2.87350273405	915.665386219	2138.78904513	True	
-0.566000271227	2.82129824528	4.8781131256	-3.31675704197	-1.01579505585	-0.424300444855	5.49768430542	5.5347398915	3.85794826648	6.70697420944	1.55016268896	-7.2067607286	2.55183072629	2660.69967781	2031.84959287	True	
8.29520607098	2.45988048029	-3.92337457903	0.920591837384	3.3036923089	5.42930484383	-6.35122864552	6.61352851012	-2.50236357234	7.27769653817	6.21413666769	9.07498070816	0.688272695836	1868.78816793	1930.25711323	True	
9.31220641489	5.33338679202	8.73239472492	7.71952422166	2.95229795756	-2.47313390747	4.47573549459	6.57740794841	0.533822459625	0.267113944372	-3.03735112396	-4.35470486234	3.32634338389	1719.88003549	1833.74425757	True	
6.33800000472	7.39076203241	3.84511003911	-2.44598993684	0.196614132826	-2.6011325387	6.61983588985	2.70715242054	5.38414827753	-6.06250784666	5.05843695727	-0.11460234399	2.6954793445	2180.73094601	1742.05704469	True	
0.881536759304	7.38461137333	-7.51266240037	2.4462501983	5.85696604715	5.92898543507	5.52298903153	3.6669646033	9.36126570888	-1.64329009569	8.51373351315	-5.40992901768	3.27800356428	2132.13723581	1654.95419246	True	
-0.504657943364	5.60506219253	1.75124202651	8.07998888975	-1.3749626201	4.25805422438	0.701236322459	6.51506671076	6.68129791408	-0.326571635503	-3.09273094208	4.78073492989	0.398566111265	2646.1856978	1572.20648283	True	
4.52142957925	-1.62062836422	3.60118238828	4.93642128614	5.83850360007	-3.23148988257	4.44494880327	1.51307070712	4.02193188668	-4.74701277477	6.13647815487	-9.36154171691	3.56503172431	1468.76178061	1493.59615869	True	
4.25451033674	4.73372753731	-3.09725559858	7.9033274207	4.34544193479	1.12323914338	8.3073350082	-5.19363199748	1.11303018472	5.57925407302	-7.71603332614	6.20635173317	3.57860892648	1571.12312334	1418.91635076	True	
6.2221791867	-5.44653629996	5.37140505165	-4.1477809466	7.87406282133	1.50704656137	9.70330685611	-5.73616021276	0.0840783166016	4.39134302772	7.10385719219	-3.07918098742	1.70058945894	1646.89426193	1347.97053322	True	
8.94221695677	2.59380232321	7.00297425776	4.62867100684	-5.79793411435	1.8020915453	3.35712456208	-0.276188370755	3.22530179643	0.464150458052	-3.55324991337	0.583224239036	1.74671190568	1458.45127033	1280.57200656	True	
1.30521681639	1.23156350482	4.3178475726	2.89676002855	9.96044632889	2.66200112492	-7.41550274827	-0.00526914096396	3.50876672945	9.71013582023	7.94705644257	7.87293794985	3.3916204328	2427.07248093	1216.54340623	True	
-0.951212775375	3.76002132985	0.0565441485318	-3.95436325961	2.61602775066	3.29676654821	0.784228885799	5.44196290464	1.30498580627	-0.253113761943	5.46469044976	-4.12349762352	2.10270140782	2636.52481724	1155.71623592	True	
2.16277921157	-2.52028352539	7.47522965408	-1.65888412222	5.12645040702	4.58771751637	4.89693764286	-5.9697762525	6.62597563228	7.37293440482	-6.28907455459	6.27983482606	1.4623297004	1869.11122752	1097.93042412	True	
5.83296038526	9.68909553523	4.87773536899	-4.32226310684	0.280260488638	2.62900259136	1.72795628901	-0.280361909042	-5.50360145715	6.68718773754	6.84794320482	2.97324296247	2.76343253716	1029.58954556	1043.03390292	True	
6.82158957287	-6.32097382087	6.35181564488	5.20060015821	-6.20597308826	3.91546935405	5.95031761272	-1.39774861975	-2.8047875674	9.32118880227	-1.31233583614	-2.06458201813	1.56334111157	1160.16405587	990.882207771	True	
4.7467572772	-5.05257446759	1.69448126256	9.96066119267	5.94874046143	5.98016476675	7.45028571531	-0.401070449684	-2.161756418	4.5544571647	-6.37780171796	7.25797196113	2.88916184526	2085.85016838	980.973385693	False	
6.49364758392	6.53190724147	2.15966327435	4.51388932269	7.36902876091	-3.82223094903	7.50952932556	3.81828648847	-7.04041102059	5.57153438228	-4.02344423753	9.06845994763	3.6875183363	1132.02086866	980.973385693	True	
