Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Parameter 39	Parameter 40	Parameter 41	Parameter 42	Parameter 43	Potential	Temperature	Equilibruim
-3.58499488982	-2.22222133622	3.52350738742	-2.65303415757	3.73180580429	-5.32973619672	-6.1365758258	-4.8735650616	9.88841721668	-0.418281647017	8.51998815855	-7.65111019479	1.13341769629	6.06057106067	6.66042791517	-9.15282000999	4.16321098492	-2.85266565973	-0.548307341689	-5.24296519967	5.39507639412	5.70218221732	3.42148148545	9.36721093013	3.41452876073	0.196720080697	0.710671430582	7.0413264048	0.359567676773	1.11064819738	7.21966140868	2.60858161153	4.91287602596	1.371445665	4.84147745614	2.07000514855	0.648405125845	5.82191221673	7.5799677944	8.46010016516	-0.638355795384	5.55175567136	3.88398766407	431291.410266	100000.0	False	
-7.4183923259	-2.95522339052	7.02389724351	-2.24985492908	4.25799938457	-8.5718961775	2.20027704226	-6.96023944354	0.495671779931	3.62916069785	8.19277234042	1.48747192212	1.75501238117	-6.5624940137	7.23670316064	-7.88440417765	8.69599866491	-6.47865483117	-0.89782880704	-1.6481698031	1.68229232835	6.45416220241	6.01040126671	0.294756324681	8.03101753487	7.86211244301	5.00091721936	2.10472957867	2.47907448709	9.99389034266	8.46850038048	3.51969988607	4.74717089051	4.80533281895	9.31506574973	9.22706094807	5.21566869738	2.1091035091	4.97920116838	3.26670288204	5.00186279424	4.6487658299	5.39108295289	247149.157832	100000.0	True	
-6.77751095936	2.82190834527	-2.03511456193	2.65059393285	1.30630260201	-6.66765787916	-5.26060226991	5.8933895866	-0.526172824337	-3.71635664924	3.78447254631	-1.37183532842	-8.43928320824	4.15822840637	4.70792347416	-2.78322885207	7.35867547242	8.07073471876	-4.89001735049	3.91886859994	5.72980720708	2.30738757344	4.85100190311	4.17848503045	4.378112309	0.372539750461	7.75695267849	3.21113237611	7.8777835304	6.51290245828	1.19044339453	9.07309226403	8.77068975835	5.1925944224	3.34587600491	5.35614390424	3.75601668009	8.21470034929	2.55781210223	2.56578874244	5.58635702895	5.89809095154	3.05114836332	302786.049303	99000.0	True	
-5.9239719829	-5.46116719344	0.387423165807	-5.14952223015	5.46096530356	5.75489511044	3.48482369548	-7.43226405554	0.0797870625339	-6.28214621078	8.87675641986	1.52506180668	-7.75498036781	3.10721897319	-4.56434872506	3.2611711037	5.46144316897	6.35434942553	-8.57629912673	-1.95073790635	4.51978866236	7.45825583692	3.98328980158	2.728189029	7.17951425593	1.24266687607	0.896632689812	7.21618171929	2.153709036	4.86042345501	6.83742232303	8.44778532657	6.70724061719	7.51377178646	4.26884825353	8.7470943005	1.20322772401	6.40015003466	3.26988688013	2.3835646655	-0.605465358491	5.68049219523	5.79399755862	107773.269644	98010.0	True	
-6.25262386623	-2.40349067445	1.48798936931	-5.99353229224	0.666826730864	8.23594457494	0.72123605248	-6.09711745934	1.98780338689	7.10382810259	-2.92110191809	0.0544770905606	-5.96625874928	5.63955508425	4.33532871797	-7.54402289409	2.64896739893	4.11958352077	-1.14102608895	7.3671537661	1.87683495943	3.37708016284	2.8724958187	7.63231227478	5.55410371964	1.87766427037	1.14039099197	7.19542972392	6.47584766483	6.93403245999	6.52446469233	8.09217929298	1.80100280727	1.73236309171	4.7180907806	0.467912288709	9.08200843848	6.81023522549	4.84303502182	5.6781753062	4.5368401669	5.25640005115	4.08700521659	178925.025251	97029.9	True	
-1.80144612177	-3.5068115206	5.04375096643	-5.54474555586	1.73981043151	1.40649358745	-3.59957988697	5.591289574	-4.0205879835	4.72286019642	-2.85845826163	3.86427104174	-9.40508575126	-1.44888250699	8.55808603035	-8.77712633177	2.12591843642	4.05192952848	0.406761488639	5.86207267072	2.92472748747	0.335789564748	3.8986659178	1.71775718002	8.91073637397	9.36760466462	5.91481545379	9.07243039464	7.00302650644	3.38373374908	2.02085275605	5.17137200409	0.300091700074	8.98876648176	5.24519308087	9.26236641086	0.546133537417	3.64568680603	6.2014197906	9.43373606611	1.20461206454	4.80255000493	5.84808228263	20597.3545733	96059.601	True	
-1.46030573715	-2.78650500859	-8.4305671977	-1.08595995249	2.82167690727	4.18775417374	-8.34767415817	8.65746822235	5.0640101383	-7.53365795202	2.22461787171	4.91493809502	5.40530722967	3.91820485432	7.34881770225	-9.03502050475	3.72814583224	9.33047202557	-8.3334407509	-7.06649743983	5.0849196327	8.11808429397	8.87045873127	9.76358166642	8.68381695627	5.03097100948	1.49409182195	8.26696463355	3.59752728729	0.0853235583996	3.43429693209	5.26635644299	7.59335334407	4.89305109589	4.69139101956	6.96515861645	6.12695811039	9.58663963607	1.30863539405	0.857829916149	5.74403080558	5.20715632044	5.5706997501	246055.94538	95099.00499	True	
-5.73224293904	3.11964208088	-5.30328979459	-7.21588111551	3.17309335155	0.0201594492299	-2.37220741308	3.65909958768	5.73155591724	-0.598969426556	6.03601000005	3.35392904833	-4.66820547203	2.52131855903	-1.7785729232	-8.76600833643	3.00454715997	5.94260756045	0.0368955434191	-3.20342149689	2.91575901661	6.50759479648	1.10877221341	1.04332327632	0.153199094217	1.79542468802	3.52692881175	7.17458550052	3.60133677623	5.57042229292	6.92591848741	5.6451782467	6.31488530445	6.83727753503	6.64441219844	4.30415986227	9.26136545895	4.72251860923	2.10709200051	7.91015165766	2.08746618399	5.39413427615	3.54180321912	132735.786185	94148.0149401	False	
-0.98636122295	-1.68981639225	-1.34484585217	-0.870524668555	2.51417220246	-2.80897009872	-0.957875785877	-3.14668038233	-0.339913104071	-2.69090388721	2.72073644532	-1.22694101859	-2.79160358552	9.40588020701	-3.32457897884	-3.49058845781	-2.70059031425	5.76152426664	2.43884355608	0.302343153016	4.85307763734	8.47723323096	1.86267647596	8.04603772116	3.60942288721	6.59146791964	7.96741389959	2.44417808971	8.81448400668	4.7671281197	5.19927050446	4.89968110928	3.21885569851	4.64008017194	0.966006352887	8.12587254376	0.0335113105908	5.02196843187	0.201034861499	2.70449978451	4.42372374062	4.78057965787	5.33600157539	172739.847509	94148.0149401	True	
-5.4715262777	-6.57962815357	5.83485184243	-4.19061123361	8.84839093028	-9.76348500142	-0.000663689846762	8.72987761666	2.14260847057	3.73530303516	-7.72398358824	5.98724151433	9.90960328985	-1.63549205356	-1.34846890269	-7.96312966468	-0.680875793124	-1.21897238953	8.75643759328	-5.27669038375	0.859545747936	4.85206219679	1.55271181567	9.94260091655	2.43603215931	3.76183218499	0.184627841372	3.06877567689	9.32529239551	5.52875043614	4.29815097463	8.32858514167	3.07966613291	3.35688980655	7.5916746103	7.32901153354	7.26523703791	4.84566693794	3.8070941367	3.51798349362	3.95153385963	3.9043234843	5.72676504595	332265.626776	93206.5347907	True	
