Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Parameter 39	Parameter 40	Parameter 41	Parameter 42	Parameter 43	Potential	Equilibruim
-4.19794767862	3.41798273054	-0.810229694436	-4.52913366811	-4.83841607523	5.89292825355	-1.37219833072	5.05859746552	1.80981285633	-5.797884767	1.13312752682	-5.23874506763	-8.56594406428	-1.34879383936	-4.01823486379	-2.08349368986	9.56963642249	9.69201149429	-1.3241991624	-4.18489265145	8.18900737121	0.732793115687	9.34536508658	7.07562169441	9.81168154195	5.42158686968	7.38772684709	6.38298751451	6.87164800649	1.62071226768	3.66200553956	9.11966763058	7.62854853992	1.35850035569	4.93702118936	3.28836976895	5.52088096574	6.63571948388	1.91268407051	8.45119214219	2.21475362223	-2.01838793547	-0.481228039277	84399.9998076	False	
7.14375098952	-2.88243549633	5.12273462942	-5.176472913	-3.29941156395	7.41770729224	5.24230649879	-1.17687732926	-8.90822675603	-6.39531909329	-9.34148330302	-4.51236309419	7.54937665573	-2.90181777724	-8.30711514521	-1.60886450675	6.53097671511	-4.90899403663	1.68734462086	3.60364656373	1.21139785914	3.82476911774	5.58304842873	0.0590881004468	7.9318901196	7.48582948797	3.99450371502	0.206320839797	6.17142468515	0.783131091564	5.03134149799	3.49235818077	7.89494411977	1.65346058443	3.15122824	1.68192343407	3.82546296807	2.82115523582	6.46957962923	2.39067142159	1.79782450258	1.1250882637	-1.34493367723	84399.9998711	False	
3.32700983581	-0.212716035836	0.396460592115	-5.93980777552	5.01113488283	-6.23951452672	-1.40808998968	3.96732300353	4.71371182598	8.83048447891	2.84535617944	0.283324402937	7.90422898054	9.42892551088	4.13296267537	-1.696699929	-9.1427665918	-4.47997945186	-5.70970102587	-6.31643095671	3.49982983098	8.04667174217	1.96390025671	6.0215437441	3.25327406942	4.65604422595	2.6908426153	7.43362215167	7.18471825734	5.56437467057	8.75673833906	2.97192590269	0.999356912017	3.99980864311	0.82454167892	6.56358821887	8.10726458893	4.48287428155	3.76374386156	5.41855364519	-3.78070049055	0.781721688827	0.628040615349	84399.6881827	False	
-7.05411848874	3.035094437	-5.80731574684	-9.41812202265	2.9510715965	5.10043884559	-9.19781406359	-2.92059740037	-0.0329571750555	0.869641046702	1.40355084517	4.11019414914	-9.63368891646	-8.95011134542	-4.11658589362	5.77903417579	-4.42011919147	4.08478742315	3.80199942502	-5.3880767049	0.086468400354	1.78728618814	0.464540856973	5.49724884796	0.644902942424	3.1238386849	8.73125251069	6.39646962272	6.11013946069	1.0735263788	3.7454403785	3.60286678454	8.00314711688	8.74291865428	7.21429122253	4.59145904602	7.88279259031	1.01365725278	6.77023085152	8.55926811278	-1.37754750582	0.579196996144	2.58092591258	84399.9999999	False	
-7.38546825892	-2.59815247612	7.28848377682	0.361885666946	-8.8301902942	-3.11641370583	-0.356209912685	-1.94576163072	-7.01526334948	2.86420267835	2.89550091001	4.32880305314	-3.49219794748	0.567923607772	3.26547100474	-4.41950944682	-1.19790206912	4.07814109981	-3.22125273478	1.41124218241	6.07638550633	0.197055154985	0.232069810337	1.5458853708	1.29691775613	8.90951871423	0.780403321284	9.42575754777	7.16984512348	4.37182486782	5.15091780759	6.6397989057	4.76879272911	6.25206755424	0.497494093467	0.940860637996	5.26568852228	7.22090092174	7.43641845828	5.03960424464	1.19534231548	1.29917162486	-1.06177172149	84394.8080587	False	
8.14709578127	-1.03602802857	1.34996933137	7.47845535144	7.31439579639	2.33390452025	3.43960712268	3.28705354594	-7.72656276749	-8.20797197063	-8.7443670258	-6.66637463395	-7.11153210377	5.16593854906	8.06077266349	0.825708052036	5.96443749888	4.58078933384	4.80532901969	6.78709270022	7.24020737326	9.08268606086	8.1497991378	2.83017206446	7.20680084686	2.54217089654	3.60967040443	2.74893302257	9.89893728107	2.58214677936	1.84428321237	5.76057703218	5.16482938265	4.70914746767	3.05974855798	3.22547874777	6.59646360016	4.48842244814	5.31481509871	6.53922627974	2.58135988198	-1.53010089825	0.407321279816	84399.9999999	False	
0.435846084588	2.68382482341	-1.30486510391	3.06555108345	6.32293479158	-6.08586293697	0.278663081067	9.67884718764	-8.79279970456	-4.82893335951	-5.04255435942	-3.17931607736	0.429754465263	-7.0155574963	-4.79681763486	7.90564671734	8.84369870465	0.0174046181979	7.79422743189	1.91047405453	6.07447038892	3.49935784992	1.22918503707	7.44579880366	9.19976488239	6.69804354459	4.96755485144	0.545042736846	6.40173602289	1.34167977598	6.19855071713	1.12679840935	9.9339581794	6.77193069235	9.54475171277	1.08554663946	8.35924112746	3.6219623692	1.78188145299	4.50071749783	-0.63221296955	1.5681068362	-0.253092586834	84399.9935278	False	
-8.38102338908	-1.15287771706	1.56477547696	8.07504918299	-4.43615395347	0.403674882766	-7.45172909856	2.97297558613	-2.74464252567	-0.126290793837	-0.171642365088	5.99757318392	9.17837175657	-7.29764603553	5.65163434995	-2.10871993521	8.66889017101	-7.48868422046	2.55823341701	4.96986234035	5.82238374002	6.65449586264	4.688565958	1.78321626715	0.0315273306582	6.80864293176	4.50619994876	0.278155949606	2.85293227715	3.08238256914	1.9678664061	1.29263186772	3.83857150691	8.12975328567	2.16861838617	4.12996203845	7.85930630437	5.96958640186	4.39328848912	2.10293788324	-0.413378536622	-2.25902314029	-3.15429430579	84390.4427247	False	
3.70462882036	-7.66185812868	7.49267415523	-8.33184567236	9.38857210936	4.28675279634	-3.39940740715	-4.01943830718	0.780760302352	-2.50510767131	-8.280460538	-0.953106046447	-5.32377637396	-4.23282301522	-4.96248418434	6.58405235996	-0.252297023842	9.65688394728	0.63758335868	8.25788940899	5.97422528343	3.36029518844	1.13526950389	0.567317953376	2.36751138877	7.36340868003	4.47092896148	6.3647809216	0.674739731662	2.43898246149	0.659189001218	8.11391475379	6.86425197358	7.12363219943	7.34200469597	7.66866224461	4.37523028275	7.15792123238	7.84300903749	6.63421838127	-1.58741112341	-1.37097181048	-3.35059355784	84399.9999898	False	
7.46162471338	-8.23190963853	1.2196567948	3.31657788964	-7.39752042372	-1.40770327767	-0.574927780135	-8.03100888864	3.09056349089	-0.612268592698	-3.45627600259	-4.00463427727	-8.08106718729	5.82033493676	7.98140536703	-0.678575178637	-5.51516212033	-1.01283374487	-4.30625511046	4.43383592876	2.07580403707	5.27366235262	5.61721670344	5.37941645906	6.68217504495	2.45924479377	7.50661449321	4.80708128923	5.20598483958	4.73695106776	7.37149284704	8.5942089299	7.34957575088	6.5761232822	1.22373058886	0.513761078266	6.94831953946	2.29838117796	9.99504918559	8.01695763418	-0.714191908414	1.23664571722	2.84800108062	84399.9999702	False	
