Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Potential	Equilibruim
7.06120677659	9.74171645784	1.61942099772	-3.05167343537	5.65606485318	-1.40610724423	-0.366972686101	1.85401455559	-2.682857698	6.36168370487	-7.85963183355	7.94123396345	7.49593587342	-0.880250838661	5.72127716267	8.33192521266	-0.388827831851	4.16016045468	-3.73715849524	3.46626865545	9.15775598415	-1.79367001029	4.90411464769	6.11348306397	-0.710672918857	1.30217427956	7.58193888876	5.437601035	3.80356347507	2.8408621311	1.9166141229	1.56073201231	8.85582301426	0.563137203966	-0.983038356592	5.2381168816	2.05955397779	5.69567510039	368903.169287	False	
-1.19136277975	4.16008624273	3.58633411216	4.70812436658	1.39951524255	1.61524750867	-3.8918869089	0.804337293764	9.97048719027	-6.39529307567	3.64931117789	7.45997867855	9.08913616581	1.86507162231	8.56918785185	2.45483864857	4.0532819016	5.95794424819	9.73815762532	-1.15499322214	6.27822061789	0.714246342163	3.56329495087	8.75308720645	1.5844544401	4.43502186922	4.00174369642	4.91281520839	8.34422224205	7.14279667399	5.73967760831	-0.896331824185	1.92327343076	0.668496010525	-2.22684619519	2.66969868423	1.65341154903	3.46879916266	385830.646358	True	
-9.21111724093	4.03721381909	-8.03364411821	1.17831249333	7.69138534195	-3.38489384563	-5.46873101443	4.52031846475	2.64913783318	0.0136929336472	3.32315809486	7.10750899417	-0.57930017877	6.76653291096	-2.21222992099	1.44460605862	-3.6930467558	3.50277555142	1.28049033452	-4.03157525734	3.07641702547	-1.26183343802	6.88511077058	0.656353002781	-0.667671902394	8.87421618913	4.81018549743	5.16402918441	1.94860026792	5.48787546101	8.65065525326	0.452220908053	9.1607716968	8.15965192291	-1.74120075779	6.78579581504	3.44909971699	4.36138660789	431089.274525	True	
-5.52513581199	0.144987366244	1.91089078133	-7.08801946276	3.15536514594	6.63957998792	1.03570722575	0.206506541248	5.97588663143	-6.62632496318	8.6362151181	-1.33687840253	-5.9359845122	6.58862938418	-7.08056703787	5.41341794703	-3.22213124239	2.53902234546	3.42741796504	9.40290221607	1.79392192805	-1.86177428024	7.51403410907	6.67803533948	-0.00458399182653	1.17565297652	8.96273108545	6.22783593592	8.03243456352	9.95017146892	1.6594665434	-0.399053988064	5.25652289207	9.0015703439	1.37573531233	2.20763719979	3.0106927896	4.31525687839	340670.470333	False	
-2.22978374146	1.64281820648	-4.8869414551	6.81952675634	-5.72811681711	2.42248384749	8.55075489637	-3.47052024581	4.71981557749	8.3472113182	-0.120124974499	-5.0877611954	3.93111403789	-2.84383403913	-8.06757172737	7.77096744982	2.73547143434	6.64074434105	5.24428031726	3.03189406978	9.91711194441	-0.792357703164	5.61307742285	2.96012994063	0.808842919012	5.84630163729	3.65305912019	2.9860270184	2.35640374369	4.36664233244	9.22753953307	1.00734507987	9.05908848853	3.33852827174	-2.04918771062	7.55300255658	3.06006016141	3.90985122279	509318.607379	True	
2.82790506532	-1.78797548896	-9.12137359562	-0.547155764231	4.64890958598	6.73296513234	7.59292869332	-0.1054728271	4.15251297692	1.0437866408	-6.6179173128	-0.745713563594	-1.18913640647	7.25430895576	-1.0778251979	-3.91523633933	2.47155151714	4.59382684749	0.86114680671	-0.0122050222318	7.47254293542	-2.19820137914	3.84050775508	7.63584305402	2.55944166854	2.83103814406	1.72374522371	3.79357847166	0.702714414131	0.570657492002	4.42070349069	-0.367816698869	1.38331540799	9.20000144622	-0.82085711217	8.45067613216	3.34185169177	3.30891233273	371712.814342	True	
8.93805059236	1.0933158163	2.70549045696	-6.64390854428	-2.49061775696	-6.06348085413	0.515064265427	2.60216415923	-6.77266606848	-0.525173670294	8.29224173409	5.30560301146	4.19571053645	2.05058151214	6.57714749175	5.35863201356	5.05973308341	7.97942297516	5.55204023235	2.64117977997	6.79593478891	-1.53951081752	9.03719630959	5.00294748753	-2.45139853246	8.14508796724	3.04235785919	6.70371993521	8.10655498287	8.84312483697	5.01842725986	-2.2250047694	9.23354817995	6.4628009171	-0.970886360187	8.74539904681	3.56427883039	4.23190726993	382415.109966	True	
-7.15607678781	7.03296844595	-0.0300244422585	-8.76326834231	6.79316375239	6.62564887477	0.606079264637	0.532397790657	-3.45100638239	-6.00098777014	7.86896473419	8.53490552896	8.03737886707	2.12274539949	4.23090870426	5.7406065072	0.385066479137	8.88532425687	-3.57384791178	4.24971103871	7.06949085981	0.908708604881	6.48859761306	3.10279859688	0.650581607142	6.19035400919	1.63182234701	3.4029095505	6.80479393405	6.54024007592	0.748082767007	0.0637596456804	9.49682171347	6.54476579504	-1.42290560269	0.911716318443	3.79339537252	5.38856841832	270698.702193	True	
3.65399150918	9.66268789728	-8.00847468503	-3.56156666336	7.86264381283	-8.337213305	-3.4556622465	4.22934070443	8.31314018733	8.92538777492	2.39459800251	5.5811023824	1.28858046914	6.94416476674	-5.93912998943	0.87785372612	7.92834273785	-5.81047784748	8.25672683097	-7.53623191543	1.03164235968	-2.07933324809	4.90465918015	4.44325991593	1.64295789056	7.32216818052	7.8070365342	3.62382300719	4.2693405279	8.21971836329	1.16397498583	-0.44908108489	1.64909236943	8.07265860829	-0.842366775303	9.0644551634	3.86687758556	4.05741912611	385977.023369	True	
5.94501227141	-3.98354954239	-2.24322021727	7.51096938115	-6.96866106363	4.73440650794	-0.279957681146	-0.272110992353	7.77455235832	-5.36655522185	3.4389598292	-4.67802371547	7.8942244495	5.95358347715	8.04879459711	6.1810402221	-3.18524366105	7.46460857568	4.07550802742	-4.52328641259	6.75654467556	-1.09237683439	6.78076460287	4.81225298178	-1.5127566148	1.96188772867	8.46793599711	5.25739643329	2.52408334366	1.45430326233	8.09403387753	0.321588023894	5.27585042396	3.38449375895	-0.859777948728	0.160175500851	1.80065147663	5.9577608105	218879.726945	False	
