Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Potential	Equilibruim
-4.07899309558	5.04731830544	1.81190410831	-7.28144367595	-1.37008974646	-3.70334362887	2.69727608427	7.46926618239	3.20480226144	2.63200699491	-2.37549486396	6.43094128672	-5.13480556735	-4.7942327884	-7.77829523117	2.02525079818	-0.553887750088	6.04611508697	-6.09101093418	7.43148385086	6.18496833647	1.1951898472	5.38873574013	7.49988200858	1.62080648924	0.255536182017	5.15265920423	7.91367107766	2.71698502197	6.17890696882	4.28802086928	0.371113366547	3.48892584422	3.02388839262	1.66269964575	7.10646678972	1.24621212864	3.68799020255	42616492.8094	False	
-5.27666110886	5.52111214466	3.30365117243	0.276062480289	-8.40840232063	9.19224961222	2.67533268502	2.17483209587	4.93309585525	5.47702040923	-8.65467113161	-5.60671948056	7.32079047075	-2.89147940494	5.45274164864	2.00053286617	-8.051924563	1.89954692736	-1.82421931344	7.20882561	7.78989205893	0.251449752105	9.43196837785	9.75848378268	2.0822496576	2.31736751603	0.539442814623	9.42073521038	0.828956790058	5.82142866175	7.02287340866	2.12686385699	4.34606356228	7.52549585559	1.34784951738	4.47889707734	1.96350744077	3.76428793713	12094855.1789	False	
-1.69705276997	-0.0857770863613	1.85967068456	-4.2491260615	-1.49864101974	1.36540722249	-8.45069419237	2.21195942871	5.56183836984	7.86051639536	4.23938645574	5.49519489923	7.43030952076	5.42545549431	2.32704910519	1.20732265325	-2.02591495027	-0.250007552065	7.73167681118	-4.41588019747	2.49309154909	1.01907516811	8.08446890878	8.10980470702	1.40701924977	3.98599963107	5.39775837709	3.3779312175	1.34471493695	5.31939150124	5.02144416143	2.70869763769	0.623327970415	8.03073032213	0.863292711158	3.43440078726	1.77446120804	3.81011644168	18196261.9802	False	
-3.40580012236	0.787522656895	-8.9371355056	-4.88987295307	8.9782361776	5.47915536906	1.68423691486	3.5798907123	4.65861297346	-3.94522550642	3.04142604684	4.3833680152	9.33897930757	-0.97430418305	2.9194633585	-0.383364004998	1.24451789512	6.79703392523	-3.79079876492	4.06724368244	4.39716693951	0.162989751406	4.3379222038	4.71319301105	0.0570750999364	4.2190561041	9.37779937125	2.2725587257	4.13764614762	4.24062538834	4.29613978477	1.56522059391	1.31571435306	7.57566002548	0.0673358972142	1.51415215008	1.35777732589	3.1624347733	11805554.6934	False	
-5.88465254192	-5.02671598171	-0.447929950754	3.07084795513	7.03823760706	0.827137029918	6.84427147399	8.39025095717	-0.447457057253	-3.45046267879	7.44999846069	8.173683895	-0.51085828368	-9.40939814573	-6.98701171663	-4.28182106908	0.00174732146473	-0.96467551002	7.93723929167	-9.8076104597	3.13955061393	0.655692339403	4.71140264533	5.40402097102	1.97194036275	3.79726896746	6.76252936213	2.11602510587	7.69321767837	4.28968793113	7.14838848177	1.11750898586	3.28006554596	4.61187502241	0.15763248419	3.63193585696	1.99181007207	5.08062016748	27636971.7001	False	
-8.42434067712	8.89926368597	-6.85251219146	-2.5286588647	4.76417127287	-6.87293813772	7.93232125962	2.27225664255	0.272799969749	1.95388664122	2.09056544315	0.933762936755	-4.49680232999	2.96962688844	-1.50327841802	5.61601943144	6.4354371384	-0.949029344728	6.62710657622	-6.27740007545	1.72790150538	1.50444036504	6.60487305184	4.82032560066	1.97133395414	4.75969785684	7.08957232338	9.12440871651	2.65967110675	8.29548699908	0.65593468193	1.09616764805	1.9068840833	4.31830450758	0.680586936426	9.8674396575	3.71140730815	3.32504681976	4484352.54733	False	
-2.18581205922	5.02011660703	-8.6730305972	8.74505737906	6.53468938679	-0.136241592503	-2.2889359808	3.1798581344	-4.49595351917	8.56026975034	2.37367164721	-1.38835571313	7.09209740939	2.76196523515	-8.10771443704	-9.68479743029	0.950515469872	5.80668518839	-6.72641677283	5.39279362535	8.12085619178	0.848735175044	8.61178587163	7.6354846817	0.656806964086	0.907175914116	8.8357283885	3.57104078114	2.88319022303	9.00851952882	5.48853822933	0.613796038584	4.09734822419	2.5543515587	1.41038287107	0.19333165532	3.07945766459	4.25374593996	10734424.3814	False	
2.52919835903	-2.53822975559	-0.82715866509	7.69805243267	-6.36294946571	2.7867350289	-2.91847167388	-0.961036592375	2.04937740013	-7.5775718691	7.44142357366	1.33290511925	9.01566890072	6.96073192382	-7.67140240344	-7.32643133953	-4.03875459523	-0.563346093634	-6.80105576924	-8.36635714397	2.13327163133	1.35020964861	1.28978525737	6.62522009527	1.83334036706	0.413129487314	4.08636847155	6.50365340559	3.74072007142	5.41558145672	6.08032105413	0.621635680141	4.29478673645	1.47505660212	1.67449655376	6.75732266524	1.59038958023	5.54520018838	56405089.8486	False	
-5.48712306495	2.02834125533	-2.47111248846	-4.12277585224	6.40625923145	4.08350120224	-7.49510331323	-8.00253309006	7.87788659904	-0.456736441858	-5.79077914902	0.0824068775538	4.62740310764	9.81019172755	1.3985851305	-6.48921076048	6.06523979677	0.608080402498	-0.793156361972	-2.9118640138	8.08428464597	0.7706788789	2.74282445672	1.92217001796	2.72806249553	1.97223026219	0.755570094659	6.85507290983	7.00064914707	5.31696000453	5.64850677781	2.8613838707	3.94825434834	9.53072607766	1.04064979554	1.84399837533	2.89710209221	4.98400018582	32177337.5696	True	
-7.14405943674	-7.30378401468	1.51315958527	0.356188097531	-6.37410800571	-8.08910697963	-2.47246823113	0.320161819508	7.50109461282	-3.86511557312	-3.89150173701	0.279907653866	-6.60502215796	-8.69123834902	0.24396448642	-2.63590867168	5.96779001477	5.8352532227	0.906420148927	-9.99249959648	5.17858216815	2.74387185176	5.32010540799	9.56346498693	1.90654438629	6.7709586049	0.775666265938	2.35183525498	7.93938762793	5.71962872304	9.75406242915	1.3651321701	8.79528172749	6.58460916026	0.672529165675	6.01494009461	1.77632802315	3.34218614767	53418375.0502	True	
