Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Potential	Equilibruim
-8.25778857469	-0.36607913382	6.05124494809	-7.09996448027	0.862778319218	5.40394093046	6.9809273277	8.38950526291	1.69597445548	1.02764184899	1.49595551953	-0.595249636619	3.15148483818	2.87192694316	1.0064557431	-9.53298906971	3.30082258201	4.76619575608	1.11919547363	5.94415328925	1.52646028742	2.9591696531	8.07144915159	1.4651924821	3.46646830614	9.7591175495	2.56638069218	5.44122787976	4.13017684304	2.72881042854	1.58762112862	0.144633279081	4.50438538807	2.75751684213	1.39568054566	5.59318124373	3.08159372188	3.15453364545	9692781.99529	False	
6.54846282697	-5.99145433148	0.860400224177	-6.87580492545	-1.90741598545	-3.35316379494	-8.51140737041	8.03262453929	6.65232326439	2.65699702958	0.768675938854	2.23006948498	5.46388484533	-2.90068296668	3.74639668879	0.0795669028035	4.12459593496	-6.7882316907	-3.07757492467	-7.72149569823	3.19266609382	2.43099954951	1.30071818795	6.41451419035	5.8227408238	3.58301436221	6.61663394623	6.96871776196	9.64306353051	4.11398678089	1.14772462245	5.59854612982	4.80502387447	5.68717964374	8.0181366423	4.45198780445	1.57492840786	4.98410753348	57651785.3305	False	
2.59362201464	-8.86669811839	-1.37220152282	-9.75115310029	-6.20961197856	-7.54835441251	-8.92024555939	5.20370520757	8.8113832106	-3.74752965509	1.49474082349	-2.23591031143	5.73922287464	0.909180976257	3.05566914245	1.70072702372	2.19723474161	5.71117749011	-8.02527598369	-5.02641152115	5.14299020894	0.314231893927	9.97285503599	6.5139315977	9.75718848344	5.48664466568	7.32806928363	4.72676700586	5.99506053082	1.7571145553	2.14905320503	7.54854092601	9.91565763125	9.401689287	9.47377264153	9.49090500092	1.44390641296	3.42738491651	59460152.8732	False	
7.28032804951	-7.62397411655	-4.01189675105	-9.16581181948	2.51906702145	-6.7517079139	-7.26530224489	7.30184428419	3.51602730186	-9.46939629431	-0.472426920314	-2.3188148775	-8.54873601747	-8.73524976132	4.197872437	-4.37291542727	2.31675119666	1.46308736788	-9.54539233706	-8.11168410602	6.09702757521	4.71770223818	8.85405815852	2.73597911329	0.492546934695	2.86266205394	6.27411224034	6.38492567521	3.48396302656	3.14704452756	2.4401078547	8.98870375169	6.98059088935	2.84305217863	1.06711682264	9.84001728119	3.59947313534	4.63532483997	40115606.8818	False	
-1.39583380034	-8.66172625212	-8.97245478992	-5.70384549098	-0.6808162849	-9.28763211484	1.87493577184	9.77212192905	4.8917086542	-4.71695294544	-1.27064490467	2.76178782695	-8.83608824501	-8.55379783349	-6.42766244052	-2.64869698215	-2.62454973459	3.60663304015	-7.8171823155	1.57152157498	7.4605438129	4.02551774673	1.32203877738	5.7414501093	7.70860109727	1.22662398717	5.094099174	2.96900574146	3.98224089464	0.656249152487	9.28276682217	6.30031552828	4.59415810704	7.71777099505	0.0028495219446	6.30975578794	3.72901021706	5.0640836361	38388498.8269	False	
-2.84983786205	-4.31742333782	-8.4939369229	0.779334974195	-8.76396180078	-7.10807635789	0.0370685509695	9.09841346802	2.8412312108	-8.85163089144	-3.60169873028	-3.53437421673	-6.46255880339	3.76466141486	-7.84887886154	-3.2524608939	-0.833942643233	-6.78148572926	-5.49805856161	4.97212254651	5.05322256993	9.0259387119	4.60331202208	9.31353506641	0.859335639314	7.02099071111	9.96849204811	2.03773296612	6.35764644367	0.0103197465454	5.11348573041	6.7599692921	2.63084215959	8.69713775899	8.49377811199	6.7958656006	3.09445863806	4.13122832287	44971835.977	False	
-2.2050576028	-1.58466232511	-9.0880397195	-3.79024036407	-2.43469608433	-6.81951935031	8.72476160347	8.14993377515	-1.49119855646	-5.20394770315	1.50109913004	-6.37024650003	-8.65780092077	1.05563679942	-6.64698538315	3.26660340954	3.97198934748	-1.20672242066	-7.52421290189	4.93116165667	7.4032012963	4.46620706148	1.94467610266	4.59881856013	4.90336316033	3.27707627817	6.58215406508	0.398132802396	5.27448779663	8.25611207819	1.16864430083	7.36599189407	1.77285769629	9.72686374953	5.90406393666	7.65105992779	1.62483034547	3.24301561432	54994968.0201	False	
-1.5424181313	-3.00126998455	-6.3937537545	-0.591677327351	-9.86372442509	-3.70559061492	9.2285903919	7.76931919796	0.29015212587	-2.62844738925	-3.84630102562	-0.181553059445	-9.22212088416	0.512920584478	-8.94857954518	2.67537044051	0.170639854839	-3.48245229478	-5.97719575331	6.57190567337	3.94088163296	4.45611377162	6.97330226529	8.92663927277	9.50405077912	1.05804230527	4.07812259895	4.96361962857	6.84525776166	7.76077037995	1.34313847348	0.989988276193	9.19287887259	3.21825125486	8.14681593266	2.34598449187	2.96293567948	4.86729313848	44438154.8056	False	
0.601841801692	-1.03201429007	-2.90347536587	5.71198807303	-2.85727936208	-9.3221343551	8.68104176934	5.96447724375	-4.43764119253	0.741815176219	-4.83382595938	1.46391616324	-9.68203684097	7.39241389333	-8.90949085521	1.48811308592	-4.56389261004	-2.43139075779	3.06259003989	6.52620254559	6.81084554527	8.87947856625	3.27515301171	8.56296504879	6.48882432369	7.3996746953	1.474260924	5.84741095102	5.12320937955	4.93841462555	1.75493924068	1.29610139465	7.84841797626	1.40608139168	3.77845416075	2.40575685203	1.03813058845	4.54139989689	62275671.5784	False	
-1.49669701924	-3.64234223506	2.41452077766	9.70893464475	-1.00951163226	-5.48427172182	2.86659960533	2.51426286675	-6.39609874869	-0.118110620568	-7.15828115961	6.26617017365	-8.82954439004	6.8441670505	-9.9967497853	2.36858606566	-5.3029129534	-5.76571835388	4.25484356802	5.81821637842	6.88954933137	8.98376375425	2.49628715787	9.16744088323	7.08021785449	8.9480569508	0.163048491862	9.33583856609	6.12333762266	6.60171586729	2.43448569801	1.58184793189	9.69612219211	4.10342200245	5.01575106336	8.88580945169	2.60592963433	3.87123240532	47121788.4329	False	
