Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Parameter 39	Parameter 40	Parameter 41	Parameter 42	Parameter 43	Potential	Equilibruim
4.85237587996	-3.72021456282	-9.69121802452	-2.92355789223	2.49234827117	-3.66248116684	0.399400857366	7.61882012062	0.890526895262	-8.87518276313	-5.29076729144	1.27183162369	-1.79735576743	5.54012570514	-0.178883592915	7.82346027724	5.08682215341	5.7865375572	-9.58260207419	-9.82432618889	6.32731451263	3.06733386266	4.98427614279	6.58624977027	5.61755012215	9.42520574336	9.07792445898	5.81493284531	6.94376958259	1.58627054175	0.958070462941	7.79945813336	7.78278019098	4.9734711787	6.27395633481	5.24656914251	6.69681407989	1.83500705168	1.44025034135	6.75297383535	7.72432351914	-5.83274342453	-3.4080776269	698780.233544	False	
5.0717489061	-9.59669626452	-8.64235179477	1.54407798338	6.23170524757	-6.00169137488	-6.50646168392	-2.10594078349	-8.54755341496	1.25608291525	-8.68096205137	-6.62004324308	4.66361470507	-8.98458435789	-4.95899381317	9.70451025761	1.98491385439	-2.34002681472	4.0973279402	-5.90959120825	-8.67441276945	4.63892917016	9.31464314015	9.06090086795	7.2831137194	2.20446527414	8.45397267351	3.16037234145	9.43468348397	8.51537630684	4.67091919134	5.02169000521	6.5758937759	2.04152547977	3.21128881518	7.18003304276	7.01049136118	6.4608688255	6.86423248428	6.43193529672	7.31560736205	-6.66102187455	-2.5291115977	1157417.35159	False	
5.44301334567	-0.57935150247	-8.56504909404	8.63854458645	-7.36270988105	5.64043958495	-7.23362274812	7.99463986227	-7.716834844	-9.07524429057	-1.82060883227	0.52885331396	-0.303362780737	-6.21960087598	-1.93573813146	2.60360393591	-7.07814988348	-9.66832577548	7.78863064901	1.27269335186	9.71905881406	3.13677514561	3.24511926266	1.95773568304	2.75074488692	1.00226023839	9.20430088908	8.61275334027	5.42179667644	7.48210556449	2.77437648992	5.0045216689	9.23894424203	5.17137702663	1.95636517949	3.04696501947	2.66124508979	9.10550819318	1.35309934609	9.78812728309	5.80060170485	-4.48146199666	-3.3270539256	747972.932611	True	
5.91543871273	-0.683712411125	-4.03667258538	-1.46903821546	-7.61830691382	6.31690708187	-6.19268078712	0.728583920018	-1.19496817427	-2.66329173875	8.29261991659	-8.90461231635	9.29897922004	1.10212685584	9.59048910422	-8.96743766877	-6.31176530442	0.282068599525	7.26850343263	1.05911327759	9.34060230464	3.17892899448	3.53936546032	8.12064356033	8.97813855132	3.06770743605	4.95536672954	3.91987726615	0.879825193848	7.76699262425	7.80000272799	6.4477421256	1.99943082521	8.39193889163	9.57108481746	3.64377239436	5.8216335621	9.00904284393	0.695413333939	7.08439148154	5.03085582638	2.47497662481	-5.01260921063	1006668.98131	True	
4.87493988645	-8.51587112079	-4.27850894946	8.78996877263	-2.72191180106	-0.640282142662	-0.710770674575	-0.389576749842	8.5460466382	-1.3753081169	-9.45865740227	-8.28388103215	4.18806528311	-5.52384289909	7.43579384648	-3.33977113793	1.9329748763	-0.622837369416	-9.90387298965	-7.09929144341	9.4769316866	2.04308926499	4.77336741533	6.77315657619	8.96810528053	7.8660414193	9.12648629761	8.97763108568	2.42495555651	6.26972626206	1.80720702949	1.45403836732	4.26821872972	7.9519026938	5.07344587204	4.73129718335	7.09012445043	5.01665986252	6.9473086083	7.22605544062	0.478091475178	-4.74610918115	-6.28882657245	468475.045669	False	
4.6647468554	-3.16107222469	-2.15013706275	-4.26626825191	-8.94383143696	5.99127595805	5.73100355057	-1.20374819146	7.2309464594	-6.89335612525	-9.39100848227	-0.710063754475	3.49484367908	0.994171786263	7.38310710247	-8.02024918268	4.36835488049	-9.85655809621	7.91457784103	1.00663730382	-4.04656260756	0.400383869799	7.65903614488	5.16485722728	5.86028860113	3.84344672591	9.46517867637	1.61684958017	9.22129248695	9.60238663215	9.03590394536	7.63982195561	7.05096275596	5.01395037253	5.64672516198	5.68780855151	5.37003233024	9.59804989538	0.128761944496	2.34486569777	8.42442568313	2.19120612205	-2.15479692591	654745.945066	True	
4.21289778937	-6.91744537721	-0.621691063228	-5.72913007967	0.692506479528	-0.301668488866	9.57077177953	-9.31765176954	1.51107996176	-3.89326224648	-4.29110115272	4.64894466705	4.85000218633	3.79175615318	2.95073748798	-0.127695249659	-8.84280538062	-5.00102498537	7.14381941422	7.32150795686	-6.03023121247	6.58053263458	2.26410473237	1.33465725267	0.753108372132	6.8199805031	1.50811420757	5.56622105526	2.25756144202	0.969737489334	0.535477213181	6.50932049241	6.68954443271	8.8955745461	3.23765459411	6.43729640079	3.86847469961	4.52552238742	5.23503656293	2.95002161245	2.32018476718	-6.0592786957	2.92145566044	950514.423581	True	
4.46168499711	-8.49672791305	2.08244317397	-2.28775726617	-9.54114619323	6.51995382019	-5.43042972829	0.229763209792	5.46072686693	-4.6600512737	-5.4507458844	7.39632796826	-3.79064749437	6.42329907101	9.82064854963	-6.70773895008	-4.44499556484	0.690464330488	4.33023647054	3.96547456108	-1.8152940784	6.40540756077	2.07417623855	6.6755227254	3.07655248284	6.91238993834	2.81784677388	2.65980508141	0.846479967329	1.85579723682	7.1064443821	2.0965815862	9.33865874807	8.19670439603	7.17409962974	4.26302608752	6.52984780924	9.55324465411	1.04771847621	8.92983845015	0.79191736516	2.68585875415	0.0247341955436	769590.486805	True	
4.27989494135	-9.82583770612	-0.386055021847	-8.97915781265	4.42898234244	3.90008557497	-7.82360033084	1.61965383525	-1.41068287531	-6.03592635451	-3.39300131659	5.97046473934	-9.35571784087	9.18731911095	5.42633405095	1.97680431841	-0.0351951847878	-8.09057280268	2.79764611906	-5.38118065401	-6.01176805312	4.85801776969	7.13876289104	2.89584573527	1.66727713221	4.88948774743	8.19504957869	2.82337245942	5.75226398366	5.80546904069	2.62267221896	7.15927681248	0.34251366561	3.85182177594	8.2020970644	1.55398415707	5.35831972987	6.47271358436	2.45983904318	7.59573293372	9.52456130469	-5.93104085486	-3.71126401322	909351.774296	True	
5.23317711038	-7.39196998575	-5.29061402539	-0.164975478008	4.26392424679	4.8347588243	4.49667612096	-7.08808565654	0.876369295	-0.723745401673	-3.15200029705	-0.254542438784	0.816550093759	-1.80511741711	6.12397642118	6.84412838243	-2.31019669257	-9.80342150461	-7.90665839905	1.48765749878	3.16935293221	6.20741487659	8.44103438086	2.30251994725	9.07667825498	9.00265358632	3.95837285622	0.629088157109	7.25962461289	6.35481023874	9.27605299124	8.57650553492	4.45897567825	5.01593213491	0.516214330947	5.70248022003	1.99680223721	3.70889216484	2.752343489	6.96825739573	9.41616045389	-3.82797462212	-2.77754172823	582111.478948	True	
